word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
climate,-0.16004454,0.054968394,-0.026813762,-0.031629775,0.03989414,-0.08661742,0.11587444,0.07324356,-0.07595412,-0.17574508,-0.035612892,0.17204475,0.09001965,-0.006417813,0.13498741
change,0.046333674,-0.06686905,0.083449155,0.05676395,-0.14640489,0.005164045,0.11700975,0.04062962,-0.19390458,-0.21051072,0.14866684,-0.0055694915,0.05321209,-0.015916593,0.066677734
global,0.3203898,-0.17784941,0.10092319,0.0094097555,-0.09599544,-0.15801723,0.07322498,0.003524072,-0.16376653,-0.2671496,0.20435265,-0.03183752,-0.07245582,0.17988233,0.15382369
warming,-0.2569096,0.29478934,-0.17217079,-0.0072789486,0.087884,0.060434498,0.06831229,-0.20141663,-0.3089579,0.15871824,0.0023525031,0.13916396,-0.017627856,-0.10743331,0.12591793
said,0.3086095,-0.010281093,-0.109862685,-0.06659585,0.05508251,-0.2681975,0.091121174,0.14524534,0.1370884,0.13962685,-0.17692812,0.2980721,-0.03386139,0.07562863,-0.10045652
emission,0.028276931,-0.06315468,-0.007994813,-0.11743263,0.11333597,0.085887216,0.1000568,-0.1132236,-0.21525942,-0.16299875,0.0113277035,-0.23133527,-0.055837512,0.13019063,-0.080567785
gas,0.06709215,0.082226366,-0.09223341,-0.093926825,0.04297593,0.12283067,0.10808548,-0.1512449,-0.015550892,-0.30916005,-0.30371076,-0.003860776,0.1942192,-0.10619953,-0.0872608
state,-0.060583755,-0.16156267,-0.19231413,0.20237665,0.21372874,0.11184719,0.038931374,0.017907027,-0.14648551,-0.05255192,-0.19794746,-0.13246877,-0.020459903,0.14384554,-0.10204561
year,-0.017387535,0.08365952,-0.1261805,-0.10944373,-0.057774406,-0.12838413,0.06953981,-0.25416422,-0.016678471,0.22934371,-0.11491451,0.1693622,-0.01960219,-0.28210643,0.10199265
carbon,0.108891755,0.081766956,0.077320635,0.0041965675,0.039734017,0.19540283,0.1996166,-0.109420985,-0.16434258,-0.007051833,-0.12241215,-0.23432387,-0.14654796,-0.118623264,-0.080107965
