word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
death,-0.04518325,0.0064290795,0.100962095,-0.0134015,-0.041798178,0.14731677,-0.071383595,-0.032716148,-0.24164747,0.037717342,0.2579937,0.15408245,-0.04626729,-0.11874472,0.019704375
said,-0.016232781,0.23469456,0.21959755,0.10014725,-0.009642028,-0.2554482,-0.014377291,-0.015648056,0.2091202,0.16900574,-0.11928513,-0.026610415,-0.03795341,-0.014346313,0.15640864
court,0.1486259,-0.078709766,-0.3038213,-0.27883187,0.3022155,-0.17013696,-0.3883945,-0.1972675,-0.0902162,-0.03652712,-0.1880438,0.07543217,-0.24760993,0.121443585,-0.09945652
penalty,0.046542834,-0.1303436,0.110566154,0.013108549,0.063416734,0.09477906,-0.042677633,0.083993055,-0.36159694,-0.1252573,-0.063548736,0.060045592,0.18379787,0.24752676,-0.10270335
state,0.11772306,0.1765328,-0.16686162,0.07023804,-0.19605695,0.20537934,-0.29103005,-0.1425949,0.2528753,-0.2517164,0.1689659,-0.10681013,0.16047783,0.27617475,0.122980244
case,0.22147223,0.14125428,-0.12689443,0.29031035,0.25825623,-0.050976265,-0.40575558,-0.21666712,-0.23584478,-0.12075036,-0.218369,-0.045155305,0.025221676,-0.17705593,-0.09636658
execution,-0.15377562,-0.06673351,0.31245598,-0.025195953,-0.14521362,0.16677463,-0.043212682,-0.26279256,0.074780196,-0.22683425,0.23315068,0.32057413,-0.25551048,0.1119081,0.13158274
murder,-0.2200193,-0.15374039,-0.14952114,0.036993556,0.131436,-0.058947638,0.20574845,-0.33513993,-0.29131225,0.15762357,0.03257455,-0.20815949,-0.055854604,-0.131364,-0.079738125
year,0.19295399,0.13875516,0.09174509,-0.03180873,-0.07608788,0.10690521,-0.23201619,-0.06431394,-0.35155547,0.24602239,0.26889357,-0.32544333,0.012190082,-0.038653754,-0.1101881
would,-0.25690642,-0.038538598,-0.10028429,-0.14864175,-0.21036562,0.28340045,-0.108102955,0.22973837,0.18556274,-0.091148786,-0.29593304,-0.12188234,-0.03943184,0.12674822,0.1476984
judge,-0.042834003,-0.11416068,-0.39315656,-0.012822721,0.286442,-0.25602666,-0.18435119,-0.07907284,-0.060347162,-0.09036181,-0.36273947,-0.08255728,-0.20002642,-0.32639065,-0.09903094
attorney,0.2554934,-0.0668101,-0.105052724,0.29103816,0.26247776,-0.013268164,-0.31953156,-0.1020492,-0.3019981,-0.39444676,-0.2350041,-0.2761944,-0.21436132,-0.2553982,0.15581793
sentence,-0.2591611,-0.17260544,-0.11362276,-0.20097925,-0.032431815,-0.17574205,0.442853,-0.27374378,-0.20111611,-0.18461041,-0.05080961,0.029590428,0.22237626,-0.19739541,-0.11456104
two,-0.07745325,0.1374783,-0.25161773,-0.20354317,0.19597843,-0.10042781,0.061401796,0.32459876,0.016755244,0.0065977406,0.32224563,-0.24377461,0.012472835,0.05683709,-0.1045462
trial,0.2871293,-0.013854168,-0.10679708,0.42799565,0.14079668,-0.073264286,-0.57874674,-0.27068612,0.12686156,-0.3506089,0.020826884,0.44652206,-0.18605734,0.020395065,-0.080346376
jury,-0.23987144,0.016042957,0.10560539,0.14790335,0.22647637,-0.16516839,-0.45077157,0.19122541,-0.080707446,-0.11269197,-0.08318175,-0.1622631,-0.18251085,0.13323133,-0.069414124
life,-0.025022222,-0.24407727,0.2338019,-0.49548608,0.0015255747,0.29952914,-0.03644192,0.13143404,-0.054287877,0.40124106,-0.05465186,0.165197,-0.31758833,-0.22104351,-0.0977722
mr,-0.22754122,-0.03334731,-0.24402568,0.18007526,-0.058157746,-0.10712689,0.048382852,-0.18043655,0.14031453,-0.31529027,-0.071879365,-0.082206696,0.21641144,-0.099936955,0.12524533
one,0.19180204,0.2316685,0.24415727,0.087843314,-0.23934463,0.13668278,-0.014855025,0.22581443,-0.15261936,0.25272536,0.041757572,-0.26730233,-0.27350172,0.0052594203,-0.102194905
convicted,-0.24546646,-0.1270919,-0.38590187,-0.22238526,0.14183848,-0.020092512,0.20774467,0.20652665,-0.24118853,0.018232638,0.2667922,0.20285867,-0.170647,0.11353923,-0.11970917
prison,-0.13562739,0.17731169,-0.35931182,-0.26833072,-0.21014357,-0.1627778,0.2937391,0.2585566,-0.022215007,-0.04516553,0.04383202,-0.38350558,-0.17909887,-0.1614053,-0.12127468
prosecutor,0.14995249,-0.23461346,-0.22680537,0.3803557,0.28654847,-0.13165271,-0.3112592,0.024136664,-0.1590124,-0.47051594,-0.075943865,-0.19877163,-0.19710049,-0.3057197,-0.0931727
appeal,-0.065327734,0.093011275,-0.29666108,0.25134647,0.16677108,0.33476198,0.095444515,-0.24223676,-0.24881727,0.026892161,-0.37241098,-0.28979623,-0.089656815,-0.0750541,-0.11038138
supreme,-0.1467653,-0.23049414,-0.17381509,0.17788018,0.12670803,0.04012849,0.09316265,-0.17521761,0.1581252,-0.1250072,-0.25717014,-0.045217913,-0.30853158,-0.41288555,-0.114119366
county,-0.1587218,0.115988865,-0.23846318,-0.19094199,-0.00046379538,0.10951319,0.26809016,-0.3027128,0.17715672,0.15806542,-0.057328787,-0.2894677,-0.19566223,-0.17130135,-0.0811806
capital,0.21513623,-0.14928462,0.11158923,0.29951665,-0.21701056,0.33279893,-0.2653089,-0.3527716,-0.20252444,-0.21650289,0.10695278,0.08954366,0.16462426,-0.061836466,0.15343338
punishment,-0.2461305,-0.22829562,0.21734051,-0.5902029,-0.18326981,0.26095617,-0.016921792,-0.31212172,0.23484875,-0.23907164,0.05036991,0.26125324,0.13811882,0.10484493,-0.10208656
new,0.06946438,0.08506529,-0.058474693,0.24070671,0.01061008,-0.05573408,-0.07318705,-0.16702138,0.07686033,-0.24336058,0.008980129,0.08181866,0.011182094,0.108057685,-0.11093543
lawyer,0.19649449,0.15030445,-0.28490102,0.5009775,0.21153012,-0.07223066,-0.35491693,-0.012364097,-0.16520189,-0.34624818,-0.28339314,-0.2581731,-0.3933097,-0.19671047,0.15458591
killing,0.050415494,-0.26746866,0.18046167,-0.53738075,-0.059990667,-0.37787002,0.41853008,-0.01418525,-0.31418866,-0.44608855,-0.32388785,0.23171805,-0.20054261,-0.07161588,-0.12941626
federal,0.042090375,0.0702845,-0.13944426,0.24367955,0.118872695,-0.06511065,-0.03577521,0.01656513,0.12445039,-0.008072105,-0.19034326,-0.14097814,-0.07153873,-0.35672647,-0.08256541
row,0.23883606,0.13395606,-0.34787634,0.34868073,-0.03585906,-0.2307838,-0.26130596,-0.2811703,0.32629934,-0.026420163,-0.01083253,0.0022257192,-0.1551351,0.08393253,0.14175498
last,0.22249492,0.033342425,0.22607414,-0.10841,-0.10936709,-0.09011892,0.016269855,-0.33880445,0.23901454,-0.092532314,0.08627493,0.1810065,-0.01300045,0.036509722,0.15560554
time,-0.03061802,0.09898388,0.047470406,-0.34589446,0.07749588,-0.25766537,-0.19543573,-0.04689811,0.24913514,0.3612426,0.2408937,-0.095443204,-0.14871237,-0.2510416,-0.100988984
inmate,-0.022958968,0.17135757,-0.13063627,-0.0650976,0.13248517,-0.10100122,-0.036057305,-0.3103244,0.03965509,-0.11495875,-0.06156842,-0.27451712,0.16081502,-0.20476237,0.13784608
man,-0.1391397,-0.2727207,0.12593842,0.2615472,-0.14293782,-0.3056444,0.18387675,-0.14521909,-0.091796346,-0.17141536,0.34724662,-0.24052227,-0.27532852,-0.24148357,-0.110925294
justice,-0.2723113,0.14757214,0.40427077,0.52744466,0.26934838,-0.33544523,-0.45739204,0.22367729,-0.2793385,-0.1801758,-0.039857328,-0.25918117,0.15868603,0.18015024,-0.08056655
could,0.34482586,-0.040418975,0.093309395,0.10396903,-0.052764867,0.34949085,-0.30170617,0.17751923,0.18359807,0.2126056,-0.016696963,-0.2537689,-0.00035487273,0.25329512,-0.08587035
u,-0.023620123,-0.26141492,0.2707786,-0.10939105,-0.34714282,0.108055085,0.122281834,0.31780967,0.15851554,0.12971033,-0.2847089,-0.2266487,0.022984672,0.23355088,-0.067584
people,0.23503642,-0.21800795,-0.040706612,0.05466845,-0.09967623,0.21801549,-0.12490802,0.18371129,-0.18949124,-0.3276607,-0.07207327,0.32011396,-0.17650904,-0.03219608,-0.11299561
law,0.18189114,0.06840499,0.23046593,-0.3464085,0.23944935,0.21494289,0.05447053,-0.23046072,-0.36816132,-0.1471455,-0.16532679,-0.16770901,-0.1531074,0.024711238,-0.11111266
crime,-0.007878138,0.28751013,-0.11181123,-0.0886434,-0.035262253,0.21654484,0.070619434,-0.25466132,-0.047586877,-0.4317557,-0.05790444,-0.15317497,-0.14757158,-0.20814282,-0.09263611
three,0.15284267,0.23667891,0.0553219,0.25313672,0.060720544,0.08189452,0.13559432,0.026370859,-0.185549,0.2251125,-0.4470953,-0.24803525,-0.15631154,-0.34350994,-0.09881104
sentenced,-0.28198916,-0.2898829,-0.4676049,0.0026803,-0.24493292,-0.21093285,0.5259589,-0.3588016,-0.4213671,-0.5661371,-0.18746974,-0.35447574,-0.37340534,-0.29971516,-0.11686713
also,-0.20041203,-0.01045401,-0.403235,-0.05417349,-0.022570932,0.2041553,-0.07665677,0.27127096,-0.13867159,0.5276712,0.36351323,0.25491804,-0.14508833,0.0028177854,-0.09981931
defense,0.24148196,0.079815544,-0.21950562,-0.042311434,0.31935796,-0.006925675,-0.46341416,0.25081688,0.41577184,-0.28754148,-0.090773046,-0.14504415,-0.17342763,-0.25615183,-0.09176445
executed,-0.30811813,-0.2576313,-0.35443246,0.26314068,-0.432523,-0.0898897,0.44685632,0.0060181636,0.282372,-0.33149815,0.39002708,-0.37515098,-0.32410347,0.03623429,0.15170172
police,-0.23017114,-0.2779609,-0.36175478,-0.035861857,-0.40910402,-0.24576329,0.38056594,-0.4078834,-0.22710904,-0.3556056,-0.22134942,0.180174,-0.17261837,-0.41233322,-0.122340836
say,-0.33612904,0.25008205,0.32938695,0.041471634,-0.21150948,-0.222117,0.014015619,0.15996851,-0.16618711,-0.09414959,0.18507187,-0.25946593,0.3113396,0.017555123,0.15381566
