word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
gun,0.10711304,-0.0037531182,0.13939711,0.07761274,-0.19682029,-0.00093392,0.05161059,-0.12188126,0.20857997,-0.25535002,0.13783218,0.041638978,-0.09062279,0.09766541,-0.0061436105
said,0.4646584,0.2168207,-0.08643659,0.15000832,0.13227616,-0.29720005,0.016954742,-0.24621776,0.25570512,0.16505392,0.0144119635,0.07558309,-0.016587412,0.12090184,-0.0011360323
law,-0.33419165,-0.26621,-0.015454406,0.20133214,0.14250807,0.33880782,-0.075856104,-0.19464685,-0.3043813,-0.24914354,-0.46131125,-0.0718917,-0.088737525,-0.024501206,-0.004945687
state,-0.25918394,-0.26398283,-0.42008156,-0.4401722,0.18127258,-0.035769936,-0.20014706,0.16742803,-0.30460355,-0.3706856,0.10280001,-0.13902204,-0.13065587,0.40829542,-0.0019720937
would,0.20193236,-0.24182771,0.021165518,0.15372123,-0.20536137,0.18449192,0.15420035,-0.111111596,-0.08971954,-0.50699127,-0.4183492,-0.21480031,0.11314912,-0.1613181,-0.0018176178
weapon,-0.19627653,0.2240507,0.15269232,0.050228756,0.015285204,0.25543305,0.14171374,0.23033616,0.51693845,-0.4706565,-0.14809336,-0.7047695,0.05030892,0.037724823,-0.00083304977
bill,-0.47989765,-0.19084163,-0.09924788,-0.38591194,-0.3799887,0.4727994,-0.37826845,-0.28999162,-0.37714022,-0.34503525,-0.31592032,-0.06122533,0.24124658,-0.28995022,-0.0021662796
people,-0.33721295,-0.330069,0.0036098857,-0.162798,-0.09406667,-0.08103695,-0.32151914,-0.09781808,-0.1460597,-0.51208925,0.24344072,0.4536395,-0.10115148,-0.22463852,-0.0014607453
control,0.0045960173,0.12806857,0.15951163,-0.20957029,-0.41347045,0.24275015,-0.05831845,0.039259035,-0.24283795,-0.18016134,-0.12718984,0.14595596,0.16850051,-0.009705265,-0.001446135
firearm,0.0820034,0.16841318,-0.6370307,0.64682776,-0.1615176,0.34134126,-0.044694863,0.1545045,0.53428775,-0.26952702,0.1774758,-0.31941873,-0.23190014,0.47292596,-0.0010238191
right,-0.52889204,-0.20130812,-0.3718096,-0.015466803,0.28937536,-0.16813377,-0.026551979,-0.41657075,-0.5409027,-0.015384453,-0.11116583,-0.13056132,-0.056029737,-0.06640424,-0.00081891613
new,0.08092888,0.029566938,-0.13090545,-0.49967903,0.13402489,0.4053758,0.19281772,0.2802112,0.07190663,-0.2088012,0.14361414,-0.2448708,-0.39353606,-0.16100295,-0.0005129845
one,0.11438453,0.17720027,-0.105387785,-0.009080481,0.011799204,-0.020657053,0.14004219,-0.1478095,-0.024272488,0.3134141,0.055443086,0.1362873,-0.18017514,0.32028347,-0.0013778196
year,0.24039812,0.24101625,-0.2509047,-0.36003658,0.18577097,-0.04856621,-0.00033126504,0.33608443,-0.5489498,0.11409938,0.3822312,-0.37164894,-0.01003506,0.2628096,-0.0016199048
shooting,-0.20092905,0.26340097,-0.20822103,0.0036223652,-0.31126916,-0.1754178,0.3381257,0.3368619,0.23734906,0.28130382,0.17733647,0.07883163,-0.00035580518,0.15129475,-0.0005791138
rifle,0.071426675,-0.07364004,-0.29881832,-0.22893456,-0.2028589,0.039865382,-0.13453443,0.20633943,-0.14275937,0.28871363,0.1637398,0.50091976,-0.11147558,-0.21743712,-0.0009984444
school,-0.44378933,-0.19139288,-0.16766396,-0.25014776,-0.225951,0.07158997,-0.32252806,0.41164014,0.58292526,0.19428864,0.16994528,-0.12539653,0.15258475,-0.14362599,-0.00090042484
national,-0.3179597,0.21263614,0.099506885,-0.019972246,-0.34557083,-0.13729987,0.07123578,0.29244047,-0.20190078,-0.12580575,0.068928055,-0.09822359,0.18340687,-0.1536419,-0.001244684
check,-0.26045263,0.18526678,-0.41958055,0.09441095,-0.030656843,-0.115408674,-0.22052027,0.47769597,-0.55775344,-0.2905533,0.10229223,-0.25803736,-0.38241664,0.17211685,-0.0007319674
ban,-0.2917148,-0.12441044,0.011108503,-0.526707,0.14687377,0.70182335,-0.4610148,-0.45193812,-0.2880744,-0.3813641,-0.54040176,0.09618221,0.19673234,0.05485634,-0.00039620235
house,-0.40208548,-0.13167849,-0.2266939,-0.07422108,0.25447127,-0.5991992,-0.09892137,-0.17513466,-0.14496791,0.14227518,-0.8072602,-0.02663974,0.31096676,-0.19361764,-0.0003811622
president,-0.07169701,0.11596924,-0.50554174,0.026317561,-0.18318914,-0.36552402,-0.03602544,-0.12972543,-0.20626472,-0.58266366,-0.15423356,-0.16204894,0.23154555,-0.016913468,-0.00049322145
violence,-0.16408823,0.165847,0.14403723,0.060287535,0.0089138,-0.101907425,-0.069852665,-0.33179566,-0.07156146,0.40053433,-0.25764608,0.38833004,-0.03083572,0.04740668,-0.00096407736
handgun,0.19444095,-0.019928334,-0.49711105,-0.3724802,-0.18331726,0.0662409,0.0032899042,0.01833651,0.4322481,-0.13222426,0.103268236,-0.19699487,0.03956853,0.14826296,-0.00047642516
background,-0.4347997,0.20822084,-0.39881366,0.14193039,-0.11388462,-0.03475656,-0.6122512,0.41037837,-0.42602414,-0.30353102,-0.03214492,0.23570836,0.30775928,-0.29704106,-0.0007040785
nra,0.25685933,-0.22971132,0.36696136,-0.30276638,-0.088006675,-0.3441466,-0.52469724,-0.49803764,-0.10697143,-0.38040894,-0.2019716,0.5729278,0.13494997,-0.32250208,-0.0009360371
amendment,-0.42018312,-0.13421471,-0.1987281,-0.078831255,0.56957227,-0.7228633,-0.37194288,-0.7980439,-0.6053166,-0.42478284,-0.83594966,-0.28236532,-0.20588316,-0.5710167,-0.00068747054
republican,-0.08746223,-0.11030654,-0.4834492,-0.5931822,-0.21645361,0.107978,0.05124347,-0.26588872,-0.20773216,-0.51107645,-0.78118086,-0.56860214,0.3216032,-0.2799162,-0.0005573554
police,-0.7302391,0.008766385,-0.74628985,-0.08951876,-0.30536383,-0.25750494,0.6366962,-0.15618032,-0.43558502,-0.21697639,-0.5657804,-0.86180425,-0.429511,-0.17669448,-0.0019189188
