word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
immigration,0.05383788,0.091191426,0.16744892,0.011041308,0.041081224,0.13234408,0.08005288,-0.06842626,-0.26872662,-0.1868817,-0.08477307,0.27996677,0.12671582,-0.19940138,-0.06969425
said,0.109240286,-0.008260209,0.036220595,-0.17198898,-0.029022833,-0.07778037,0.10255809,0.11116471,0.27741316,0.07466253,-0.28295103,0.07163893,-0.07189292,0.20109026,0.0016306521
immigrant,0.032789797,-0.22836742,0.082541145,0.033240356,-0.16142023,-0.050595365,0.089972734,-0.37273216,0.3501167,-0.21794842,0.32803762,0.24738254,-0.03385252,-0.31994388,-0.0022659344
state,0.09058117,0.014322309,-0.257964,-0.31496522,0.07215591,0.03499446,-0.0803204,0.061019793,0.048094116,-0.17640118,-0.009619753,-0.31716847,-0.057173327,0.25259027,-0.08414036
illegal,0.06625548,-0.11433227,-0.34442437,0.011188581,0.34724224,0.18377092,0.17920281,0.29319942,-0.30800605,-0.25676394,-0.28830823,0.33609635,0.047573138,-0.033597652,-0.13068938
would,0.13830146,0.073126346,-0.11268166,-0.23616537,-0.080568194,0.26873252,-0.14714432,0.003917569,-0.14852771,0.22676648,-0.22370702,-0.29350895,-0.075954065,0.15998936,0.13410597
year,-0.012345417,0.31778678,-0.33077195,-0.23603092,-0.1480114,0.047971707,-0.1280329,-0.28113425,-0.2179038,0.03090002,-0.028208552,-0.18302211,-0.016553324,-0.16698284,-0.204671
u,0.08011793,-0.0013939862,0.08176405,0.062316213,0.08808551,0.14836149,-0.11790067,0.19882105,-0.07414802,0.20294292,-0.07746347,0.07639313,-0.27071053,0.31541115,0.18446916
new,0.19431576,0.046909787,0.20176251,0.2364234,-0.011359828,0.0793141,-0.343369,-0.103240274,-0.21678706,0.14678256,0.23592481,0.09193471,-0.24107042,-0.04020716,0.08951244
law,-0.32926232,-0.39795277,0.20128459,0.18385683,0.31473348,0.1837892,0.014880856,-0.23372194,-0.24677195,-0.3122382,-0.2954221,-0.124618225,-0.13283664,-0.34009102,-0.22245423
united,-0.14520746,-0.46943825,0.07696668,0.44034043,-0.15964215,0.032229654,0.18668145,0.1903719,0.18286052,0.09477354,0.017374625,-0.0035310076,-0.22054233,0.2502794,-0.121444665
people,-0.19879715,0.01253252,0.2683356,0.07833547,-0.30714044,0.11268962,0.4179626,-0.05242536,0.16930667,-0.24504553,0.15029787,0.30105525,-0.21672547,-0.23392998,-0.23679106
