word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
marriage,-0.1280251,0.0857526,0.057194013,-0.043594863,0.08006615,0.053627845,0.050738115,-0.00028001002,-0.08541844,0.08894163,0.12412842,-0.09315546,-0.06530915,-0.08259006,-0.00028000865
gay,0.08359775,0.05905601,-0.04327336,0.0135765,-0.1402555,-0.111305356,0.21143472,-0.00018945918,-0.24941969,-0.21867828,0.08790502,0.07349665,0.08773367,-0.029847868,-0.00018946361
state,0.020528605,-0.118231535,-0.2015579,-0.16412954,0.09272503,0.19659944,-0.19351862,-0.00017547495,0.097256325,-0.06854584,0.092566565,0.023205716,-0.041055888,0.18692265,-0.00017546599
samesex,0.06060477,0.09491963,0.057487957,0.24798082,-0.031816773,-0.1095975,-0.11472174,-0.00013208088,0.16653052,-0.2890621,0.111419246,0.23479204,-0.047640555,-0.011883826,-0.00013208645
said,-0.19086593,0.16339159,-0.09372056,-0.15328003,-0.11220278,-0.21466361,0.2087018,-0.00018560707,0.17343533,0.15561631,-0.16550325,0.20296502,0.12124491,0.16766332,-0.00018561588
court,-0.17186792,-0.073120184,-0.25570863,-0.21852243,0.19393288,-0.21804504,0.05252997,-8.828526e-05,-0.10253151,-0.14188404,-0.029986214,-0.195962,-0.17179403,0.18964994,-8.8284265e-05
couple,0.20608857,0.16046038,-0.2259494,0.22497278,0.14523138,0.37297553,0.10486129,-9.963028e-05,-0.0046025678,0.18652667,0.023095831,-0.18839855,-0.18355076,0.24132729,-9.963744e-05
right,-0.16906431,0.12494697,-0.11466942,0.31555197,0.10203913,-0.16598609,-0.13035347,-8.844711e-05,0.036942903,0.033087093,-0.22816569,0.07946289,-0.14743057,0.034075614,-8.844697e-05
would,-0.24789077,0.05752251,-0.04009406,-0.22566356,0.028653901,0.33306095,-0.29119128,-8.640651e-05,0.12874937,-0.18353829,-0.22350837,-0.30764055,0.085083134,-0.25829217,-8.641307e-05
law,-0.21361929,-0.045479283,-0.053541172,0.06974045,0.24404806,0.09319177,0.09630909,-7.570449e-05,0.101568125,-0.36097658,-0.30746356,-0.1132134,-0.14447057,0.18078949,-7.570531e-05
union,-0.24770813,0.01495137,0.1627143,-0.00433271,-0.096420534,0.1709818,-0.1883629,-6.768162e-05,-0.05043201,-0.21033257,-0.06586089,-0.13640311,-0.019222356,0.15458055,-6.767883e-05
new,0.16563283,-0.12649384,-0.13060227,0.06339367,0.065220915,0.260441,0.15990612,-7.389328e-05,0.06215058,-0.053261567,-0.052894842,-0.0007601724,-0.07343764,-0.006623594,-7.389894e-05
issue,-0.01117667,0.09142739,0.2633705,-0.21192703,-0.10776211,-0.07285104,-0.24950136,-4.577394e-05,0.06706493,-0.32060403,-0.25294468,-0.22462769,0.19173376,0.27369547,-4.5774308e-05
one,-0.0071400646,0.014064174,-0.06570358,0.03481475,-0.07559489,-0.05676061,-0.14052445,-6.3001295e-05,-0.14440393,-0.041889098,0.22353718,-0.23087192,0.028401233,-0.18846609,-6.299609e-05
year,-0.0026480071,0.17682046,-0.23900872,-0.13765866,-0.11266817,-0.21710737,0.13050967,-4.9279108e-05,0.10457044,0.25623986,0.16033915,0.049405888,-0.01044642,0.21886632,-4.9272887e-05
ban,-0.22161697,-0.12461886,-0.116044745,-0.03875514,0.07751282,0.09959087,-0.05835238,-3.3811073e-05,-0.00093684916,-0.1929665,-0.18196818,0.2082981,0.10383456,-0.27679244,-3.380104e-05
legal,-0.26105896,0.023193482,-0.21627939,-0.10691779,0.28625387,0.01159024,-0.33135635,-4.647027e-05,0.0020385066,-0.36439016,-0.39907587,-0.03839172,-0.17454425,0.13169768,-4.646777e-05
supreme,-0.113638416,-0.13549308,-0.19788788,0.071696624,0.14752671,-0.26003897,-0.26567197,-2.9998979e-05,0.08158707,-0.19415088,0.43296185,-0.0065795262,-0.20147683,-0.3113128,-2.9999392e-05
amendment,0.077263825,-0.09312413,-0.0149212675,-0.27562678,0.09795968,0.20809755,-0.16798095,-4.017006e-05,-0.16751832,-0.13139953,-0.21280818,-0.0142421005,0.07632242,-0.20006748,-4.0177143e-05
people,-0.026029654,0.0799706,0.15024824,0.2839083,-0.24009696,-0.33777043,0.13937962,-5.8126603e-05,-0.2796582,0.11139697,0.19829397,0.29981408,-0.15406863,-0.2357714,-5.8128982e-05
civil,-0.13633563,-0.14576744,-0.19751267,0.31262913,-0.012492657,0.12913327,-0.11977008,-5.0728446e-05,-0.32638535,0.15975763,-0.10275604,-0.17456974,-0.1746417,-0.38089076,-5.072825e-05
bill,-0.09524828,-0.12571587,-0.09231776,-0.113850735,-0.32328895,0.35551414,-0.17942278,-3.939461e-05,-0.32655975,-0.14674312,-0.15203534,-0.16284533,0.20631199,-0.059075303,-3.9396622e-05
federal,0.12691025,-0.09944484,-0.23707314,-0.28766006,0.034733437,-0.35755596,-0.14839773,-4.0945233e-05,-0.42303613,0.11161817,-0.07024305,-0.04757349,0.17841588,-0.25900787,-4.0949457e-05
benefit,0.14845413,-0.12436972,-0.27284274,0.34829304,-0.29866523,-0.13667849,-0.23005508,-4.1826755e-05,0.12838688,0.33098248,-0.18570948,-0.087394744,-0.040019996,-0.28276357,-4.1825297e-05
vote,-0.20645733,-0.08637133,-0.08463718,-0.22734664,-0.06602206,0.0972598,-0.13057886,-2.6289179e-05,-0.14206411,-0.28446075,-0.14706682,0.079607435,0.15172285,-0.18068406,-2.628642e-05
decision,0.23222569,-0.118514776,-0.0094886,0.17015517,0.1045764,-0.12707034,0.011490381,-2.5897565e-05,0.24201131,0.060764953,-0.3113543,0.13656145,-0.18929124,-0.03096941,-2.5886597e-05
