word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
tobacco,0.100937314,0.1473872,0.20144403,-0.15802449,-0.11400312,-0.007358513,-0.0376729,0.11583382,-0.026109511,-0.1183072,0.08994416,-0.07329252,0.0199497,-0.043699455,-0.00036954333
said,0.05423628,0.07358638,0.09413279,-0.099084914,0.15306357,-0.11265576,0.20804875,0.16169657,-0.17204224,-0.071136765,-0.048565872,-0.06563304,0.0077884747,-0.06163965,-0.00026267095
smoking,-0.15545502,-0.059145648,-0.20147903,-0.08936757,-0.16957621,0.16828541,-0.10895013,0.13433978,0.15234101,0.16490275,0.1152246,0.038190167,0.056474756,-0.13016039,-0.00097391545
cigarette,0.09333557,0.083992556,0.059897196,0.0606384,0.08062655,-0.0023420516,0.10362914,0.11108045,0.07545484,-0.06424713,-0.13246219,0.11074688,-0.21671662,0.11528089,-0.0005766468
state,-0.05419447,0.035630044,-0.033303224,-0.12648888,0.16100898,0.10213899,0.03488441,-0.10036876,-0.07260631,-0.2495027,0.0541578,-0.054869182,0.08444555,0.17771661,-0.0011395115
year,0.06159356,0.19896512,-0.3225337,-0.12276572,-0.022747217,0.09122098,-0.10626262,0.15254055,0.060579833,0.13402496,-0.082562536,-0.28832108,-0.06290939,-0.0360005,-0.001976358
would,-0.11892227,-0.1322688,-0.32268077,-0.01754182,-0.18109106,0.24818602,0.18432893,0.10491164,-0.056423195,-0.27300036,-0.22295673,-0.20906025,0.06802762,-0.19336882,-0.0015745512
company,0.20051381,0.18315545,0.21174636,0.18208703,0.12645249,-0.14728853,-0.023911364,-0.108564235,-0.15691741,-0.22141661,-0.35105821,-0.22455025,-0.06389263,-0.17456342,-0.0005335738
health,-0.37812248,-0.15991436,-0.35809037,-0.062408928,-0.33942062,-0.067543544,-0.12967283,0.14365602,0.4314232,-0.035184424,-0.2829099,-0.21699916,-0.19655403,0.19238319,-0.0007244254
smoker,-0.10646956,0.151499,-0.074192256,0.16682431,-0.07424494,0.17196338,-0.15769689,0.14435233,0.048166715,0.121260256,0.19892246,-0.016883612,-0.13759999,-0.22110902,-0.0002663399
smoke,-0.07102264,-0.14024957,-0.26178208,0.08151026,-0.059145864,-0.13131182,-0.22614874,0.15661079,0.1773886,-0.08967847,-0.10791095,0.19973414,-0.055801407,0.20342225,-0.00026960962
industry,0.32769832,-0.05645538,-0.04531999,-0.09928498,0.081674494,0.033208437,-0.14617598,-0.09816671,-0.15266757,-0.13577664,-0.29453033,-0.16268237,-0.12403272,-0.2226584,-0.0003221812
new,0.20007347,0.07988672,0.053400747,0.17596461,-0.19230676,0.2692546,0.13030714,-0.12567133,-0.2218057,-0.17889547,0.18314362,0.028976724,-0.2334729,-0.24902935,-0.0009426103
ban,-0.01943033,-0.13540465,-0.18009245,0.06614444,-0.08652975,0.3135681,-0.07956832,0.12883428,-0.41352004,-0.19406527,-0.4220605,0.20907706,-0.028711967,0.14062177,-6.332425e-05
one,0.0046942392,0.063005105,-0.013883464,0.20425956,-0.2733521,0.027477367,0.011444165,-0.13161759,-0.10421111,0.30914247,-0.08096709,-0.07896628,-0.077425845,0.21587439,-0.0017389946
people,0.07090241,-0.0782474,0.2762623,-0.07761308,-0.2079799,-0.05071404,-0.16809222,-0.15598394,-0.04919486,0.18956965,0.17995518,0.3062441,-0.29071927,-0.0062124818,-0.00069043087
percent,0.037833154,0.20034994,-0.21014883,-0.19139715,-0.07348329,-0.08483321,-0.06615741,0.1479288,-0.1176769,-0.13354613,0.24231854,0.13438897,-0.15533075,0.066709,-0.0010872796
say,0.15127616,-0.14306146,0.05842738,-0.2181152,-0.14649868,-0.15855719,-0.091988266,-0.13170627,-0.19122581,0.08028308,0.22009127,0.24208827,-0.0441517,-0.064107,-4.9112543e-05
tax,0.27636573,-0.17989819,-0.28578937,0.23752789,-0.21211556,-0.22156881,0.008944767,-0.099626236,-0.22121459,-0.14273125,-0.3071584,0.13271888,-0.014305492,-0.20061016,-0.0013001462
city,-0.17049237,-0.15019701,-0.24082802,-0.098586924,0.09682413,0.043975644,0.07503105,-0.1272528,-0.15506773,0.059797883,-0.23620607,0.060157176,0.21247476,-0.21957515,-0.0004631755
million,0.2884026,0.21339831,-0.19181137,-0.06702636,0.028917985,-0.14300251,0.036114015,0.16339119,-0.34355897,-0.30344558,-0.32290173,0.31286085,-0.20661916,0.22118348,-0.0011029427
public,-0.15196635,-0.11722759,-0.17362946,-0.025884999,-0.20928818,0.27791142,-0.25222674,-0.11834737,-0.064498626,-0.31089652,-0.30645424,0.18200245,-0.0083972085,-0.043327034,-7.4639e-05
cancer,-0.16250254,-0.104860775,-0.1145728,-0.21178053,-0.21689408,-0.14296076,-0.18089534,-0.095672846,0.17554279,0.06575224,-0.1684502,-0.3343531,-0.15852009,-0.15760066,-4.0150844e-05
american,-0.21310692,-0.14406505,0.31005156,0.28426486,-0.12987019,-0.27852723,-0.03665562,-0.12494586,0.10924198,-0.027607026,0.28312948,0.12948301,-0.19036001,0.24857679,-0.000887631
law,-0.39453167,-0.13018928,-0.26168263,0.013512213,0.30761838,0.2484343,0.3089382,0.15774369,-0.18857513,-0.09406658,-0.37080234,-0.18008386,-0.13079253,-0.21664235,-9.620008e-05
last,0.12530766,0.24097985,0.3534844,-0.086332925,0.074604474,0.0480049,-0.22577238,-0.1392721,-0.18453537,-0.18772237,-0.017446667,-0.3363545,0.31351885,0.11587827,-3.605392e-05
also,-0.35687223,0.16627733,0.27089658,-0.19082533,-0.006310763,0.20002402,0.22479284,0.16531888,0.35338706,-0.31910947,0.3476343,0.17022695,-0.13335522,0.2712135,-0.00045955784
billion,0.19008893,0.12218785,-0.306875,-0.2037319,0.15136342,-0.21137632,-0.015291596,-0.10997997,-0.015259773,-0.2929983,-0.24493943,-0.003043273,-0.24045773,0.09062966,-3.8949656e-05
could,-0.4569253,0.09947763,-0.33054042,0.24049664,0.38338664,-0.07495785,-0.021154478,0.15570773,-0.0013869248,-0.3658563,0.029062686,-0.11391697,-0.21022594,0.17103119,-0.0006685689
bill,-0.32891196,-0.18303174,-0.2595311,0.14980796,-0.27547887,0.1592478,-0.3283369,-0.14608964,-0.25481474,-0.31094408,-0.18246987,-0.006943763,0.306547,-0.13051347,-0.00027729978
county,0.018533155,0.19631213,-0.11325316,-0.12843698,0.014966577,-0.045375075,0.20368584,-0.086334616,-0.107630245,0.10097897,-0.010939123,0.03392474,0.021422176,-0.028276103,-3.3249078e-05
product,0.05500255,-0.09422312,0.21564084,-0.06508402,0.27693257,-0.121153146,0.09351417,-0.14204,0.098669246,-0.25719652,-0.1214069,-0.19576523,0.15372713,0.15339372,-4.5728844e-05
time,-0.24548207,0.23474282,-0.17900422,0.096954174,-0.054227374,-0.3713815,0.27915877,-0.10676329,0.15392593,0.14645441,0.3294553,-0.2589474,0.11765055,-0.16848166,-0.0006618178
settlement,0.22123441,-0.168578,-0.33754545,-0.1470508,0.16943839,-0.26869482,-0.15321848,-0.08482852,0.016119393,-0.17986557,-0.22252236,-0.016882967,-0.276875,-0.09518599,-4.3812546e-05
court,-0.14895312,-0.17355898,-0.10757859,-0.08350395,0.21714939,-0.2180523,0.14376383,-0.10403569,-0.15424998,-0.044181943,-0.3102038,-0.15050083,-0.33430663,0.17524102,-6.331483e-05
group,-0.0653313,-0.19866677,0.17372681,0.20787954,0.007614648,-0.15945189,-0.31239963,-0.12134307,-0.1520886,0.25722474,0.37989348,0.046598643,0.04096704,-0.20884806,-4.72453e-05
first,-0.2414058,0.24888408,-0.26953042,0.22323534,0.06954032,-0.039760206,0.11436904,-0.11851935,0.23378606,-0.06568729,-0.06647982,-0.1229941,0.03008134,-0.18604772,-0.0002478522
study,0.25772822,-0.14275897,0.10450944,-0.17320757,-0.10372265,-0.35076547,0.31140715,0.15652443,0.15532126,-0.15734762,-0.0720481,-0.20335312,-0.29994306,-0.15754049,-0.00023219883
nicotine,-0.3870955,0.14872263,0.13380514,-0.11073574,-0.20021103,-0.119927146,-0.11766644,-0.14388806,0.31367847,-0.09879969,-0.14174478,-0.2480649,-0.333297,-0.23839103,-3.4577086e-05
restaurant,0.2716467,-0.1374253,-0.18756428,0.2009999,-0.065842986,0.03715796,-0.21321252,-0.1283091,-0.17747964,0.10822842,-0.33836192,-0.0029960275,-0.039744936,-0.14013179,-1.6383252e-05
morris,0.22808616,-0.11351147,0.030788453,0.2235541,-0.051778182,-0.26202434,-0.060266603,-0.064510845,-0.2067691,-0.1411996,0.09979272,-0.15262394,0.10263659,0.07388685,-2.043351e-05
