word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
climate,-0.113023676,0.051542684,-0.019203076,-0.069496796,-0.021742,-0.061192423,-0.065353885,-0.0040612123,-0.061669476,-0.10223628,-0.01901005,0.08202771,0.08964358,0.032925848,-0.05974818
change,0.07451214,-6.4636355e-05,0.043286044,-0.046046082,-0.066342555,0.049186785,-0.05658994,-0.0047960114,-0.12756827,-0.1379195,0.076228596,0.012801339,0.084287345,0.041152827,-0.06822819
global,0.2747881,-0.015435558,0.013681723,-0.057488225,-0.043977603,-0.111196436,-0.06792401,-0.053130005,-0.091078125,-0.10830626,0.12390412,-0.027006615,-0.025287809,0.1687829,-0.05647943
warming,-0.19197303,0.16118248,-0.10019289,-0.06257848,-0.008919464,0.060303338,-0.06647791,-0.10169531,-0.21614401,0.03726953,-0.0125805335,0.019300012,-0.017302593,-0.05889213,-0.06891512
said,0.2571041,0.013803165,-0.09388358,-0.066279575,0.0002749105,-0.2676872,-0.053596456,0.01894114,0.07726378,0.091936946,-0.15082859,0.104592845,-0.025976371,0.07472508,-0.05997412
emission,0.04852673,-0.022677712,-0.0143099995,-0.072130956,0.047090694,0.09964805,-0.051241916,-0.0652432,-0.18067756,-0.13942812,0.015399984,-0.117113985,-0.021164225,0.12990968,-0.0569118
gas,0.039159972,0.09202068,-0.07063425,-0.06574956,0.00879899,0.11504528,-0.0566259,-0.08955052,-0.022559782,-0.2810848,-0.27653217,0.00074055704,0.16608457,-0.06378393,-0.059900437
state,-0.022796623,-0.09832555,-0.0986783,0.00018330694,0.15379633,0.13066064,-0.055717964,-0.01958765,-0.10829838,-0.04492976,-0.14549491,-0.057515956,0.0075319824,0.14591913,-0.063373685
year,0.023609351,0.07810544,-0.08151427,-0.06882297,-0.028617935,-0.09646027,-0.055345707,-0.13647048,-0.022681598,0.22014827,-0.09406858,0.03548818,-0.009048345,-0.2212525,-0.05777226
carbon,0.10228806,0.08232277,0.03050489,-0.04442814,0.005375223,0.18400465,-0.014692145,-0.064069584,-0.14255233,-0.008083704,-0.10219985,-0.17141558,-0.11482199,-0.07687694,-0.05805449
would,0.061447628,0.113215245,-0.14818327,-0.074936256,-0.05611733,0.13504216,-0.059548296,-0.11888487,-0.12272436,-0.0009744842,-0.003688314,-0.07037432,0.008673289,-0.04685238,-0.0559564
greenhouse,-0.10232904,0.10307257,-0.07603009,-0.059628315,-0.01429077,0.19661146,-0.046383068,-0.076091036,-0.056685798,-0.28895944,-0.16982092,0.054641604,-0.06379,0.09773027,-0.059114493
new,0.09857481,0.022143224,-0.19868083,-0.08068429,0.022784233,0.257506,-0.050781023,-0.003715776,0.013571551,-0.050171502,-0.09424572,0.054131813,-0.11580694,0.011322186,-0.06561221
energy,0.10850871,0.06422316,-0.16115274,-0.09348444,-0.17475767,0.15416646,-0.07268105,-0.07045196,-0.22343688,0.018030925,-0.20795795,-0.03580015,0.061133116,-0.0031636977,-0.045508508
scientist,-0.330001,0.17924654,-0.16082694,-0.06298342,0.0061498987,-0.08563135,-0.06518355,-0.1675087,0.012037283,0.16978753,-0.06369015,-0.15869673,-0.012260748,-0.22673818,-0.040583394
world,-0.10286718,0.02057627,-0.020587979,-0.0068028434,-0.12709315,0.0066323956,-0.013546351,0.01609223,0.10660385,0.10804975,-0.053983767,-0.21864219,-0.24049121,0.1955486,-0.07166744
u,0.04832158,0.025677158,0.23457102,-0.03985114,0.015924128,-0.23482648,-0.07483152,0.023605064,0.042480502,-0.13498986,-0.18094726,-0.030714182,-0.10577998,0.16261838,-0.054775357
united,-0.1539138,-0.09728938,0.04469559,-0.08252372,-0.1417954,-0.38543788,-0.04072303,0.17536584,-0.13282607,-0.12326246,-0.18698882,-0.016257228,-0.2193491,0.24080023,-0.06880946
environmental,-0.3802186,0.14564903,0.0883485,0.08907114,0.071630254,-0.108418755,-0.04150964,-0.14619705,-0.06932872,-0.18242148,0.042850554,-0.0031327577,0.17653023,-0.22442168,-0.03604005
dioxide,-0.031351253,0.06705841,-0.1744069,-0.0208163,0.0744793,0.06598889,-0.0688436,-0.08009318,-0.107675225,0.23371972,-0.17910552,-0.11773679,-0.004592968,0.044740867,-0.05415931
percent,0.12843302,0.07370088,0.11964391,-0.06570911,-0.18669859,0.16356139,-0.06252666,-0.17415904,-0.20129947,-0.25516242,-0.23618351,0.28361177,-0.13908511,-0.13773215,-0.054818228
president,-0.0013355343,-0.23742239,0.042018827,-0.08016525,-0.166674,-0.08978312,-0.0809549,-0.112134345,-0.12202873,-0.36063704,-0.2695526,-0.24950123,0.39559454,-0.21557046,-0.0401634
could,-0.12743512,0.20698877,-0.13406861,-0.068877086,0.021575913,-0.13555883,-0.06595478,-0.04193514,-0.040437154,0.013249495,0.108468175,-0.182608,-0.112808146,-0.14421465,-0.071490884
one,0.1435737,0.05367863,-0.010398567,-0.0021112685,-0.06963554,-0.22230037,-0.064299606,-0.14788163,0.14308149,-0.07602006,0.048225157,-0.13842584,0.044151384,0.10228401,-0.057555772
say,-0.2130834,-0.048828375,0.038862303,-0.034763888,-0.038204886,-0.22690451,-0.060162116,-0.06241171,0.008271908,0.16921698,0.13606596,0.23897775,0.09268226,0.013376302,-0.04728935
nation,-0.32672116,-0.19163696,-0.07621307,-0.09548895,-0.21919695,0.06201293,-0.06627529,0.01538083,-0.25345248,-0.17465794,-0.13676895,-0.035623383,-0.17872916,0.29027313,-0.070348345
country,-0.32866168,-0.25957084,-0.094449736,-0.068178736,-0.07342062,-0.009121764,-0.072489694,-0.027259177,0.06940217,-0.3295157,-0.083924904,0.079038695,-0.32664964,0.30292365,-0.061561882
temperature,-0.17237721,0.09502626,-0.042203255,-0.090694726,-0.06934754,-0.28418717,-0.0247549,-0.11139273,-0.04531952,0.18768619,-0.22925447,-0.07890103,-0.0104367435,-0.085228816,-0.07066759
power,0.084020644,0.19138922,0.010890897,-0.0544316,0.10582339,-0.22716872,-0.044040374,-0.09747787,0.017485801,-0.19904281,-0.00103317,-0.08920519,0.08112437,-0.21181743,-0.061722502
plant,-0.09624888,0.18751745,-0.14913051,-0.04408402,-0.02180878,0.041771058,-0.033195235,-0.1038748,-0.064363174,-0.17732568,-0.13281703,0.2352735,0.003892918,-0.22853474,-0.051563162
report,-0.06686845,0.21207565,-0.08349516,-0.009193761,-0.17039917,-0.09377797,-0.06488977,0.103900865,-0.16567165,-0.054059096,-0.18665442,-0.06879587,-0.19947092,-0.071945995,-0.070661135
last,0.25668928,-0.15596615,0.0324062,-0.037091617,0.20529015,0.5245514,-0.07849409,-0.08392634,0.08849428,0.17230721,-0.081793174,-0.22859569,-0.01638472,-0.06313006,-0.06962973
level,-0.3618265,0.13354452,-0.23648718,-0.023793008,-0.10621438,0.35470244,-0.07580844,0.005579481,0.19791478,-0.15614112,-0.024576608,-0.14597516,-0.060060434,-0.039809335,-0.066648945
administration,-0.24340536,-0.15990297,-0.15755011,0.023456672,0.08211876,0.17914559,-0.08830078,-0.14036551,-0.050070178,-0.06690555,-0.111548156,-0.18160754,0.3307588,-0.20560831,-0.07699055
also,-0.13344173,0.096141145,-0.08230841,-0.07480535,-0.028601445,-0.32586047,-0.026722083,-0.09967819,0.21663463,-0.26845858,0.20155951,-0.14874218,-0.0017528497,0.29090425,-0.05455489
study,0.020861179,0.10375275,-0.18525128,-0.005976242,-0.09679436,-0.2444788,0.024893127,-0.00063437416,0.19676945,-0.13676307,-0.030947238,0.14501394,-0.23609126,-0.07168698,-0.05564199
fuel,0.033326544,0.20259617,0.089286424,-0.051722184,-0.12664795,-0.11256318,-0.051225763,0.062714435,-0.1564974,0.06138816,0.09693755,-0.015946828,-0.08304097,-0.18405491,-0.064214855
time,-0.067594014,0.08280164,-0.20014438,-0.013708106,-0.15538512,0.026102236,-0.059627824,0.05705593,-0.031948604,-0.0076154484,0.23249125,-0.015503304,0.024019696,-0.1795795,-0.08416654
national,-0.19628072,4.2149648e-05,0.15687044,-0.07138715,-0.14112413,-0.2289086,-0.03206536,0.27994868,-0.030068222,0.040770754,0.33523282,-0.20811473,0.06568011,-0.1566232,-0.0723277
bush,-0.3836882,-0.26090953,0.19859365,-0.08174367,-0.073672675,-0.27711108,-0.071478635,-0.15402696,-0.22844131,-0.23483968,-0.080313526,-0.24001607,0.3543991,0.032678876,-0.062419042
