word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
death,-0.047618393,-0.052123956,0.04148209,0.020531064,0.014395801,0.14335066,-0.011404896,-0.036376573,-0.1615562,-0.020408927,0.10846493,0.044153485,-0.025191506,-0.059841283,-0.07725698
said,-0.040724784,0.00036012678,0.13021618,0.076646045,-0.007417873,-0.25944242,-0.019002935,-0.031609703,0.17654775,0.1014023,-0.089479946,-0.034195304,-0.027216839,-0.041586284,-0.046894934
court,-0.02436943,-0.069694124,-0.30161634,-0.18503018,0.24941029,-0.18393704,-0.37131405,-0.14551885,-0.09423497,-0.054272346,-0.16210493,-0.011459858,-0.25929728,-0.020024246,-0.07661268
penalty,-0.019208655,-0.08231581,0.076295376,0.001324409,0.050276898,0.089999914,-0.048778743,-0.0023879895,-0.390121,-0.077846795,0.0175567,0.0278581,0.13327484,0.048872385,-0.07526964
state,0.010649635,0.057500135,-0.109734915,0.07250249,-0.07787394,0.19118692,-0.22695833,-0.09864234,0.21904813,-0.19564107,0.12527579,-0.03666491,0.1479646,0.18054856,-0.058715552
case,0.14872,-0.015870381,-0.10958002,0.19297986,0.16695169,-0.09235236,-0.39940417,-0.12903304,-0.23475529,-0.12593585,-0.17711276,-0.05284683,0.018198468,-0.10128718,-0.0613516
execution,-0.08220777,-0.06453631,0.21193282,0.005473268,-0.074195996,0.1803574,-0.020642996,-0.16832678,0.074502915,-0.1363667,0.1856598,0.17734513,-0.24167888,0.03708242,-0.06167498
murder,-0.14293359,-0.08553668,-0.14528601,0.027100915,0.096898995,-0.0629934,0.15891604,-0.20361874,-0.32202727,0.027520021,0.0023551916,-0.12190674,-0.07145788,-0.08909722,-0.068866715
year,0.04938729,0.03265199,0.073580794,-0.0012817564,-0.027094118,0.09415592,-0.16367264,-0.026546596,-0.27011955,0.17422503,0.24022888,-0.13892959,0.026952172,-0.027412944,-0.06749582
would,-0.107796684,-0.022409815,-0.025881412,-0.038925346,-0.06291028,0.3137808,-0.00975017,0.104794174,0.1734057,0.026536953,-0.1982006,-0.033523854,0.003857076,0.04372943,-0.054325327
judge,-0.08413806,-0.08361263,-0.40089628,-0.0363643,0.23632799,-0.2693591,-0.158038,-0.0688103,-0.059268482,-0.102908194,-0.3599031,-0.07852694,-0.22067735,-0.2332726,-0.079718634
attorney,0.14369754,-0.049419995,-0.093972765,0.18673924,0.18815704,-0.061547484,-0.24661542,-0.045591585,-0.23478012,-0.29823712,-0.21283363,-0.2224878,-0.23526867,-0.14939551,-0.044677492
sentence,-0.119802415,-0.08517161,-0.088427275,-0.10686494,0.02882793,-0.10285951,0.43068907,-0.14307317,-0.205255,-0.10353733,0.010562129,-0.00034710116,0.22115213,-0.12949641,-0.084951535
two,-0.077384986,-0.02009852,-0.25688994,-0.16684037,0.09995409,-0.12615792,0.013860775,0.11702143,-0.026049731,-0.051440593,0.15783517,-0.17100738,0.01965482,-0.05229944,-0.075831026
trial,0.14693838,-0.06033781,-0.1030525,0.39058092,0.132865,-0.09364638,-0.48602808,-0.13854787,0.08251193,-0.24089292,0.0010737181,0.19390276,-0.20288172,-0.045378834,-0.071240865
jury,-0.14807747,-0.043113787,0.06515623,0.09960787,0.17195544,-0.15245976,-0.41374147,0.07207693,-0.08756735,-0.10173267,-0.058188684,-0.08486121,-0.19083507,0.027860347,-0.06741752
life,-0.046206687,-0.14218362,0.21111175,-0.38647676,0.0204028,0.2691573,-0.0059918957,0.021507071,-0.016702006,0.3310678,-0.062404223,0.0737974,-0.31462017,-0.16228169,-0.078052305
mr,-0.16388063,-0.06638862,-0.19107285,0.18928027,0.013092784,-0.058144465,0.09636213,-0.126276,0.13990036,-0.23627171,-0.02721047,-0.057070505,0.22754167,-0.06594287,-0.08845368
one,0.05793074,0.0760076,0.19913737,0.09964281,-0.11014338,0.1433845,0.021504402,0.10327883,-0.09341215,0.16663742,0.047380827,-0.13734418,-0.20333935,-0.0043304856,-0.06112718
convicted,-0.15473618,-0.08510172,-0.35269296,-0.17982101,0.12544478,-0.05679476,0.16141851,0.028600762,-0.2511134,-0.05457467,0.11321653,0.0067930324,-0.18256444,-0.048085727,-0.09010936
prison,-0.07691171,0.09791904,-0.23008971,-0.1598112,-0.0563694,-0.14543808,0.32086244,0.12208907,0.055001,-0.017002732,0.02226026,-0.21296082,-0.16155572,-0.1249604,-0.08433642
prosecutor,-0.0069309575,-0.12622394,-0.1961011,0.3327329,0.22671308,-0.1907188,-0.29390603,-0.031033413,-0.2101326,-0.3839899,-0.081135474,-0.16071886,-0.23080316,-0.2292015,-0.08040371
appeal,-0.049800396,-0.025143815,-0.2991531,0.13352363,0.1274728,0.3052099,0.069655515,-0.20834887,-0.15450932,-0.016463676,-0.3229676,-0.17873098,-0.116073,-0.070212714,-0.07262065
supreme,-0.07787684,-0.1104581,-0.1325277,0.035965044,0.115269594,0.03613597,0.06792645,-0.1546791,0.08353769,-0.09296616,-0.16771214,-0.055065505,-0.28224573,-0.2367425,-0.07943179
county,-0.06921552,-0.02835344,-0.19061694,-0.14472204,0.043126784,0.1233812,0.2535772,-0.24520299,0.20854652,0.038646456,-0.045472212,-0.18376122,-0.20344292,-0.105547085,-0.05902546
capital,0.062154647,-0.07527326,0.08685003,0.18598764,-0.09704137,0.34779105,-0.2451593,-0.22451985,-0.08887348,-0.19536108,0.08240324,0.046239275,0.1553586,-0.024425603,-0.056216598
punishment,-0.09482815,-0.14576909,0.18372355,-0.39272478,-0.09393874,0.28850803,0.069052294,-0.1899813,0.17462717,-0.1737297,0.08342833,0.1726381,0.14216599,0.0644105,-0.062176917
new,-0.015307383,-0.010059155,-0.04205358,0.15449487,0.030560391,-0.067493625,-0.051330093,-0.0927208,0.041318376,-0.18937463,-0.023363125,0.010534395,-0.019887408,0.0021149672,-0.073266596
lawyer,0.09236982,-0.02060106,-0.25809652,0.43185195,0.16007115,-0.07543455,-0.34413275,-0.054365035,-0.12927835,-0.22934549,-0.23437111,-0.14633155,-0.41541818,-0.13172989,-0.05368654
killing,-0.038449492,-0.13522804,0.09781863,-0.43637136,0.033545885,-0.3442217,0.4061077,-0.009326962,-0.25492686,-0.2886131,-0.17650013,0.1047816,-0.18859239,-0.105034396,-0.09718305
federal,-0.055801336,0.0074011507,-0.13767016,0.1572538,0.072098084,-0.07406298,-0.042261172,-0.006480213,0.08638916,-0.044169143,-0.15556382,-0.0735329,-0.054221567,-0.24688263,-0.06936664
row,0.04952794,0.031262588,-0.24349561,0.29407045,0.010504569,-0.22709732,-0.25671235,-0.1903302,0.18389301,-0.021433607,0.029652467,-0.024488922,-0.11975837,-0.033767033,-0.06871597
last,0.08133239,-0.045505732,0.15955274,-0.06839344,-0.036428496,-0.07450198,0.043700986,-0.12703626,0.19891429,-0.017056577,0.07432403,0.029392874,-0.002422485,-0.0044650086,-0.053766873
time,-0.049374577,0.0025180224,0.027170978,-0.25729677,0.07479057,-0.24769513,-0.16042876,-0.0483307,0.21033588,0.20190795,0.1569154,-0.08395428,-0.0961331,-0.1279641,-0.071676806
inmate,-0.07026887,0.13572736,-0.15383351,-0.04283424,0.11801405,-0.12463557,-0.02750997,-0.1721363,0.039241657,-0.10095512,-0.02607071,-0.1973661,0.08906869,-0.10925204,-0.064672135
man,-0.10273105,-0.17962804,0.08249521,0.2182576,-0.026095623,-0.30807155,0.22406873,-0.05668489,-0.10332684,-0.072454534,0.2687741,-0.13693759,-0.2731278,-0.17457394,-0.09104683
justice,-0.15054092,0.003148381,0.3296837,0.39282298,0.17516348,-0.40021133,-0.54527503,0.024388516,-0.26137683,-0.16545178,-0.053867273,-0.13542299,0.06963744,0.06720133,-0.063252985
could,0.09178037,-0.039722625,0.08884449,0.035246752,-0.008233615,0.24598272,-0.19708557,0.04016559,0.16178596,0.13048148,-0.035348866,-0.1761539,-0.06876373,0.06820666,-0.060909785
u,-0.04799197,-0.124832965,0.20458493,-0.010572176,-0.15067762,0.102324724,0.15843344,0.32730123,0.12338691,0.08959033,-0.22983195,-0.16251941,-0.007999152,0.14659885,-0.06664489
people,0.074705936,-0.10314053,-0.00037273308,0.0147233615,-0.058579955,0.26112923,-0.05032852,0.076070525,-0.067428075,-0.19191234,-0.03585559,0.29112688,-0.123886146,-0.034760356,-0.06306902
law,0.06255109,-0.034432266,0.14406626,-0.31118664,0.16347037,0.20371652,0.06782261,-0.128642,-0.39791322,-0.15240014,-0.08376518,-0.1236894,-0.13412951,-0.023573078,-0.0733042
crime,-0.010006617,0.056444775,-0.04766555,-0.04968108,-0.011794504,0.2408664,0.10739476,-0.09290609,0.013693533,-0.23944318,0.05371927,-0.064171,-0.090137884,-0.04452963,-0.060867418
three,-0.010967763,0.082504,0.05996126,0.17595837,0.029175766,0.10642428,0.103492945,-0.0037120036,-0.17814033,0.12596552,-0.31807128,-0.18618172,-0.16383925,-0.245888,-0.071683496
sentenced,-0.16610305,-0.08284377,-0.3757147,0.063979164,-0.049350668,-0.13006358,0.5788868,-0.17991422,-0.37398887,-0.26122886,-0.046992637,-0.20925745,-0.35595912,-0.12514623,-0.09349353
also,-0.10409913,-0.03302111,-0.33788094,-0.0799363,-0.0136155635,0.19927873,-0.020320442,0.10705063,-0.054767065,0.3094531,0.23864304,0.10058707,-0.11055983,-0.049136426,-0.06069256
defense,0.20042269,-0.04041085,-0.19648753,-0.038666744,0.24964948,0.0008041396,-0.47034362,0.09502152,0.36127192,-0.26389116,-0.08322805,-0.09707924,-0.19412276,-0.18626685,-0.06680486
executed,-0.1672808,-0.11542074,-0.23241255,0.17761512,-0.33116826,-0.040437244,0.45963782,0.020777304,0.21806903,-0.14843345,0.36787623,-0.2336404,-0.25608945,0.008402718,-0.05474878
police,-0.14617118,-0.1763819,-0.30462086,0.05281442,-0.21634215,-0.14304987,0.42672166,-0.24372031,-0.11247081,-0.21424587,-0.11970702,0.1281937,-0.108770944,-0.18537329,-0.07612567
say,-0.15736035,0.11851019,0.29688835,0.12855464,-0.10457648,-0.22464968,0.041628994,-0.008009219,-0.11562483,-0.08078859,0.16000748,-0.16030455,0.30279064,-0.029271966,-0.0544035
day,-0.120192446,-0.096821666,-0.13557899,0.3063014,0.007569906,-0.32787836,0.13222678,0.16144302,-0.34961173,0.057993982,-0.12262761,-0.118275344,0.13896175,0.03616833,-0.059042964
found,-0.06918492,-0.037150074,-0.255642,0.17493385,-0.036691822,-0.40472844,0.16916673,-0.027932683,0.47736883,-0.29636857,0.060551763,0.12008219,-0.14337896,0.0068420875,-0.06774218
first,-0.19379173,-0.083468966,-0.12091177,-0.26262006,0.17605841,-0.17674801,-0.08859876,-0.06595724,-0.016485339,0.28608498,-0.06399062,0.015889479,0.14802906,-0.23192629,-0.07481163
decision,-0.07897132,-0.1148472,0.13529043,-0.23039839,0.23048836,-0.30256203,-0.39238986,0.102887765,0.3426009,-0.17586593,-0.41423663,0.16945517,0.1100308,-0.0063915895,-0.06959014
week,-0.01686964,0.07492837,-0.2918136,-0.13602287,0.043189123,0.04127628,-0.23192292,0.17786688,0.21375908,0.16211234,-0.20924579,-0.12785567,0.25298548,0.10954891,-0.07430502
since,-0.10223882,-0.12565655,-0.20250556,-0.18357863,-0.118995346,0.012461295,0.37303695,0.15826352,-0.28548333,0.22975148,0.21971415,0.09270299,-0.31748703,-0.06589513,-0.07618303
evidence,-0.20557022,-0.087737,-0.41275957,0.43108612,-0.0049071573,0.18753724,-0.4689776,0.07654853,-0.364244,-0.271454,-0.41089782,-0.1151035,0.11013337,-0.23673864,-0.071325086
florida,0.1158579,-0.016807085,-0.100387,-0.3617638,0.15786254,0.2022337,0.030637713,-0.16518258,0.042093568,-0.44058597,-0.043170705,-0.25105372,0.19294974,0.28715914,-0.050425302
whether,-0.029377945,-0.053964764,-0.34864998,-0.08117057,0.10847124,0.12488623,-0.03494359,-0.07471237,0.316327,-0.10013624,-0.18527004,0.006795428,-0.37534758,-0.17405519,-0.048005875
