word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
gun,0.07102377,-0.056475904,0.04912813,0.021894623,-0.13626285,0.03459645,0.06044152,-0.06860615,0.15321898,-0.1169647,0.14670943,0.07287386,-0.028726766,0.04327185,-0.07144069
said,0.33842695,0.0030588948,-0.07244138,0.06687743,0.082063444,-0.27363667,-0.021382518,-0.20092629,0.17197613,0.0044291248,0.00038707806,0.03339945,0.0021726254,-0.008979106,-0.056716893
law,-0.22426131,-0.14361386,-0.036425967,0.100109875,0.1583209,0.34393522,-0.044097282,-0.10884669,-0.1708085,-0.118102245,-0.39919385,-0.03187291,-0.03253731,-0.011454544,-0.06915111
state,-0.17134736,-0.09542712,-0.19181053,-0.23891942,0.2121093,0.030025914,-0.1257204,0.16906211,-0.17069153,-0.17558952,0.17006098,-0.08379075,-0.030659031,0.35198018,-0.062045377
would,0.093210295,-0.11027106,-0.034908284,0.08889825,-0.16219006,0.175605,0.122053824,-0.114148624,-0.073526196,-0.23216258,-0.4080055,-0.18466061,0.08870424,-0.12957768,-0.06412551
weapon,-0.19145684,-0.009942348,0.028126482,-0.021815786,-0.031173222,0.19324543,0.102864675,0.12709361,0.3918825,-0.17561659,-0.19838172,-0.7102679,0.022789245,-0.012145716,-0.066105984
bill,-0.4390734,-0.08529291,-0.05449177,-0.269655,-0.37947318,0.41767806,-0.3898388,-0.24648817,-0.30915543,-0.1954605,-0.31752244,-0.05533768,0.20079999,-0.22940567,-0.045937814
people,-0.16347112,-0.116939865,0.047715276,-0.08363867,-0.009902751,0.0061841244,-0.25712398,-0.016186122,-0.029205287,-0.24258554,0.28953266,0.47721413,-0.007633739,-0.07761226,-0.0668151
control,-0.020204986,-0.047600165,0.07841744,-0.1361641,-0.4251918,0.18308963,-0.13444197,0.009937304,-0.18416028,-0.12926324,-0.17299296,0.101120226,0.13420601,-0.039265074,-0.08163357
firearm,0.025810802,0.016947651,-0.4265567,0.3880401,-0.16133681,0.31394857,-0.07021976,0.11857886,0.42610314,-0.16230634,0.17088006,-0.2977138,-0.16685571,0.21241307,-0.0695947
right,-0.4760295,-0.10657791,-0.16358034,0.0037485699,0.3111934,-0.09004519,0.030597877,-0.2533899,-0.38523582,-0.017231818,-0.038084283,-0.06957336,0.009170541,-0.021915501,-0.07393123
new,0.12575004,-0.0272878,-0.060655616,-0.33180803,0.1642688,0.44819763,0.20735551,0.24831879,0.123995215,-0.079502955,0.2314177,-0.1086851,-0.1639985,-0.03391087,-0.06696589
one,0.042732064,-0.02728126,-0.036574584,0.014637506,0.03964217,0.017279241,0.16141811,-0.082742795,-0.018346965,0.14202727,0.055147815,0.19126056,-0.075581215,0.17898753,-0.063035816
year,0.18425667,0.046470094,-0.084408164,-0.20790762,0.15390392,-0.050484814,0.0043906677,0.21235757,-0.36435804,0.037176926,0.36089775,-0.36479068,-0.003486805,0.1093922,-0.06035046
shooting,-0.14650577,0.002237256,-0.1324619,-0.014001355,-0.31503102,-0.19101456,0.25844195,0.25539923,0.13497561,0.16309667,0.1379108,0.051793903,-0.0066095353,0.064848274,-0.053325668
rifle,0.032679982,-0.067837864,-0.1010823,-0.11107457,-0.17178236,0.06661489,-0.05491428,0.11911614,-0.061961208,0.010571533,0.19978744,0.49252594,-0.028304625,-0.08925027,-0.07647569
school,-0.2731696,-0.063031174,-0.12154014,-0.14075294,-0.25947952,0.024083972,-0.37311178,0.30541244,0.44858128,0.105871946,0.09013746,-0.16914098,0.073219836,-0.1022156,-0.0551305
national,-0.18392889,-0.018973272,0.040043082,-0.039512005,-0.28761616,-0.12100719,0.09646519,0.17106828,-0.16216591,-0.034348976,0.018261444,-0.13172396,0.12473605,-0.14592499,-0.0747346
check,-0.10838555,0.11233033,-0.22809185,0.060065538,0.019977592,-0.046098363,-0.10424681,0.45506853,-0.40580127,-0.14794658,0.16698442,-0.14442694,-0.117251374,0.07071809,-0.04975556
ban,-0.21343519,-0.074016854,-0.059412945,-0.4376126,0.09083127,0.6143528,-0.5039713,-0.35255182,-0.24239393,-0.2774195,-0.5593445,0.075404614,0.15299504,0.009289884,-0.06578098
house,-0.35514566,-0.07047978,-0.13081782,-0.08949172,0.2743389,-0.535897,-0.05410464,-0.21686423,-0.13994129,0.025337415,-0.84501505,-0.07425772,0.258144,-0.122446366,-0.046451837
president,-0.09929505,-0.029320622,-0.32819086,-0.019785685,-0.15356956,-0.3522214,0.0017335919,-0.09340238,-0.17554526,-0.22193712,-0.10444925,-0.1557796,0.20236085,-0.06483032,-0.06081637
violence,-0.11006786,-0.04364126,0.10590909,0.013015188,-0.0013799771,-0.084643416,-0.05094454,-0.2597063,-0.09177448,0.19011717,-0.22742623,0.38136113,0.006490499,0.01581683,-0.05871354
handgun,0.16350926,-0.070871964,-0.29943338,-0.3290685,-0.16243076,0.05352985,-0.009080391,0.024570191,0.3012468,-0.019959651,0.11034573,-0.17666355,0.0271393,0.073665515,-0.069650605
background,-0.2705281,0.14370568,-0.24866651,0.06606099,-0.10924686,-0.030088114,-0.65847725,0.3473703,-0.33074668,-0.17279334,0.033528402,0.23621306,0.08988937,-0.096781306,-0.051706817
nra,0.17210193,-0.113040365,0.17533733,-0.2017778,-0.062815055,-0.30708072,-0.5801157,-0.35721785,-0.09111494,-0.26734558,-0.18277691,0.56935835,0.13700823,-0.24728636,-0.07459579
amendment,-0.34101206,-0.09585663,-0.18741454,-0.021721406,0.5900512,-0.57414705,-0.29456773,-0.70893896,-0.563617,-0.24788705,-0.69471836,-0.16821195,-0.11327347,-0.37352213,-0.085441194
republican,-0.10698511,-0.06712533,-0.29362792,-0.4609181,-0.2196585,0.10738374,0.06687679,-0.17977573,-0.13949473,-0.3581821,-0.7779449,-0.51850194,0.28484434,-0.23000866,-0.054442916
police,-0.40415996,-0.051051397,-0.49937946,-0.03516393,-0.19297388,-0.12257152,0.674041,-0.049872085,-0.19930668,-0.123475246,-0.41756722,-0.77033263,-0.29206362,-0.0013018085,-0.1042967
city,-0.03225785,-0.05816629,-0.23506784,-0.3368652,0.2592706,0.101655714,-0.033606153,-0.51093096,-0.27634916,-0.29065338,-0.0019780942,-0.20315851,0.16400684,-0.13242893,-0.061251502
last,-0.06703017,0.036538202,-0.0016086531,-0.42928237,0.09935494,0.18929915,0.24177805,-0.026856475,-0.04577594,0.095846504,0.1977702,-0.04256208,-0.010739883,0.01206637,-0.05350917
federal,0.09823091,-0.08896297,-0.25770408,-0.3355499,0.11192161,0.12359481,0.51828927,0.40281507,0.007293361,-0.11818941,-0.40066597,-0.17811474,-0.1443549,-0.40329015,-0.05972902
say,0.19707267,-0.08219005,0.055376623,-0.16120178,0.26249823,0.048351187,-0.004094846,-0.029172515,-0.04371435,0.026971705,-0.015651254,-0.0072093015,-0.044406846,-0.0039662155,-0.0708316
court,-0.27090004,-0.10875158,-0.35363343,-0.24191287,0.47157133,-0.028627416,-0.74441063,-0.6886374,-0.32843056,-0.30909857,-0.34769562,-0.3561968,-0.41466814,-0.30124438,-0.05824546
association,-0.1805542,-0.10994575,0.03867445,0.12376372,0.19060662,-0.2512184,-0.06870704,-0.62034553,0.07206862,-0.13734211,0.12970735,0.1384478,0.17870207,-0.19770359,-0.080554925
senate,-0.09493079,-0.055618215,-0.3587274,-0.10187735,-0.52343947,-0.14092687,-0.06691359,0.1481798,0.4156822,-0.10768165,-0.66852117,-0.6546363,0.26137266,-0.09832608,-0.04334098
time,-0.14432158,-0.036389828,-0.05332878,-0.4761042,-0.1692008,-0.12156312,-0.12670054,0.28658244,0.14301911,0.03837343,-0.36107576,-0.31837785,0.1438168,0.23016234,-0.07408381
measure,-0.4270493,-0.113629594,-0.12564328,-0.38816366,-0.3116361,0.21121493,-0.5911636,-0.41261175,-0.38224304,0.017811405,0.19264854,0.3302657,0.24712272,-0.17254932,-0.05276686
also,-0.20372322,-0.044004496,0.19149525,0.17603731,0.48287132,0.41330543,0.09996152,0.33075187,-0.2529375,0.157412,0.015688295,-0.07844281,-0.16271809,-0.24102214,-0.054106183
group,0.050040647,-0.12744318,-0.40692392,0.15340833,-0.014476764,-0.30722225,-0.1855043,0.1269061,-0.27049747,-0.025190106,-0.25635085,0.6545552,-0.1905798,-0.0014660642,-0.064592145
assault,-0.01581377,-0.062405694,0.059892733,-0.163403,0.026758663,-0.1186902,0.24410339,-0.7432884,0.14312202,0.19499087,-0.2754647,0.3326154,0.13725704,0.012739815,-0.06878724
legislation,-0.18772492,-0.06097084,-0.01638462,-0.38171116,-0.01680515,0.2438507,-0.26164883,-0.3940621,0.117275834,-0.12788619,-0.2782579,-0.5876739,0.19210605,-0.26017484,-0.0648416
mr,-0.19551846,-0.08837823,-0.33496672,-0.09050767,0.17469242,0.24557166,-0.09130346,-0.1382953,-0.13703613,-0.08455109,-0.3339512,-0.22556229,0.11586856,-0.043424718,-0.07263104
issue,-0.30145288,0.04479335,0.1556055,-0.18431613,0.20001805,-0.3267781,-0.64937806,-0.07514894,-0.26442882,-0.11071225,-0.049138434,-0.20350988,0.2798937,-0.18289086,-0.058430683
second,-0.39308363,-0.14700378,-0.21056817,0.028808016,0.28333947,0.3436521,-0.40341315,-0.5027905,-0.33934578,-0.21348189,0.5819553,0.092658974,-0.05706559,-0.30451375,-0.07639402
u,0.07502433,-0.12312425,-0.15982339,0.13357939,0.21979068,-0.5615483,-0.51475686,0.30764738,-0.22026972,-0.21689127,0.26981437,-0.23680818,-0.028950084,0.5782754,-0.07691394
crime,-0.4049965,-0.061043985,0.012254628,-0.012783187,-0.40734324,0.041122872,0.48261735,0.21745208,-0.5664692,-0.2777577,-0.7718403,0.08397088,-0.022839976,0.110392414,-0.08624995
two,0.14456093,-0.11329049,-0.14529556,0.10529465,0.08736862,-0.22973469,0.3359264,-0.33252695,-0.23350333,-0.112533614,-0.40389523,-0.19152938,0.118059285,0.07751033,-0.063765444
public,0.1359415,-0.13232657,0.026393525,-0.09055467,0.028291507,-0.057468243,-0.34451002,-0.054227766,0.037554115,-0.0010541279,-0.108615205,0.57324296,0.014546017,-0.24554017,-0.059542697
could,-0.044744696,-0.023115948,-0.20350572,-0.01958523,0.23722038,0.353988,0.25994244,0.43231267,-0.12076758,0.11724883,-0.10893236,-0.8656402,0.027029702,-0.24567056,-0.059356235
week,0.2686007,-0.035672955,0.19180992,-0.16875437,0.28901282,-0.43326968,0.44249532,-0.28881085,-0.14235061,0.0548785,-0.123188496,0.23431082,0.015776416,0.16412547,-0.051230226
sale,0.5038465,0.08686853,0.025780035,-0.22623977,-0.07461888,0.38359195,-0.17247738,-0.25606772,-0.35336164,-0.11960459,-0.53486437,0.1162689,-0.28726012,-0.06205427,-0.059412867
