word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
immigration,0.08561381,0.04313716,0.0066995355,-0.0113027,0.034707606,0.123135164,0.045454506,-0.045453683,-0.21819367,-0.21967788,-0.08218893,0.16261493,0.09477573,-0.11689858,-0.077769846
said,0.12422694,-0.009164239,-0.03797818,-0.12503952,-0.019546924,-0.07868649,0.07696477,0.066543415,0.20552556,0.053395197,-0.31021333,0.01956622,-0.052139465,0.09267521,-0.057616603
immigrant,0.06089199,-0.18201298,0.0065913177,0.010439016,-0.12674002,-0.044515193,0.06135654,-0.31389815,0.18738835,-0.23307894,0.30358517,0.1677072,0.0065107173,-0.25449345,-0.07457391
state,0.14202581,-0.010986236,-0.121180974,-0.1594313,0.06885583,0.064018935,-0.03801824,0.053894557,0.063869044,-0.14349528,0.042648863,-0.23151931,-0.026622916,0.20362,-0.07132153
illegal,0.03758876,-0.13348395,-0.20906396,-0.029651232,0.2291117,0.1512489,0.10595982,0.15479675,-0.20364882,-0.29948997,-0.32705733,0.24074537,0.019198645,-0.052851655,-0.08778152
would,0.16749209,0.047629282,-0.053304702,-0.14439717,-0.046643764,0.30075216,-0.09575871,0.036207404,-0.084062934,0.27117464,-0.20889904,-0.19924095,-0.038365804,0.12461805,-0.025461305
year,0.04749724,0.28208584,-0.14597096,-0.098817766,-0.040899277,0.12757677,-0.0030764095,-0.1977147,-0.064775534,0.10410191,0.015227343,-0.063535765,0.036459625,-0.05059661,-0.09592657
u,0.08581144,0.019545475,-0.016098896,0.018567469,0.08264546,0.17619477,-0.11362156,0.16475217,-0.06063829,0.17737338,-0.07370846,0.019701663,-0.24780333,0.27147737,0.009227624
new,0.22268097,0.0026618177,0.031290807,0.15112871,-0.008729508,0.103287406,-0.27754775,-0.067849986,-0.07207475,0.13986862,0.23874936,0.076607704,-0.16692317,-0.042683743,-0.049026586
law,-0.35889524,-0.347051,0.06577899,0.12922642,0.29049343,0.18956192,0.015236881,-0.15791172,-0.20942718,-0.3081113,-0.28539982,-0.0833144,-0.08514375,-0.25172958,-0.104601055
united,-0.13055024,-0.31811243,-0.06163069,0.24657914,-0.11032628,0.038395904,0.12292493,0.14219876,0.13928173,0.08122659,-0.0075974935,-0.013016973,-0.18912478,0.2276075,-0.08993214
people,-0.20225927,0.016008154,0.16789447,0.02821997,-0.26093346,0.14393134,0.3378379,-0.018122291,0.09173123,-0.2547633,0.1402893,0.22368434,-0.15065278,-0.14795291,-0.1270148
country,0.09964054,0.12565205,-0.00899305,0.25616264,-0.120634116,0.12612572,-0.2130723,0.1493553,0.09961059,0.23643197,0.07801522,-0.2989262,-0.02712696,0.12549198,-0.10778986
federal,0.27952543,-0.19898929,-0.08436989,-0.315939,0.27470824,-0.044483624,0.095856585,-0.13305779,0.106979586,-0.24562502,-0.3665641,-0.2429632,0.050986454,-0.24010508,-0.04639646
one,0.2718742,0.20003462,0.035891563,0.1883169,-0.07035175,-0.14177361,-0.017154532,0.2508388,-0.16627339,0.26151127,0.019105725,-0.24005798,-0.019432621,-0.15642264,-0.036034785
border,-0.26956463,0.085420676,-0.056110688,-0.28879702,-0.22501695,-0.050181735,-0.26315957,0.4332564,0.012057283,-0.56621325,-0.15764469,-0.2165258,-0.06160613,-0.18130046,-0.10111863
american,-0.055421613,-0.02599136,-0.20110245,0.34444636,-0.0077424943,-0.31923425,-0.3078146,-0.26428434,-0.14222619,-0.2274344,0.34677574,0.17667614,-0.09657779,0.06037623,-0.10787922
official,-0.41390425,0.2753817,-0.25070605,-0.41311002,-0.17154506,-0.23423575,0.3363446,0.1821301,0.15357518,-0.090121925,-0.0052598887,-0.2280024,-0.080846615,0.0139954,-0.018930959
worker,0.2697738,0.22974896,-0.1638858,0.02128087,0.056294363,0.026023963,-0.21606296,-0.035842787,-0.3349456,-0.04984941,-0.09046975,-0.27289295,-0.26644972,0.023545336,-0.054013234
bill,-0.144688,-0.23167138,-0.08881276,0.21920414,-0.22666247,0.35057086,-0.14688988,-0.08990907,-0.21547604,0.106635295,-0.33092952,-0.024978148,0.15458901,-0.037553556,-0.07529201
president,0.07588773,-0.23675214,-0.090237595,-0.0806014,-0.21029274,0.3618673,-0.3580568,-0.082753494,-0.44082054,-0.36459187,0.11554104,-0.026578661,0.28206164,0.17210265,-0.019015253
many,-0.05457674,0.15400937,-0.13127947,0.3665339,-0.21949388,0.044192124,-0.17944719,-0.22127646,0.035808522,0.29603654,0.14651126,0.25293157,-0.052126084,-0.10377882,-0.087561384
say,-0.06629676,0.16306756,-0.005993148,-0.03444501,0.05447018,-0.26160112,0.07098376,-0.108643346,-0.17554103,-0.05917731,0.041315813,0.23731896,-0.011134213,-0.10896089,-0.039302334
service,0.37582916,-0.004894968,0.16084252,-0.07188643,-0.092971355,0.17514208,0.15426484,0.3766996,-0.15667881,0.045973327,0.0009271774,-0.040911905,-0.12638699,-0.3038494,-0.103073694
last,0.0839285,0.060638063,-0.0665032,-0.15239707,-0.057477295,-0.31699526,0.19478719,0.06245911,0.17535494,0.20297106,-0.27474916,-0.16853252,0.043388266,0.10714533,-0.043713424
legal,-0.25691465,-0.25145066,-0.17008653,0.14836964,0.45493156,0.30895725,-0.48813242,-0.48860437,-0.32680863,-0.18247423,0.09515729,-0.020362534,-0.026508905,0.053251434,-0.09980651
two,-0.09472805,-0.35906336,-0.013957829,-0.42277464,-0.059377365,-0.2664647,0.2908231,0.15017031,0.11678993,-0.091284096,0.18651955,0.008822879,0.014686579,0.06843365,-0.06578699
house,-0.09133021,-0.11481147,-0.19140755,-0.00057611085,-0.30199367,0.3030792,-0.16765021,-0.04216106,-0.19238487,-0.0040094852,-0.4161191,-0.17721952,0.2594377,-0.04524196,-0.07577593
government,-0.16865861,-0.02649991,0.02331578,-0.2731316,0.15127973,-0.11899275,0.1405543,0.28406146,-0.007753199,-0.21841659,-0.14719605,0.017149614,-0.31539622,0.32376403,-0.088176586
million,0.18612927,0.5052834,0.17075676,-0.21051632,-0.11088567,0.17647746,0.025916204,-0.114251785,-0.11826338,-0.15583284,0.15557188,-0.102391735,-0.16512606,-0.27749977,-0.12710992
mr,-0.36729634,-0.26065764,-0.12552926,0.012929165,-0.121181175,-0.20244227,0.1614957,0.22451507,-0.33118296,-0.05414005,0.14643927,0.010913888,0.2525994,0.040749144,-0.12782805
work,0.40643165,-0.13557349,-0.16561928,-0.10285583,0.006772568,0.1490552,-0.32747257,-0.33821416,-0.16336766,0.16228484,-0.09683008,0.0048276046,-0.05199194,-0.088466026,0.00067319116
also,-0.48219228,0.07980419,0.24453598,0.002528984,-0.084970176,0.15918314,-0.069981076,0.2184185,-0.16297106,-0.12590218,-0.12625827,0.1761418,0.05350522,0.010207846,-0.0028934898
group,-0.15396114,-0.20189798,-0.029357538,-0.007456469,-0.00054772466,0.2781582,-0.2075823,-0.15810578,-0.2666337,0.23072024,-0.028195528,0.31068483,0.21859953,-0.35809824,-0.038198173
child,0.015358352,-0.22563973,0.097862534,-0.13841262,0.109962985,0.20869553,-0.41101354,-0.27157676,0.19806573,0.30011716,0.13409509,0.03047919,-0.07967654,-0.25633106,-0.064452216
city,-0.04547181,0.37025777,-0.18739389,-0.08559065,0.00052000466,0.07029541,0.36052734,-0.13103506,-0.22293988,-0.26882523,0.058761675,-0.2532275,0.013845529,-0.04004267,-0.08029582
could,0.19679436,0.18729265,-0.09439118,-0.16558549,0.11015136,0.3309212,0.09530603,0.009860774,0.23591208,0.03983197,-0.09325869,-0.2663946,-0.3529984,0.12289633,0.00016745285
program,-0.12760682,-0.17026874,0.008623906,-0.13060054,-0.10801855,0.50850695,-0.058901284,-0.094144925,-0.16916358,0.11376349,-0.25305733,-0.4385376,-0.03350891,-0.01557792,-0.09441909
court,-0.24951951,0.06685358,-0.14626905,-0.13139236,0.38149667,-0.6034918,-0.33341008,-0.24904083,-0.23574938,-0.41630298,-0.35353327,-0.017676532,-0.43350622,-0.030234946,-0.02669548
republican,-0.4731043,-0.42397484,-0.11580532,-0.34373924,-0.5451298,-0.48546812,-0.37593675,-0.36038426,-0.14351967,-0.35443887,-0.35627094,-0.19176145,0.43158957,-0.22791196,-0.112676024
time,-0.19776037,0.07793383,-0.19729543,-0.043329712,-0.19880462,0.13558279,-0.06674925,-0.06133037,0.18657413,-0.30591875,0.110069185,0.113069855,0.22725545,0.009447194,-0.021337042
week,-0.018475609,0.42425945,-0.12447715,-0.14836961,-0.1276449,-0.14569503,-0.10288592,0.19208129,0.19528349,0.10223439,-0.19175924,-0.013004833,0.057028767,0.115953475,-0.06607198
family,0.040004738,-0.38000137,0.2723291,-0.023198623,-0.06638897,-0.6147089,-0.16225004,-0.24861571,0.08207804,0.2575699,0.23055385,0.04541131,-0.004069248,-0.26840767,0.050755944
undocumented,-0.040663894,-0.33492604,0.21258748,-0.04133093,-0.0021412547,0.022927208,0.11036751,-0.13449937,-0.14125414,-0.06250254,-0.18906564,0.109464966,0.13747524,0.069551885,-0.12622957
day,-0.16343553,0.13595639,0.025545638,-0.1283471,0.12064375,0.030869061,0.007838782,-0.46652964,0.32936457,0.24535191,-0.39785898,0.03067641,-0.104342826,0.070966005,-0.09123744
month,0.1263542,0.23460777,0.0014268784,-0.3380117,0.10210174,-0.26646218,0.019030223,0.12542516,0.068579465,-0.3441888,-0.43972453,-0.1194073,0.18692777,0.26520503,-0.07306439
policy,-0.21373531,-0.096693486,-0.1939058,-0.4015159,-0.25606814,0.74539447,-0.53451395,-0.11739917,-0.37254676,-0.1378781,-0.31863075,-0.14964198,-0.050800897,-0.1519519,-0.12320164
job,0.46507606,0.0023495506,-0.1751839,-0.2395367,-0.21604027,-0.29426745,-0.45175582,-0.12463464,-0.22040035,-0.034116343,-0.16308832,-0.22357528,-0.14830413,-0.34279245,0.05738995
security,-0.027538223,-0.14590247,-0.24410318,-0.5349322,-0.27216187,-0.009838851,-0.20231682,0.47953463,0.08933998,-0.09085565,-0.35506773,0.30211654,-0.13154727,-0.25093696,-0.086731926
make,0.2430624,-0.11976926,0.10168507,-0.34352028,-0.29831886,0.07394487,0.17360245,0.062241238,-0.3097209,0.17798446,0.54699266,0.1848147,-0.0010349993,-0.22155605,-0.124666885
deportation,-0.4374474,0.07242605,-0.29888082,-0.2918863,0.10536562,-0.15674022,0.5026545,-0.46343058,-0.4641686,0.047461722,-0.29492402,0.106596306,-0.09729864,-0.113179065,-0.11070484
number,0.005525039,0.56010985,-0.26316985,-0.4151577,-0.5410554,-0.2281766,-0.35280985,0.12389911,-0.13835184,-0.10699653,0.39912722,-0.3774546,0.2669774,-0.15933958,-0.11123324
case,-0.094093084,0.14290424,0.005580876,-0.27438545,0.35320443,-0.02343049,-0.20171608,-0.34781986,0.25593892,-0.4069867,-0.5585104,-0.2961972,-0.19980368,0.004975408,-0.048113313
visa,-0.057659276,0.16370139,-0.065892845,-0.21764563,0.50891995,-0.017303191,-0.043591958,0.21758115,-0.43133932,-0.30429137,-0.24887154,-0.22699906,-0.31984153,-0.021110931,-0.09375081
county,-0.05872295,0.28542146,-0.061025612,-0.21297872,-0.019107578,0.26506016,0.12106907,-0.53297263,0.03783419,-0.0061493935,0.3057892,0.21556139,-0.15652914,-0.14947778,0.10675432
congress,0.06113009,-0.006574047,-0.08175679,0.024187086,0.2949505,0.00031014878,-0.2308253,-0.40468362,-0.08889982,-0.4108128,-0.1279691,0.049612198,0.20793684,-0.24743618,-0.08059661
citizen,-0.23118503,0.30158192,0.114080526,0.28095633,0.36863703,-0.21843947,-0.0106561985,-0.33827907,-0.2853454,0.114003606,-0.34391645,-0.25704336,-0.32011533,0.13848078,-0.12841576
enforcement,-0.09000596,-0.06583756,-0.21663724,0.10184986,-0.004559207,0.31765106,0.23540065,0.2169736,-0.35333216,0.22723803,-0.3562262,-0.22951134,-0.19881846,-0.24171224,-0.0062485244
department,-0.033639908,-0.03912326,-0.16230524,0.16112539,0.16273327,0.11615117,0.3721815,-0.03761681,0.26777706,-0.17305379,-0.44203338,-0.26505858,-0.2917214,0.06513173,-0.05861259
issue,-0.5526138,-0.2939247,0.11858785,0.4492904,-0.28997773,-0.20339468,-0.1543897,-0.22904867,-0.3032852,-0.027121851,-0.16239356,0.19824056,0.24088371,0.18077604,-0.075674966
right,-0.5186575,-0.20361131,0.16139013,0.50951433,0.33062798,-0.3719684,-0.33757868,-0.1345898,-0.21597382,-0.58327097,-0.31525093,0.1234799,-0.16947499,0.15204501,-0.11060684
school,0.084174395,0.059044287,-0.1785058,0.14198248,0.0052711987,-0.29043302,0.016458938,-0.14797497,-0.077323176,0.1626522,0.043764494,0.16442959,-0.15061073,-0.18443573,-0.014066274
get,-0.060821824,-0.01900351,-0.05737836,-0.05891436,-0.105981454,0.07742798,0.5219591,-0.12036916,0.17378365,0.042811934,0.016302792,-0.24829832,-0.161805,-0.18074992,-0.092171185
first,0.015765373,0.12215858,0.066585906,-0.061240688,-0.17175147,0.060698744,0.34212235,0.14718889,0.17092122,-0.36524478,-0.09180289,0.05472864,-0.25348073,0.27006134,-0.054280113
percent,-0.080782816,0.09770529,-0.17476793,0.016952235,-0.046669826,-0.45288813,-0.40421766,-0.02020002,0.08915996,0.1733234,0.06975068,0.47683722,-0.11187227,0.274359,-0.09056939
mexican,0.06833559,-0.4971169,-0.2005793,0.34520665,-0.11825149,-0.32441384,-0.30438676,-0.16266732,-0.31685054,0.3410618,0.038127754,-0.1483435,-0.3892649,0.43595082,-0.05192842
mexico,-0.3411947,0.06616947,-0.19162107,-0.47204417,-0.16782407,0.14472795,0.2072104,-0.009151306,-0.05108199,0.14643142,-0.03079837,-0.30955222,-0.14951247,0.3182077,-0.045903455
national,0.0058387103,0.2808228,-0.06745306,-0.20044114,-0.21437143,-0.19318816,0.17039894,0.31741336,-0.1127569,-0.36975715,0.35109952,-0.15013711,-0.03130052,-0.035255034,-0.019060621
trump,0.07787738,-0.3377378,-0.060077522,0.295185,-0.21435535,0.07271625,-0.35085216,0.005402763,-0.2811892,-0.07561235,-0.24606633,0.11864535,0.23274603,0.053565517,-0.1334889
york,-0.009907616,-0.29584366,-0.14791813,0.04411285,-0.048008736,-0.20845048,-0.25609687,-0.21570364,0.41869205,0.2117638,0.13912529,0.14968346,0.07193365,-0.044515897,-0.1247891
status,0.21868089,0.11638636,-0.039203007,0.024709325,0.17162406,0.117610484,-0.13040666,-0.40178645,0.08992507,0.2732361,-0.26310202,-0.21218157,-0.04445081,0.054484364,-0.091687396
