word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
marriage,-0.06836763,-0.06372213,0.08137021,-0.015976325,0.079826854,0.035358395,-0.038886085,-0.06163384,-0.061223798,0.06462972,0.14322823,-0.02818184,-0.01064955,-0.056210723,-0.06620859
gay,0.046651512,-0.06574866,-0.0151063325,0.007944296,-0.043155313,-0.035952356,0.014194368,-0.06248414,-0.12520409,-0.13956054,0.11412545,0.06265668,0.101155505,-0.043505196,-0.064553894
state,0.0021070086,-0.06726306,-0.22516765,-0.10515602,0.088465706,0.1546168,-0.08747343,-0.059018508,-0.00805683,-0.049101856,0.10639057,0.009733872,-0.023641935,0.048880827,-0.06433018
samesex,0.018354245,-0.058022458,0.06679673,0.16385217,0.02428399,-0.053152967,-0.07248212,-0.056087296,0.0072448715,-0.23149695,0.11502634,0.17586333,-0.029370481,-0.046505496,-0.059998516
said,-0.13353717,-0.04903343,-0.07291823,-0.1270556,-0.064503185,-0.18035673,0.056510974,-0.055770878,0.069995,0.12489057,-0.16300766,0.16565841,0.11486986,0.010100196,-0.058734905
court,-0.13541542,-0.06294404,-0.29475614,-0.12195641,0.18229248,-0.23297028,-0.04136622,-0.05916129,-0.068634324,-0.14450574,-0.009370238,-0.19678985,-0.16017123,0.005227138,-0.05735706
couple,0.11150582,-0.0159142,-0.26231238,0.15211867,0.0798882,0.24105789,-0.02776261,-0.05350243,-0.041529134,0.12396509,-0.032967098,-0.1980841,-0.19188957,0.11355717,-0.056326892
right,-0.09091729,-0.05643659,-0.09540288,0.2565487,0.08217875,-0.11664788,-0.06011224,-0.05878155,-0.025778234,0.04349231,-0.20103903,0.08265115,-0.09769409,-0.026647216,-0.05846058
would,-0.16423349,-0.062006436,-0.016258407,-0.16239128,0.048437096,0.31063506,-0.12205514,-0.06281022,0.025424192,-0.10563372,-0.2106518,-0.25797173,0.1003741,-0.13523829,-0.06815922
law,-0.13884434,-0.06638891,-0.049662065,0.029234765,0.19882691,0.057125263,-0.02871595,-0.060909014,-0.008142336,-0.31303287,-0.32717726,-0.117864184,-0.12097182,0.08158169,-0.06456269
union,-0.1859069,-0.069474205,0.18681253,0.026414247,0.0022714792,0.16415845,-0.110980384,-0.06379481,-0.058765933,-0.18380399,-0.0032411348,-0.07641758,0.026688283,-0.008271971,-0.07179831
new,0.10688887,-0.07650092,-0.12189091,0.018733952,0.0751544,0.17328787,0.043559633,-0.05861164,-0.030708324,-0.08085784,-0.03977012,0.020235235,-0.053531058,-0.029940352,-0.06315166
issue,-0.02525758,-0.040387113,0.27528584,-0.15428562,-0.06853433,-0.09522009,-0.13008985,-0.045539007,-0.002751231,-0.32963547,-0.28222448,-0.18499,0.17258406,0.011838212,-0.048330497
one,0.008177167,-0.059960626,-0.015923517,0.026933854,-0.009173614,-0.018277228,-0.06606022,-0.058188982,-0.068307176,0.0060695573,0.2624922,-0.15023,0.06659684,-0.06637192,-0.060358044
year,-0.0057185786,-0.05867447,-0.22590218,-0.073511586,-0.043562744,-0.12045347,-0.011384301,-0.060788646,0.009048453,0.22694685,0.18247737,0.05108912,0.033432912,0.041985616,-0.060360726
ban,-0.19090967,-0.065605365,-0.15838939,-0.056691065,0.084876135,0.0734309,-0.05329015,-0.060438454,-0.03141025,-0.19375582,-0.1982171,0.15534036,0.0780812,-0.1652929,-0.06281195
legal,-0.18041997,-0.060220137,-0.23470268,-0.065899245,0.23387921,0.022810223,-0.16851972,-0.05680564,-0.02986532,-0.28173834,-0.4091217,-0.018396182,-0.12984887,0.028446082,-0.05825025
supreme,-0.066592015,-0.0692422,-0.20030782,0.021453433,0.14670423,-0.2361925,-0.097503595,-0.06201372,-0.015339272,-0.18384072,0.42943576,-0.015865223,-0.19560966,-0.114546426,-0.059884895
amendment,0.035108447,-0.056497082,-0.0038577092,-0.2544326,0.096995644,0.17836119,-0.07313288,-0.051695544,-0.09424712,-0.13856527,-0.2323143,-0.027399495,0.07945135,-0.12186002,-0.059747532
people,-0.013809475,-0.06345064,0.15540224,0.21786292,-0.18013273,-0.3087336,-0.005467341,-0.06761597,-0.14038542,0.13072838,0.22800179,0.29331926,-0.08564412,-0.12381403,-0.06956918
civil,-0.09690365,-0.07761635,-0.12458209,0.290858,0.04622702,0.15178506,-0.075073496,-0.06360314,-0.19222742,0.19309975,-0.055934127,-0.12916608,-0.086285934,-0.15539959,-0.0691985
bill,-0.07981211,-0.0800844,-0.088579595,-0.09789352,-0.30539176,0.33347526,-0.12495025,-0.066826,-0.20495841,-0.10827042,-0.14181046,-0.17706284,0.19251655,-0.06985486,-0.070145965
federal,0.09603311,-0.05584416,-0.24985892,-0.156331,0.046786726,-0.24193537,-0.045544233,-0.054196287,-0.22500367,0.14947343,-0.04632214,0.0037693067,0.18913773,-0.16144001,-0.054975867
benefit,0.10736725,-0.07731519,-0.3339701,0.22224228,-0.1835512,-0.09602174,-0.13608591,-0.06747387,0.088855736,0.3038221,-0.2168615,-0.06079758,0.007977606,-0.14536218,-0.06635289
vote,-0.18877454,-0.05796585,-0.085572846,-0.20814607,-0.05929152,0.045278337,-0.08619559,-0.052351963,-0.08138153,-0.3135045,-0.16979069,0.06986209,0.1527484,-0.112214625,-0.053656306
decision,0.11402511,-0.06453203,-0.0064771334,0.096058704,0.08178958,-0.14747964,-0.030539522,-0.05752338,0.091867626,0.012580585,-0.36394402,0.13423981,-0.15631048,-0.005263045,-0.057200555
two,-0.11648828,-0.06625292,0.17162795,-0.2899328,0.042593848,-0.03923443,-0.0738833,-0.058516253,-0.008864146,0.17191589,0.16845316,-0.1477428,0.049450945,-0.010620956,-0.059050985
