word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
tobacco,0.10326831,-0.037290204,0.10320055,-0.09770729,-0.048852127,0.027361125,-0.038491923,-0.0636448,0.017524408,-0.106846035,0.10935061,-0.058899667,0.049476866,-0.05138483,-0.063516274
said,0.075886376,-0.07164182,0.004660828,-0.07624689,0.12425715,-0.0625641,0.1500161,-0.017968155,-0.10538156,-0.03213829,-0.027833028,-0.035870314,0.03580019,-0.054752406,-0.056343053
smoking,-0.13877738,-0.0630119,-0.12345367,-0.0753732,-0.18662868,0.14266045,-0.09583969,-0.06759854,0.12211228,0.12231122,0.102619134,-0.004864722,0.07251395,-0.075729705,-0.06480053
cigarette,0.08606748,-0.056119557,-0.0022677795,-0.024343096,0.053267874,-0.012645262,0.0725045,-0.066609226,0.05842412,-0.07498486,-0.13592003,0.017658763,-0.22339842,-0.012155052,-0.06595895
state,-0.029616479,-0.052827075,-0.028841034,-0.08612438,0.12826815,0.10641507,0.013115448,-0.06255284,-0.07395265,-0.25767422,0.085996345,-0.038593724,0.0926516,0.045956794,-0.052200582
year,0.079560004,0.028685318,-0.16968791,-0.07621739,0.019155972,0.10569254,-0.059574902,-0.039991233,0.05009004,0.10276038,-0.054903306,-0.15879083,-0.032302313,-0.039713096,-0.055547748
would,-0.04456473,-0.08363307,-0.2175134,-0.05282131,-0.07872233,0.24928218,0.12909621,-0.065747805,-0.0029505691,-0.19926329,-0.22990012,-0.086615734,0.0950151,-0.08078515,-0.059651516
company,0.15878431,-0.020956378,0.14124428,0.059956912,0.09895708,-0.16707045,-0.037447408,-0.06988721,-0.18471584,-0.23970647,-0.40554106,-0.17024732,-0.07481085,-0.0934723,-0.06715701
health,-0.21521086,-0.0949746,-0.15238081,-0.070657626,-0.2304489,-0.010970511,-0.060148023,-0.049570337,0.3994929,0.03135715,-0.21830867,-0.07599499,-0.11633727,0.098927274,-0.061388776
smoker,-0.084770806,0.0079157455,-0.075176194,0.079733975,-0.022684293,0.17292023,-0.12919194,-0.058327,0.06723382,0.09748521,0.2130642,-0.030718718,-0.14248759,-0.114419766,-0.064661875
smoke,-0.030956812,-0.08555073,-0.1259018,-0.004600692,-0.035703074,-0.06134845,-0.14656071,-0.044960037,0.15734826,-0.067263015,-0.10781832,0.13598019,-0.02190082,-0.0063098306,-0.068003885
industry,0.24738856,-0.06873168,-0.042241964,-0.07689526,0.0619419,0.05334943,-0.1423705,-0.06601214,-0.16033429,-0.123127215,-0.29235563,-0.10060955,-0.105626814,-0.10117198,-0.0586973
new,0.14258374,-0.04389029,-0.0015722234,0.037254304,-0.19303381,0.22699758,0.086267576,-0.078044064,-0.17626032,-0.15161668,0.15541843,-0.013231387,-0.26015636,-0.104483135,-0.065511465
ban,-0.030650135,-0.084903166,-0.118325144,-0.040074017,-0.08670437,0.28425768,-0.063034795,-0.0718098,-0.45737937,-0.168704,-0.46875146,0.106614836,-0.031934448,0.014245244,-0.0683521
one,0.034683757,-0.053570397,-0.004740507,0.053019613,-0.13407312,0.018331962,0.006852018,-0.07528463,-0.04749256,0.2482176,-0.058669265,-0.038784113,-0.030566255,0.06630889,-0.061080024
