word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
climate,-0.2958686,0.2751063,-0.058238383,-0.068216965,-0.010142479,-0.108956166,0.09348805,0.06834375,-0.08684414,-0.2274288,-0.07063116,0.16143258,0.12873861,0.044001218,0.0784469
change,0.26053217,-0.047960956,0.08328125,0.014676103,-0.11213347,0.07857413,0.103161715,0.04260982,-0.22866936,-0.13133147,0.14236985,-0.011585475,0.039187986,0.045333724,-0.016297717
global,0.56226,-0.20816968,0.076971665,-0.01882336,-0.057099767,-0.31379816,0.0026224814,-0.012294726,-0.037254367,-0.2553234,0.31080952,-0.09873088,-0.32767904,0.28233725,0.123205476
warming,-0.5371607,0.42647684,-0.2465653,-0.05450919,0.0477582,0.11636184,0.0081973495,-0.2727899,-0.43505868,0.08028932,-0.101984054,0.06579874,0.09596309,-0.23481168,0.07420044
said,0.31370282,-0.13000606,-0.22818355,-0.09023245,-0.0012198514,-0.41736445,-0.00342016,0.08635116,0.046747547,0.0987762,-0.3366761,0.21593568,-0.057141088,0.05463342,-0.15788412
emission,-0.00018622121,-0.1724601,-0.049042605,-0.13702907,0.054378994,0.05978426,0.01098165,-0.12657125,-0.27973914,-0.20246379,0.099743135,-0.3193333,-0.1948972,0.17355269,-0.106156945
gas,0.11520455,-0.073559515,-0.084802076,-0.09792218,0.0116438065,0.23411915,0.030281017,-0.17376308,-0.0406613,-0.39716157,-0.41426423,-0.015598408,0.640527,-0.1211069,-0.117853075
state,0.026323542,-0.10857145,-0.18129157,0.18207718,0.2577001,0.27708375,0.021850733,0.053717982,-0.060209125,0.005049637,-0.20754857,-0.10978156,0.081745066,0.23971368,-0.13636824
year,-0.028066656,-0.020822816,-0.16533789,-0.15021095,-0.17013979,-0.25786114,0.0281595,-0.31321138,-0.04158555,0.25764605,-0.1389992,0.11889676,-0.030364053,-0.33499217,0.031562723
carbon,0.08351133,0.07066915,0.112650014,-0.059390865,-0.025554031,0.13437708,0.15119335,-0.1578865,-0.24388891,-0.12764454,-0.1224971,-0.30967206,-0.2633316,-0.2309882,-0.11339138
would,0.07661425,0.07023193,-0.31538785,-0.16518043,-0.18806718,0.15244226,-0.03934314,-0.2694753,-0.24065539,-0.09193773,0.014221483,-0.09323025,-0.11466667,-0.12972954,0.052274376
greenhouse,-0.35989702,0.46470267,-0.09532971,-0.07483069,-0.03673878,0.26010817,0.09665262,-0.15291108,-0.1425819,-0.40806672,-0.2997256,0.19938669,-0.6049223,0.17838815,-0.12858759
new,0.059020292,-0.031639233,-0.3258985,-0.17701785,0.08566164,0.49879745,0.090768024,0.06869229,-0.036385793,0.018862749,-0.18813945,0.13802707,-0.26304448,0.021131413,-0.15075383
energy,0.06829678,0.010056018,-0.32729992,-0.19677007,-0.26719722,0.11804281,-0.15912348,-0.12793428,-0.29341948,0.058081385,-0.44845495,0.02680764,0.14237002,0.02748126,0.07132905
scientist,-0.4012609,0.3464145,-0.25094712,-0.056238912,0.14809485,-0.01234443,0.06873201,-0.28688157,-0.02975388,0.21996242,-0.15435317,-0.2508375,0.10505467,-0.31719857,0.11786091
world,-0.23142807,-0.16103074,0.10991197,0.16189975,-0.1845127,0.021908578,0.1607426,0.116851315,0.17061412,0.2916427,-0.08835739,-0.3792879,-0.47162643,0.33798045,-0.16536891
u,0.22759238,0.27273622,0.42524013,-0.018432075,0.14556627,-0.30851343,-0.16561761,0.086108856,0.018309416,-0.1683279,-0.14542112,0.04006376,-0.11801744,0.21100037,0.10777608
united,-0.26737136,-0.2109932,0.22102365,-0.20632856,-0.21580157,-0.71955514,0.13723561,0.3049919,-0.14079732,0.0014185992,-0.26311737,-0.0039492873,-0.37380934,0.40486845,-0.15315251
environmental,-0.74254483,0.29762432,0.26562023,0.20002784,0.16357112,-0.27860337,0.13828272,-0.27362195,-0.037071515,-0.40859655,0.17270446,0.017989988,0.46044204,-0.28323573,0.14120224
dioxide,-0.07344601,0.108161665,-0.3654085,0.052166544,0.13135263,0.1751541,-0.23759112,-0.2101084,-0.16171621,0.33972618,-0.24942969,-0.25562906,-0.08745711,0.322154,-0.10252921
percent,0.18559946,-0.025018549,0.2552501,-0.123678654,-0.3435391,0.18425383,-0.18102102,-0.28063,-0.30292982,-0.43837896,-0.4087673,0.33573052,-0.35356203,-0.3461744,-0.119489454
president,0.13582112,-0.108674236,0.12718037,-0.106766745,-0.2930483,-0.05061906,-0.15831186,-0.19089946,-0.08445673,-0.38850754,-0.56408566,-0.37965178,0.7291707,-0.34220535,0.13356821
could,0.015496646,0.57859063,-0.18388532,-0.05852324,0.17341323,-0.18068103,0.06062747,-0.06855948,-0.22430071,0.06944428,0.20421284,-0.31268087,0.0048809308,-0.22928968,-0.15195182
one,0.12907246,-0.06659418,0.009664773,0.1759526,-0.25281173,-0.5151284,-0.028693382,-0.33189806,0.11694956,-0.15059449,0.13020988,-0.21606284,0.023126818,0.022276342,0.06522163
say,-0.37235978,-0.32538712,0.041699585,0.07305013,-0.11733555,-0.40597385,0.0049182386,-0.10871441,-0.03818066,0.21178173,0.09900029,0.35074827,-0.007964782,0.05395679,0.07069378
nation,-0.3294408,-0.71044225,-0.14479886,-0.14303154,-0.32659528,0.12082707,0.08960625,0.1319723,-0.35690135,-0.16780412,-0.20598625,0.1548882,-0.3701342,0.4704111,-0.13286825
country,-0.6196712,-0.37078053,-0.19422835,-0.0954251,-0.12168085,-0.12860875,-0.18642461,-0.025985397,0.15332551,-0.47976413,-0.10421778,0.20707326,-0.63250345,0.5100929,-0.12994936
temperature,-0.3565622,0.107429884,-0.15268867,-0.1652948,-0.16147317,-0.43582153,0.12416818,-0.22466491,-0.18560204,0.22361413,-0.42295587,-0.12358123,0.07821662,-0.14385296,-0.17136228
power,0.05030017,0.514239,-0.10370942,-0.04506103,0.22117352,-0.35314322,0.07739864,-0.16957144,0.08357034,-0.38544244,0.041322384,-0.24925043,0.3115092,-0.29644915,-0.13617794
plant,-0.294616,-0.02909374,-0.31780276,0.011449558,-0.038927987,0.03707752,0.08795454,-0.20236327,-0.31590027,-0.42169666,-0.16363081,0.38144013,-0.0027910487,-0.3414052,-0.09045158
report,0.053200353,0.6440595,-0.15701006,0.05963303,-0.24406466,-0.08379727,-0.039592646,0.1510153,-0.19923969,-0.106784604,-0.2606583,-0.16891816,-0.28687188,-0.17152599,-0.16180578
last,0.20110461,-0.66531706,0.15110053,0.10246649,0.3273626,0.66485065,-0.18890622,-0.22772877,0.12511098,0.22749214,-0.15707195,-0.40614098,-0.47789854,-0.32458833,-0.15165022
level,-0.641069,0.45138937,-0.40020216,0.1635091,-0.20422608,0.50472516,-0.16745833,0.02497003,0.27965787,-0.16183807,-0.015348875,-0.19406325,-0.0722765,-0.17258672,-0.106465325
administration,-0.33117187,-0.31017396,-0.31455848,0.14591642,0.13233267,0.20548315,-0.1652256,-0.25569728,0.020937948,-0.0831942,-0.16413507,-0.23428476,0.663906,-0.33647302,-0.15903583
also,-0.2955518,0.18711269,-0.10270344,-0.16610806,-0.13094488,-0.5695212,0.13863318,-0.24454692,0.34162986,-0.48743013,0.38228685,-0.3934894,-0.16187681,0.48377892,0.12555236
study,-0.09143708,0.13453905,-0.3884527,0.088302836,-0.2528905,-0.3451614,0.12880759,-0.038987763,0.22760345,-0.33479565,-0.101867534,0.15838255,-0.6839024,-0.13905832,-0.15645538
fuel,-0.08273557,0.18285717,0.07920809,-0.037779257,-0.25582007,-0.14765678,0.111259215,0.32766265,-0.20463644,-0.021758812,0.14093399,-0.14223099,-0.17908157,-0.23569876,-0.12735058
time,-0.04407795,0.13898404,-0.4482404,0.15243137,-0.31117538,-0.08060415,0.095740795,0.19197455,0.024023362,-0.04740321,0.32258314,-0.10007136,0.097324915,-0.21762826,-0.19865635
national,-0.2860608,-0.6409449,0.3581902,-0.18013798,-0.3469534,-0.570294,0.12215107,0.33219853,-0.23516679,-0.067102864,0.46107674,-0.41266468,-0.074608296,-0.24971375,-0.17619611
bush,-0.7489913,-0.18180537,0.3876368,-0.19396693,-0.18819527,-0.6094882,-0.12770087,-0.25504062,-0.28665137,-0.23448981,-0.15231837,-0.3524405,0.6130977,-0.067203514,-0.14370893
issue,-0.49082905,-0.5568633,0.4114659,-0.28286362,-0.11732847,0.075388364,-0.18230659,-0.14725491,-0.49217373,0.3446458,0.18269764,0.13049702,-0.10677899,-0.050934024,-0.20920095
