word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
death,-0.09585137,-0.07714372,0.0530457,-0.041694783,-0.06185229,0.1741432,-0.15125991,-0.03369596,-0.27113912,-0.008688193,0.21645829,0.14475471,-0.15866174,-0.23647813,-0.0765983
said,-0.039356336,0.15211725,0.27344316,0.03499191,0.01762868,-0.37305522,0.082574256,0.024466073,0.28612927,0.1812888,-0.18455018,-0.031745438,-0.039030716,-0.116917424,0.17568722
court,-0.010235458,-0.13904797,-0.4605382,-0.416909,0.4872236,-0.17847867,-0.5516811,-0.24026951,-0.20177172,-0.073778346,-0.15338027,0.045397993,-0.3545954,0.067986995,-0.15773612
penalty,-0.009854701,-0.16871801,-0.008656111,-0.052141253,0.2759674,0.07223033,-0.10715283,0.0057255765,-0.4805166,-0.16027308,-0.08241795,0.03905743,0.14997683,0.19282967,-0.1860384
state,0.06300695,0.1353627,-0.2708072,-0.080933765,-0.45329005,0.17754097,-0.494912,-0.16877957,0.21717285,-0.3084029,0.24143721,-0.15507004,0.04926483,0.29437995,0.07575459
case,0.20155162,0.08984495,-0.006967495,0.2849061,0.27373204,-0.16408956,-0.6625382,-0.246704,-0.33591998,-0.17071696,-0.29035085,-0.06627187,0.111427374,-0.22795656,-0.1505097
execution,-0.14845714,-0.11711461,0.22598383,-0.08117545,-0.39140183,0.091106504,-0.117502406,-0.2933699,0.12465391,-0.3578429,0.18434478,0.3208177,-0.4562239,0.028885817,0.08748521
murder,-0.25595155,-0.19454995,-0.29903606,-0.1332336,0.06712302,-0.05342888,0.2706077,-0.33269542,-0.46857363,0.04171708,0.022165522,-0.29505375,-0.16067365,-0.20650847,-0.15049377
year,0.13744192,0.11696617,0.11119318,-0.07630276,0.15160333,0.07912285,-0.3397987,-0.027939664,-0.4845682,0.28781024,0.3389847,-0.34576926,-0.00069902616,-0.20686674,-0.18384081
would,-0.24656619,-0.06315334,-0.1145642,-0.11358791,-0.08780188,0.46449155,-0.00046301083,0.2690981,0.1208433,0.038144145,-0.36236176,-0.10147011,-0.09316844,0.12875223,0.13669764
judge,-0.10998649,-0.08494979,-0.5008733,-0.22023454,0.41291383,-0.15723991,-0.2858042,-0.21365519,-0.20715843,-0.14342757,-0.44453296,-0.121872656,-0.34750733,-0.395882,-0.15338686
attorney,0.21535295,-0.04219148,-0.0321902,0.3373935,0.6091513,-0.11614153,-0.14157669,-0.075828165,-0.35579687,-0.38937074,-0.2763302,-0.3280145,-0.29535443,-0.2736712,0.16687709
sentence,-0.20771812,-0.17872989,-0.19455524,-0.02776401,0.060036328,-0.18614575,0.85417753,-0.23108551,-0.2385592,-0.31028464,-0.16255127,0.10422659,0.46329457,-0.12787268,-0.1550225
two,-0.118754424,0.09612884,-0.48025262,-0.38272923,0.24441268,-0.11744567,-0.06146591,0.23307173,-0.10264825,-0.08620794,0.4382408,-0.29859576,0.0021270367,-0.09479552,-0.18474007
trial,0.2130004,-0.16118214,-0.16115284,0.23986201,0.047225643,-0.20830113,-0.7585443,-0.31942573,-0.092695214,-0.4279018,-0.025344322,0.4095075,-0.34913617,-0.08575853,-0.13735808
jury,-0.2531412,0.0069922307,0.03153695,0.14016837,0.27282497,-0.19945149,-0.66320574,0.14712198,-0.1898874,-0.25020298,-0.116484776,-0.15834242,-0.31312189,0.094140306,-0.09566394
life,-0.06399313,-0.26766038,0.321061,-0.7792668,-0.22266643,0.29078132,-0.31882688,0.14484283,0.0068289097,0.49851844,-0.039407823,0.050382733,-0.46973315,-0.3637564,-0.15212713
mr,-0.25542206,-0.046040937,-0.22698922,0.20921744,-0.03501329,-0.16312423,0.1800966,-0.13834862,0.16894221,-0.32944092,-0.08913899,-0.013628632,0.24538402,-0.043862324,0.110006
one,0.19837473,0.24208137,0.36019474,0.1391758,-0.2765997,0.28189045,0.034780715,0.23101267,-0.18516864,0.26967612,0.16573617,-0.22142471,-0.1933277,0.10060446,-0.17023186
convicted,-0.2806409,-0.2127801,-0.63700014,-0.3125197,0.3396991,0.048997846,0.31280628,0.12404185,-0.43327057,0.0028474613,0.15483876,0.13067295,-0.29809943,0.03980817,-0.2042853
prison,-0.039675906,0.20974499,-0.53419024,-0.056574184,-0.30054364,-0.4352994,0.5005284,0.24321833,0.17247497,0.019845914,0.016846647,-0.3470943,-0.27049446,-0.08869715,-0.1934429
prosecutor,0.04734376,-0.25864476,-0.29835337,0.43331295,0.3080266,-0.42064735,-0.40279338,-0.02141163,-0.20414272,-0.47639602,-0.057180222,-0.27744624,-0.32273185,-0.32279962,-0.1559164
appeal,-0.12518586,0.029861888,-0.33829275,0.017471012,0.20555547,0.31657892,0.34048772,-0.28614485,-0.2856193,-0.07843431,-0.43245378,-0.35964313,-0.2803304,-0.11231629,-0.18703116
supreme,-0.1515737,-0.2596873,-0.118482515,0.3000441,0.34402448,0.07725473,0.22857769,-0.22198565,0.16519935,-0.08443939,-0.24536027,-0.13631418,-0.22415397,-0.44012365,-0.1691941
county,-0.072262846,0.049787268,-0.20021719,-0.07120999,-0.03470645,0.24986194,0.36693087,-0.29843378,0.19709896,0.039114866,-0.123264484,-0.30270362,-0.29270768,-0.18577683,-0.11824082
capital,0.10485794,-0.21894984,-0.046309356,0.1891823,-0.055376213,0.3541863,-0.46082154,-0.39318758,-0.13440804,-0.38612196,0.039165806,-0.09752503,0.1226125,-0.1273314,0.15104377
punishment,-0.23924316,-0.28355563,0.19866182,-0.6855522,-0.45537382,0.34374925,0.14958026,-0.3932891,0.2780515,-0.34235182,0.08137366,0.2738567,0.10614929,0.097979635,-0.20728578
new,0.06868323,-0.019458767,0.07370515,0.11129989,-0.0062142485,-0.025931422,-0.16430208,-0.15544021,0.11665913,-0.29483646,-0.015218138,0.15801315,-0.038253326,0.04841725,-0.16744006
lawyer,0.1507136,0.085476734,-0.33059803,0.715398,0.31362718,-0.13470267,-0.44704437,0.035187032,-0.21731114,-0.40311736,-0.34604397,-0.26876444,-0.5228294,-0.31913444,0.17679024
killing,0.054485455,-0.2710688,0.16814706,-0.78284526,-0.018898722,-0.56161845,0.52989745,-0.19364592,-0.3219746,-0.4607731,-0.3469789,0.16721061,-0.23264167,-0.044078894,-0.20557879
federal,0.100335255,0.09300009,-0.1554504,0.48837012,0.23483506,-0.13309583,-0.025011359,-0.05780886,0.23407868,0.023316873,-0.0042015905,-0.025233543,-0.1141113,-0.40676758,-0.11843495
row,0.235591,0.06800669,-0.23763406,0.42689762,-0.058502972,-0.2768307,-0.42422703,-0.26591277,0.23038298,-0.077099614,0.020330947,0.02244804,-0.21758929,0.0148714455,0.13454372
last,0.21156426,-0.08740583,0.2810684,0.0011112938,0.10562522,-0.19863854,0.24705672,-0.28422078,0.24912705,-0.17248997,0.11007711,0.11472656,0.089410804,0.006907943,0.16545786
time,-0.104260616,0.15751243,0.045545995,-0.27628195,-0.01481722,-0.45923603,-0.3897025,-0.13227156,0.36150762,0.36845577,0.3432631,-0.09226646,-0.16865255,-0.22643764,-0.16601935
inmate,-0.07168425,0.15200175,-0.29549524,-0.24152894,0.085336715,-0.34951353,0.17570497,-0.33418316,-0.059447903,-0.047533195,-0.15914232,-0.40460515,0.046580795,-0.23928551,0.12168119
man,-0.10072293,-0.3222426,0.08800988,0.3125128,-0.21113284,-0.51707524,0.13830017,-0.12743178,-0.3604728,-0.20090714,0.3635131,-0.2276107,-0.35266912,-0.36572102,-0.2032371
justice,-0.33943954,0.015131372,0.51067495,0.51943904,0.33096534,-0.59339124,-0.93274415,0.13915676,-0.4474408,-0.22683048,-0.010288054,-0.26621193,0.071145155,0.14023747,-0.13304347
could,0.30415186,-0.06311285,0.14321385,0.09429803,-0.4059464,0.08422624,-0.017895877,0.110120416,0.15389617,0.22011931,-0.17674208,-0.38204765,-0.12258662,0.30113724,-0.14854185
u,-0.08610815,-0.2658201,0.4213074,-0.22660407,-0.6015086,-0.12633596,0.30785862,0.34732962,0.16455339,0.26016384,-0.4195343,-0.36668697,-0.15569521,0.20691274,-0.11194384
people,0.2131571,-0.23898803,-0.056171104,-0.017864704,-0.12987642,0.3995712,-0.06330864,0.15930165,-0.16861367,-0.44298646,-0.16857442,0.3925588,-0.14710452,-0.04738972,-0.19275267
law,0.15165249,0.13494472,0.18931772,-0.48804495,0.26052976,0.29572183,0.20966709,-0.18390551,-0.60736865,-0.1966225,-0.09898176,-0.18782733,-0.14916877,0.06652794,-0.15361165
crime,0.0149462875,0.24082385,-0.11022934,-0.33226687,0.4306924,0.36140987,0.35733852,-0.24310441,-0.013429636,-0.28315908,-0.053808257,0.024863875,-0.19032288,-0.22971596,-0.12836897
three,0.2595708,0.233538,0.051863685,0.28862557,-0.08024462,0.2788803,-0.11263267,-0.086144514,-0.39747253,0.2919602,-0.5988756,-0.3650094,-0.12836221,-0.54662555,-0.17270604
sentenced,-0.3067912,-0.12601902,-0.66527086,0.37298432,-0.15984273,-0.3176563,0.9566488,-0.40244877,-0.49531275,-0.55275846,-0.324166,-0.3699287,-0.3880178,-0.30036303,-0.16382433
also,-0.26907578,-0.072326034,-0.52616006,-0.22293943,0.049708426,0.194832,-0.3529823,0.24719124,0.030806728,0.565581,0.31921446,0.29760376,-0.30030432,0.042925656,-0.17661597
defense,0.21023698,-0.010853293,-0.27525967,-0.3278076,0.07845876,0.012022927,-0.8771476,0.16155685,0.38263762,-0.38677457,-0.16119286,-0.15549715,-0.2732789,-0.34547445,-0.14063473
executed,-0.30031663,-0.2797328,-0.4143839,0.028207416,-0.72121036,0.044542827,0.5514007,-0.10035816,0.33355597,-0.3184112,0.500164,-0.5567971,-0.3424643,-0.054736603,0.162511
police,-0.28669938,-0.27306792,-0.43802568,0.30868858,-0.40581438,0.012536809,0.79645795,-0.37734273,-0.16516115,-0.3971869,-0.23725626,0.2641037,-0.1895697,-0.31334314,-0.14707892
say,-0.3440783,0.29669383,0.4581777,0.37965006,-0.17799394,-0.35268992,-0.15503284,0.09050789,-0.0018056075,-0.2616781,0.31416106,-0.20411348,0.4354807,-0.03194248,0.16314584
day,-0.16146486,-0.2862128,-0.38591608,0.3609792,-0.28134692,-0.37233126,-0.32440895,0.2844864,-0.48222575,-0.017807407,-0.3680775,-0.21789856,-0.026645157,0.053311307,0.17490801
found,-0.19144292,0.042792793,-0.3826392,-0.041307624,-0.49047855,-0.71897113,0.12530647,0.005267674,0.6807568,-0.5335326,-0.07273402,0.2911968,-0.17989373,0.030319355,-0.1421246
first,-0.32476923,-0.036762707,-0.16277024,-0.37145832,0.4388237,-0.13009034,-0.3660916,-0.04999381,0.07253745,0.5186734,-0.19662155,0.07704117,0.30838877,-0.4830858,-0.19371283
decision,-0.13755083,-0.21459372,0.025558675,-0.20750682,0.56678444,-0.2309899,-0.5978274,0.2338089,0.66922,-0.39557925,-0.51172304,0.31855163,0.34841216,0.25306115,-0.1183788
week,-0.025606923,0.2888355,-0.5671862,-0.2744634,0.26006347,0.06219283,-0.3091922,0.35420722,0.46458694,0.4738778,-0.46769166,-0.29258066,0.31633797,0.30325577,-0.19043143
since,-0.25533462,-0.26246902,-0.33128056,-0.054483414,-0.0272608,0.19269289,0.6926984,0.40914592,-0.6178631,0.54246706,0.34770346,0.19846506,-0.18940885,-0.18890658,-0.20805652
evidence,-0.31738287,0.048581786,-0.4254213,0.7074284,0.04110164,0.30087465,-0.60937405,0.25333577,-0.2511318,-0.42739335,-0.5901459,-0.11007786,0.35251188,-0.3213477,-0.12526774
florida,0.20337622,-0.046975117,-0.24408709,-0.61673075,0.16678081,0.23012744,-0.14076409,-0.30182168,-0.1193905,-0.62735415,-0.23236404,-0.38225347,0.21846612,0.3648592,0.15078329
whether,-0.0055118804,-0.07406327,-0.572308,0.044557024,0.023942478,-0.04514487,-0.037830662,-0.1600352,0.34374943,-0.16616482,-0.38251272,0.083185874,-0.5999501,-0.34430087,0.17545182
juror,-0.2290407,-0.03747125,-0.2254222,0.4788899,0.36962312,-0.4531711,-0.787952,-0.23743172,-0.42706057,-0.01523953,-0.32970053,-0.2737624,-0.4688438,-0.30891111,-0.08544177
woman,-0.26300073,-0.27268112,0.010698348,-0.43136805,0.36073464,-0.4815569,0.3701305,-0.32424,-0.57868296,-0.49685577,-0.49822092,-0.34978127,-0.45864308,-0.37331137,-0.20569786
injection,-0.1900653,0.15943146,0.020634817,-0.46407458,-0.20305383,0.09390853,0.7388403,-0.13189274,0.12707907,-0.11922845,-0.21736443,-0.34035212,0.17667572,-0.3183644,-0.21835938
district,-0.2002945,-0.168164,-0.31742182,-0.6096707,0.15711477,0.6408232,-0.08287288,-0.23006386,0.011942199,-0.52529246,0.07372581,-0.2532545,0.18366732,-0.24575877,-0.14909394
guilty,-0.28280368,-0.07500575,-0.36538234,-0.02552562,0.7755342,0.118694656,-0.23763575,-0.15289061,-0.013018383,-0.48164383,-0.22881784,-0.07945803,-0.15097745,-0.28400835,-0.12541613
killed,-0.19444083,-0.20350853,0.35082325,-0.5616628,-0.32890907,0.103404015,0.7110744,0.14622845,-0.5016284,0.0333107,-0.5728678,0.242355,-0.20388171,-0.1921506,-0.14039505
charge,0.19484045,-0.2552807,-0.35721985,-0.552185,0.3691557,-0.67929024,-0.29438397,0.17018941,-0.562318,-0.4957866,-0.3269073,-0.33997846,-0.2479926,0.25037348,-0.15129462
victim,-0.26627946,0.27612203,-0.09830437,0.42466196,-0.40783137,-0.4656263,0.63238704,-0.33731204,-0.2803555,0.5092373,-0.43039098,0.2467673,-0.43661755,-0.3367341,-0.144194
lethal,-0.2387828,0.1347247,-0.5181247,-0.32068834,0.11508524,-0.65564924,-0.52540004,-0.24616851,0.17057475,0.5982937,-0.014260624,-0.069147415,-0.35481963,-0.044302683,-0.19070455
may,-0.33686858,0.2691968,-0.026921693,-0.61775213,0.29618764,-0.4164385,-0.3949932,-0.028322987,0.020822968,0.114593044,0.0036604954,-0.4627045,-0.03487864,0.3388693,-0.18052126
hearing,0.2567975,-0.2775923,-0.23864499,-0.5361513,0.6250966,-0.4268711,-0.72328657,0.084958546,0.31363446,-0.4589822,-0.38481036,-0.3503804,-0.4772879,-0.35351935,-0.14328423
without,0.12751241,0.3423283,0.10238068,-0.22274059,-0.7613472,0.2342997,-0.07612286,-0.29817146,0.47081423,0.47197372,-0.32762498,0.051354937,-0.09395706,-0.20375085,-0.14198583
die,-0.20367588,0.1991118,0.25220856,-0.265603,-0.11379015,0.45420855,0.7380831,0.0040891604,-0.015178869,0.47919017,-0.16322544,-0.4111272,-0.43272877,0.038600594,-0.26880008
monday,-0.16138893,-0.27456573,-0.03259545,-0.7900921,0.5739236,-0.6715721,0.053742543,-0.29985145,0.049297225,-0.4728089,-0.36013693,-0.17525917,0.015589655,0.09130397,-0.213548
killer,-0.033455558,-0.24618262,0.31092328,-0.07419919,-0.30336148,-0.168561,-0.61105764,-0.2759448,0.20960787,0.4200442,-0.12419722,-0.09806715,-0.31124792,-0.35600308,-0.22365113
yesterday,-0.25538677,-0.2511065,-0.23688057,-0.27650398,-0.0166534,-0.07929352,-0.033729155,-0.11955689,0.10000899,0.04034729,-0.29994583,0.10981095,-0.25333923,-0.35122168,-0.14525987
tuesday,-0.24767666,0.18647596,-0.052259386,0.06583406,0.15892458,-0.67001426,0.26586547,-0.07804743,0.09744401,-0.46642527,-0.26951736,-0.20584433,0.36335108,-0.45411775,-0.16888027
told,-0.070263065,-0.19857134,-0.47356617,0.32371,0.19979316,-0.686618,-0.18710625,0.3284403,0.10038302,0.15557815,0.15085256,-0.006086009,0.5856397,0.076838605,-0.14367394
