word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
gun,0.12001527,-0.013026992,0.10512643,0.051336575,-0.20950182,-0.014509852,0.05644887,-0.12114995,0.24701634,-0.24723254,0.16871835,0.0031794796,-0.08606348,0.06548167,-6.477719e-05
said,0.4537064,0.10591435,-0.19002873,0.16507469,0.17460157,-0.24180038,-0.08411298,-0.32849678,0.1841242,0.025497168,-0.16808008,-0.08470873,-0.06724571,0.06275182,-2.3241922e-05
law,-0.25398302,-0.24814059,0.051414445,0.22311065,0.23802154,0.25304395,-0.092750214,-0.151761,-0.33994862,-0.12929007,-0.3384451,0.0094811395,-0.024139337,0.028844949,-2.1381979e-05
state,-0.17498901,-0.20549297,-0.3947472,-0.33685064,0.1559834,0.004869801,-0.04787252,0.15520576,-0.122516945,-0.3223106,0.23965095,-0.13519457,-0.11363189,0.4407832,-1.7152679e-05
would,0.16289054,-0.1985681,-0.025416851,0.41796854,-0.24496084,0.24501492,0.20590945,-0.12112175,-0.061331037,-0.33325154,-0.39454085,-0.2799505,0.051376007,-0.13588327,-1.4280119e-05
weapon,-0.33825493,0.08408276,0.08581372,-0.09222239,-0.08982782,0.20926061,0.104966186,0.1708642,0.42160252,-0.2921792,-0.16303484,-0.7538216,-0.012087137,-0.054678652,-1.3066649e-05
bill,-0.50046897,-0.1796496,-0.11041809,-0.44610152,-0.48786333,0.4315736,-0.6086328,-0.39108998,-0.48303014,-0.39539793,-0.5192407,0.0009329075,0.14344816,-0.29467607,-1.1868827e-05
people,-0.10177098,-0.28091645,0.040829528,-0.093328,0.06343529,0.06402002,-0.27741814,-0.08079007,-0.050303753,-0.5118613,0.4214267,0.48186776,-0.02429999,-0.08367741,-1.1749361e-05
control,-0.09756126,0.034105856,-0.077363,-0.4461354,-0.54349923,0.08169628,-0.26828128,-0.030960813,-0.3503341,-0.31070623,-0.17379282,0.047226522,0.022539178,0.035333224,-1.0870787e-05
firearm,-0.02773675,0.06777693,-0.6085412,0.5271351,-0.3911391,0.24217413,-0.11447966,0.11544332,0.4151921,-0.28604677,0.1208729,-0.17641778,-0.21094629,0.1564336,-1.0824444e-05
right,-0.49910578,-0.18399505,-0.2563039,-0.1058832,0.33401585,0.05875261,0.09368201,-0.3324427,-0.6265996,0.06955114,-0.08827984,-0.05844008,0.030358637,0.07048654,-1.0436504e-05
new,-0.18907844,-0.010237337,-0.11713013,-0.60671914,0.013385821,0.21459687,0.038046062,0.10906072,0.05913224,-0.2274774,0.38287053,-0.19091342,-0.36126134,-0.2308064,-9.437955e-06
one,0.04412315,0.1016288,-0.08585718,-0.12408242,-0.008205489,-0.06211997,0.1882879,-0.050371196,-0.013743737,0.22409143,0.037389178,0.1295858,-0.1421101,0.2800524,-9.28509e-06
year,0.21661025,0.05218991,-0.15730311,-0.21334314,0.058194034,-0.013091736,-0.13423415,0.26852837,-0.550657,0.02283987,0.39396572,-0.34756505,-0.102020666,0.27595413,-9.219357e-06
shooting,-0.3015677,0.1188645,-0.34881157,-0.04221637,-0.16753374,-0.28474003,0.3496975,0.2585765,0.12536356,0.18797573,-0.021592503,-0.09607078,0.006932361,0.006153526,-8.666039e-06
rifle,0.12435706,-0.034599654,-0.18840234,-0.14036551,-0.04795674,0.17048536,0.020561768,0.2490474,-0.014766052,-0.041789502,0.32170305,0.6890673,-0.0664114,-0.14984012,-8.053959e-06
school,-0.30378237,-0.11558174,-0.21726656,-0.23753019,-0.19600111,-0.0011163004,-0.38807052,0.44547015,0.6095658,0.08603558,0.11696161,-0.26217252,0.08691146,-0.12398427,-7.892898e-06
national,-0.16642004,0.057821233,0.11465663,-0.06515025,-0.2897241,0.02287271,0.17410135,0.4375949,-0.1592103,-0.17813697,-0.19063689,-0.27707636,0.041647326,-0.12749232,-7.887211e-06
check,-0.15413526,0.11352918,-0.2694937,-0.02899871,0.010360905,-0.14785662,-0.2541606,0.60266054,-0.55081517,-0.21742238,0.3036666,-0.1148033,-0.17964256,0.32900017,-7.331713e-06
ban,-0.4129351,-0.16184698,-0.10803942,-0.56035453,0.012544639,0.40640208,-0.9151796,-0.45572066,-0.26582518,-0.3454236,-0.5380127,0.121086545,0.12179825,0.08138977,-7.203787e-06
house,-0.3877422,-0.20737311,-0.36537158,-0.23300597,0.35900253,-0.39547697,-0.07395532,-0.25280213,-0.040306196,0.09280953,-1.1311505,-0.33787885,0.40079477,-0.17894116,-7.1277695e-06
president,0.06896161,0.07222934,-0.4475585,0.028002925,-0.09833976,-0.29672447,0.18998264,0.048866015,0.3279222,-0.383593,-0.0667082,-0.01676985,0.2886984,-0.019719005,-6.8510744e-06
violence,-0.2843102,0.037913125,0.17348048,0.09532021,-0.10578181,0.01278238,-0.1085236,-0.4493184,-0.23942451,0.18989873,-0.19545615,0.5231525,-0.044975296,-0.01357243,-6.5944673e-06
handgun,0.10968034,-0.10819599,-0.3840247,-0.44019938,-0.1987311,0.05496694,-0.079280496,-0.10653306,0.3023263,-0.13117233,0.14808169,-0.26748028,-0.09912134,0.13902667,-6.565396e-06
background,-0.33498976,0.14186108,-0.2780596,0.31896254,-0.037373785,0.16794491,-0.8331069,0.35834187,-0.52253366,-0.30560905,0.16964392,0.37142053,0.40075907,-0.2684738,-6.4317655e-06
nra,0.1341368,-0.22056107,0.22878198,-0.31220794,-0.067470655,-0.1232609,-0.7631403,-0.5393669,-0.1831322,-0.36863345,-0.25841883,0.54285944,0.10474623,-0.37421116,-6.2407817e-06
amendment,-0.26716962,0.09997439,-0.024613334,0.05279022,0.92426544,-0.3236192,-0.13025129,-0.71867317,-0.54136115,-0.30142286,-0.772253,-0.07327126,-0.051636543,-0.5464617,-6.050283e-06
republican,-0.276896,-0.1461511,-0.4334631,-0.6655573,-0.27328494,0.06418805,0.06304699,-0.19902353,-0.31963944,-0.49267492,-0.9745405,-0.5922864,0.41916397,-0.34011042,-5.9930735e-06
police,-0.57131916,0.10109757,-0.626095,0.08448186,-0.26606113,-0.06285591,0.9356572,-0.10288144,-0.04163379,-0.024026504,-0.17585944,-0.50860184,-0.21059962,-0.065868825,-5.9549416e-06
city,-0.21983027,0.015011521,-0.28781676,-0.44138908,0.19325496,0.16151817,0.25418568,-0.61517864,-0.42636248,-0.3087388,0.07641216,-0.18597087,0.15640305,-0.18920061,-5.926033e-06
last,-0.22374462,0.14187156,-0.102855735,-0.6655301,-0.007677663,-0.018789837,0.34362206,-0.1181013,-0.24860646,0.1665606,0.05671785,-0.1464095,-0.033605836,0.05730401,-5.789974e-06
federal,0.29782373,-0.0689592,-0.44936106,-0.48442188,0.0068294946,-0.047420505,0.58951354,0.49910098,0.029622562,-0.20677637,-0.6883502,-0.04884944,-0.11915701,-0.62606126,-5.734959e-06
say,0.086296424,-0.14268965,0.017681047,-0.46998274,0.20280367,-0.011962474,0.0688915,-0.11220613,0.12768765,0.12892507,-0.34500593,-0.050795116,-0.0030570696,-0.02277025,-5.734451e-06
court,-0.28594017,-0.22452773,-0.4757927,-0.4355979,0.7268874,0.052772854,-0.9169065,-0.87808174,-0.5383815,-0.40948206,-0.51442903,-0.76868266,-0.5858333,-0.48900813,-5.5828878e-06
association,-0.19782412,-0.2548203,0.16135392,0.265026,0.13713133,-0.22584073,-0.047796365,-1.0131277,0.31892747,-0.19194628,0.14104168,0.25188792,0.09027793,-0.42583823,-5.4437987e-06
senate,-0.22793934,-0.13911286,-0.5647375,0.16171637,-0.6293141,-0.15929069,0.06717558,0.06662322,0.4820398,-0.2443662,-0.68741584,-0.86916023,0.3564721,-0.13598667,-5.376963e-06
time,-0.16897464,0.07968931,0.021181181,-0.5853835,-0.012108094,0.0006188702,-0.16297317,0.39241818,0.08637279,0.2503269,-0.5283227,-0.1841604,0.014857545,0.3701442,-5.2462924e-06
measure,-0.5999693,-0.23047028,-0.14682622,-0.57018805,-0.42583188,0.17855725,-0.8535594,-0.56492305,-0.4640227,0.120054916,-0.055653032,0.27349916,0.20362343,-0.28614303,-5.132867e-06
also,-0.28186172,-0.14170478,0.2370629,0.18979816,0.3150808,0.1861653,-0.06486654,0.21532518,-0.36906856,0.16218947,-0.22709012,-0.06506724,-0.1997091,-0.45944816,-5.114742e-06
