word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
immigration,0.07538518,0.057790626,0.14369935,-0.057026602,-0.03683995,0.12530664,0.18516281,-0.24132554,-0.32883185,-0.416391,-0.011122347,0.2606961,0.06759583,-0.2664789,-0.10362682
said,0.102571785,-0.16102593,-0.024000138,-0.2667997,-0.20774773,-0.10208509,-0.033697702,-0.059747417,0.25648436,0.07308877,-0.43725815,-0.034943394,-0.24014081,0.15019538,-0.07469329
immigrant,-0.02083218,-0.4402334,0.010140172,0.011581528,-0.2946549,-0.12497897,0.149118,-0.43765232,0.31370357,-0.48034403,0.37124434,0.2213894,-0.04185559,-0.42290166,-0.110580795
state,0.27577427,0.05770049,-0.26378927,-0.27049056,0.23958345,0.14725365,-0.08471679,-0.01978836,0.09721987,-0.13310051,-0.03153679,-0.36655247,-0.09718062,0.29121226,-0.07247549
illegal,0.07037702,-0.08204865,-0.42624286,-0.009247894,0.45957237,0.31748497,0.21639603,0.4043852,-0.42573798,-0.325406,-0.4723195,0.48015,-0.0006093614,-0.036742408,-0.13235116
would,0.0742694,0.10868451,-0.09025314,-0.27830893,-0.037922744,0.38508376,-0.18668771,0.020607112,-0.23965146,0.50094986,-0.22408426,-0.30825472,-0.19717285,0.20762056,0.10099831
year,-0.05715062,0.45037135,-0.27566808,-0.15392993,-0.069820896,0.21605645,-0.016917137,-0.36719087,-0.1116451,0.26116562,-0.03983933,-0.24795574,0.07684963,-0.17302534,-0.2346858
u,-0.0040976605,-0.050560087,0.03440251,-0.05878415,-0.03033425,0.24147524,-0.43878874,0.31082636,-0.108026005,0.24167006,-0.042372584,0.021605728,-0.5138219,0.31662852,0.16607012
new,0.26052243,-0.11960531,0.040698558,0.18094817,-0.14998144,0.1261694,-0.31518942,-0.060539655,-0.4590075,-0.012517925,0.24010982,0.030161265,-0.49740207,-0.054674253,-0.018040013
law,-0.5089611,-0.50696623,0.24990566,0.2711492,0.5777443,0.21684141,-0.009410235,-0.24209812,-0.38463017,-0.33093777,-0.30491102,-0.2977894,-0.3100359,-0.31773084,-0.23592243
united,-0.3861525,-0.70194876,0.07755451,0.4629468,-0.38874435,-0.064042106,0.10796035,0.22273102,0.16072403,-0.044183616,-0.07540232,0.005707117,-0.42400464,0.2947624,-0.14674306
people,-0.4556588,0.018347401,0.2190916,0.087995805,-0.38934502,0.25523,0.43368328,-0.055554125,0.16762835,-0.34142792,0.24444681,0.46125475,-0.45085374,-0.23292807,-0.26728088
country,0.03506784,0.15737236,-0.062971905,0.36366275,-0.48262882,0.012423745,-0.4442755,0.25036633,0.14765061,0.13439628,-0.093374066,-0.65133786,-0.016634831,0.23636684,-0.26672727
federal,0.3698457,-0.46699753,-0.20399345,-0.6166986,0.23256825,-0.2713788,0.09370929,-0.22644655,0.2944806,-0.3913641,-0.651537,-0.3955911,-0.024234723,-0.35538712,0.00417872
one,0.36406502,0.3267661,0.025311535,0.19963206,-0.29405987,-0.36451823,-0.115783505,0.25265408,-0.4373004,0.32081303,-0.084500685,-0.47352335,-0.32577276,-0.3950226,-0.018947145
border,-0.13459335,0.21216923,-0.0500665,-0.4891396,-0.14117812,-0.23025005,-0.25866896,0.54213214,0.08579478,-0.7409666,0.011607384,-0.16994411,-0.04018601,-0.21719292,-0.15330829
american,0.034917798,0.10037214,-0.42195746,0.48085046,0.23104525,-0.2526606,-0.29876167,-0.43159068,-0.33367816,-0.17724809,0.46050224,0.24850857,-0.122660704,0.12557721,-0.2798368
official,-0.6197897,0.32642287,-0.42799774,-0.73754853,-0.41311106,-0.4788603,0.42447403,0.10633136,0.2624701,-0.037623696,-0.1921333,-0.54553485,-0.12928529,0.049006432,0.08364441
worker,0.3254011,0.27131197,-0.20190518,-0.0250135,0.09541585,-0.09398251,-0.30651078,-0.037824217,-0.5266074,-0.009697856,-0.23639289,-0.57788473,-0.65061593,-0.021558259,-0.049190532
bill,-0.27426407,-0.30134165,-0.0004883625,0.44564807,-0.27921572,0.5887141,-0.16881008,-0.06183228,-0.4004934,0.122367166,-0.43982416,-0.121906035,0.18213965,-0.14462319,-0.1466764
president,-0.017655598,-0.3475084,-0.15456471,0.00050264964,-0.40284228,0.6325415,-0.62534356,-0.20384283,-0.68423855,-0.38285887,0.2915795,-0.10308023,0.46057582,0.2583959,0.22602788
many,0.060695507,0.32713425,-0.2623932,0.57093936,-0.1661414,0.13199016,-0.111331746,-0.38151944,-0.21351501,0.20248327,0.18046716,0.42018366,-0.10601376,-0.20055741,-0.19123761
say,-0.0808586,0.27103385,0.063003704,0.030454265,0.2556892,-0.26055866,0.17647545,-0.16343382,-0.20912004,0.013527833,0.063443705,0.37578094,-0.2709306,-0.17132913,0.116735935
service,0.42467594,-0.018868882,0.22176823,-0.17290916,-0.496145,0.05171445,0.16751127,0.55323553,-0.12403269,0.0017615707,-0.108170636,-0.08508597,-0.42081645,-0.45246017,-0.19256184
last,0.102898136,0.058212496,-0.12947683,-0.22517335,-0.2830582,-0.3777951,0.2770407,0.09299728,0.25651753,0.091478914,-0.5527051,0.01727683,-0.06610888,0.39850658,0.048740868
legal,-0.2825494,-0.21162324,-0.32453936,0.2215706,1.0806853,0.34227225,-0.5907828,-0.56105006,-0.61955565,-0.24221036,0.24616364,0.17532404,-0.04070249,0.34031057,-0.20927829
two,-0.25074646,-0.6912051,0.0049564266,-0.67898035,0.026538542,-0.57370806,0.51303345,-0.10574178,0.0015158298,-0.09213358,0.23520942,-0.029155064,-0.35887006,0.050788354,-0.09350298
house,0.020852167,-0.18503559,-0.3094391,-0.0031349384,-0.6297803,0.37879923,-0.3322782,-0.44339773,-0.2518335,-0.06980017,-0.6425885,-0.29070318,0.391852,-0.10181149,-0.20161197
government,-0.104346335,-0.13982923,0.07954843,-0.4299972,0.21140288,-0.13246469,0.10701982,0.37525472,0.016233483,-0.26707503,-0.21213968,0.027333697,-0.3899947,0.377942,-0.15135825
million,0.16977271,0.6429347,0.38939503,-0.21747561,-0.28651097,0.12773886,-0.042566087,-0.35719013,-0.3134246,-0.1284333,0.18026026,-0.1996189,-0.22461545,-0.46302173,-0.22877538
mr,-0.54486287,-0.27664214,-0.16329841,0.11457504,-0.3379923,-0.34696525,0.16056012,0.24477285,-0.5950371,-0.07546033,0.08202064,-0.005941169,0.24311543,-0.016777148,-0.28541595
work,0.5952766,-0.5057016,-0.34054902,-0.41524875,0.18219373,0.46199185,-0.440217,-0.54725045,-0.26798433,0.16695495,-0.3184823,0.092680424,-0.39375937,-0.051862147,0.12527062
also,-0.7061504,0.22333537,0.5065802,0.15018284,0.06012662,0.39884275,-0.21110272,0.24205337,-0.14022195,-0.24052449,-0.08018157,0.052040685,0.09546178,0.117722005,0.08880702
group,-0.19633849,-0.16523005,-0.0919552,0.03678481,0.0025874653,0.47323814,-0.011479916,0.008857431,-0.34495285,0.24405025,0.05856051,0.44665715,0.085048966,-0.48291835,0.012582037
child,-0.17731532,-0.44374883,0.08465232,-0.17575665,0.2913855,0.0030329397,-0.78039265,-0.2680387,0.31749246,0.29404834,0.22102234,0.11275654,-0.09584542,-0.35460064,-0.035228368
city,-0.045498796,0.57028097,-0.30061573,-0.19106981,0.007209047,0.06260461,0.50891507,-0.47465825,-0.45828292,-0.37404948,0.071238816,-0.28565034,0.054438986,-0.04563006,-0.103020385
