word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
marriage,-0.2582736,0.01871899,0.01787465,-0.12642139,0.11183103,-0.002122129,0.022494901,-0.00013010613,-0.10963646,0.09108743,0.06801794,-0.123528704,-0.17647398,-0.13590415,-0.00013011025
gay,0.15504487,-0.009837482,-0.05224499,0.047391042,-0.16877478,-0.05442665,0.12619229,-7.695608e-05,-0.27376625,-0.35100496,0.15924601,0.057774205,0.1559494,-0.015030884,-7.6965436e-05
state,-0.0036009036,-0.15843683,-0.28146088,-0.20219688,0.038402736,0.24958947,-0.21265416,-6.9607144e-05,0.07299287,-0.091530554,0.10875875,-0.032179892,-0.19556323,0.15897231,-6.961069e-05
samesex,0.03312641,0.04230207,0.039079115,0.31015456,-0.16526262,-0.16897751,-0.1325911,-6.912745e-05,0.01976819,-0.49812457,0.2003063,0.2470958,-0.039315727,-0.1136293,-6.912734e-05
said,-0.34651804,0.10277618,-0.12881108,-0.20383048,-0.19090152,-0.3849523,0.18623054,-5.725166e-05,0.17361584,0.1261161,-0.34437123,0.14638492,0.19752155,0.16209047,-5.7265563e-05
court,-0.20838857,-0.10890714,-0.393525,-0.3175346,0.33796692,-0.28208837,-0.02249343,-4.538255e-05,-0.10690628,-0.117381655,-0.0061328486,-0.25870103,-0.3550446,0.047243092,-4.5375935e-05
couple,0.18768026,0.13003802,-0.33688828,0.1821434,0.0718792,0.3640192,0.057747744,-4.3885684e-05,-0.10226154,0.1744327,-0.107201934,-0.23209088,-0.45426723,0.20246284,-4.387352e-05
right,-0.15600388,0.058299262,-0.12021643,0.42764124,0.13449325,-0.21070646,-0.12962872,-3.496303e-05,0.016317826,0.13411279,-0.28543082,0.20183803,-0.11573863,-0.06420115,-3.4954748e-05
would,-0.33686486,0.0463213,-0.074255206,-0.17047375,0.19800942,0.43707347,-0.2609636,-2.9801991e-05,0.060750175,-0.16473623,-0.20031334,-0.29727343,0.111400455,-0.28472066,-2.9790492e-05
law,-0.28681543,-0.0525349,-0.040912542,0.115940504,0.47267473,0.08325699,0.10500362,-2.8270582e-05,0.062302846,-0.38485122,-0.3255919,-0.058979787,-0.24806413,0.15662959,-2.8270882e-05
union,-0.38563842,0.0034506049,0.29500726,-0.026097123,-0.040393278,0.22390771,-0.20725384,-2.2905355e-05,-0.0144214565,-0.38287723,0.068775885,-0.19827451,0.14815335,0.1816819,-2.2908325e-05
new,0.13508832,-0.16802713,-0.2175684,-0.10573602,0.04609731,0.22459048,0.14685811,-2.2251608e-05,0.034996904,-0.22583008,-0.08210137,-0.0953967,-0.4396706,-0.026023474,-2.2249906e-05
issue,0.13374323,0.093885496,0.38910854,-0.29343307,-0.18840346,-0.13057016,-0.25428003,-2.1389566e-05,0.030726299,-0.42268682,-0.27870944,-0.330882,0.34105867,0.21353911,-2.1393784e-05
one,0.03332973,-0.013517249,-0.053933106,0.06652684,0.018626029,0.21944839,-0.19722472,-2.116965e-05,-0.09970192,-0.043094877,0.41153547,-0.20458609,0.14427562,-0.115444675,-2.1172615e-05
year,-0.07461277,0.05534968,-0.50788385,-0.17297943,0.026828978,-0.37751937,0.14790434,-2.0510275e-05,0.073983274,0.1637598,0.18885404,0.0128829265,-0.008544907,0.25096345,-2.0508292e-05
ban,-0.39992085,-0.16556586,-0.17380038,-0.09604279,0.13762137,0.34056056,-0.0046789097,-1.86676e-05,-0.01980912,-0.2992084,-0.24600698,0.34732196,0.22387932,-0.28480873,-1.8668063e-05
legal,-0.35026106,0.017558709,-0.2082327,-0.1924398,0.6174604,0.009318084,-0.307135,-1.7598095e-05,-0.023202581,-0.45965177,-0.58534044,0.10107732,-0.40044478,0.20006825,-1.7600156e-05
supreme,-0.042409226,-0.15395543,-0.21411364,0.013681138,0.16139276,-0.4401464,-0.24897008,-1.6693886e-05,0.14303395,-0.11075598,0.6024916,-0.16404146,-0.33997998,-0.30341032,-1.6681995e-05
amendment,0.177332,-0.112552926,0.032444347,-0.3257935,0.0021705467,0.14448577,-0.16457061,-1.661837e-05,-0.19284555,-0.24719796,-0.2805376,-0.06022277,0.09199483,-0.21162581,-1.6609054e-05
people,0.051939115,0.076825306,0.19181724,0.4287314,-0.23666617,-0.51641935,0.099164315,-1.6016655e-05,-0.26562324,0.16058175,0.2795316,0.33122125,-0.2346465,-0.26478907,-1.6027114e-05
civil,-0.13988058,-0.17971979,-0.16122806,0.46815854,-0.006436951,0.035565227,-0.09637295,-1.5721502e-05,-0.33143237,0.21104883,-0.055873178,-0.19068521,-0.53057003,-0.39882386,-1.571547e-05
bill,-0.04155977,-0.14423263,-0.12438537,-0.21668606,-0.58765703,0.46936738,-0.20228395,-1.5587286e-05,-0.33892915,-0.31417087,-0.2415304,-0.2571329,0.26341826,-0.13130079,-1.5583846e-05
federal,0.15517442,-0.116816916,-0.36877033,-0.3201521,-0.06300887,-0.41902536,-0.12050865,-1.5474201e-05,-0.44286054,0.2899601,-0.02746033,0.09361482,0.45760614,-0.23636527,-1.5467558e-05
benefit,0.17179047,-0.17475298,-0.36527306,0.3917589,-0.47123146,-0.17891282,-0.22993411,-1.5282529e-05,0.098272115,0.47868007,-0.3301511,-0.11672456,0.12567942,-0.31865954,-1.5268371e-05
vote,-0.33843765,-0.108285815,-0.16296493,-0.31087178,-0.20009166,-0.045329034,-0.16234441,-1.5101572e-05,-0.12140828,-0.48090994,-0.23904918,-0.110730894,0.28873762,-0.17458284,-1.5099757e-05
decision,0.242867,-0.15098658,0.08791447,0.259237,-0.03608809,-0.2886344,-0.051828597,-1.5013991e-05,0.23593795,-0.007869297,-0.49535012,0.32258782,-0.38063878,-0.08554137,-1.4999918e-05
two,-0.6487643,-0.19041893,0.04916452,-0.56731755,-0.06177708,-0.18566489,-0.10716699,-1.41930195e-05,0.042509988,0.04740832,0.11527686,-0.38262764,-0.055222683,-0.15064451,-1.41885275e-05
lesbian,0.04132568,0.11446701,-0.36298725,0.26069707,0.04831222,0.5567072,-0.16677804,-1.4108123e-05,-0.07093747,-0.13016205,-0.009688764,-0.14138076,0.10971904,-0.32537013,-1.4113326e-05
city,-0.22976129,0.12999325,0.019303579,-0.060211264,0.40425906,0.06888902,0.076060906,-1.38056885e-05,-0.055782154,0.08691627,0.37428412,-0.23780276,-0.1379236,0.051753215,-1.3807395e-05
support,0.3200423,-0.19187587,0.03978093,-0.56818205,-0.5861858,-0.3533699,-0.20691434,-1.3724998e-05,-0.07135546,-0.3390821,0.12355125,0.5377,0.040752206,-0.23338835,-1.3720144e-05
ruling,0.26732996,-0.13397558,-0.17109363,-0.22010997,0.5326911,-0.6249376,-0.28854716,-1.319486e-05,0.020211937,-0.17776756,-0.23690328,-0.37605062,-0.2959071,-0.27939948,-1.3206657e-05
say,0.26503956,-0.17309432,0.19433928,0.005035957,-0.7126003,0.19966388,-0.2618412,-1.3204114e-05,-0.18604264,-0.3560629,-0.22127284,0.36653674,-0.23238163,-0.25122222,-1.3195666e-05
california,-0.3104202,0.0066494695,-0.31619617,0.2474481,-0.2299946,-0.021692643,0.05308947,-1.318539e-05,-0.01742403,0.42057106,-0.34382957,0.34667572,-0.129799,0.22285123,-1.3178282e-05
partner,-0.076180466,0.079747036,-0.36321667,0.02901127,-0.5897137,0.39375037,-0.017035598,-1.2925704e-05,0.16774103,0.19742094,0.020119533,0.08658423,-0.3392751,-0.25652024,-1.2928378e-05
church,-0.42561668,-0.1613074,0.4898954,-0.29576764,-0.45645583,-0.12169828,0.09642761,-1.2858119e-05,-0.3054361,-0.5576243,-0.45800054,-0.31435028,-0.64312583,-0.25568187,-1.2860254e-05
republican,0.30014607,-0.11070476,-0.47191414,-0.061792478,-0.8437304,0.056185566,-0.16797842,-1.27432895e-05,-0.20894843,-0.4193255,-0.4742098,-0.30540365,0.65545595,-0.19786936,-1.2734413e-05
last,0.1403575,-0.15527855,0.070041426,0.37265527,0.092520155,0.14425093,0.28989887,-1.2646802e-05,-0.09876033,0.17462175,-0.8169106,-0.13026659,0.40152392,-0.15310335,-1.2643143e-05
president,0.052902233,0.08282214,-0.17928447,0.23389849,0.13811845,-0.31651813,-0.056296997,-1.247166e-05,-0.23411849,-0.4819607,-0.09541207,-0.38961542,0.55627155,0.16815098,-1.2473837e-05
married,0.28293163,-0.2310755,-0.39148408,0.0087235505,-0.16561621,-0.5010934,0.047076754,-1.2407989e-05,0.06936604,0.27282545,-0.33073816,-0.30281,0.051321268,0.16103357,-1.24203225e-05
woman,-0.43710244,0.052091826,-0.111217044,0.4834225,0.14663665,-0.1915974,-0.2458639,-1.2161213e-05,-0.13275084,0.358483,-0.1589,0.48122987,-0.19539295,0.12152058,-1.2157332e-05
group,0.26955435,-0.17117435,0.18045236,-0.40595698,0.18698741,-0.27343163,0.18060625,-1.1833027e-05,0.05807092,0.010232637,-0.5783641,0.029387867,-0.30691132,-0.09062757,-1.1824345e-05
u,-0.37920308,-0.15390697,-0.14537911,0.7429453,0.013326565,-0.39645347,-0.18716061,-1.1762094e-05,0.08488565,0.5873993,-0.18399325,-0.012583196,-0.74219555,0.18326358,-1.176203e-05
judge,-0.3126189,-0.17146298,-0.24614991,-0.027699055,0.60181266,-0.43918604,-0.1112124,-1.163709e-05,-0.15692645,-0.62532866,-0.21079479,-0.2188426,-0.8513907,-0.060778074,-1.16332885e-05
case,-0.3333508,-0.11387958,0.016514659,-0.67429733,0.46544117,-0.06429389,0.25239196,-1.1481158e-05,-0.24182409,-0.6613786,0.07919135,0.03324441,-0.16879854,-0.07941286,-1.1487423e-05
first,0.2256833,-0.23138086,0.093379155,-0.18502243,0.17046663,-0.39264506,0.17956862,-1.1168299e-05,-0.3272649,0.53236747,-0.25235942,-0.47390524,-0.1976624,-0.3552847,-1.1166093e-05
could,0.43922606,0.1347015,0.24726439,0.21622393,0.32684964,0.6495034,0.049470507,-1.09755965e-05,-0.328969,0.19520625,0.026578475,-0.010654026,-0.15136155,-0.28692862,-1.0975782e-05
voter,-0.4617673,-0.12036366,-0.178885,-0.09905627,-0.40998802,0.10544932,-0.15946256,-1.0933769e-05,-0.19248295,-0.568656,-0.43578872,0.59137994,-0.3749487,-0.066130884,-1.0923861e-05
