word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
tobacco,0.097356334,0.085912086,0.21865487,-0.21336757,-0.16266346,-0.060744327,-0.091445014,0.038201954,0.02785079,-0.18305674,0.10480067,-0.07842581,0.05205172,-0.06333026,-9.956572e-05
said,-0.039161842,-0.034076072,0.020039251,-0.16424096,0.11896436,-0.31405652,0.22253914,0.16465929,-0.3861805,-0.10819232,-0.07341245,-0.0430299,-0.117771365,-0.106377006,-7.7511824e-05
smoking,-0.37839943,-0.071058124,-0.24826115,-0.14773409,-0.3390383,0.14903463,-0.22697248,0.06031819,0.11983967,0.14285195,0.025136808,-0.055190742,-0.09870062,-0.21275845,-7.383502e-05
cigarette,0.24433468,0.047909744,0.014839245,0.060476538,0.09979887,-0.046723034,0.12881507,0.021113096,0.12110908,-0.07890963,-0.15729928,0.110792875,-0.2992938,0.14167772,-6.3213345e-05
state,-0.10167948,0.05114714,-0.01737139,-0.19548666,0.22945888,0.13650207,0.014968363,-0.12453058,-0.13956402,-0.3943539,0.08184467,-0.049455047,0.03341589,0.182254,-4.6441466e-05
year,-0.08698493,0.12777276,-0.3929142,-0.17755646,0.023281116,0.079934016,-0.18624617,0.13747782,0.09269886,0.16863607,-0.15611939,-0.33430013,-0.12906691,-0.06513939,-3.902364e-05
would,-0.25897446,-0.15466474,-0.38085756,0.009380884,-0.21660326,0.37215772,0.22356908,0.040593356,-0.016223567,-0.40483442,-0.24591964,-0.2985511,0.017752407,-0.2219547,-3.745383e-05
company,0.40926236,0.08247013,0.2214708,0.21364535,0.10070639,-0.15410544,-0.139444,-0.15018432,-0.289634,-0.28952944,-0.52381253,-0.30339968,-0.022162128,-0.18700661,-3.642731e-05
health,-0.4214312,-0.18057145,-0.32993197,0.034746367,-0.3496672,-0.00022450196,-0.011785462,0.11965656,0.78179204,0.08701973,-0.22654063,-0.26010966,-0.3282518,0.2556793,-3.134943e-05
smoker,-0.28247127,0.16388434,-0.094878435,0.12902342,-0.10746809,0.18095468,-0.22538342,0.09591812,0.055468816,0.11127141,0.28080842,-0.18432944,-0.28783253,-0.2896828,-3.1079977e-05
smoke,0.18960388,-0.16871482,-0.3810969,0.065164916,-0.088627696,-0.15091495,-0.34572032,0.1483005,0.28718308,-0.17149808,-0.23585829,0.20416655,-0.00835187,0.11579694,-2.9872092e-05
industry,0.5469255,-0.052330967,-0.12514769,-0.081994124,0.038766626,0.2093134,-0.23637725,-0.12803112,-0.25361487,-0.14371343,-0.31313,-0.1868324,-0.12645261,-0.24825427,-2.6604126e-05
new,0.40293774,0.11136753,-0.14225493,0.13457493,-0.40971184,0.5858633,0.20259683,-0.17229646,-0.43336093,-0.1634414,0.24898957,0.0044177105,-0.39055043,-0.2843087,-2.5876756e-05
ban,0.093710415,-0.18039277,-0.17945786,0.05940867,-0.15666212,0.6558853,0.042052366,0.08886352,-0.75262415,-0.25631243,-0.5954696,0.26114187,-0.13413335,0.14306253,-2.1862063e-05
one,0.1565707,0.053673647,0.016014466,0.18183653,-0.3082015,0.07745696,0.074061684,-0.19033805,-0.13993491,0.41602108,-0.15511304,-0.10888096,0.015862556,0.26454026,-2.1725185e-05
people,0.32767847,-0.12647325,0.23459275,-0.07968966,-0.32325304,-0.03793346,-0.236183,-0.22693844,-0.25527135,0.13663843,0.089672476,0.38317296,-0.23141488,-0.11442822,-2.068988e-05
percent,-0.118524335,0.05868502,-0.2631318,-0.24826156,-0.20863457,-0.15511113,-0.15466048,0.11068292,-0.20621397,-0.20704336,0.43194756,0.061336603,-0.278747,-0.04412719,-2.0320798e-05
say,0.08479536,-0.20062722,0.0099824825,-0.294343,-0.23598523,-0.30442384,-0.12827201,-0.18227234,-0.29831514,0.04595898,0.10478435,0.22868131,-0.13190126,0.0015848494,-1.9204797e-05
