word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
climate,-0.14570466,0.18904573,-0.06854644,-0.09978382,-0.07838306,-0.08270172,-0.08939213,-0.06252868,-0.10949589,-0.11220244,-0.079500325,0.013361117,0.062478162,-0.0396259,-0.094893634
change,0.035201073,-0.021429649,-0.03691562,-0.083671175,-0.095483966,-0.03712271,-0.08654225,-0.060519684,-0.14884058,-0.108503416,-0.0071367403,-0.044437524,-0.002331216,-0.012388007,-0.10340638
global,0.14641742,-0.16867323,-0.05936,-0.097171895,-0.10056118,-0.16924527,-0.10149406,-0.1015742,-0.12311027,-0.11192897,0.049968734,-0.112138644,-0.14661449,0.044251632,-0.093458846
warming,-0.1928693,0.34319115,-0.117553726,-0.0982547,-0.07473321,-0.0016746175,-0.0945173,-0.12505561,-0.20323747,-0.032107815,-0.059710514,-0.059181012,-0.04269369,-0.106092416,-0.09721246
said,0.13364825,-0.10367871,-0.12806004,-0.093964554,-0.06782157,-0.27679762,-0.089903034,-0.045852125,-0.008602788,0.0054868152,-0.18088098,-0.0016846271,-0.0778499,-0.0067558726,-0.0927243
emission,-0.044528287,-0.14433631,-0.06547419,-0.10043669,-0.0533759,0.025618244,-0.08350497,-0.08508127,-0.1364471,-0.13407509,-0.0448462,-0.13623877,-0.13904405,0.076875016,-0.08143221
gas,-0.018009739,-0.034142513,-0.078011155,-0.083496645,-0.0517103,0.10325936,-0.0815214,-0.09512685,-0.082722604,-0.2133671,-0.21903469,-0.036033943,0.27996507,-0.07465397,-0.08134538
state,0.0037307083,-0.09217277,-0.08246905,-0.040967803,0.06660654,0.15945005,-0.07990418,-0.05640339,-0.101225264,-0.08289115,-0.1320892,-0.08551557,0.0161196,0.074956514,-0.08562682
year,0.017729204,-0.04279226,-0.10233847,-0.09513998,-0.08586113,-0.1570762,-0.078541145,-0.14491412,-0.07542335,0.10834174,-0.123238005,-0.037723526,-0.05595008,-0.17532791,-0.08430459
carbon,-0.00077805616,0.015991805,-0.03693065,-0.07632831,-0.070618406,0.07258892,-0.06506046,-0.0929177,-0.1504075,-0.08113512,-0.10957868,-0.19707724,-0.19512539,-0.11399928,-0.08272801
would,-0.0048344876,0.053394932,-0.14677809,-0.10197264,-0.113693856,0.08224278,-0.08314513,-0.13384476,-0.12911354,-0.06975719,-0.06544425,-0.1096539,-0.10899276,-0.08935329,-0.07998392
greenhouse,-0.15851422,0.34086755,-0.0968809,-0.07968321,-0.07995637,0.17430645,-0.07569502,-0.09499536,-0.0857314,-0.214793,-0.16091076,0.00052493816,-0.29550675,0.04949666,-0.081400685
new,0.012949731,-0.046334,-0.16796954,-0.098858155,-0.058552068,0.27244303,-0.07777811,-0.04849199,-0.0594007,-0.012121489,-0.095572814,0.0059550772,-0.16517246,-0.026229892,-0.08732963
energy,0.022219736,0.020760328,-0.13279204,-0.09755259,-0.146936,0.048359934,-0.086079605,-0.09361396,-0.15252495,-0.040894825,-0.16350044,-0.017152969,0.08948302,-0.0035087543,-0.0697436
scientist,-0.23202194,0.31844878,-0.13035433,-0.09070869,-0.04605548,-0.041939955,-0.09831691,-0.16459928,-0.062477197,0.07578521,-0.08003519,-0.14481305,0.04474936,-0.16844617,-0.081519894
world,-0.16984871,-0.14233229,-0.0490065,-0.04500565,-0.122084714,0.039033182,-0.058495402,-0.041815042,0.027058005,0.04747464,-0.11962479,-0.17574795,-0.31941798,0.24815463,-0.09354333
u,0.1269946,0.20326436,0.1427672,-0.07464311,-0.06597643,-0.2077207,-0.09219317,-0.042793512,-0.05453622,-0.11105568,-0.08948332,-0.045219317,-0.075241014,0.11705658,-0.0833804
united,-0.09019069,-0.20052692,0.010924065,-0.11137409,-0.11255735,-0.4405487,-0.07391594,0.06534107,-0.11952044,-0.084370114,-0.17636581,-0.08211618,-0.26342088,0.35506865,-0.09899463
environmental,-0.4246242,0.21604392,0.01214811,0.028690241,0.014885134,-0.1874048,-0.078744255,-0.14953534,-0.069113836,-0.21450602,-0.026934862,-0.0523712,0.3004293,-0.19823678,-0.06976653
dioxide,-0.028898014,0.113686174,-0.13642275,-0.06445799,0.01600174,0.10887767,-0.089061946,-0.10648329,-0.11605491,0.092597015,-0.16295679,-0.16361879,-0.04284252,0.13133298,-0.08094955
percent,0.104975134,-0.026782895,0.034836177,-0.09276437,-0.19879192,0.10449445,-0.08498862,-0.14988576,-0.17772266,-0.2129875,-0.19147578,0.18223704,-0.24841121,-0.20115568,-0.080438554
president,0.030508222,-0.1180324,0.022294177,-0.10508355,-0.18504663,-0.07873879,-0.09139691,-0.10956713,-0.08068955,-0.19755383,-0.26477927,-0.22305702,0.62510216,-0.2680564,-0.06964069
could,-0.053773124,0.47839424,-0.093693495,-0.089082204,-0.04470139,-0.16464241,-0.09264681,-0.090996526,-0.10081426,-0.012446388,-0.005225037,-0.18766996,-0.07854208,-0.11907269,-0.09693082
one,0.059691776,-0.023980066,-0.10336669,-0.059093613,-0.117938794,-0.3088609,-0.09637088,-0.17299011,-0.040147327,-0.10411642,-0.058265638,-0.17536728,-0.009774078,-0.0020543223,-0.10028431
say,-0.27807078,-0.2690957,-0.04919459,-0.07197374,-0.096804775,-0.26998055,-0.09268788,-0.104645744,-0.08262002,0.059567213,3.2940858e-05,0.12732133,-0.018994393,-0.012083562,-0.08406665
nation,-0.22026758,-0.5477569,-0.04509825,-0.09987803,-0.15843406,0.02291268,-0.07503521,-0.0031258087,-0.14956474,-0.13713674,-0.11641326,-0.021243047,-0.31830308,0.47494727,-0.08077781
country,-0.3577117,-0.3058091,-0.14488222,-0.09548737,-0.080755524,-0.12760633,-0.09813393,-0.082505666,-0.017000562,-0.22561933,-0.1316042,0.013166693,-0.45444643,0.5207907,-0.09016848
temperature,-0.1703176,0.07829182,-0.08176351,-0.12319264,-0.1043598,-0.27310485,-0.07003657,-0.13018674,-0.14026457,0.17616998,-0.16698831,-0.100672334,0.006564687,-0.07737534,-0.10877831
power,-0.004654833,0.41032615,-0.049345065,-0.07049811,0.07972975,-0.27210903,-0.07320657,-0.10033899,-0.0702393,-0.19630507,-0.021712674,-0.13266887,0.15558782,-0.22247806,-0.08115801
plant,-0.17357364,-0.002608627,-0.1523733,-0.06531226,-0.051525563,-0.045077134,-0.061699428,-0.10348105,-0.13315919,-0.20233843,-0.079539955,0.11800105,0.0020290187,-0.24400075,-0.06601914
report,0.00888648,0.55814385,-0.033030126,-0.035202283,-0.11886259,-0.043035023,-0.07668207,0.08314511,-0.16080299,-0.042717583,-0.13329461,-0.0652163,-0.1847448,-0.13303743,-0.08317556
last,0.038947053,-0.5423398,-0.022719292,-0.08251374,0.05158164,0.32405418,-0.100929,-0.12229343,0.022862071,0.093676694,-0.070412196,-0.23656465,-0.3154854,-0.19016868,-0.09617799
level,-0.3806928,0.37074074,-0.16850723,-0.06762413,-0.113820806,0.33789957,-0.09016056,-0.0762894,0.1283887,-0.10925172,-0.07152324,-0.124010354,-0.08206396,-0.11648047,-0.08937498
administration,-0.25607374,-0.24731916,-0.12020963,-0.023556598,0.004159423,0.09631878,-0.096197315,-0.13953076,-0.017304273,-0.09083004,-0.10866953,-0.14285159,0.51796705,-0.23028158,-0.09629277
also,-0.20568791,0.15944968,-0.09335987,-0.0958536,-0.07787426,-0.33954322,-0.064192094,-0.12824428,0.075204566,-0.26855177,0.090652294,-0.16027877,-0.1423229,0.23987402,-0.08081335
study,-0.108986594,0.14092916,-0.18197449,-0.0484125,-0.1094312,-0.22360802,-0.021328289,-0.081327826,0.14620554,-0.17152314,-0.12678745,0.01500461,-0.47657153,-0.07774095,-0.0819032
fuel,-0.090705924,0.17783162,-0.012443024,-0.07671443,-0.15030587,-0.15644304,-0.071112625,-0.010027016,-0.11560521,-0.0387604,0.010009518,-0.052703254,-0.051589586,-0.1549046,-0.082014576
