word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
death,-0.09611523,-0.096168265,-0.049405452,-0.040373463,-0.056329675,0.030940017,-0.104881585,-0.08948053,-0.16559501,-0.10109768,0.017114658,-0.036451526,-0.09211987,-0.117740214,-0.10813016
said,-0.07192021,-0.047150806,0.042882383,-0.0013879909,0.013388921,-0.18101798,0.016259955,-0.070103645,0.0781204,0.033205256,-0.13068803,-0.07075905,-0.0577065,-0.0964548,-0.0702387
court,-0.07632992,-0.08609153,-0.24203026,-0.22155654,0.47052968,-0.10530501,-0.33461693,-0.13268201,-0.11695237,-0.0836663,-0.11352734,-0.05648703,-0.2071429,-0.07697856,-0.09161187
penalty,-0.078952014,-0.11407393,-0.029025402,-0.06385366,0.2553504,0.06530479,-0.106123626,-0.08087039,-0.29855964,-0.1279834,-0.06064163,-0.046902545,-0.011887396,-0.06923545,-0.10647346
state,-0.052901432,-0.0045684786,-0.14640845,-0.07243059,-0.43471804,0.08009796,-0.28337824,-0.113806576,0.09021446,-0.16125432,0.117877245,-0.08525729,-0.010279545,0.045388743,-0.088857904
case,0.0652726,-0.041892685,-0.08382944,0.14813967,0.26576203,-0.09784434,-0.44574243,-0.1357131,-0.19723158,-0.10868893,-0.16019346,-0.060676135,0.028375758,-0.10980546,-0.07545127
execution,-0.10595007,-0.109538265,0.06126831,-0.0918413,-0.373527,-0.0032844609,-0.07037872,-0.16971688,0.048201885,-0.16885805,0.09201253,0.10168083,-0.25667897,-0.06316406,-0.098067425
murder,-0.13916369,-0.12450828,-0.15512565,-0.054815765,0.07214506,-0.099516824,0.17822027,-0.1568157,-0.24062364,-0.080615155,-0.078596994,-0.15693383,-0.13718879,-0.115976505,-0.10621389
year,-0.050309364,-0.02999752,0.0039580003,-0.012565351,0.13693011,-0.014014067,-0.24244827,-0.06346038,-0.22939682,0.0774734,0.21915892,-0.12264327,-0.03136788,-0.09102975,-0.09133867
would,-0.11858455,-0.06416206,-0.060780972,-0.08467496,-0.08393317,0.29845738,-0.054538757,0.0088809645,0.008002508,-0.02784451,-0.2207483,-0.06740113,-0.108559,-0.02389588,-0.086312495
judge,-0.10343127,-0.10942303,-0.3088612,-0.13192627,0.3980173,-0.1438806,-0.24574901,-0.11899287,-0.0955167,-0.13340151,-0.30369234,-0.1084231,-0.17978776,-0.19900866,-0.09726804
attorney,0.023452751,-0.06814307,-0.09153544,0.17071308,0.5863431,-0.09181343,-0.08651074,-0.052280955,-0.12892722,-0.2152986,-0.15197098,-0.18269433,-0.14773493,-0.09581979,-0.06557844
sentence,-0.10936198,-0.11345652,-0.13383548,-0.0706773,0.049687024,-0.10664287,0.5111164,-0.1462437,-0.19485278,-0.15632263,-0.08948642,-0.059462115,0.08261838,-0.11567321,-0.104879595
two,-0.10801318,-0.06708405,-0.2593805,-0.16343385,0.23969127,-0.06326643,-0.07815324,0.0026241853,-0.12287898,-0.09318562,0.06525283,-0.15373394,-0.024838153,-0.081126645,-0.10651399
trial,-0.004302556,-0.12335696,-0.14692941,0.14113317,0.049365085,-0.14078467,-0.5325757,-0.18350592,-0.06728297,-0.23778374,-0.08171676,0.031263847,-0.23090415,-0.08949944,-0.091100454
jury,-0.13425122,-0.07285714,-0.04316772,0.055844896,0.26659048,-0.12371339,-0.46226862,0.006022833,-0.12474402,-0.12915345,-0.06561456,-0.08020851,-0.1981069,-0.04767283,-0.08665387
life,-0.099268235,-0.15336709,0.1368578,-0.41527164,-0.20278014,0.045972977,-0.1912388,-0.04237834,-0.06502191,0.23039739,-0.093548834,-0.033581242,-0.23076566,-0.17034559,-0.10681164
mr,-0.17014773,-0.11199223,-0.19559653,0.11936193,-0.029637104,-0.13351606,0.11614865,-0.13930498,0.057421546,-0.23383121,-0.091282375,-0.06390014,0.14088881,-0.12356827,-0.13446517
one,-0.023501024,0.019571757,0.16315278,0.07121597,-0.26417217,0.10270873,-0.059805825,0.044625625,-0.07679665,0.08864752,0.030679345,-0.12129488,-0.11015016,-0.01716099,-0.081754096
convicted,-0.17597018,-0.154726,-0.3511018,-0.20292787,0.32887757,-0.10485962,0.11602879,-0.084457666,-0.22807457,-0.13155003,-0.045391332,-0.08667477,-0.20019579,-0.13401599,-0.14986852
prison,-0.084046796,0.05443339,-0.2414847,-0.08836334,-0.28760126,-0.20364977,0.36197773,0.028323805,0.038076214,-0.041665077,-0.042969543,-0.1846537,-0.16300902,-0.117392205,-0.10728112
prosecutor,-0.057149123,-0.13020253,-0.17527957,0.22112772,0.3051242,-0.19405629,-0.32074505,-0.0716288,-0.16852148,-0.30301893,-0.09797602,-0.15181671,-0.22197028,-0.15690799,-0.104582556
appeal,-0.077661075,-0.04657083,-0.20246468,0.004499335,0.19942014,0.09254765,0.14013569,-0.18344812,-0.13345489,-0.05318071,-0.23876595,-0.16916242,-0.13938208,-0.0904532,-0.091256306
supreme,-0.107573316,-0.1165607,-0.10712901,-0.022849794,0.3237717,-0.030089311,0.036111295,-0.15135136,0.007909433,-0.08160384,-0.118690744,-0.09959202,-0.15793794,-0.18470219,-0.10117704
county,-0.08869386,-0.055398315,-0.11069619,-0.04107221,-0.030366374,0.06146108,0.25616086,-0.16970472,0.007466144,-0.025502501,-0.09218941,-0.15798758,-0.17243172,-0.0862628,-0.075138144
capital,-0.063656606,-0.13311048,-0.06539916,0.016353616,-0.06477692,0.20277572,-0.2902442,-0.21998839,-0.0579238,-0.2256681,-0.023671629,-0.102854915,0.029255824,-0.10527007,-0.10721688
punishment,-0.12729192,-0.182446,0.05415565,-0.37322095,-0.42302558,0.23841129,0.042595543,-0.19869255,0.044103347,-0.2069278,0.075654216,0.07092744,0.06692361,-0.0022022694,-0.10040752
new,-0.06480153,-0.08803142,-0.01959552,0.02354117,-0.004181707,-0.026616424,-0.1027557,-0.10747116,-0.036133766,-0.1395135,-0.051748592,-0.0050281584,-0.07598187,-0.057673216,-0.0990118
lawyer,-0.014566516,-0.053828493,-0.19687428,0.45115253,0.30192876,-0.107583016,-0.30391443,-0.06985658,-0.08018119,-0.17097177,-0.22242397,-0.11730538,-0.34288213,-0.12886079,-0.067057915
killing,-0.12147704,-0.17843552,-0.053315908,-0.5019077,-0.01776707,-0.2466196,0.33697397,-0.15812908,-0.25174576,-0.2765975,-0.15597115,-0.06779211,-0.18990895,-0.15620244,-0.14859837
federal,-0.07307427,-0.00997164,-0.16923836,0.2834395,0.22104658,-0.11470131,-0.05095174,-0.057427794,0.013326051,-0.06213328,-0.047765024,-0.058393303,-0.11424123,-0.1821084,-0.082183
row,-0.036558278,-0.049694315,-0.14274627,0.27052638,-0.05304542,-0.15380451,-0.3457341,-0.17130491,-0.0155583,-0.06534605,0.044764988,-0.07305821,-0.18060134,-0.101495765,-0.09920604
last,-0.004003167,-0.091413744,-0.0072641363,-0.06426725,0.10311364,-0.13921443,0.072774366,-0.14259556,0.060704008,-0.052420318,0.037967287,-0.05683183,-0.018196313,-0.058324322,-0.08271079
time,-0.094604276,-0.033621117,-0.015768955,-0.19576386,-0.010881145,-0.27999586,-0.23460254,-0.0763805,0.09891535,0.09127725,0.09797389,-0.10667905,-0.089341834,-0.11791061,-0.09415759
inmate,-0.09057423,0.07394119,-0.1680403,-0.12603076,0.07171334,-0.18830104,0.059870854,-0.14881808,-0.027105,-0.120850965,-0.12418686,-0.22962022,-0.059324153,-0.12256569,-0.08971415
man,-0.13682236,-0.2123631,-0.025267528,0.060722433,-0.19599861,-0.27414456,0.06293714,-0.10092394,-0.27149296,-0.13434014,0.069112666,-0.16406775,-0.21383315,-0.21054389,-0.1458831
justice,-0.14887625,-0.03182229,0.23408124,0.29269218,0.31115624,-0.34890983,-0.6975196,-0.029125167,-0.25538898,-0.14764576,-0.030260164,-0.13934447,-0.0041388148,-0.026055621,-0.090057515
could,0.017249536,-0.06407128,-0.0022908645,-0.0052429372,-0.38555345,0.044133317,-0.067829795,-0.033770043,0.052034944,0.0728084,-0.12054249,-0.1689835,-0.09842959,0.0038796747,-0.08411475
u,-0.100536294,-0.13222936,0.122872934,-0.096138015,-0.57778543,-0.09085168,0.14938043,0.2687583,0.05608486,0.0077843177,-0.23653598,-0.19186777,-0.13439429,0.011997268,-0.09672192
people,-0.039892223,-0.12467531,-0.029081935,-0.036216192,-0.12386674,0.21828502,-0.08763497,-0.026400179,-0.09587137,-0.26623735,-0.11258533,0.27696207,-0.16196327,-0.08432697,-0.1025333
law,0.005905232,-0.038218684,0.013283866,-0.34134203,0.25020513,0.20866886,0.16063926,-0.112493195,-0.4159509,-0.16760767,-0.045225363,-0.10903935,-0.08565195,-0.06626524,-0.08721611
crime,-0.061396122,-0.008963003,-0.06802471,-0.18139115,0.40850633,0.21663935,0.21121465,-0.12003912,-0.015806152,-0.14653972,-0.033077173,-0.066954456,-0.123353064,-0.09052609,-0.08008165
three,-0.04714538,-0.010488637,0.015465653,0.11030041,-0.08329164,0.060916547,-0.06499599,-0.08741857,-0.20688704,0.058230408,-0.29504055,-0.19773008,-0.120209515,-0.25293416,-0.10906078
sentenced,-0.16455135,-0.100743026,-0.3440913,0.1083441,-0.15867619,-0.11420201,0.67685777,-0.19509,-0.2800544,-0.24501139,-0.14287959,-0.18268983,-0.25534877,-0.1046459,-0.117388025
also,-0.14155915,-0.06883392,-0.26439098,-0.10251113,0.05007575,0.055292614,-0.21426126,-0.008918367,-0.03480823,0.12710422,0.069217965,-0.008171805,-0.13957414,-0.0796649,-0.09451925
defense,0.061549515,-0.08002281,-0.12920952,-0.12647337,0.075385,-0.046332862,-0.6398274,0.0008689161,0.05182869,-0.23303467,-0.08351856,-0.09512891,-0.16392154,-0.16915706,-0.07923315
executed,-0.17686471,-0.15435739,-0.25663993,-0.03166827,-0.68291885,-0.058383945,0.46112046,-0.10841493,0.017819144,-0.16533788,0.32560867,-0.31660143,-0.2224263,-0.09302983,-0.11589687
police,-0.14237279,-0.16766115,-0.21980703,0.047614284,-0.38518044,-0.07432164,0.6765658,-0.18297489,-0.081657134,-0.20361821,-0.15584175,0.053249974,-0.111027256,-0.1696031,-0.09916175
say,-0.15870595,0.03790624,0.23049971,0.20044169,-0.17364661,-0.2647496,-0.08048992,-0.0849567,-0.061795667,-0.20785967,0.10730044,-0.16552493,0.15255319,-0.06736258,-0.093881324
day,-0.13504471,-0.14712702,-0.19434391,0.10971969,-0.26521522,-0.25557587,-0.20271419,0.0056826384,-0.19706427,-0.010296135,-0.16892982,-0.19262372,-0.03567071,-0.038419496,-0.09389594
found,-0.109088324,-0.08105429,-0.22678554,-0.0025277932,-0.4589189,-0.33849153,-0.0008562664,-0.087691404,0.24877617,-0.2946734,-0.086066924,0.0020100772,-0.10698836,-0.09890463,-0.09403455
first,-0.17310423,-0.08364119,-0.14882296,-0.23707676,0.42292973,-0.13766916,-0.22120073,-0.05287188,-0.040810924,0.18161704,-0.079299234,-0.039840914,-0.034950517,-0.1966932,-0.10189398
decision,-0.06551162,-0.093336396,0.019207772,-0.13776642,0.5457713,-0.09181103,-0.4136848,0.046951447,0.24645835,-0.17095707,-0.35791287,0.1089699,0.1335433,0.00990467,-0.06662074
week,-0.05449556,0.022033075,-0.27802932,-0.20347016,0.23861225,-0.024772337,-0.1736246,0.032129887,0.17344221,0.123562634,-0.2250518,-0.15882453,0.11249973,0.0011889742,-0.09755621
since,-0.11900552,-0.12792477,-0.1893947,-0.07533573,-0.041556448,0.011095371,0.45371932,0.03718184,-0.33906463,0.12885198,0.25676736,-0.044451583,-0.20042002,-0.12735155,-0.1103674
evidence,-0.17174351,-0.083458126,-0.2670821,0.60160184,0.038635354,0.09030551,-0.48228228,-0.04020109,-0.24864088,-0.21310565,-0.35714942,-0.060207725,0.092739016,-0.19171531,-0.08152612
florida,0.0017381455,-0.116860524,-0.116174914,-0.37935442,0.15932447,0.09919033,-0.105450764,-0.19226785,-0.025697365,-0.32862297,-0.17441586,-0.27731612,0.070801504,0.17466049,-0.10119511
whether,-0.06322656,-0.07738134,-0.26335025,-0.053911753,0.030899463,-0.094440915,-0.087839134,-0.10895096,0.1764251,-0.09708912,-0.19509812,-0.034377765,-0.17840677,-0.15082113,-0.074040785
juror,-0.120000735,-0.06820322,-0.103048295,0.27368855,0.36057416,-0.21874279,-0.56422704,-0.12242057,-0.32745335,-0.018326385,-0.2073978,-0.13943411,-0.26577327,-0.11662171,-0.08846599
woman,-0.16188402,-0.1786511,-0.08487673,-0.35934144,0.35352683,-0.29586065,0.29203418,-0.17026827,-0.28081736,-0.33706376,-0.26069412,-0.19027139,-0.27869588,-0.21135344,-0.13674103
injection,-0.13856828,0.061028592,-0.07991624,-0.29623926,-0.18593462,-0.097570576,0.3854026,-0.11039008,0.08444142,-0.02436761,-0.1430682,-0.1848568,-0.050970633,-0.1774585,-0.112268396
district,-0.10404094,-0.118898906,-0.13370924,-0.36801082,0.14255269,0.18354468,-0.10742752,-0.13970698,0.012165284,-0.2500876,-0.087818556,-0.20331512,-0.0440992,-0.12284389,-0.08812716
guilty,-0.17585857,-0.11789858,-0.17031054,-0.009656396,0.7391547,-0.05050435,-0.21678507,-0.16076161,-0.11458397,-0.27571997,-0.15677185,-0.10049479,-0.1498208,-0.08970152,-0.10527544
killed,-0.13372372,-0.1290309,0.10595875,-0.31685108,-0.30312535,-0.03347818,0.54189694,-0.020141203,-0.30419278,-0.10503963,-0.38050124,-0.03559636,-0.110106215,-0.13892029,-0.10479355
charge,-0.061187997,-0.16969757,-0.2549634,-0.35147867,0.36806116,-0.37457,-0.26125357,-0.018809862,-0.36169082,-0.31204057,-0.18972495,-0.19110976,-0.18187632,0.009345738,-0.11910545
victim,-0.11680532,-0.004183799,-0.10810467,0.18435648,-0.38675946,-0.14519413,0.43989038,-0.18079218,-0.16702893,0.32151988,-0.23123819,0.11159005,-0.13669339,-0.17970349,-0.09422864
lethal,-0.13938925,0.057215676,-0.18500312,-0.26459238,0.09638634,-0.3398223,-0.22375157,-0.1415358,0.16237088,0.1773624,0.000710429,-0.14135353,-0.09522624,-0.09143072,-0.100263566
may,-0.169452,-0.0017561895,-0.09183443,-0.39117935,0.29094294,-0.20687717,-0.27140296,-0.10608685,-0.0062529473,-0.038943693,-0.059484135,-0.29658106,-0.112388745,0.08058048,-0.11434977
hearing,0.008709855,-0.15522157,-0.14880386,-0.34360176,0.61077195,-0.2748031,-0.5142432,-0.070691206,0.013331259,-0.25880113,-0.24394,-0.18778624,-0.3046306,-0.18256411,-0.09736551
without,-0.054879628,-0.024645545,0.04352344,-0.1319727,-0.72065926,0.085406445,-0.05182049,-0.17084472,0.10695441,0.06109309,-0.14176391,-0.01388926,-0.10198752,-0.11501746,-0.09465413
die,-0.12402683,-0.06003027,0.07056126,-0.19578755,-0.09553247,0.07623649,0.48680505,-0.07590316,-0.03181614,0.24942623,-0.080575764,-0.24121559,-0.24160244,-0.05157775,-0.11284868
monday,-0.13857472,-0.1601967,-0.041787524,-0.4396627,0.5535039,-0.475636,0.11244502,-0.14867263,0.06638417,-0.35166776,-0.2669947,-0.10866624,-0.15774024,-0.056738608,-0.116352595
killer,-0.10613699,-0.1514658,0.11382728,-0.092276834,-0.29596636,-0.10073764,-0.37792355,-0.16336796,0.04468941,0.24742964,-0.034727044,-0.07666358,-0.23063418,-0.23750894,-0.12472877
yesterday,-0.165031,-0.14531991,-0.08857766,-0.21574466,-0.0045588356,-0.04255129,-0.0603804,-0.14281088,-0.0033854689,-0.009557341,-0.21494746,0.04850323,-0.14160421,-0.1399619,-0.10174156
tuesday,-0.12718487,-0.024493191,-0.13724363,0.01469121,0.16102341,-0.29883546,0.20838642,-0.08018211,-0.023914816,-0.29142758,-0.14952864,-0.13142572,0.15487589,-0.13359635,-0.09230546
told,-0.10138195,-0.117713675,-0.25826913,0.16843294,0.19331402,-0.44465876,-0.11941563,0.12256252,-0.10298784,-0.010098477,0.024071002,-0.05140225,0.11647314,-0.06144084,-0.08399709
scheduled,-0.13765974,-0.07626957,0.063028626,-0.042111505,-0.062355734,-0.37976724,0.054940883,-0.1596205,-0.09950296,-0.33486483,0.010533992,-0.11965722,0.16482025,-0.05832149,-0.13780844
month,-0.1272136,0.07350926,-0.19307238,-0.13263293,-0.56751055,0.072025545,0.37250373,-0.09522397,0.14706632,0.017801553,-0.007728157,-0.09665731,-0.18485186,-0.0737167,-0.059277125
family,-0.10646349,-0.07086141,0.28522736,-0.618752,0.07665432,0.029065672,-0.6298485,-0.3117009,-0.1496061,0.6229965,-0.20911032,-0.15486744,-0.11003131,-0.16584788,-0.09805141
defendant,-0.062386565,-0.08264082,-0.19158772,-0.093753844,0.7428082,-0.16234659,-0.43132222,-0.17861538,0.058316205,-0.003894302,-0.079334475,-0.09084206,-0.3906834,-0.091483004,-0.098027125
drug,-0.118382245,0.24759854,-0.20526457,-0.29221845,0.34999073,-0.115519814,0.12983745,-0.2663211,0.26745522,-0.24107969,-0.44056386,-0.23309733,-0.18135531,-0.11766698,-0.12018303
today,-0.17255785,-0.16940156,0.35836163,-0.21368957,0.33057308,-0.35978532,0.05149092,0.03524812,-0.32130003,-0.09000819,-0.094618,-0.21155949,-0.32267448,-0.03109683,-0.12235667
put,-0.025383677,-0.09678529,-0.014592221,0.23900595,-0.4852362,-0.002058614,0.04982305,-0.025443811,0.42690405,-0.23066649,-0.07346984,0.049413856,-0.24598953,-0.09724059,-0.09468047
right,-0.14973922,-0.1299371,0.26493514,0.6108617,-0.43768877,-0.4162149,-0.08877888,-0.13896212,-0.16782604,-0.050388124,-0.0810725,-0.09600943,-0.12450303,0.20303395,-0.09973313
four,-0.094061606,-0.059303,-0.17518984,-0.58750844,0.7285436,0.07713029,-0.38089415,-0.07054091,-0.06344304,0.014046638,-0.021644466,-0.093566015,0.085675485,-0.27016103,-0.10428322
gov,-0.1284551,-0.13176198,0.15999873,-0.15693964,-0.030361447,0.26429796,0.0159598,-0.19990803,0.086470164,0.08118171,-0.349555,-0.158261,0.26465407,-0.19020171,-0.07292624
parole,0.02298443,-0.15580906,0.104006514,0.198838,0.32376444,0.09336054,0.018108737,-0.21976154,-0.13200815,-0.2546671,-0.23695318,-0.012054251,-0.20184398,-0.23159772,-0.11225865
thursday,-0.11839829,-0.16593449,-0.07623227,-0.6994604,0.55839837,-0.20653577,-0.0048666093,-0.13581003,0.15997279,-0.19900723,-0.11786333,-0.26197222,0.0697855,-0.07143463,-0.098217085
wednesday,-0.16248773,-0.19259423,-0.10153907,-0.20758009,0.5822835,-0.16385722,-0.29722467,-0.2768554,-0.07656481,-0.015251909,-0.030267961,-0.09692077,0.011886546,-0.121423915,-0.14892049
conviction,-0.15736276,-0.1165363,-0.41882804,0.5605101,0.12674905,-0.17374648,-0.6777348,-0.1335843,-0.11075129,-0.16917206,-0.40712467,-0.112716585,-0.3521117,0.0907222,-0.10825851
shot,-0.13604599,-0.16507995,-0.2922716,-0.34099713,0.19313405,-0.09886494,0.12786435,0.078559324,-0.014335302,-0.09469888,-0.21323118,-0.17994304,-0.0976759,-0.19325331,-0.11355842
texas,-0.13174583,-0.06938797,0.03176556,0.112389036,-0.8504021,-0.27083614,-0.15109183,-0.1823497,0.17696255,-0.1909284,0.13410479,-0.15319537,-0.07262882,0.22377706,-0.12011846
