word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
gun,-0.023408746,-0.08648829,-0.038450275,-0.047781903,-0.1467157,-0.023725688,-0.0033178986,-0.097840846,0.07010341,-0.12587924,0.06847379,-0.016673464,-0.0863605,-0.025511825,-0.098345004
said,0.1876796,-0.056379095,-0.13291727,0.0027656078,0.06239407,-0.20425576,-0.080139935,-0.18456133,0.037844505,-0.05958254,-0.13555717,-0.06962489,-0.065576866,-0.053433836,-0.08579788
law,-0.1358826,-0.12913035,-0.061282247,0.010102727,0.13343967,0.19677697,-0.06285076,-0.10617804,-0.16386193,-0.1039962,-0.20853819,-0.022215083,-0.026063269,-0.043289315,-0.09327598
state,-0.1396478,-0.10692212,-0.1489684,-0.15444532,0.09889359,-0.0111312885,-0.07410344,0.09838028,-0.09875968,-0.13356322,0.11429504,-0.07884659,-0.113050595,0.22013897,-0.08581469
would,0.0027717976,-0.11025477,-0.07489651,0.11444774,-0.19515209,0.20422605,0.06557518,-0.105675735,-0.038098946,-0.15054932,-0.22997712,-0.16351429,0.04932783,-0.09318892,-0.0899544
weapon,-0.19378158,-0.064287774,-0.007458477,-0.08397845,-0.07701544,0.16019759,0.038985603,0.03681738,0.19190316,-0.117972806,-0.14812995,-0.40664434,-0.012173368,-0.06594954,-0.09216375
bill,-0.27179572,-0.104641974,-0.07753915,-0.18476947,-0.33184314,0.34321842,-0.34100184,-0.23353486,-0.24982898,-0.16366732,-0.2935502,-0.04324253,0.14056139,-0.17913164,-0.07947077
people,-0.09693534,-0.113539316,-0.0006898889,-0.08669998,0.009346292,0.042893384,-0.15020612,-0.07217802,-0.048639618,-0.18995824,0.24107394,0.2713605,-0.02554488,-0.07754922,-0.088711075
control,-0.100758806,-0.08433981,-0.07023569,-0.19346753,-0.3524807,0.058189,-0.15059955,-0.09874964,-0.20871285,-0.15836897,-0.14108855,-0.01446022,0.019590195,-0.080578215,-0.11020351
firearm,-0.06124806,-0.052635,-0.28715366,0.15463674,-0.23021577,0.1884529,-0.1149315,0.023259014,0.18491365,-0.15029235,0.01707701,-0.111265644,-0.20928535,0.002327531,-0.08979825
right,-0.25460258,-0.10802883,-0.12576362,-0.06283014,0.20695513,0.02690483,-0.0079916995,-0.22201122,-0.28704655,-0.029764641,-0.018289464,-0.01891004,0.02640295,-0.041438296,-0.10113989
new,-0.096323065,-0.07829368,-0.09327735,-0.26199046,-0.013733296,0.1490462,-0.024822367,0.033003505,-0.05729098,-0.100474544,0.18372391,-0.10564831,-0.3539077,-0.0759963,-0.09140981
one,-0.07926194,-0.068191186,-0.10381623,-0.0810182,-0.026856711,-0.05677379,0.09809948,-0.06631099,-0.008223016,0.011439366,0.025835197,0.04614198,-0.14093414,0.04963213,-0.10233979
year,0.038352646,-0.05416915,-0.07593928,-0.12698628,0.026385067,-0.03504965,-0.10910123,0.110716745,-0.22379093,-0.039056186,0.16719022,-0.26265305,-0.10025415,0.032692235,-0.08234151
shooting,-0.12492054,-0.05179779,-0.18203893,-0.09901898,-0.14317112,-0.23282096,0.16276759,0.1426585,-0.002416758,0.0625178,-0.00447134,-0.07361553,0.0037542537,-0.02278492,-0.077844895
