word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
immigration,-0.038902592,-0.073221914,-0.056485746,-0.07398973,-0.05279453,0.030942887,0.041409425,-0.12413829,-0.18252775,-0.2305249,-0.060559522,0.023297604,0.0005582607,-0.14720346,-0.113481894
said,0.019267645,-0.069575585,-0.08961249,-0.14203143,-0.13851571,-0.093862735,-0.03839273,-0.050910596,0.11084354,0.008977613,-0.26953146,-0.07024307,-0.1604338,0.0031866378,-0.09890992
immigrant,-0.08076409,-0.21642987,-0.06530309,-0.08649776,-0.20572245,-0.0941237,0.047051713,-0.23729783,0.03770889,-0.26276514,0.1774868,0.055814248,-0.043645255,-0.22123125,-0.12251562
state,0.07199029,-0.0618088,-0.12306731,-0.1160064,0.14851521,0.060755268,-0.053227063,-0.024224862,0.0019062518,-0.08652726,-0.028354425,-0.1763953,-0.08227479,0.080430575,-0.09704731
illegal,-0.010109793,-0.08504693,-0.1953972,-0.0452775,0.2968782,0.18706267,0.109250955,0.06818398,-0.21686901,-0.2199124,-0.2502753,0.1989227,0.007539604,-0.073950686,-0.10816904
would,-0.021844478,0.0015380938,-0.066542126,-0.1340515,-0.068618655,0.26506525,-0.10861063,-0.026948955,-0.106612176,0.2479288,-0.16283463,-0.17502044,-0.14764495,0.067989714,-0.05816308
year,-0.060535684,0.20087124,-0.1341007,-0.09759348,-0.0747325,0.097840376,-0.044806093,-0.19780546,-0.09437261,0.10268881,-0.054816287,-0.09912133,-0.004494062,-0.08817085,-0.11452395
u,-0.022952262,-0.012306108,-0.061082453,-0.08015453,0.0019228654,0.11749069,-0.2711491,0.109546654,-0.120626986,0.03784348,-0.09043614,-0.046531826,-0.36723816,0.13807571,-0.0345597
new,0.09958869,-0.13131233,-0.06063704,-0.0018755229,-0.13920084,0.025844328,-0.23181029,-0.05754639,-0.14040428,-0.03595678,0.1705841,-0.0186634,-0.31491414,-0.10305782,-0.09853592
law,-0.23998795,-0.24120307,0.018293615,0.068453915,0.406426,0.13459025,-0.06250279,-0.12957583,-0.21503872,-0.19194555,-0.17537472,-0.13110724,-0.21992174,-0.14455178,-0.113098696
united,-0.16079493,-0.31290144,-0.09971423,0.10272952,-0.30113304,-0.024435243,0.007794298,0.037922457,0.06723197,-0.10041111,-0.074156344,-0.07164274,-0.30006468,0.1539213,-0.12454741
people,-0.21319227,-0.017794328,0.07822646,-0.008722051,-0.2799417,0.1383047,0.23710728,-0.05495683,-0.007681138,-0.17532803,0.120011225,0.14996347,-0.25785908,-0.1301518,-0.1358293
