word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
marriage,-0.105070174,-0.097546026,-0.027934993,-0.090957984,0.071335964,-0.052577008,-0.08358621,-0.095255494,-0.09445482,-0.042590193,0.009420607,-0.076065116,-0.15266424,-0.09275674,-0.09620612
gay,-0.020809025,-0.10407815,-0.064988874,-0.046633285,-0.13747853,-0.049298547,-0.066954665,-0.1004986,-0.14230728,-0.19236647,0.02397238,-0.020105762,0.09705363,-0.07861019,-0.10191636
state,-0.064557105,-0.09475735,-0.17558618,-0.13215746,0.031692673,0.096262895,-0.108586825,-0.08804869,-0.05442293,-0.089023225,0.016341304,-0.042215955,-0.16006957,-0.016213395,-0.08759947
samesex,-0.07445387,-0.08767241,-0.048674263,0.0712735,-0.14085265,-0.09495277,-0.097852774,-0.08609451,-0.06071052,-0.22866763,0.008663871,0.06064542,-0.06956644,-0.08923509,-0.08794481
said,-0.1610723,-0.07548635,-0.108452745,-0.13553204,-0.16913998,-0.18768845,-0.011137943,-0.08042194,-0.0035474591,0.014059546,-0.19049673,0.056260057,0.15477611,-0.034042727,-0.0794665
court,-0.11645232,-0.08795665,-0.26356807,-0.12997569,0.32024246,-0.15242079,-0.07551807,-0.07831079,-0.079440646,-0.11182553,-0.0411452,-0.15929863,-0.3091482,-0.051225226,-0.08216168
couple,0.032738052,-0.058242418,-0.19093303,0.08455453,0.051269338,0.1166275,-0.06615959,-0.08169933,-0.084933795,0.0542163,-0.059699845,-0.14760433,-0.38837954,0.024191635,-0.08473662
right,-0.083407156,-0.08045371,-0.072689846,0.21005887,0.098910145,-0.14698067,-0.08121451,-0.08097122,-0.055666894,0.019058589,-0.14706786,0.0937627,-0.10777954,-0.06633316,-0.082542166
would,-0.17420928,-0.08894081,-0.058290396,-0.14113031,0.121635,0.23615634,-0.12483685,-0.093254484,-0.052693557,-0.093355924,-0.13005315,-0.1905679,0.085118316,-0.13940273,-0.092610486
law,-0.124844424,-0.08083367,-0.045138262,-0.013996813,0.40915114,0.03454605,-0.059878442,-0.08025348,-0.04229646,-0.19953825,-0.21177173,-0.04283396,-0.21750826,0.018952962,-0.07839068
union,-0.18515725,-0.093787506,0.08617054,-0.06353923,-0.054029718,0.09502509,-0.11709707,-0.09282782,-0.091366276,-0.1999487,0.009835677,-0.11934097,0.09528284,-0.053178016,-0.09292357
new,0.017074564,-0.094003424,-0.1870113,-0.066416234,0.0446737,0.05262887,-0.03239878,-0.08317327,-0.0631284,-0.10944453,-0.050993804,-0.064237714,-0.336371,-0.052194923,-0.08509956
issue,-0.024492614,-0.068420395,0.1577445,-0.16228573,-0.15601395,-0.13183528,-0.123594694,-0.07474704,-0.049861148,-0.24864793,-0.17287067,-0.21308424,0.3027962,-0.04039765,-0.075881794
one,-0.008790399,-0.08713405,-0.04289346,-0.032468285,0.010700293,0.03519838,-0.097612396,-0.084810615,-0.07430736,-0.07858487,0.19308881,-0.14919017,0.1287061,-0.07129229,-0.08372172
year,-0.093921356,-0.0836812,-0.25209892,-0.09840182,-0.028436806,-0.11817034,-0.04200327,-0.08457969,-0.054038804,0.026852164,0.00976755,-0.041141048,-0.018579438,-0.009208794,-0.0849439
