word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
tobacco,0.041149657,-0.08589305,0.04425008,-0.11375962,-0.14950973,-0.08635739,-0.101412214,-0.09498689,-0.03869664,-0.12828165,-0.008247382,-0.07913227,-0.04812864,-0.08945927,-0.09330235
said,-0.038194984,-0.11215785,-0.066983,-0.1132995,0.02679541,-0.20205313,0.021273369,-0.06528199,-0.22753082,-0.0735025,-0.067328505,-0.070045374,-0.06826119,-0.10307451,-0.09438532
smoking,-0.28711662,-0.10929318,-0.16462348,-0.12085788,-0.24896891,0.072952755,-0.14083748,-0.11386853,0.029761344,0.0356511,-0.040601723,-0.07873027,-0.099263445,-0.122759454,-0.11123381
cigarette,0.15507588,-0.085110195,-0.058589347,-0.05947299,0.0046581584,-0.054670807,-0.01751585,-0.102711245,0.010013182,-0.09987172,-0.14362325,-0.03720329,-0.21488322,-0.06657897,-0.096308894
state,-0.08299542,-0.069086805,-0.05349041,-0.101918586,0.11281162,0.080083236,-0.0809183,-0.08539701,-0.104366586,-0.21974099,0.019024707,-0.05161119,-0.004996919,-0.017202713,-0.08427306
year,-0.07181845,-0.045223225,-0.16943032,-0.09563245,-0.011850242,0.07760176,-0.10870056,-0.07122606,0.036042236,-0.016344149,-0.11669276,-0.15652294,-0.07332787,-0.07490642,-0.079932205
would,-0.19712904,-0.10365439,-0.20795144,-0.07256645,-0.13599257,0.2680028,0.015864056,-0.09261217,-0.013859624,-0.19996743,-0.16576499,-0.12148586,-0.013462649,-0.107850485,-0.09043534
company,0.2777077,-0.083302006,0.108239174,0.013230428,0.06280137,-0.10794598,-0.062504895,-0.09933974,-0.18599321,-0.1595949,-0.30673206,-0.15103023,-0.06081372,-0.12041186,-0.09284494
health,-0.30234563,-0.10801219,-0.12509136,-0.080267936,-0.19274403,-0.025961846,-0.06997316,-0.07444528,0.59360355,-0.038512733,-0.11823534,-0.0999133,-0.1459853,0.043225743,-0.08218314
smoker,-0.26190764,-0.0396443,-0.13283509,-0.02370889,-0.11273435,0.118591204,-0.12332793,-0.10511329,0.014096029,0.0052412455,0.09433761,-0.117430545,-0.2314799,-0.14035301,-0.10530244
smoke,0.0720494,-0.118776254,-0.17658715,-0.068367675,-0.1038253,-0.11653642,-0.14633276,-0.0952882,0.18278594,-0.09623884,-0.14823826,0.06341124,-0.049997322,-0.07537547,-0.10957177
industry,0.39173773,-0.08486896,-0.08858224,-0.0911595,-0.031859417,0.111130096,-0.123308204,-0.088108905,-0.19376875,-0.10771838,-0.18038489,-0.08285592,-0.088365674,-0.12853579,-0.08311465
new,0.23777388,-0.07403198,-0.07356073,-0.044618998,-0.24685377,0.40037355,0.03670999,-0.10782042,-0.25382575,-0.13938674,0.083631724,-0.07701154,-0.22128573,-0.12800406,-0.10277249
ban,0.05246218,-0.12715141,-0.11543149,-0.086980574,-0.13622466,0.5545083,-0.08117614,-0.104925364,-0.52105063,-0.11625517,-0.41346633,0.06739024,-0.16448243,-0.034491718,-0.106366694
one,0.07398198,-0.08446223,-0.055707283,-0.022742707,-0.13836251,0.014053717,0.00011533968,-0.10900565,-0.11747155,0.1901167,-0.14127673,-0.070395134,0.014503999,0.0038110293,-0.0942781
people,0.15467031,-0.10929668,0.02354367,-0.10265296,-0.17102884,-0.073808365,-0.15681095,-0.116183214,-0.24394432,0.032668985,0.0053204643,0.2503643,-0.1743274,-0.09909707,-0.10603654
percent,-0.07979633,-0.09941698,-0.13016179,-0.14437556,-0.15952203,-0.119952604,-0.082134575,-0.088954195,-0.17766742,-0.15865774,0.2689038,-0.109875664,-0.18180929,-0.080977865,-0.10143659
say,0.03155607,-0.1218943,-0.025906526,-0.14243999,-0.16236141,-0.2344551,-0.13311861,-0.10591749,-0.23314787,-0.014013275,0.021972813,0.016302427,-0.13512193,-0.08250943,-0.09169661
tax,0.42396688,-0.09703009,-0.21336105,0.054996405,-0.19911686,-0.2722243,-0.060132544,-0.072161876,-0.28839377,-0.16662933,-0.2666988,0.0060488414,-0.13756728,-0.09097703,-0.0794236
city,-0.14283194,-0.1160306,-0.17325833,-0.088041425,0.07176674,0.05039884,-0.000115810086,-0.102883875,-0.117246024,-0.050974466,-0.1715895,-0.03728709,0.1473189,-0.1550036,-0.1039009
million,0.47045004,-0.055627204,-0.1348529,-0.09384759,-0.16323422,-0.25707033,-0.07747961,-0.045725122,-0.4317886,-0.2555648,-0.2738825,0.080579884,-0.22015563,0.011039413,-0.06836626
public,-0.11822222,-0.0909054,-0.05508853,-0.07391185,-0.14195728,0.38812652,-0.14704128,-0.079975784,0.1307394,-0.21731547,-0.10585789,-0.007140145,-0.07588627,-0.07113984,-0.07629809
cancer,0.022335947,-0.09286552,-0.104007125,-0.15693316,-0.2120294,-0.16636972,-0.14894715,-0.084955946,0.2514876,-0.0124802785,-0.15872048,-0.15764786,-0.049127437,-0.12027554,-0.07645142
american,-0.38489294,-0.113407485,0.04848334,-0.0416525,-0.24675162,-0.44257686,-0.07745875,-0.109791934,0.048853103,-0.08182531,0.13542901,-0.018690443,-0.18794551,0.117242284,-0.09848809
law,-0.7608589,-0.08929136,-0.18584903,-0.06921097,0.33983612,0.4128529,0.24214876,-0.06986747,-0.2761373,-0.08723198,-0.3703501,-0.11748312,-0.10921254,-0.12247378,-0.077228956
last,-0.022282196,-0.07310032,0.05370499,-0.0949912,0.045445967,-0.10331749,-0.13879943,-0.094150245,-0.20209984,-0.1818234,-0.14263214,-0.20479707,0.15288036,-0.0942741,-0.085943006
also,-0.48918438,-0.022620875,-0.03722927,-0.11387447,0.01383979,0.15947782,-0.009825052,-0.03855015,0.3039653,-0.2509088,0.11816347,-0.026352106,-0.09806816,0.011969338,-0.079081275
billion,0.26813474,-0.077113435,-0.18856928,-0.16668051,-0.016103419,-0.25690845,-0.06570581,-0.09823641,0.09943391,-0.23500599,-0.13725752,-0.05782556,-0.25531155,-0.09439268,-0.09522601
could,-0.43010524,-0.053689387,-0.18274467,0.103216015,0.41771814,-0.035044756,-0.03540216,-0.06680965,0.112239964,-0.18305925,0.12978022,-0.07777347,-0.2385972,-0.00925329,-0.07552955
bill,-0.40499887,-0.12154962,-0.17025988,-0.031832103,-0.3081398,0.11038532,-0.26027572,-0.105721295,-0.37562737,-0.26823694,-0.26572672,-0.09330892,0.43587515,-0.10896592,-0.100380875
county,-0.22890355,-0.061854247,-0.15957876,-0.096074164,-0.08619674,-0.10837564,0.115862824,-0.090659514,-0.18773319,0.03468671,-0.08223288,-0.06116157,-0.018156353,-0.067076445,-0.08914661
product,0.037444297,-0.073670685,0.20409547,-0.059297923,0.18332398,-0.2332261,-0.028877616,-0.086421885,0.014038433,-0.2655642,-0.15445793,-0.14616561,-0.03399083,-0.018534597,-0.07479054
time,-0.32294315,-0.086479925,-0.123479545,-0.0665794,-0.0416985,-0.5234585,0.18838245,-0.10805162,0.08189136,-0.045922495,0.1344146,-0.17328796,0.058154717,-0.14469805,-0.09464115
settlement,0.3076277,-0.08457405,-0.20999452,-0.11230174,0.121991426,-0.32294104,-0.093440324,-0.07829502,0.10716737,-0.162317,-0.15941419,-0.05145879,-0.1850917,-0.07307451,-0.074004255
court,-0.27130717,-0.101222746,-0.11401338,-0.09458376,0.30597034,-0.44465837,0.05220789,-0.09133159,-0.16941753,-0.09346846,-0.38922006,-0.13381135,-0.44017962,-0.07733486,-0.080890186
group,-0.048560373,-0.12600449,-0.019474406,-0.09826187,-0.056374714,-0.08501424,-0.31153303,-0.118109524,-0.29559842,-0.022752028,0.22378622,-0.116628975,-0.05626042,-0.16224934,-0.10828678
first,-0.36236224,-0.1025344,-0.17936094,-0.029347995,0.07500952,-0.08284896,-0.050314736,-0.107840486,0.25792462,-0.06160739,-0.039885636,-0.08096724,-0.0027384677,-0.1612927,-0.090337045
study,0.34124807,-0.0945119,-0.041212764,-0.12768559,-0.10866792,-0.5222315,0.11875577,-0.05541082,0.2911361,-0.18763337,-0.14440411,-0.15097986,-0.30590293,-0.11347196,-0.07563765
nicotine,-0.6193865,0.09356522,0.11789704,-0.108931966,-0.2888512,-0.14209302,-0.09949438,-0.108764954,0.5292777,-0.15268086,-0.09521196,-0.17005025,-0.1992354,-0.13977925,-0.10256898
restaurant,0.4280227,-0.12200804,-0.16564737,0.07041912,-0.14333427,-0.037742496,-0.2420282,-0.11009543,-0.15132509,0.10459252,-0.27676043,-0.03760864,-0.11479858,-0.12637094,-0.11143332
morris,0.3284342,-0.08405421,-0.054439183,0.0013140975,-0.18459897,-0.28149894,-0.092736214,-0.088237494,-0.32066286,-0.12330167,-0.058487233,-0.1532249,0.039184418,-0.069621116,-0.07971032
two,-0.038115278,-0.04068478,0.02532755,-0.15844561,0.2587087,-0.18925077,0.04908032,-0.10696514,0.23783693,-0.24310891,-0.0038487725,-0.20895106,-0.22690798,-0.09973937,-0.09280329
philip,0.25801808,-0.08634059,-0.054706257,0.0028684437,-0.05948439,-0.27433258,-0.092507824,-0.091584,-0.32529542,-0.15319614,-0.057867035,-0.16493125,-0.15235381,-0.07120836,-0.08234554
program,-0.10870295,-0.12264402,-0.087069735,-0.12957096,0.07019758,0.4726642,-0.23537208,-0.08055591,-0.101180464,0.16949429,-0.21558386,-0.024748197,0.0651311,-0.15103169,-0.0794335
lawsuit,-0.3314712,-0.10112246,-0.11609796,-0.10315778,0.36506814,-0.52762496,-0.22659999,-0.08501234,-0.38522783,-0.1757587,-0.12016539,-0.12781523,-0.2535255,-0.007874556,-0.07835847
lung,-0.56843185,-0.047098253,-0.21233627,-0.13764662,-0.22985418,-0.21808377,-0.18699513,-0.08937986,0.31804934,-0.02848616,-0.38539323,-0.17200416,0.05141527,-0.08139661,-0.08052478
u,-0.09366617,-0.049947347,0.15293813,-0.05190551,0.0050568217,-0.15064701,0.11753579,-0.09404333,-0.3271091,-0.091514684,-0.15508904,0.018169932,-0.0028185658,0.22842373,-0.097259715
federal,0.1269992,-0.12111413,-0.06736306,-0.1281087,0.025301546,0.3286744,0.046037216,-0.055090815,0.039578594,0.041630927,-0.1036886,-0.18633872,-0.2090316,-0.21786276,-0.11110863
money,0.5937421,-0.12037486,-0.01529014,-0.06755875,-0.40647003,-0.6726013,-0.025783533,-0.08941121,-0.17356338,-0.08330365,-0.046454478,-0.1856618,0.09764381,-0.12762618,-0.0836734
government,0.32613918,0.016847322,-0.18003829,0.053241383,-0.19975773,0.045810692,-0.15552525,-0.11592105,-0.07315511,-0.016966756,-0.17180832,-0.14877655,0.13458185,0.03443163,-0.101633444
general,-0.5058836,-0.064558424,-0.046013486,-0.111340374,0.41559196,-0.011304767,-0.13744743,-0.090677395,-0.011435944,-0.06565484,-0.02830223,-0.13393217,0.05692028,-0.04882354,-0.08374372
make,0.0928385,-0.038288616,-0.080216795,-0.18266746,0.33563852,-0.20153707,-0.06078923,-0.092603266,-0.2057962,-0.25717184,-0.1414048,-0.19429703,-0.40982035,-0.07310331,-0.10363882
school,-0.6277696,-0.09323953,0.090143174,-0.19241005,-0.16850953,-0.21034949,-0.104660004,-0.12166469,0.38729182,0.03504605,-0.042932156,0.053894013,0.13945234,-0.14651042,-0.108546756
day,-0.34768462,-0.113477536,-0.050463777,-0.13087583,-0.035603445,-0.10770231,0.029702645,-0.10634862,0.3972852,-0.1037478,-0.15748952,0.071106195,-0.17440294,-0.088135175,-0.09898079
attorney,-0.42926025,-0.069549434,-0.1113108,-0.107768975,0.44521204,-0.36535442,0.06545011,-0.100409426,-0.29000238,-0.16903836,-0.1685339,-0.1669115,-0.32714343,-0.08859569,-0.09603419
week,0.043874126,-0.09525301,-0.123203054,-0.11915458,0.25520068,-0.30687615,-0.09247157,-0.09568376,0.113866314,-0.31466007,0.22014064,-0.123134576,0.083986156,-0.082092874,-0.09089379
child,-0.20327853,-0.093303785,0.052833546,-0.10015878,0.078432575,0.0074055213,0.010303607,-0.09124584,0.002025493,0.24349275,-0.44383863,-0.0015836933,0.068156496,-0.10069237,-0.08258374
bar,0.14473727,-0.11304801,-0.1858391,-0.12764291,-0.019100841,0.17403543,-0.15408258,-0.10636293,-0.23787384,-0.3232051,0.12353339,-0.057860635,-0.19617441,-0.049964406,-0.108059324
sale,0.6436808,-0.10819061,-0.04236183,-0.0022459966,-0.43578264,0.10446018,-0.024819322,-0.0824299,-0.0018609059,-0.2983988,-0.43048435,-0.09094644,-0.120550446,-0.08658978,-0.07480075
case,-0.10535506,-0.054951586,-0.03960848,-0.024601718,0.20644125,-0.59388554,-0.1277215,-0.06068249,-0.4264484,-0.13834271,-0.20444806,-0.10049045,-0.15760034,0.118447304,-0.052511618
many,-0.352133,-0.059343234,0.1433673,0.010887554,-0.04356802,0.050318535,-0.15374598,-0.08165102,0.048309363,0.015301868,0.17672692,-0.09141194,-0.0046951417,-0.09952049,-0.07685181
get,0.17632496,-0.06098114,0.053949375,-0.15423748,-0.09869989,-0.25827104,0.020932289,-0.107968375,0.08784239,-0.16435066,-0.33638853,0.11754703,0.12639043,-0.034593143,-0.09185699
