word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
said,0.027735433790622287,0.027910051219018482,-0.02343786630672967,-0.08485266966992598,-0.06481012743534717,-0.11353008314659488,0.02174672700900063,0.018660042226137867,0.04037875791928857,0.03644574175590244,-0.08709527539128674,0.04714264884130407,-0.020548181682095223,0.0670392409326165,0.10721555993809095
state,-0.025173235963681987,-0.02396321076943063,-0.15605922840020078,-0.04545774624036612,0.07104354455181203,0.0601845256712998,-0.06018381357102324,-0.0009904032889365543,0.03622048812441007,-0.07885353326202478,0.033102283586689304,-0.047262955139111336,0.006342645413158459,0.2232468601404895,0.007803779146917159
gun,0.08627593494133153,0.02450278730193799,0.03545344327647784,-0.018101579195973227,-0.07135794044676852,-0.03495722190991522,0.047108009820344826,-0.043600613044651695,0.07717557576590947,-0.05458172840450508,0.036822531155052046,-0.06821180416784785,-0.09519089090044021,0.08244838676206953,-0.0037848909530213515
would,0.03969711980516599,0.022623710889092898,-0.036443991713903154,-0.010516557571802648,-0.04359371459405444,0.1673736924158684,-0.07171116284660858,0.03795610079852532,0.005578605176809791,-0.004273846099803463,-0.12546203004523207,-0.12832944923086337,0.029910333200999954,0.009550525015885675,0.10764066479991999
law,-0.1623378799612166,-0.18349220467619426,0.05620791527654116,0.10460838360428225,0.2093630254837258,0.1755327633499552,0.07178415689590815,-0.018802637139555118,-0.09474879866313603,-0.025803663484918804,-0.1328685829811023,0.010013970751363132,0.00819329575516044,0.05305121894560168,-0.070700963156415
year,0.04767115483918844,0.19777093792803702,-0.14597092014028035,0.016995252515397522,-0.029344212813893482,-0.01571141167870243,-0.031385476800754715,-0.09232002413553092,0.042331694321917725,0.17418127118896592,0.05652577575826192,-0.09893301538218496,-0.03262310611130754,-0.023451765119768223,-0.06573615436934621
new,0.061270982325056775,0.03188951357058559,-0.14543903549754042,0.10281996270245138,0.02167864095276082,0.06382162672565934,-0.035480372810694306,0.06889242497278737,-0.048534382109228724,-0.03136536142234221,0.07999994095562234,-0.01010625499894504,-0.06095733027953185,-0.056683354513854894,-0.04180700057278665
court,-0.026160848676730068,0.05048384789094014,-0.3171306410341928,0.10029161152419001,0.33697991598017474,-0.11012362082599411,-0.007180699256194676,-0.1390009052293133,0.09979141816219991,0.031813359010933434,-0.005756651132376224,-0.07785939858142407,-0.10131399206295796,0.1331968115304038,0.03196979270034125
one,0.011816517688002548,0.11654120919914876,-0.005877049252611749,-0.03521073062667555,-0.12693359109228367,-0.050317453564407574,0.01383919835522582,0.01316309898189671,-0.02265207554243989,0.06169806980994026,0.05529649434137449,-0.011790332929013495,-0.05265586660232306,-0.00608814913845989,0.03917066037262686
people,-0.13373455260632391,-0.07935052605041636,0.17540604520624967,0.08391757212469309,-0.09298340648475342,-0.043767540764474824,-0.031420676330102065,0.07531737291578937,0.07540779662733438,-0.006137533747295166,0.12303861969315741,0.25560265276378613,-0.10751666558554303,-0.20765823423345525,-0.08612092352864457
marriage,0.053349961692356215,0.06458350582834138,0.029520465260224046,-0.06909831341385261,-0.0560310131906087,0.06454475073077963,0.09862856469672107,-0.04823041542737583,-0.23498770714660336,0.09070984759843166,0.0720188413045714,-0.047457477659959904,-0.012477366413091997,-0.002452296983751404,-0.0026213468761802014
death,-0.07840534965675497,-0.03256441266271315,0.15532470513413554,0.075496619706712,-0.20229050454665432,0.07467485408973837,-0.17875652253401886,-0.08220744765579127,0.20606688652092794,0.01339066172548059,0.0054359768320779225,-0.024102085952967416,0.018771771667282177,0.07669343707434224,-0.027528589741798386
bill,-0.016496697793000024,-0.10067346882279887,-0.057653880458519595,0.04824640318819746,-0.04364974597197863,0.24981479351355043,0.02201358425346554,0.030355736095753656,-0.022005106139207756,-0.07630168340355475,-0.10028652435556533,0.07673647663776911,0.1803365453143718,-0.15598969493440681,-0.034446737124075685
right,-0.22954173619720697,-0.14178395661914,0.03130913159255854,0.27806667607487456,0.17378547716915005,-0.03002222741244316,-0.06193590613457778,-0.049059883514230095,-0.11002019990655422,-0.006543019859389163,0.017803122812450625,0.06751954156107684,-0.0469486707424286,0.14346643996894295,-0.03609478879308462
u,-0.09078033663635213,-0.032926353346504615,0.09944845703037855,0.011389901994793426,-0.013167788965123916,-0.07361941719169561,-0.05348934475456606,0.2062754568931784,-0.05873205677142845,-0.051186910486942135,-0.07144328155813037,-0.09684610984677255,-0.1498000988878593,0.27509250967407933,0.09978537285294481
say,0.007540402420868971,-0.039220555980897666,0.09514567472732866,-0.06283800429774987,-0.054125590332521796,-0.10521574071065136,-0.03335949308259407,0.005989685177987558,-0.018579717354598867,0.021379836847018902,0.05544345746001092,0.0816497475458904,-0.030882535742139217,-0.0063072754381493755,0.08338010876019651
federal,0.11202260836075632,0.048428808274386816,-0.1307631464265262,-0.041027887496192024,0.12167884594787798,0.009576022077302784,0.2189079986212789,0.168788019808002,0.0751030859088934,-0.0056442914518954135,-0.17948456967038104,-0.0901141356786866,0.047188027409150235,-0.33441538191053816,-0.020244003773429123
last,-0.04827200609015261,-0.04296421245539028,0.051958771295730066,-0.07727521253685321,-0.02990500799886953,-0.026908908115872883,0.07930289976114746,0.025400431305087404,0.019595051792423056,0.03793617787128413,0.009923962997435908,-0.02570530034364738,0.012512249735143196,-0.01023198427961283,0.024633087062147993
immigration,0.03565793301149491,0.15243584003825356,0.09011551879732593,0.014301955139124403,0.12086550784641735,0.08080272021725625,0.07171431611937973,-0.18593826977410227,-0.15583355661719292,-0.17819118838149925,-0.06425086161259264,0.10650364164531673,0.030333558617076248,-0.1641832269670424,0.045666111920784576
two,-0.06276215418214971,0.04072704102963696,-0.0905067557041,-0.11665676530632207,0.004852497339825609,-0.09904903258202093,0.17131072791912094,0.022898460082723678,0.06904882434233095,-0.0059353853614020485,0.02587138051918784,-0.07243062850208329,-0.025348494128214424,0.08963298384721725,0.04834730068624905
president,0.01933501336502606,-0.11886957251522147,-0.07274663740493933,0.008387350364263333,-0.04063474052121309,0.09042161191908694,-0.12387790318615455,-0.07767196691367936,-0.13288091693992343,-0.10665690090193079,0.026707543589242575,0.04784267790312434,0.24238270486452182,0.18128022888194764,0.05698150749584827
could,0.0003483139480291486,0.18887067433575094,-0.14795439945294717,0.044837118587568454,0.07325384191321534,0.07008699962071333,-0.02162715461922535,0.14775492970635212,0.08870788812259574,0.0637223544857754,-0.10823068591401619,-0.25383357677180496,-0.10527904132367921,-0.0485735292308995,0.007916266592572094
immigrant,0.12246410958324645,-0.06407997503735956,0.16186359614622536,0.06312133674202276,-0.019808861800489547,0.02309949227646772,-0.017925867006469056,-0.24262020066792708,0.12400876028966239,0.03625127353417391,0.230914706125339,0.14431045402517342,-0.07408104874234303,-0.3899996271840297,-0.09751814828369333
time,-0.11484780562200138,0.05702086621934298,-0.04131294489193274,-0.023741005690886614,-0.06871370118229878,-0.02016362746280453,-0.030295782465439684,0.07921658126296655,0.09688333970500301,0.011363808763728936,0.11256860472109952,-0.040256904165407455,0.014566396770084443,-0.0692024471144488,0.036914621152994494
city,-0.08996435238942357,-0.03346218783715104,-0.12556815119549153,-0.045122587185673066,0.0832701542253298,0.10961402460474773,0.0624576627134966,-0.27019647215189624,-0.01984327725266092,0.08021953036694586,0.04380297632763185,0.08358594638420615,0.1210952626885421,-0.01871175999653414,0.018823230697927677
also,-0.12211491889248281,0.08933882795127245,-0.00994606424770172,-0.06716550320530044,-0.08995146196640645,-0.022371689141990524,0.0011635830707975353,0.047535173922327055,0.16348411782635358,-0.01985118097628893,0.02190623410670365,-0.006622287714854011,-0.0546843994610039,0.03307356162435802,0.0362060071042157
gay,0.09322541234363665,0.05232037671466769,-0.07660772773575383,0.04607760423229929,-0.14374009912236246,-0.0576416264589815,0.16501593700143588,-0.029346598970641135,-0.04538098727889244,-0.09442185072878649,0.04426631498422757,0.03598663796868983,-0.005644370328064683,0.017742851471914737,-0.0018518740933900144
case,0.10667654527801869,-0.02237422135384924,0.04497829538703049,0.18672895285422736,0.16591177383983555,-0.11204532309073224,-0.01061901015781974,-0.09272870564049498,0.028565276144408968,-0.10669015680179772,-0.07063603287188785,-0.16306078302357782,-0.04991056535362719,0.06931969248906883,0.02588426230119688
issue,-0.04654235035245326,-0.18644483378437815,0.2685636400216194,-0.004183131034615414,0.011924102917008563,-0.04381331659862007,-0.29447589114328293,-0.09277638102796945,-0.020482732721705286,-0.13968192033328325,0.077618746766884,0.11446379777976672,0.25130951638075755,0.14146233597871458,-0.03694158284844319
mr,-0.023532544456290546,-0.1060222920390231,-0.07872843229213282,0.04768196178462835,0.017172913715337943,-0.06714707474925502,0.0673264344643054,0.1035115426376394,-0.018627509852695418,0.02161025291659387,0.038233384618809006,-0.051450796115099506,0.12273036770734688,-0.07094401452506269,-0.001814193815101892
house,-0.06320509711552126,-0.12039120987903637,-0.058861616669261534,-0.1015236672785908,-0.04056819905447243,0.03187821540108121,-0.06286122050539038,-0.0010947173898259652,0.07784123460915436,0.1026777977319142,-0.07003849144522163,0.021364464370429288,0.2787567762108202,0.04258589271885741,-0.03656016170493681
american,-0.0742176325506837,-0.06141935001379755,0.0033136154971788304,0.19951840823709183,-0.12010323496756162,-0.15993065867900635,-0.24229383809414284,0.03667883051403104,0.013339540827194058,-0.028689767328463695,0.19211090574228593,0.19279577686454788,-0.10558265390989983,0.1847363863551778,-0.030256328493950956
change,-0.030856237370891767,0.025818382274341356,0.06312481723827171,-0.07166007714881671,-0.07945632593982258,0.07582498665955827,-0.12356816285467351,0.018906155540786132,-0.04608621199224484,-0.024342099300670085,0.10199498190660648,0.13001100476334754,0.04899888728439845,-0.08903298103862392,0.00032287997843318293
ban,0.03397698963027964,-0.09119288846328516,-0.13276075547761984,0.019103418400981172,0.11778153835744233,0.3134582881023193,-0.11583721151682931,-0.10900725671598857,-0.20209997183845926,-0.15127203024640573,-0.13539343547236127,0.22401611945456276,0.15428619273693622,0.08121849016497586,-0.006277487116546168
country,-0.0707810102123862,-0.037400401669600805,-0.011529058368445167,0.11194347560600078,0.028343622770752492,-0.006525476031851058,-0.11367655382146792,-0.0022457535449325527,-0.009170408903627207,-0.03646083877580698,0.09609317321154372,-0.12803040214240058,-0.15077220111598616,0.404650565508931,-0.07443873251072523
tobacco,0.00046753762916424004,0.21446568886721065,0.18587353140032734,-0.17432472539307844,-0.02775140984469814,-0.0034466332019173073,0.13116934969300068,-0.17645413053210143,-0.17856181208010155,-0.20156661349943936,0.02504263439721578,-0.028995577463190484,0.101618211274965,0.1328955364161802,-0.00043158766353711733
samesex,-0.016754585007244027,0.041604913615193015,0.06755003985931,0.07298344280115776,-0.13122067681481828,-0.01152262256764504,0.04699566965367297,-0.038492361091103044,0.09492682564076213,-0.19208891298543151,0.04437840522063411,0.03549187912384293,-0.07176122925358999,0.0587229222787201,-0.0008137104734608548
national,0.05514780350559627,0.05500677583168344,0.05230783182212142,0.000827089422697666,-0.08088869575392735,-0.0652478381451889,-0.014127209215614582,0.18975107260189716,-0.024707814357190338,0.014159965412573174,0.10996851100588374,-0.010832507411942109,-0.043991544878050355,-0.24389803903361812,0.006524599193079195
group,0.08559795554539434,-0.20943299224967216,0.14612454979062123,0.10097642357414913,0.06843123660174383,-0.06359697788958958,-0.17162803779098854,0.03586563851263323,-0.11892274668000072,0.004809164562151329,0.0031245519845780724,0.29381154229378276,-0.05141570249894826,-0.11633172293763835,-0.007412882818216911
week,0.05247202672763451,-0.00035660270976687654,-0.07173093602323011,-0.11203687954305863,-0.0019441853660619494,-0.0452453945272772,-0.0768365911555359,-0.013073902865260783,0.0411280116722177,0.03603914182428665,-0.09934700474193453,-0.012846540548515405,0.06691810234236621,0.26712208088137296,-0.030261325967236248
united,-0.012993318875072195,-0.14830697676811885,0.08053773094387559,-0.036978462772626314,-0.0043595801142338195,-0.058994160893055904,0.041604441514984734,0.14393575881442947,0.05606442011493766,0.012473686361918826,-0.05100730583836008,-0.16902789407319774,-0.31309910447495337,0.4620231082016917,-0.001872342142217235
many,0.05579570628186572,0.07377400532115413,0.03497111601654004,0.13036589633303874,-0.06265947028503577,0.044309269596150926,-0.07044949045144909,-0.11579771112376927,-0.06455701848520061,0.027641891881673902,0.04300249648809667,0.04205494907281986,-0.09492614242210701,-0.02136685845872027,-0.02215863976505855
county,-0.05269992319691399,0.09944774425936163,-0.1275886742956011,-0.028913429526689495,0.06973325565716805,0.12112493786537622,0.1196141175784719,-0.19521845424992884,0.07275568363237521,-0.01685406659037369,-0.005106633859826093,-0.042102529638218526,0.07897772625163596,-0.16052091965529466,0.0673511657684576
day,-0.0721083224653113,-0.0738896948117065,0.034673014319469904,-0.05301674739372101,-0.03856982705385843,-0.14507319622288709,-0.0067262164019366915,-0.06446809017977134,0.0851976514756,0.17734910149040395,0.05619588711841706,0.1196271920784971,-0.04249493056494613,0.008191489341586594,0.015112689270163212
climate,-0.14101793497507703,-0.024732555103749297,0.061826291222108164,0.0889505998756695,0.07872903462998751,-0.1762470847715016,0.08834250685614466,0.05311055892297847,0.059483744195099796,-0.051527879379231124,-0.058953612689128125,0.08790389617565515,-0.042816045170932515,-0.06606422052013669,0.043012700732114044
first,-0.038848306491457464,0.023956776698882267,-0.008551071245600762,-0.0943981977886643,0.08742163127760334,-0.029446814023134083,0.0033393039877198097,-0.01769311159303043,0.10689608184238011,0.07073645468816485,0.11709434866106815,-0.1339564375995018,-0.014075672007628003,-0.053026971910973275,-0.019448014495828732
republican,0.06344436439255542,-0.2500989179937311,-0.018623542133207736,-0.06646405351421539,-0.05751016624547604,0.04235948311790785,-0.06704090281046035,0.10850972354718713,-0.006175069195733944,-0.21725197357369871,-0.12151813232921861,0.12043486507800875,0.626749032113924,-0.1372238902516379,-0.01959082020220321
weapon,-0.08398037786579378,0.02125625586556179,0.053130305689081295,-0.09178481697217063,0.0014722932234322022,0.09484684199457653,0.04550044591110552,0.10818472484960394,0.09863179430301124,-0.05329190829076415,-0.05109335728043202,-0.20526080175830128,0.010755038741126585,0.05356678477450366,-0.0019332231845408832
percent,0.06972299002248741,0.062014500660669755,-0.08469261859444849,0.10280809787731332,-0.17445236620256305,-0.036871277286269814,-0.013168605422039906,-0.08869515244856906,-0.09741191332616675,-0.06370883391362207,0.18548796455666947,0.3368851726868442,-0.08307342150285688,-0.08283032800402396,-0.0320142091034252
school,-0.0672248919444431,0.02309334066341783,-0.006594784164997692,-0.0008559843885855151,-0.013557144596420505,0.004218420578571624,-0.08264938203921207,0.05217695037381874,0.07713407381447361,0.08062811958015803,0.027687503978085455,0.01733332649310655,-0.01483607769037556,-0.20908428082007932,0.11253081016248137
public,0.01787357777888263,-0.12868945035168197,-0.022888540370693936,-0.03644613055083718,0.002298775560627489,0.10115378160437284,-0.11702370775031369,0.017660396191349823,-0.04841328550953698,-0.03303162354383705,0.08728088131093586,0.22192909096431995,0.11184781572069953,-0.16362221955662412,-0.009929361497662192
make,0.11358300368088345,-0.01961249335561317,0.11779171946831862,-0.06540488128628755,-0.06521396326930409,0.008371943929299833,0.006916821184133624,-0.10893191325961334,0.01639394109550549,0.08273578731164272,0.090653617470383,0.046643150211335,-0.09117137241089826,-0.0870205906773121,-0.045734770092472746
control,-0.04524980609492134,-0.0715651568569727,0.05928530268130072,-0.08951924110314192,-0.10816716866973455,0.08093812865151569,0.0054421097961414,-0.05934029341776806,-0.009281524866447547,0.028772722597416645,0.08709736994945362,0.07859421550093655,0.08439249285960777,-0.030891774456637808,-0.010507376570748354
official,-0.10653999966899305,0.14349697635424952,-0.1495954989341372,-0.14785654658560748,-0.01822578076665617,-0.015915398744054204,0.1892707848404471,0.18887385026519668,0.03320316361195063,-0.21606849932291056,-0.07156656299821297,-0.14875639594240722,-0.030177695072323946,0.23605671812189372,0.11380088484156414
even,-0.02685482851247812,-0.04121759460354824,0.15439550558062656,0.06605980031121231,-0.13262981270966878,-0.04276068022712628,-0.08770583327467396,0.015943746236537673,0.002457187165989265,0.14455871467687864,0.11217099814692756,-0.12308267712762887,-0.0001627045500529673,-0.05055530310722948,0.009383481994234881
senate,-0.06860636884236279,0.0911397887508047,-0.08269557691627535,0.11971073043105881,0.014675219067760823,-0.01831460143511406,-0.008546087795751672,0.11214107216530163,0.06327533000594486,-0.11884975752165552,-0.17918172315175143,-0.08096842431310142,0.2680697347091009,-0.09511470497527541,-0.016734630178683638
government,-0.017825094558784605,0.05208068725574651,-0.03978066014633232,-0.0589096326143817,0.037128498009523274,0.019433215890249187,-0.05087540132775485,0.22136132081466534,-0.004156544855705158,-0.08097301400160015,-0.04404510636779967,-0.1690005633648765,-0.09478426194089329,0.2408899218560954,-0.010543364648151622
