word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
said,0.12861437,0.082634516,-0.02680803,-0.028580312,-0.009785484,-0.069523014,0.025691593,-0.059611887,0.09644088,0.09433314,-0.07193804,0.03606816,-0.028941855,0.113085434,0.017807532
state,-0.092325754,0.06511819,-0.2898794,-0.11679903,0.041565627,0.035794526,-0.049983066,0.20682596,-0.056541163,-0.17919555,0.13311139,-0.066025555,-0.045709524,0.377024,-0.18326996
gun,0.10104398,-0.15878546,-0.027496431,0.020334588,-0.08469816,0.0036871787,0.039215617,-0.16394198,0.16689,-0.19159369,0.10669249,0.0133259185,-0.061140064,0.14853524,-0.31387362
would,-0.06684313,0.17380923,-0.2638904,-0.048937533,-0.08285495,0.13056667,0.03050522,-0.116074584,-0.016213419,0.050723057,-0.22042324,-0.2026701,0.019606711,0.12390766,0.19843197
law,-0.24624757,-0.6676871,-0.080771565,-0.0017661275,0.188698,0.13743502,0.01701879,-0.20311777,-0.23381646,-0.14381005,-0.15463677,-0.12696142,-0.07944426,0.036555316,-0.2681812
year,0.039664723,0.24349545,-0.2410985,-0.03625546,-0.043790195,-0.005100031,-0.118840635,-0.026594618,0.0065127937,0.21319349,0.08466501,-0.18743908,-0.033529688,-0.00493067,-0.2968568
new,0.0894372,-0.08715066,-0.23942554,0.13374965,0.033421077,0.0932437,-0.0497308,0.101152435,-0.027830744,-0.07303095,0.08429364,0.021981178,-0.14921945,-0.2134544,-0.15747865
court,-0.005699166,0.31260023,-0.7904653,-0.13218957,0.24587338,-0.10880364,-0.12759504,-0.5467322,-0.19186495,0.09897522,-0.10311388,0.19096445,-0.24331231,0.3122565,0.11625784
one,0.1354145,0.18943715,0.12709865,-0.019540913,-0.10017178,-0.006068828,-0.021736333,0.13489601,0.008750525,0.077930704,0.055381298,-0.11357531,-0.036046427,0.19879502,-0.09282897
people,-0.048004467,-0.26354328,0.23070823,0.017141473,-0.12617464,-0.07918228,-0.02422006,0.0015538121,-0.068314,-0.06186778,0.20734556,0.2715647,-0.06468257,-0.41192803,-0.29328606
marriage,0.124039136,0.09962899,-0.04204617,-0.1342973,-0.08164484,0.111786485,0.3348415,-0.3591953,-0.039412525,0.24093032,0.116964005,-0.15987903,-0.0022939125,-0.16742867,-0.19461758
death,-0.23376478,0.023002991,0.3990416,0.019641474,-0.20069325,0.15993088,-0.21564688,0.23470283,0.3102626,0.027740078,0.11531663,0.26271772,0.08003598,0.35975385,-0.3468856
bill,-0.34169793,-0.31977776,-0.31927904,-0.15044764,-0.113428,0.16735804,-0.14730507,-0.18296964,-0.3259613,-0.12545632,-0.20789391,0.071831666,0.08710964,-0.27816275,-0.18476897
right,-0.35723191,-0.5563209,-0.28577545,0.30178612,0.13767394,-0.068299666,-0.05016566,-0.036092725,-0.24859875,-0.091973506,-0.037118964,0.059151683,-0.053699456,0.16676958,-0.29639742
u,-0.12853709,0.02235402,0.2697448,0.10412093,-0.04270284,-0.08158159,-0.05854869,0.41109794,-0.096828505,0.01589634,-0.0742918,-0.07097258,-0.15539141,0.63756156,0.18623208
say,0.010250239,-0.076426424,0.28293923,-0.04563521,-0.07652169,-0.073005415,-0.009844752,-0.2118509,-0.08682275,0.12802674,0.111394145,0.02678579,0.03230845,0.14754958,0.20590019
federal,0.12152634,-0.07093949,-0.019022636,-0.08810552,0.049704008,-0.0043329047,0.050393812,0.15578566,0.09133878,0.12564391,-0.08762659,-0.031157449,0.014717001,-0.7267402,-0.027638748
last,0.08596223,-0.19496046,0.34481832,-0.030445881,-0.048292853,-0.00028454885,0.037170645,-0.19265093,0.064310275,-0.021319045,-0.06375049,0.032248523,0.02069711,0.081980266,0.19373794
immigration,0.12997106,0.13621074,-0.01622483,0.053402208,-0.005803229,0.061448127,0.007127701,-0.20815854,-0.00023603448,-0.18735789,-0.0645828,0.08858175,-0.0142083485,-0.20212607,-0.14719439
