word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
said,0.13083194,0.04595577,-0.02187454,-0.021167083,-0.0024036295,-0.06395993,0.026248371,-0.058865532,0.09771343,0.10085053,-0.07435573,0.037629064,-0.019779243,0.08512992,-0.06305298
state,-0.07895932,0.05439481,-0.24007268,-0.11196585,0.04483657,0.0382546,-0.05122051,0.16838501,-0.0633012,-0.15959318,0.13017629,-0.06000984,-0.036980372,0.30259663,-0.09166568
gun,0.075414665,-0.37709966,-0.056244694,0.004096424,-0.072000794,0.03915166,0.0492833,-0.08088438,0.17745776,-0.2892209,0.12704034,0.08881698,0.026592402,0.130818,-0.10264465
would,-0.057157423,0.16799816,-0.21927536,-0.044915196,-0.070996255,0.13403139,0.04142385,-0.117715485,-0.005072879,0.050082613,-0.21255581,-0.19378144,0.026031692,0.0828236,-0.03900892
law,-0.22436963,-0.5600207,-0.07113889,0.010945095,0.21791884,0.17165089,0.04646329,-0.14505728,-0.1850991,-0.13309348,-0.11612042,-0.065951146,-0.019588817,0.06279662,-0.11818051
year,0.052482456,0.25248158,-0.16975524,-0.032188497,-0.03822995,0.0009884797,-0.11153911,-0.03632264,0.015493785,0.20873557,0.08382535,-0.1718303,-0.024437211,0.017835278,-0.12341574
new,0.102353565,-0.04891044,-0.17427215,0.1619058,0.050232127,0.10762468,-0.04104218,0.10594174,-0.024132108,-0.049790233,0.08370647,0.040939413,-0.12262058,-0.14167595,-0.08502858
court,-0.023947086,0.20103475,-0.70498145,-0.120442525,0.23974961,-0.12521778,-0.14119625,-0.4815022,-0.20422381,0.068754345,-0.11066488,0.16176215,-0.2522256,0.19525883,-0.051687457
one,0.12515187,0.17160316,0.10831696,-0.023394493,-0.10168834,-0.008766648,-0.027104827,0.081595466,-0.009001345,0.04894828,0.0376484,-0.10852766,-0.03531167,0.17300445,-0.094327964
people,-0.033361275,-0.26732478,0.22863941,0.014774763,-0.10636252,-0.054592367,-0.0073377723,0.01197009,-0.054966025,-0.044819485,0.21875058,0.2929097,-0.043097556,-0.31936812,-0.16094545
marriage,0.09035003,-0.18600067,0.079040565,-0.06693658,-0.0028124996,0.10786409,0.11054222,-0.53200233,-0.15912196,0.31103453,0.15515243,-0.07936853,0.060936786,-0.17267685,-0.09666
death,-0.3150041,-0.19164157,0.33642864,0.06555732,-0.1402401,0.13247566,-0.17857504,0.109641194,0.28215495,0.014894238,0.07801444,0.20687507,0.008537913,0.1987523,-0.14269252
bill,-0.30288076,-0.2537658,-0.2518631,-0.13471134,-0.09555383,0.19362897,-0.13054617,-0.13068917,-0.2961694,-0.102539554,-0.18377458,0.10056078,0.11903982,-0.22300029,-0.08088764
right,-0.33415923,-0.50963956,-0.20733783,0.32191268,0.17397873,-0.032999724,-0.020276062,-0.016471881,-0.2131166,-0.058981664,-0.001791465,0.1071017,-0.00058873405,0.16026518,-0.14003094
u,-0.14995906,0.0010649789,0.21934897,0.07711358,-0.056624487,-0.09820997,-0.076318555,0.3350653,-0.12873301,-0.0010936194,-0.090786345,-0.08094262,-0.16411623,0.51083076,0.035072204
say,0.02175092,-0.05629186,0.23087853,-0.046890978,-0.07824298,-0.07444319,-0.015995169,-0.19104709,-0.086178385,0.10987685,0.0957747,0.014895458,0.027331505,0.096633054,-0.009106844
federal,0.12784205,-0.0021320696,-0.036114793,-0.08345298,0.055164743,-0.0033142169,0.06659467,0.15352125,0.084708884,0.12633735,-0.082189925,-0.04408734,0.0089233685,-0.5930069,-0.045579217
last,0.06751697,-0.202961,0.24676874,-0.025259316,-0.04177893,0.0019527426,0.04514185,-0.1546742,0.05286857,-0.023534488,-0.06489533,0.030566968,0.023521386,0.07218687,-0.053659245
immigration,0.13468598,0.07690603,-0.13458502,0.056075532,0.016916225,0.06476679,0.074321315,-0.12404264,-0.039173666,-0.11033025,-0.00542431,0.0855549,-0.025688656,-0.1433951,-0.053662106
two,0.08998832,-0.0035663117,-0.18168326,-0.13495675,0.092285916,-0.115547985,0.16316602,-0.18142691,0.106057964,-0.03704068,-0.09444708,-0.10342644,0.02910826,0.20417961,-0.063732885
president,0.06586893,-0.06980296,-0.23547499,-0.19539063,-0.07921112,0.01958739,-0.3031297,-0.37565175,-0.24893686,-0.18550807,-0.004118078,-0.06418278,0.23306452,-0.1725521,0.0053434237
could,-0.0316434,0.14586024,-0.1296491,-0.056599297,0.13129333,0.09847516,0.04094791,0.18505973,0.12695643,-0.091823176,-0.05828335,-0.46557382,-0.064202346,0.013563014,-0.05126235
immigrant,0.154222,-0.22255337,0.22142105,0.17320423,-0.01919675,-0.011250972,0.028952895,-0.41382772,0.30774745,0.12853093,0.36742553,0.22379857,-0.040746592,-0.97243893,-0.06602038
also,-0.2229187,0.2442439,-0.007871461,-0.042951375,-0.051462978,0.026822422,-0.06898806,0.1348585,0.055167187,-0.004535926,0.04443571,-0.022885181,-0.010994419,0.10300702,-0.04498698
time,-0.098310165,0.19536598,0.12050186,-0.11268203,-0.020401264,-0.06679901,-0.012634913,0.26713938,-0.0058481405,-0.063107856,0.057121765,-0.052173644,0.032733556,-0.13753928,-0.07137478
gay,0.24580991,-0.3192816,0.006616285,-0.006130019,-0.05757911,-0.107714586,0.21625113,-0.58272094,-0.33130565,0.025663603,0.09241794,0.27942878,0.07840917,0.14131208,-0.11675602
city,-0.12607412,-0.031721473,-0.1865153,-0.0116518205,0.10307502,0.06789706,0.058897313,-0.38119408,-0.12845246,0.0641579,-0.042265993,-0.05984524,0.097487025,0.03167237,-0.13377626
case,0.0646409,0.11645394,0.08851495,-0.032586187,0.16751118,-0.12955558,-0.077482976,-0.35473582,-0.020312382,-0.27110103,-0.10919057,-0.10019456,-0.08729796,-0.083137326,-0.069223486
mr,0.036327235,-0.11884206,-0.2891062,-0.047469754,-0.01240976,-0.03787837,0.020168168,0.1464612,0.009772309,-0.088459775,-0.05409092,-0.027894087,0.12952141,-0.0020984202,-0.16936897
issue,-0.16007273,-0.36962324,0.31105304,-0.19652362,0.024535932,-0.098593,-0.24833637,0.057042837,-0.14482474,-0.16021115,-0.14515214,0.11509779,0.15299633,0.069236055,-0.09997197
house,-0.1515138,-0.38681775,-0.17093077,-0.36488643,-0.13639177,-0.10382254,-0.29384473,0.030826613,-0.050871275,0.091519296,-0.24936669,-0.101706795,0.22880967,-0.22783992,-0.08605273
american,-0.13818306,-0.09630944,-0.11995261,0.3121244,-0.116414085,-0.14307521,-0.2594285,-0.27953014,-0.11869552,0.009337067,0.21174301,0.2711452,-0.096069254,0.55456513,-0.15301725
tobacco,0.06630696,-0.5183937,0.5096654,-0.5573086,-0.06187345,0.25457507,0.019575227,-0.59029853,-0.019059906,-0.12690401,0.16549999,-0.014248858,0.15745993,-0.10990905,-0.11083694
change,-0.16314346,0.007342567,-0.03936342,-0.2081276,-0.076238796,0.1031403,-0.19919768,-0.15581232,-0.21849237,-0.0054548425,0.06264737,0.15991142,0.074165806,0.16926543,-0.118691035
country,-0.055728182,-0.23298977,0.02180799,0.15347718,-0.11775875,-0.0801135,-0.26408112,-0.28824392,0.07415177,-0.117143534,-0.03731674,-0.27201188,-0.22879134,0.6521662,-0.18988237
ban,-0.015806591,-0.6389055,-0.06910666,-0.24953657,0.046566352,0.3432102,-0.12791997,-0.3537174,-0.057986103,-0.294798,-0.3667259,0.22104363,0.064806856,-0.008489374,-0.09364426
samesex,-0.010178895,-0.5591915,0.20860098,0.34874597,0.022738455,0.06117524,-0.25012043,-0.561042,0.2699436,-0.23266825,0.11863754,0.33236906,0.03801341,-0.13994618,-0.0795914
national,0.0035627945,0.013731012,0.27220595,0.08386997,-0.10030472,-0.06980158,0.025252502,0.4727639,-0.065011606,-0.2220127,0.14774255,-0.18351561,0.039686315,-0.45900315,-0.0843711
group,-0.04983277,-0.47476405,-0.16411631,0.12871969,0.11756908,0.03588209,-0.11862224,-0.17717728,-0.18664388,0.14196107,0.0527735,0.33249044,-0.08619885,-0.1843038,-0.09509761
week,-0.049984552,0.12405862,-0.5042118,-0.2573554,-0.00228487,-0.05095009,-0.07208761,0.06579023,0.14214855,0.19832616,-0.0142542245,0.00751491,0.07084451,0.38560972,-0.12050069
united,-0.025042562,-0.41343924,0.0062913983,0.03761114,-0.1898624,-0.10689907,-0.057469252,0.05786743,0.030249177,-0.0057998225,-0.1669709,-0.0396446,-0.26440957,0.48607218,-0.16748695
many,0.10519914,0.12443038,-0.009473195,0.07694255,-0.01836017,0.11316206,0.024541005,-0.24216989,-0.12153524,0.11750287,0.04194289,-0.03715956,-0.057774674,-0.10562642,-0.13538904
county,-0.0073078875,0.1811801,0.042875722,-0.12952751,0.045993377,0.0395184,-0.0010807891,-0.28663665,0.17486577,-0.018941212,-0.0865285,0.03589588,0.052142844,-0.33369026,0.009639972
day,-0.09562499,-0.038644556,0.22807074,0.0720034,0.039748278,-0.11562737,0.002258619,-0.22804455,0.2724102,0.08888162,-0.0334856,-0.020528229,-0.052517407,0.20025234,-0.09599748
climate,-0.058005285,0.1625053,0.3341933,-0.37147194,-0.030119235,-0.038458366,-0.488558,0.25579327,-0.032263823,-0.09507938,-0.14188467,0.09623192,-0.04512522,0.059431285,-0.079373054
republican,-0.07833492,-0.6893193,-0.2713903,-0.61654055,-0.22131442,-0.040741354,-0.12849844,-0.28442395,-0.037190996,-0.60493416,-0.37473565,-0.14396925,0.34108046,-0.3217043,-0.116730995
first,0.07534024,0.025034534,0.14579836,-0.122933455,0.15669021,-0.0312285,0.03285468,-0.28004733,0.17800887,0.04573116,-0.06904687,-0.149431,0.056046665,-0.3269964,-0.09012217
percent,-0.06972945,0.07366523,-0.22585449,-0.009966906,-0.055214122,-0.07803776,0.088060014,-0.067243084,-0.0009756743,-0.05455822,0.22789389,0.24331902,-0.14348271,-0.20652972,-0.109295584
weapon,-0.22144488,-0.25148094,-0.15862194,-0.10772529,-0.0013259589,0.061153557,0.058425233,0.19110481,0.24907604,-0.264924,-0.07472354,-0.3026716,0.08510712,0.04090439,-0.06806519
school,-0.2831982,0.10137053,-0.26092505,0.14323193,-0.009522581,-0.07180695,-0.12655208,0.20929407,0.061684385,0.044234417,0.063488655,0.0034453596,0.0243577,-0.0074486993,0.0023811795
public,0.1957972,-0.39320463,0.022085305,-0.010235306,-0.0764124,0.06704574,-0.02810187,0.021807145,-0.19400954,0.043516446,-0.064882204,0.2851635,0.051594745,-0.17487194,-0.1261721
control,-0.21732992,-0.2570267,0.048198555,-0.32747805,-0.10878927,0.12133375,0.064223096,0.052300353,-0.1512882,-0.046891555,0.039191063,0.04676409,0.10570773,-0.058289114,-0.13949099
make,0.17014728,-0.11141111,-0.016829154,-0.23453167,-0.02983523,0.008314029,0.052942663,-0.28283715,0.11090706,0.13676135,0.17191887,0.15792052,0.0067345044,-0.19765706,-0.18991515
