word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
said,0.08202966,0.006921018,-0.040253963,-0.04758357,-0.042636067,-0.10138586,-0.0028425856,-0.07174343,0.04522683,0.050932523,-0.12726952,0.008016703,-0.023968022,0.091026306,-0.022032417
state,-0.09025855,0.038528986,-0.21743847,-0.09486797,0.06006198,0.05814682,-0.07011858,0.19307113,-0.003173196,-0.09380778,0.115295134,-0.045226205,-0.03232025,0.36869812,-0.109802246
gun,0.1066858,-0.14718468,-0.011433234,0.028566005,-0.05947793,-0.0067884824,0.055685572,-0.14001286,0.16301486,-0.1720239,0.0724019,-0.011971632,-0.06253325,0.1531117,-0.25971085
would,-0.06855898,0.13018894,-0.18500431,0.020890843,-0.06315379,0.14905141,0.041554872,-0.077328764,0.005756728,0.08084398,-0.11674862,-0.12577085,-0.000989004,0.11642109,0.16540623
law,-0.20639221,-0.52619755,-0.03398538,0.026644755,0.19785592,0.1382991,0.04038915,-0.16978131,-0.15514746,-0.07547477,-0.106789455,-0.07171773,-0.069295235,0.033475347,-0.29309455
year,0.011996063,0.18449399,-0.23425315,0.040788397,-0.04559054,0.0074031795,-0.13624768,0.00068430504,-0.08846179,0.16148275,0.047530007,-0.13559544,-0.025877748,-0.021812804,-0.30385903
new,0.079021506,-0.096905015,-0.24184456,0.046877556,-0.010903001,0.07908176,-0.08806324,0.114844896,-0.023428459,-0.060667645,0.07708129,0.06347384,-0.13854001,-0.23432952,-0.16211426
court,-0.02889488,0.21607988,-0.79943,-0.16495939,0.28660116,-0.1305482,-0.16111036,-0.4434558,-0.20246403,-0.033401914,-0.16706745,0.04509106,-0.30165383,0.052415613,-0.028293464
one,0.11860862,0.20939541,0.12333684,0.008551954,-0.05784182,-0.0160442,-0.030974714,0.11670855,-0.043304954,0.063427605,0.04921421,-0.06668132,-0.030248925,0.09764404,-0.15814608
people,0.00395583,-0.16441695,0.19483416,0.03966519,-0.07368758,-0.02295954,0.02313137,0.09458514,-0.026689826,-0.07444818,0.1914211,0.24770042,-0.04230425,-0.28602624,-0.33604103
marriage,0.11481741,0.1957603,-0.028370224,-0.08895864,-0.05729901,0.06885692,0.33880746,-0.19429787,-0.085089326,0.21710192,0.05705742,-0.10384039,0.006046308,-0.15246776,-0.14935248
death,-0.20155206,0.035751652,0.33457667,0.05439839,-0.09332166,0.12508874,-0.16161144,0.1832841,0.26685283,0.06973926,-0.034879345,0.21116658,0.030393098,0.32507858,-0.3094136
bill,-0.23775253,-0.33982202,-0.2221618,-0.11666247,-0.12357004,0.19712155,-0.1346998,-0.16999474,-0.27329135,-0.09113163,-0.19912064,0.045373064,0.0884262,-0.15406606,-0.20994182
