word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
said,0.053389877,-0.02608916,-0.05637199,-0.06818864,-0.04332108,-0.10526938,-0.011957787,-0.07489596,0.028125957,0.030104252,-0.13423803,-0.009377435,-0.02928517,0.0051926365,-0.09073958
state,-0.07309034,-0.011312121,-0.1595076,-0.07726548,0.054767534,0.04807248,-0.06808139,0.07697872,-0.013872435,-0.07755219,0.08473274,-0.05568542,-0.03525942,0.13731016,-0.09894842
gun,0.010440848,-0.24700014,-0.09232684,-0.046097647,-0.10214677,-0.022114336,0.0136101255,-0.07214016,0.11074445,-0.27766386,0.052535594,-0.00043096195,-0.025218083,0.02761693,-0.116053455
would,-0.07156305,0.052458107,-0.10652043,-0.004975593,-0.06392321,0.14040314,0.024083078,-0.077168085,-0.013706751,0.033004362,-0.1266969,-0.11197609,-0.003911481,0.00045599544,-0.06431656
law,-0.19516885,-0.30392632,-0.05564749,-0.030964905,0.17911334,0.12743025,0.02198221,-0.123606786,-0.15982683,-0.10325102,-0.12058548,-0.06583589,-0.057363957,0.0063110315,-0.11615165
year,0.0061571314,0.12157601,-0.15209745,-0.016867278,-0.05275544,-0.003099098,-0.1264264,-0.04426817,-0.08354348,0.116970524,0.020803668,-0.13602193,-0.032081995,-0.039478518,-0.12777449
new,0.04298903,-0.07718997,-0.14169842,0.022451747,-0.007949482,0.06694721,-0.10007399,0.0078600645,-0.05538265,-0.05896955,0.038727183,0.0067643607,-0.14006609,-0.08660264,-0.10343679
court,-0.07137674,-0.03322526,-0.41482127,-0.14461881,0.28395072,-0.14506972,-0.15706824,-0.26127657,-0.15827174,-0.057232358,-0.14654431,-0.043129716,-0.3018305,-0.042872652,-0.0852973
one,0.076494224,0.09802034,0.041452017,-0.026893068,-0.06256036,-0.02902355,-0.037071936,0.00063227507,-0.049149405,0.025087375,0.024221968,-0.0756795,-0.03449672,0.060353298,-0.10823171
people,-0.025544357,-0.14240971,0.12870736,-0.015493365,-0.07870167,-0.022087436,0.003748643,0.036732595,-0.04006677,-0.076924786,0.16394176,0.21277913,-0.04325421,-0.15050267,-0.14664319
