word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
death,-0.0289885570077537,0.013083564055893658,0.04089963948249271,0.04782721478112885,-0.0341719620206193,0.06952062553157422,-0.04030664271276372,-0.03651694319653613,-0.04699138327147619,-1.8762205408484663e-05,0.1179759224058744,0.14557755389761565,-0.06741700265484422,-0.0912467614888493,-0.08922650559632762
said,-0.08716865192911814,0.08594040930267421,0.08148644651629314,-0.04281150166552389,-0.036316464566292804,-0.1772088636434777,0.040962508202143075,0.004514464465566148,0.12063920962379876,0.08342887017824188,-0.15633894785405686,0.037834135552459514,-0.0017234177168348101,-0.015788659922025074,0.06255046345615356
court,0.07654426952293535,0.004404790852807968,-0.2169699269950707,0.029280797865900626,0.28699341176431115,0.007468690673228274,-0.046656499465111766,-0.12878502174182116,0.09326331939472284,0.025197968121311753,-0.07247368795772675,0.0209075955018307,-0.08739988483032167,0.05005705754988411,-0.041832880256880735
penalty,0.040802410585490424,-0.08606274116290226,0.014561248716384381,0.01830937358398061,0.08013070123988612,0.14967295947358236,-0.05562157338857347,0.021295560380999095,-0.34654894960600185,-0.12154217453859904,-0.06665045713490404,0.08504441938165522,0.20753900250485957,0.11338411595084466,-0.054313895986701284
state,0.08331779165840542,0.15675145568598067,-0.08731548395371638,0.019183460645378354,-0.05147680976931607,0.10502702329444666,-0.13040741964092495,-0.16983312230255945,0.1201785796695912,-0.19865046088315846,0.0399494315868421,-0.07998926518765129,0.07307030621481643,0.1459397155808353,-0.02574520259896912
case,0.28248482119393353,0.08248531762671535,-0.035208756611405885,0.13783067702572677,0.0801834030048459,0.001855631795688994,-0.16313869933194355,-0.08166681950520957,-0.1339979547297696,-0.061045338621478075,-0.037915326212376685,-0.04530244538395249,0.04128415646609101,-0.03662562646677125,-0.031223040250094165
execution,-0.10872211553614489,-0.03298478297289733,0.07295047181604314,0.05843603783375243,-0.04953796002104626,0.07057320435186415,0.027293115077241744,-0.2332402971269053,0.1483092076411568,-0.13302746068778645,0.1600355335862186,0.216402574259459,-0.18807466844972062,0.010498111910631375,-0.01891097168186509
murder,-0.14332683218344244,-0.035236877184553136,-0.03623774345192753,0.159813766537937,0.24114757261168882,0.034498136348671944,0.20179945091921023,-0.1705960246373145,-0.08310540668370472,0.06326015474184,0.05284666957275638,-0.08734605053375905,-0.07682127496196049,-0.09268856104238764,-0.028006980053055682
year,0.09989191253272466,0.12894894197203222,-0.043739882974963375,0.05140012374940276,-0.03850421391932879,0.08094365710710082,-0.1296169520444953,-0.04551639869894385,-0.20698846314397443,0.12679180001285276,0.2092320226803096,-0.1419301753392931,0.014223283193845719,-0.07293930197830407,-0.03219635314896536
would,-0.08098745048998086,0.039999721215613744,-0.01621775503838253,-0.06905863662915616,-0.03060673675959346,0.24972706285723084,-0.07462072110541385,0.0999961082499955,-0.010753500211088632,0.0029219805165855454,-0.1552087047180397,0.013394958524793136,0.011309532667112501,0.025337944448338433,-0.005233803528012643
judge,0.062301771975409787,0.04917082412267816,-0.15871023865185835,0.1427940510320908,0.2573874469073824,0.043964706283944034,-0.002504540186289366,-0.03078246661690654,0.07147945507067374,-0.0010944250961720994,-0.2238601978688185,-0.07351776745140537,0.004120572200118514,-0.12133350852097148,-0.019415683199876122
attorney,0.17623775596020683,0.0489632465453336,-0.04480983199648208,0.19258557215848598,0.24288992517525723,0.012673140266765246,-0.05862261772895468,-0.01719508943392491,0.04243838657605413,-0.1551876494823677,-0.1683810977788673,-0.1503280138910261,-0.05174375151360097,-0.09485339877334802,0.02533342391647007
sentence,-0.06319028810187038,-0.05926102673018703,-0.06685354254340956,0.050990209768656154,0.10085231760043349,0.05051880200208059,0.13754999289662687,-0.011556727917986348,-0.16856992534349144,-0.07380788699921276,-0.016471748200219478,0.0523293779505273,0.12395148622431457,-0.034595202669231634,-0.021885837937031482
two,-0.00772955484561316,0.05860972872070797,-0.19081887438366119,-0.026941964539860665,0.03415309454238039,-0.045226525986937105,0.11606577602410918,0.0911909731064512,-6.608140852984023e-05,-0.03449643275133209,0.12638481129187135,-0.1673704944250608,0.08426988421259266,-0.014372331589602513,-0.023652007967515726
trial,0.19613492741936797,-0.013881740946121176,-0.09777656156014934,0.17949534038316384,0.11994464889570218,-0.11724791531778987,-0.13264076036026787,-0.06972422072984139,0.03993378734397532,-0.06438082156037539,-0.010809917557425369,0.193930099633556,-0.20099933723389404,-0.0032661865452395366,-0.018711341864660922
jury,-0.16224603914091765,0.0056070326871215555,0.07256716018778889,0.08846637865230564,0.14869702999484102,-0.042459329358344254,-0.03603722726252732,0.08545142610857887,-0.006910795785498781,0.023624211957257276,-0.0016824533217968346,-0.10438852132413429,-0.1434713862252032,0.08866487557047112,-0.015882362739942764
life,-0.00683331143474249,-0.14034160124106368,0.3054255559019935,-0.15973646573094422,-0.05459079725756343,0.09157676031437768,-0.03226094456445859,-0.027733716326394865,0.04153269192587849,0.23575124884751517,-0.08022447401616443,0.1114769307935819,-0.1667773007206153,-0.09324405946358873,-0.02402051702781167
mr,-0.16272810163651935,0.013436581378006933,-0.018708410940273194,0.09320205639569094,0.03193424239332831,-0.06599514155133432,0.07169273411536412,0.018258647617095107,0.07702409362074034,-0.11057057506246626,-0.07911342038952189,0.001597216472583735,0.1430905395941473,-0.01339830399371706,0.0002778419868760959
one,0.05278717301415359,0.09376641961895013,0.11855080873953934,-0.04007177184524289,-0.07626419882242051,0.08128261900362074,-0.10764141276176718,0.08996055897794597,-0.10575824997653002,0.07893357750216688,0.05619339733141195,-0.1156921623410455,-0.06251619361843291,-0.037495767879168966,-0.026034796943180893
convicted,-0.11491344106336225,-0.009909179291398607,-0.14645383148724064,-0.019858453031179005,0.11097946189340407,-0.016293060994514143,0.11845131768093109,0.046136423837620316,-0.05623310792211614,-0.03358020688503024,0.08779238793763454,0.0804762446271305,-0.044224309839640506,0.018514975242182204,-0.02088522070442054
prison,-0.01756786569589558,0.18112492626009608,-0.1481271429020552,-0.0032013265590271106,-0.011865460473175755,-0.04327554133727733,0.19031315077240588,0.13952105389613512,-0.014275934252678322,0.08892939165585459,0.030782110776443966,-0.10237403168692118,-0.16091531700922562,-0.10474502149206026,-0.024322991952618576
prosecutor,0.04498790248297667,-0.06490166310372747,-0.09430561061071044,0.1735927716858915,0.23190526375878043,-0.007424587369600644,0.12956495185271208,0.125538941743316,0.020534168993297332,-0.15594035270985385,0.010904530065614846,-0.07040643847209409,-0.20319311386959854,-0.12494100583622626,-0.01591575861077549
appeal,-0.00411891427117189,0.05492334485851874,-0.0880833426753779,0.06739551537772226,0.08107108862291679,0.08532882098355454,0.1317296460475003,-0.13253744539457024,-0.0681237277059353,0.038556077986109716,-0.15353930430023566,-0.033934194660030455,0.040284899927530066,-0.0021293300821675944,-0.01682313471436352
supreme,-0.04712568187062602,-0.027247676994426793,0.04741067349845615,0.11258042718175383,0.09439989672486625,0.07418059992043134,0.11599809821980178,-0.11800476585280592,0.09316267379365951,-0.031480047275047676,-0.08286987725361339,-0.05884875133186288,-0.021830376894079722,-0.13658705996853387,-0.013738131897971814
county,-0.0018805059697442775,0.037933536042861066,-0.04033744216868366,0.06297034626006162,0.07730906758690419,0.11795351550937032,0.14434490936911928,-0.2153940032348009,0.09048379211564578,0.03708403961538,-0.03647390993572679,-0.09111010026540406,-0.09333703658158295,-0.07415983746119582,-0.015386370882204068
capital,0.10630654575512337,-0.033515891326156136,-0.002989145501399402,0.09633599779774676,-0.10173717296302093,0.22828022878347232,-0.11352604392738923,-0.1298906706602079,-0.04927999986494973,-0.1392386001929347,0.06142994860409956,0.03290800664900748,0.0707097949523496,-0.028311519562015778,0.0025185214562744793
punishment,-0.10022154888483739,-0.1476718736680628,0.15460511781324868,-0.01671078838671285,-0.010695784312442244,0.13266696067835973,-0.06009080977898064,-0.12575729719011372,0.017826541400146532,-0.10899587884299712,0.0579177876007521,0.10838954535842188,0.12882711904829525,-0.008810279979338134,-0.021278810855739273
new,0.03207593410667642,0.017975780050107273,-0.0686781281298272,0.07571673235068781,0.048888306560306106,0.005389309627531797,-0.04484750461886547,-0.033798786951399915,0.009538945374927953,-0.11388886196931354,0.043142730505864264,0.058594008400261355,-0.027447138561189733,0.01616244421683152,-0.01882377096259797
lawyer,0.19540414595416108,0.08468497069341686,-0.135656440417424,0.29124570738363864,0.18715226868885265,-0.006224568319732869,-0.1446865444991228,0.08559991672753856,-0.004372847852305323,-0.05895547683146653,-0.08143896276561427,-0.07849602985538155,-0.28952841046579386,-0.07643270079041083,0.03170497234964455
killing,0.021664374382983183,-0.044591399516044024,0.11187300956159478,-0.13286739703880018,0.08155867253846383,-0.04095303727454502,0.2762699315013671,-0.0034096604234287605,-0.04471113330811366,-0.10085711536893657,-0.10143665784762455,0.09593886529683343,-0.06562893712230987,-0.03613853587830617,-0.016710979503132262
federal,0.008127495845569307,0.05830792714914893,-0.1124518951408645,0.08670268567759642,0.10066787815231486,-0.035942028538827706,0.008625377714318162,0.09059514384519128,0.04971030040167431,-0.006540290976366036,-0.047884352968646876,-0.059999781388092345,-0.02316091715021014,-0.10147085129546661,-0.015286691327338921
