word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
immigration,0.049558733214248224,0.09577765756559094,0.08210095687226036,0.01844046120340058,0.00023497349592275298,0.10616053719065756,-0.024341902154839362,-0.04973369850349994,-0.21607113903814054,-0.13831272287090604,-0.005882070564470033,0.10783229332514925,0.09048468489224223,-0.07134531139113914,-0.04490345323647658
said,-0.041152340262578586,0.0109346315428389,-0.06681268210839227,-0.06903046921573497,-0.0220661483629794,-0.07445669349492365,0.0332724665218268,0.055158858534181995,0.11592628743879772,0.03927485272277222,-0.14422880081827855,0.05824471614847079,0.000679397299412355,0.13536364341714613,-0.031107719362559596
immigrant,0.08358494206659174,-0.11371022476021088,0.12524557719186513,0.052886704203286145,-0.09490649962057557,0.0078066099615410976,-0.006449018055318278,-0.14306925797610598,0.12636903753000187,0.020614604983016184,0.20132454006301237,0.14036352609593122,0.0005467999269251502,-0.3087435657219709,-0.09186377588798968
state,0.10650404033368599,0.10880855448001589,-0.1443376347468322,-0.09147349760630542,0.07338587350735579,0.0797890217117388,-0.036071751613999566,-0.0009027824920610467,0.029774343619615614,-0.06681557932344663,-0.014509997996621123,-0.17097035070294392,-0.020271859475050565,0.18212935804898706,-0.035037737744138556
illegal,-0.021032585339325754,-0.09638768964870227,-0.2969109967759941,0.01584611190820596,0.16476177568693637,0.14946169830598277,0.1354495982508792,0.09773030013495657,-0.0844708587382956,-0.13427149577465702,-0.19828247287243708,0.1818311498833147,0.11339948391937764,0.0345092226163094,-0.06163324155655123
would,0.03672681921099953,0.020155788605758368,0.015685315727529778,-0.03357231105175927,-0.004756024541728677,0.13500353363479936,-0.10068608071964369,0.03387575733764848,-0.09929092657870071,0.05115550272114211,-0.14651612571353462,-0.11314087701629671,-0.01185661277134255,0.15908520704096554,0.058131034114162504
year,0.11627764416320321,0.2681445817687358,-0.16293754396654125,0.010787066052449393,-0.051630362917034066,0.06316692431026381,0.05463557072850966,-0.16529087586553476,-0.01872921648239705,0.07130549972909295,0.059700861651271996,-0.027013787404052858,-0.06790847014910137,-0.04019022750029816,-0.11031766411856797
u,-0.021843293263630267,-0.06477186386804434,0.009421251546202084,-0.020230763317197396,0.038327401964016,0.010653278489848325,-0.04011119856866778,0.10688910011290631,-0.05578410893038611,0.01808463267339413,-0.04792750423077299,-0.034067536405264116,-0.22095278720953365,0.21098895076196528,0.11132444024516407
new,0.08296882019098921,-0.009090679653236025,-0.03107581637926984,0.08527993488578288,-0.021725621876942575,0.06659363227247019,-0.17074506612521703,-0.013415699555747134,-0.13168111107704547,0.057627785356878104,0.15200129268983545,0.056037529086403026,-0.10154968334419757,-0.010396857997765388,-0.010828458472938299
law,-0.10642444959787169,-0.14547080736896834,0.10248962488120132,0.1918045640867521,0.2369433729325451,0.16274090174052336,0.04658211600867088,-0.027415248981361835,-0.12712462250074036,-0.04071618230382418,-0.15840379971416932,-0.008282347573658469,0.013497831211323764,-0.05637355948882326,-0.08384739333159914
