word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
marriage,-0.08963791946617039,-0.03934549387434173,0.07238585502521991,0.024750772922969278,0.04358839476785505,0.057795761002802024,0.03397278912527459,-0.06850782937922535,-0.11463959325400054,0.06264565780543957,0.06495394382826146,-0.02150582639229123,0.03254948200993631,0.00950183525749461,-0.06850782937922535
gay,0.11615460823288526,-0.04884243653007252,-0.008952706404074305,0.03322964903236903,-0.050456155102740194,-0.06417974427614184,0.03400921362736194,-0.047399170439759726,-0.19241371621943545,-0.08957214238535438,0.10409254493334569,0.1025620536541576,0.10505611923164193,0.05411105308557411,-0.047399170439759726
state,0.06699882659527391,-0.08952375558750657,-0.20533289040117955,-0.0796200419403274,0.11012107757052322,0.15665943663194917,-0.12996547870139283,-0.03317674748585856,0.045631340168083456,-0.01987112837873851,-0.015162434285803385,-0.012890519267476816,0.012551910141949936,0.22675715242636027,-0.03317674748585856
samesex,0.02655529962427278,-0.022308805168521947,0.041206431011972744,0.1134289391753127,-0.04635613301268409,0.004834881912859236,-0.06702140087364153,-0.036696433169948285,-0.01638831385578875,-0.2010594598991192,0.09729826648673995,0.09731440666790264,0.04201125061626879,0.0038775036543235936,-0.036696433169948285
said,-0.1562000507231681,0.0178230396505349,-0.08408004079434794,-0.11208892036411625,-0.03199832238728737,-0.06357744290298616,0.20277246684940908,-0.03663103007240143,0.13572242602911255,0.014917606600364113,-0.08657851618020689,0.08163369897698834,0.0614621525416893,0.09345396284881627,-0.03663103007240143
court,-0.08833980221758134,-0.024202340818142973,-0.2990058793192758,0.017915518629994475,0.32692876421852135,-0.09820845640992976,0.042448227463412314,-0.0160740313056902,-0.0359125794894927,0.02788284720063505,0.07927305319448026,-0.024978149355011383,-0.011286410970207777,0.11963327048398169,-0.0160740313056902
couple,0.07003543661098574,0.13707209339895804,-0.16400855746282048,0.03693581219242757,0.048271818049115824,0.06034284653571419,-0.010926715020420872,-0.028067411757630025,-0.029547163873268667,0.12319437300821566,-0.030777885049003993,-0.18686506029443406,-0.18146901472515775,0.1838768401449447,-0.028067411757630025
right,-0.10803646770474212,-0.013263332731915083,-0.09360024601295053,0.21753535770835736,0.050259648052164874,-0.00750764353013054,-0.06380383521656705,-0.02097476479745155,0.036866543693368455,0.0032391049717931768,-0.052996092013784614,0.09602902624112024,-0.002365562518408295,-0.020406971343404936,-0.02097476479745155
would,-0.06548119083676872,-0.005146796865056636,-0.004292970720083655,-0.03365749928586032,0.08479932972360824,0.25012057675831545,-0.08279189521232903,-0.017091226071763815,0.048337400041607526,-0.030234178369788915,-0.04085928488523168,-0.07501003859963482,0.10525134606886834,-0.11685234567411612,-0.017091226071763815
law,-0.10411874228486231,-0.024692304119487835,0.0014524969523718662,0.07635492594182607,0.1631824140754112,0.09348025906485359,0.10538299436260559,-0.015415806592719716,0.008296434612156706,-0.16550908919089957,-0.23094501175248489,-0.1091971586805845,0.022197402859036125,0.19494699134549867,-0.015415806592719716
union,-0.12918030766144556,-0.01081154367184276,0.18429662300327274,-0.015535671320143364,0.02008517598886269,0.12710123426481687,-0.08792993218182725,-0.01248334236934993,-0.017477169841671757,-0.09882712996230336,-0.017389195211609285,-0.03781654017702972,0.004013358259589783,0.10443778325003104,-0.01248334236934993
new,0.06340625820022386,-0.044377477921545935,-0.111581470586197,0.01637293629819212,0.11623937715196199,0.07480080191653692,0.13675535829995625,-0.01568680402725648,-0.03696152474799842,-0.05233539214312528,-0.05070614765144477,0.01017324516361736,-0.10496432589609327,0.014551969970428784,-0.01568680402725648
issue,0.04302293203178941,0.01643618967564248,0.18596021519724273,-0.0981194492164178,0.01599461941381831,-0.05340920491085491,-0.11223746301281401,-0.010687622675699726,0.04478501282178678,-0.18616491740287658,-0.09627224157388409,-0.021849223308469598,0.21196868202289376,0.07126009361354299,-0.010687622675699726
one,0.03679956747951261,-0.018138864120082546,0.01213547016093858,0.008673469960872116,-0.025975474982335253,0.0008821168473386586,-0.11259338327712491,-0.014339305059938726,-0.04210120336927645,-0.0021650054452616928,0.14819875372817146,-0.012683627881103615,0.02532423044141377,0.010322560576815073,-0.014339305059938726
year,0.0341726269728534,-0.014942218615080473,-0.12489493747696649,-0.07224061310808429,-0.06168677586193461,-0.05357952612788406,0.014355606381668337,-0.013744659017714572,-0.006432328514045746,0.15408722609628403,0.010023551132809526,0.02401107265266434,0.006635208863244846,0.11798042563989918,-0.013744659017714572
