word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
said,0.08402468814596005,-0.13993106499677826,0.02028845031257349,-0.047645670703813446,0.07737922123683032,0.08977726559534088,0.01029267891412101,-0.07361467077547137,0.08181114847393586,0.00780462985181667,0.08919422335494483,-0.15096750861044184,0.0913372609912456,-0.03065092431551127,-0.10909972747475236
state,-0.03563378320580051,-0.04734578902771807,0.01997005134586395,-0.022024195264724863,0.017841212305508305,0.08673645862317332,-0.01397999505182724,-0.11061123977706437,0.008226511373513986,0.027795932930310772,0.12945196053074642,0.046973821733697935,-0.021099960892245313,0.00434498153327953,-0.09064596715671364
gun,-0.003286558857659421,-0.0015668573147791004,-0.007426260605349637,-0.0038285585249025777,-0.010706898799458589,-0.02641413777816484,-0.007702184757522293,-0.0013803556711907178,0.060078941624290554,-0.001564204961285511,-0.018338385419683554,-0.00861890032135106,0.037273652956783095,-0.0054299368988248,-0.0010893546709015635
would,0.04295681903899932,-0.07833674489667425,0.018975659256480353,-0.05327095148194079,0.0538825770252805,0.022225257302184033,0.0113834903609746,-0.09392550502070693,-0.016002603073293105,0.0065852055973280735,-0.08240030029609702,0.09838887033136388,0.1062943318915372,0.041942509343491655,-0.07869861537892743
law,0.04933604413373567,-0.018317611309652197,0.004587412560913068,0.0416285428712449,0.009917832754508452,-0.03222904245178128,0.09051610887937357,-0.011594574986464698,-0.09621144630088761,0.055826830881913196,0.0483701352844457,-0.05721823224270117,-0.08624400605839538,0.010727791153022286,-0.009095785169274673
year,-0.02389752823459827,-0.05886383500298077,0.16168961205043755,0.012620548234628827,0.06607478859695334,0.06118219872714951,-0.05829748221060152,-0.11641870798815654,0.05388284059106538,0.07592303588153541,0.05145024175561611,-0.016979225632356324,-0.035375188597303875,-0.07583159525106767,-0.09715970292032085
new,0.1017135968554051,-0.10614802110393413,0.023507098520574414,-0.09550737592233903,0.07330558277115946,-0.008303773118225088,0.07841830388433783,-0.08918430686637574,0.059986770446548626,0.03159101405179295,-0.04729481332211949,-0.0738708178895164,0.09200180152182513,0.03495041650924016,-0.07516547633837356
court,0.04952327094895103,-0.020488714465895803,0.07738345186607415,0.11972356322236638,0.07875421556737028,-0.029851161088997193,0.03720450718937667,-0.013422510190604973,-0.018855454498301238,-0.08898158577205231,-0.01226414863730338,-0.07440108823206876,-0.045917058614949637,-0.047874153165887195,-0.0105331341280779
one,-0.04067867863167591,0.023212121198614252,0.07017485268317705,-0.0647980055762314,-0.024471517265398618,0.13009235979272168,0.08642366131701555,-0.01241461921911802,0.01852773232076252,-0.06401876623101435,0.12938592105954094,-0.12369242176856038,0.005478107315891405,-0.0705158051782457,-0.06270494181747939
people,0.0779358275456026,-0.0589399932471461,0.034933885384535644,-0.08278108179110936,0.007599440089376567,-0.042318615967326625,0.0859952967465784,-0.04155325727090027,0.030874965890330397,0.1482842362463782,0.027246593169189724,-0.056248904998455834,-0.05735965087053547,-0.03903891218425521,-0.03462982874226298
