word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
immigration,0.04612662,0.047755666,0.08273712,0.005033762,0.04164595,0.06486441,0.051886946,-0.043095138,-0.121448345,-0.06799371,-0.04133745,0.06741791,0.055890467,-0.06401827,0.059660554
said,-0.016129773,0.01360791,-0.002901789,-0.04437281,-0.022373816,-0.05616526,0.05536929,0.02896593,0.068991266,0.022847649,-0.09486003,0.043667626,-0.0099026505,0.074635245,0.059664443
immigrant,0.037640225,-0.08513498,0.09227644,0.038855154,-0.067003004,0.00022999923,0.027835852,-0.095388144,0.09552418,-0.02080345,0.09713532,0.09121828,0.011199767,-0.112966664,0.05148512
state,0.06506621,0.050394475,-0.073163554,-0.06411169,0.063296795,0.05069605,-0.005688999,0.0034986346,0.067603536,-0.04723226,-0.00019561173,-0.0782157,-0.061762623,0.111014694,0.029300135
illegal,0.055389162,-0.044551183,-0.12832776,-0.001623419,0.075232334,0.09124789,0.09575628,0.099501,-0.07221035,-0.095274255,-0.085286275,0.10596723,0.03984776,-0.008573277,0.0039173276
would,0.047020305,0.02835999,0.026139868,-0.041019432,-0.012843852,0.11172863,-0.060271088,0.05467088,-0.041916918,0.07358774,-0.07529905,-0.09007033,0.004049715,0.08436373,0.09253088
year,0.038584296,0.10627764,-0.10235982,-0.01087211,-0.04894675,0.05272306,0.041818596,-0.08662922,-0.062472362,0.06389487,0.0184271,-0.04115239,-0.058412246,-0.00901917,-0.09705824
u,0.049880117,-0.019142607,0.08115713,0.02669369,0.058749788,0.03983518,-0.028375233,0.10460693,-0.03238233,0.050858963,-0.013482228,0.022973828,-0.093210876,0.13170962,0.10679792
new,0.0580431,-0.013436702,0.0030231522,0.060224697,-0.006961541,0.040978406,-0.11293902,0.009090899,-0.07392403,0.02572634,0.08369319,0.041115724,-0.09362101,-0.028217267,0.05921179
law,-0.11392539,-0.09484517,0.09440543,0.10273703,0.10777495,0.06285698,0.021309935,-0.06426675,-0.082280114,-0.06398847,-0.09054917,-0.0011674803,-0.06695274,-0.09079249,-0.10796704
united,-0.027320553,-0.1353961,0.07187457,0.08419993,-0.017284151,0.048884436,0.013940085,0.08348297,0.07604296,0.018049903,0.03589857,-0.043673083,-0.09728397,0.109879166,0.017430259
people,-0.087325044,0.043072864,0.11527681,0.04606805,-0.10704824,0.055698123,0.094609156,0.0141761135,0.0822687,-0.038819917,0.08528689,0.12092652,-0.07991777,-0.07391824,-0.113678075
country,-0.016472412,0.08259915,0.039698936,0.097571686,-0.014937787,0.017839676,-0.07390267,0.062605694,0.046375778,0.0415556,0.0625539,-0.065781236,-0.04941111,0.0992445,-0.046889998
federal,0.054846764,-0.051960066,-0.0959042,-0.13119644,0.09580318,-0.046026967,0.088740595,-0.045182176,0.0780703,-0.08619492,-0.09464638,-0.09928311,-0.056753077,-0.12181197,0.053686544
one,0.06587734,0.10304596,0.06424532,0.023431398,-0.05557481,-0.052547246,0.0058771465,0.09190684,-0.017556109,0.07299565,0.031803563,-0.095122755,-0.02846964,-0.10381564,0.06375334
border,-0.028376812,0.03881817,-0.012165492,-0.066645466,-0.08214112,-0.01864935,-0.08858687,0.1331414,0.06987231,-0.111496024,-0.044199884,-0.038885728,-0.0017680915,-0.003700831,0.019644307
american,0.059520762,0.015067393,-0.11125581,0.13023902,-0.015754348,-0.06309468,-0.06738109,-0.098313645,-0.09220263,-0.072201364,0.11913602,0.11958647,-0.058553293,0.09193761,-0.015570703
official,-0.11871652,0.09313029,-0.12592252,-0.13462418,-0.05040153,-0.10275638,0.10215127,0.0714751,0.067975365,-0.062806115,-0.053759485,-0.08842414,-0.06213992,0.07218811,0.06997178
worker,0.093468405,0.09526148,-0.058104094,0.056851566,0.04352284,0.021351898,-0.046451252,-0.087439775,-0.096468545,-0.032417685,-0.08943634,-0.08312955,-0.13530745,0.03431512,0.03709658
bill,-0.013722899,-0.0994377,-0.06762487,0.06869843,-0.11039288,0.10172212,-0.07011521,-0.0053618294,-0.08442192,-0.027034333,-0.0950521,-0.045472987,0.08444276,-0.08074062,-0.06957497
