word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
gun,0.067625664,0.07709441,0.08022056,0.038727574,-0.03653699,0.029001296,0.032133907,-0.01856058,0.06686259,-0.04504054,0.070546165,0.024098398,-0.014215938,0.050261475,0.00827264
said,0.11472254,0.08734974,-0.059853073,0.04002651,0.036688674,-0.08637176,0.031891536,-0.0519915,0.021629903,0.023868185,-0.06194934,0.02417265,0.033182975,0.05746319,0.005375071
law,-0.090377904,-0.11923247,0.040028155,0.06191489,0.06683706,0.09484822,0.046901874,-0.036239974,-0.016141653,0.011068462,-0.074741974,0.010093138,-0.054692708,0.028119262,0.006996694
state,-0.0844427,-0.027157012,-0.09365511,-0.08219123,0.07714697,0.005947093,-0.0551359,0.07224269,0.0032655792,-0.077506736,0.011850317,-0.040178273,-0.008783034,0.13451387,-0.0089189075
would,0.050610684,-0.012734286,0.028553335,0.113107316,-0.07084348,0.09075661,0.0035936951,-0.01339438,0.032373924,-0.06141591,-0.10134514,-0.055495664,0.04493088,-0.06268426,0.008789284
weapon,-0.069640376,0.078092,0.033104386,-0.033025842,-0.02161681,0.07851237,0.03223483,0.041048616,0.068089254,-0.058768485,-0.056009375,-0.09524164,0.027965138,0.060288154,-0.0076852003
bill,-0.10748349,-0.09351202,-0.03174972,-0.09432896,-0.10213624,0.11073493,-0.074372925,-0.08355953,-0.086139835,-0.09417603,-0.076648176,-0.06384436,0.08901389,-0.08638433,-0.00077218836
people,-0.03380493,-0.07046252,0.05940297,-0.0081161605,-0.029635038,-0.009669103,-0.05474597,0.047456045,0.06146142,-0.12360818,0.07907778,0.11216322,-0.037481293,0.010940928,0.006642322
control,-0.058255132,0.071316615,0.025332108,-0.07597135,-0.10041279,0.041769665,-0.042304438,-0.050619744,-0.0712732,-0.044729102,0.00946577,0.04468997,0.05913242,0.02564933,0.008013674
firearm,0.07473149,0.08569325,-0.13861372,0.11916395,-0.033407677,0.07162638,0.028466681,0.06561849,0.10351195,-0.07743438,0.022292266,-0.04033732,-0.07030529,0.083281316,0.003592386
right,-0.09966622,-0.051633216,-0.038094796,0.046356477,0.09360863,-0.020213345,-0.054213554,-0.051134776,-0.10193757,0.05517725,0.011975043,0.050051384,-0.0048761494,0.058944892,0.0063364143
new,0.052062202,0.06920553,-0.07404185,-0.13017991,0.025058199,0.06480593,0.015568709,0.029763658,-0.051555958,-0.0018072133,0.087147094,-0.026144678,-0.021533273,-0.0047873803,-0.0055248784
one,0.03943554,0.090544656,0.014326121,0.0015988399,-0.032013185,-0.0030911064,0.07723377,-0.07472123,0.006389986,0.118689425,0.048832916,0.046577524,-0.041289218,0.09028276,0.001074066
year,0.0743384,0.07073616,-0.02804676,-0.08665142,0.002749924,-0.016660122,0.022412958,0.04650758,-0.024613917,0.06193269,0.10304383,-0.07379405,-0.011692351,0.08158963,0.0057848543
shooting,-0.004448583,0.09305866,-0.058553472,0.011444783,-0.07049663,-0.065943845,0.07089742,0.02037879,0.05427296,0.08161044,0.046129316,0.029950095,-0.0153309405,0.08614471,-0.0037221264
rifle,0.09427038,0.03781674,-0.047010105,-0.03792596,-0.0126957875,0.0013024169,0.0010668926,0.0014897949,-0.063263215,0.014453181,0.09658972,0.083492234,-0.002751375,0.018841196,0.006554734
school,-0.08293371,0.00080399076,-0.045254074,-0.04305658,-0.047380447,0.004467825,-0.0719273,0.08395472,0.096343115,0.07379268,0.021614224,0.052887335,-0.008985301,-0.054580458,0.0052781175
national,0.022731077,0.06389581,0.046710923,0.044057075,-0.0500517,-0.004747787,-0.041843906,0.07616017,-0.0013411678,-0.0030735182,0.028114475,0.058944356,0.056755092,-0.06496192,-0.0058012805
check,-0.01689935,0.07487743,-0.08082701,0.043287467,-0.040315457,-0.0009884542,-0.099027306,0.10613716,-0.10024162,-0.07255217,-0.037367493,-0.0160593,0.0034658858,0.030796753,-0.0064468775
ban,-0.09712109,-0.002398335,-0.015818372,-0.11993826,0.06773566,0.13565214,-0.12314347,-0.10414853,-0.06732942,-0.098517954,-0.104356416,0.018289924,0.055533364,0.008112557,-0.0025275517
house,-0.090386935,-0.054410815,-0.1097291,-0.099011,-0.059032705,-0.12351251,-0.06267494,-0.06218796,-0.02195605,-0.030778306,-0.11643617,-0.08879446,0.09872928,-0.07624587,0.0058145938
president,-0.008639106,0.08166135,-0.10923158,0.0064362455,-0.07488618,-0.0775807,-0.06585814,-0.056973163,-0.04583651,-0.05692602,-0.070012964,-0.02637757,0.099594146,0.06434505,0.0042156857
violence,-0.10943169,0.06867071,0.097728655,0.06688491,-0.061635215,-0.00803521,-0.0035518282,-0.09407546,0.055372365,0.09677701,-0.026528776,0.10477615,-0.00035320557,0.02638223,-0.007492896
handgun,0.07329161,0.024420442,-0.083525375,-0.11181872,-0.00519394,0.057665825,0.016613074,0.006609618,0.096895754,0.040500034,0.030657694,-0.033860628,-0.04993277,0.08361823,-0.0039011769
background,-0.08055914,0.07920596,-0.0945113,0.029545492,-0.044788923,0.044439826,-0.11702792,0.098978885,-0.10148596,-0.070222676,-0.05459148,0.022612333,0.039864533,-0.04003581,-0.0048623737
nra,0.07102535,-0.051156305,0.111122444,-0.06352312,-0.028584272,-0.10055992,-0.10898518,-0.09579696,-0.04138019,-0.11079766,-0.08250758,0.1017692,0.0508883,-0.09360162,-0.00055662426
amendment,-0.06833137,0.04253149,-0.0736821,0.047111195,0.11738402,-0.091776595,-0.08503263,-0.11943066,-0.1077767,-0.05439345,-0.10128359,-0.031010533,-0.0171446,-0.11694513,0.002472273
republican,-0.09258035,-0.058983028,-0.10514738,-0.11989021,-0.07608724,-0.077085756,-0.08265855,-0.07862648,-0.06512904,-0.12380495,-0.12589766,-0.10844479,0.09913705,-0.11089411,0.0036831596
police,-0.10610058,0.06652166,-0.11667764,0.089473404,-0.097675,0.020600539,0.12362645,0.004167408,-0.024623657,-0.0174137,-0.07884411,-0.0869653,-0.09331025,0.010267641,-0.007761606
city,-0.0030821268,0.060118,-0.072103865,-0.053361863,0.09128495,0.03753052,0.045307912,-0.114481606,-0.09648685,-0.09603816,-0.0025013492,-0.023291312,0.043156795,-0.031680085,0.002820538
last,0.039794337,0.085786775,0.008552088,-0.10976757,0.026437022,-0.014931444,0.07919996,0.03386812,-0.053403642,0.07040204,0.015975326,-0.0074941036,0.0063563474,0.040841296,-0.00012858461
federal,0.02736151,0.055100642,-0.107641555,-0.11648689,0.08893082,-0.035531495,0.10518976,0.0992053,-0.010559504,-0.065042794,-0.10861393,-0.044595193,-0.041858748,-0.14226648,-0.00076255546
say,0.08450149,0.023797296,0.058159556,-0.09905925,0.06392847,-0.04773862,0.06016008,0.048772745,0.041805793,0.066623464,-0.0038908885,-0.013577386,-0.026782194,0.04980216,-0.005872327
court,-0.09748202,-0.027286114,-0.1043514,-0.1069636,0.10996536,-0.066986606,-0.1211665,-0.12151379,-0.09141633,-0.1101895,-0.08169745,-0.090924755,-0.09798976,-0.11437542,0.00923823
association,-0.061377577,-0.026311351,0.077925086,-0.03217435,0.023110783,0.007182706,0.016935267,-0.09804112,0.09843851,-0.082476944,-0.039266057,0.07251317,0.053406585,-0.11428424,-0.006194927
senate,-0.08619626,-0.053568784,-0.12510411,-0.03157604,-0.088289596,-0.11305873,-0.061599463,-0.06562758,0.008651134,-0.07349582,-0.103915274,-0.11536058,0.08443177,-0.08478729,0.002789418
time,0.018102461,0.08504995,0.049672354,-0.09835944,-0.016605671,0.015013102,-0.026610732,0.09787402,0.02246666,0.08082593,0.0006370778,-0.051605426,0.0018996253,0.107783586,0.0042141955
measure,-0.11238199,-0.095608324,-0.0850777,-0.13160652,-0.09562059,0.04775398,-0.07953321,-0.0856413,-0.06421208,-0.062784575,-0.04753286,0.037367474,0.0798568,-0.10354813,-0.00066294434
also,0.015402624,-0.0007983803,0.09355669,0.07134156,-0.010175976,0.046739325,0.024758013,0.058745965,0.017956,0.052760538,-0.0045393575,-0.027116103,-0.014915147,-0.013407321,0.008949989
group,0.0515332,-0.068469845,-0.14699991,0.09682968,0.0048413095,-0.097627215,-0.059509255,0.05088381,-0.08067447,-0.038324296,-0.092271954,0.125866,-0.057346903,0.060176753,-0.0065294476
assault,-0.046133913,-0.019307729,0.0046621663,-0.03513065,-0.07047935,0.010077222,0.051222634,-0.11025858,-0.01774594,0.07707588,-0.07668635,0.026493037,0.045158047,0.030427743,0.007961169
legislation,-0.08820845,-0.0034284028,0.027620262,-0.113629505,-0.08494354,0.05448405,-0.06889277,-0.09338812,0.048529815,-0.052833095,-0.09018875,-0.08608554,0.085740626,-0.11310754,-0.008804768
mr,-0.08707989,-0.040441375,-0.11561339,-0.076414704,0.034727465,-0.044495728,0.018959355,-0.0070027956,-0.043258473,-0.028834425,-0.062408254,-0.077832185,0.08457095,0.019873202,-0.0071185683
issue,-0.09966669,0.10322748,0.050249152,-0.045228295,0.034752898,-0.104743026,-0.11256544,-0.03822461,-0.0135380495,0.003646982,0.03414234,-0.05779606,0.09204421,-0.057543203,0.004393374
second,-0.087852046,-0.08765837,-0.022434192,0.06212731,0.103739135,-0.028450143,-0.077334575,-0.115834445,-0.08144158,-0.062619686,0.07763855,0.015262553,-0.03990283,-0.0953259,0.009068425
u,-0.0032504639,-0.07358116,0.044866007,0.1011259,0.10267907,-0.10894713,-0.10999245,0.08953662,-0.05102634,-0.070608795,0.069528386,-0.066657364,-0.029673858,0.13709907,-0.006616036
crime,-0.10359863,0.01371844,0.044460636,0.021675989,-0.08194501,0.03723114,0.11010127,0.00678709,-0.14617164,-0.06371813,-0.12904741,-0.041620295,-0.012852798,0.07802788,-0.0073449155
two,0.035846297,-0.07533578,-0.036136564,0.09830085,0.020330701,-0.09886658,0.09342389,-0.043262877,0.060450397,-0.01629844,-0.09851625,0.009614268,0.042275384,0.03778366,0.0054869917
