word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
marriage,-0.063824154,0.068199195,0.03128725,0.0007092219,0.03616004,0.005772302,0.06595678,-0.001728706,-0.05191226,0.024056785,0.06555872,-0.0076703643,0.0052466188,0.027885452,0.0015603126
gay,0.08381485,0.059569318,-0.009864396,0.027988812,-0.049931183,-0.034708112,0.09497372,0.0038407226,-0.09591842,-0.056620874,0.0680434,0.05500368,0.05198754,0.056090914,0.002306251
state,0.0328771,-0.06547439,-0.094692245,-0.068759255,0.064746454,0.07922282,-0.07858527,-0.0014386135,0.034067795,-0.02853741,-0.010398864,-0.01888369,-0.022322379,0.09201373,-0.003818457
samesex,0.032402813,0.064419836,0.05144825,0.08666712,0.0057721157,0.029727012,0.0017023291,0.0010917058,0.04149547,-0.108335935,0.05688148,0.05892555,-0.014204065,0.02308647,0.00045653185
said,-0.09339647,0.07525426,-0.0048307264,-0.08129856,-0.027092734,-0.0572461,0.11604421,0.001389412,0.09970385,0.051383663,-0.07829034,0.07461373,0.06355422,0.08893798,-0.005086921
court,-0.0800393,-0.0043024896,-0.110817574,-0.05364068,0.086748056,-0.093682125,0.008903818,0.002886426,-0.040139187,-0.058457483,-0.040421244,-0.07202439,-0.081578225,0.032241017,-0.004628919
couple,0.07586285,0.08812243,-0.091050595,0.070543535,0.04424539,0.06654065,0.055910304,-0.0049318597,-0.02080687,0.08734236,0.0043694945,-0.09425712,-0.092062086,0.08819267,0.005664174
right,-0.07113202,0.0751684,-0.06029734,0.119271085,0.047782257,-0.0015861932,-9.8925e-05,-0.0028898465,0.037743762,-0.006055764,-0.047319174,0.079571925,-0.035262484,0.028974107,-0.0014138259
would,-0.08776366,0.0461135,-0.021402374,-0.053697743,0.01750149,0.12233319,-0.058962792,0.0066386093,0.06591049,-0.03089094,-0.063353114,-0.07948064,0.05172343,-0.11836479,0.00688823
law,-0.07236212,0.032860998,-0.015318671,0.06639787,0.09607931,0.06022526,0.08009579,0.006617255,0.030952562,-0.11851846,-0.1147148,-0.06522302,-0.053029794,0.092112064,-0.0016184131
union,-0.10473941,0.039131574,0.08916974,0.04715317,0.000307368,0.065593116,-0.08551772,0.00048312527,-0.018190214,-0.08959072,-0.0034144355,-0.026311325,-0.017810587,0.090576544,0.0030420327
new,0.090953484,-0.06995067,-0.0546288,0.047920946,0.0440047,0.058523472,0.08816253,-0.0022822486,0.014625502,-0.022152893,-0.0018603794,0.029142583,-0.053833112,0.043821372,0.0043778475
issue,0.0044370713,0.06140669,0.08362038,-0.106940374,-0.034456484,-0.06953688,-0.115514606,-0.0052284086,0.057827994,-0.12533575,-0.096148595,-0.06478874,0.09646369,0.07843575,-0.002817139
one,0.010751859,0.04404831,0.015086677,-0.0017237847,-0.0028845842,0.0355667,-0.06147571,-0.002025674,0.019415718,-0.018402053,0.118559204,0.003804014,0.0049902755,0.032425907,0.0021517915
year,0.029728789,0.06634571,-0.091992944,-0.007827803,-0.051272858,-0.051722303,0.07769511,0.001862825,0.052106377,0.09447957,0.029789599,0.03245579,0.038731225,0.1101942,0.0060021225
