word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
death,0.022519277,0.042831656,0.051516525,0.040435143,-0.011900293,0.06724048,-0.0053001107,0.029281233,-0.06560654,0.007703762,0.05843175,0.07549959,0.022590615,0.0036812192,0.07296429
said,0.0057911645,0.08590484,0.07195193,-0.014959141,0.0020009829,-0.072486185,0.042531513,0.040637333,0.07952538,0.06268492,-0.072483085,0.041789263,0.039662678,0.0255898,0.10178676
court,0.026381139,-0.016350573,-0.08636414,-0.052370895,0.08277432,-0.05210516,-0.08259716,-0.08463181,0.018461518,-0.025713788,-0.07184758,-0.0029333683,-0.077820435,0.035023946,-0.06454044
penalty,0.023788331,-0.035593472,0.042905107,-0.028089378,0.024463266,0.06779076,-0.05514744,0.0469118,-0.09134774,-0.04452053,0.010339903,0.06597292,0.062165916,0.06945244,-0.061715372
state,0.06787936,0.08046239,-0.060926873,0.006621911,-0.050821062,0.06012962,-0.060847603,-0.062779725,0.06600508,-0.09605811,0.060827155,-0.020799998,0.049419913,0.09581104,0.086078644
case,0.07748022,0.0638362,-0.044411696,0.07533009,0.07591165,-0.027305176,-0.084103815,-0.08660968,-0.09429035,-0.0549529,-0.061601963,-0.03132298,-0.01011797,-0.044294663,-0.06266116
execution,-0.033237427,0.036858357,0.064922564,-0.03579148,-0.052607585,0.036896445,0.011388896,-0.09251282,0.076350115,-0.08922882,0.08974544,0.09709335,-0.093069404,0.059160817,0.08541643
murder,-0.09497334,-0.052559327,-0.07930464,-0.009213158,0.078555025,0.011212279,0.047499955,-0.11220494,-0.08618991,0.017649703,-0.010605925,-0.06762931,-0.06810388,-0.061463635,-0.055541743
year,0.07869603,0.06450712,0.023613045,0.041385476,-0.034378905,0.04189199,-0.05573399,0.00057363184,-0.0868617,0.08856087,0.10151616,-0.08565576,0.038552605,-0.0066847336,-0.061264746
would,-0.07432943,0.049782205,0.017947633,-0.049423374,-0.006938301,0.09027573,-0.04973552,0.082233906,0.04100374,0.04054176,-0.08859954,0.015604304,0.030331284,0.053758997,0.08877243
judge,0.03598815,0.02776234,-0.09504957,0.016829874,0.087498,-0.047614865,-0.07746698,-0.052282486,0.008555474,-0.023915851,-0.10907661,-0.05715094,-0.077930465,-0.09138207,-0.050182965
attorney,0.082470424,0.04496234,-0.039419908,0.07567179,0.086884886,-0.026530556,-0.09750312,-0.016748603,0.006399592,-0.098501384,-0.07641172,-0.083021455,-0.081446655,-0.09043054,0.09728381
sentence,-0.07320328,-0.06396499,-0.034893196,-0.028215135,0.05654706,0.0021840548,0.07495803,-0.020756891,-0.0785381,-0.048503086,0.0018411326,0.041220088,0.074608944,-0.057611067,-0.06146763
two,0.0014724388,0.077256836,-0.100660555,-0.025030183,0.018940967,-0.052592956,0.05677012,0.080447294,-0.041257113,-0.00968399,0.08646842,-0.09715497,0.02892893,0.0117038265,-0.048579488
trial,0.085225046,-0.023403766,-0.061748516,0.07945598,0.059112873,-0.06558002,-0.12135491,-0.046699475,-0.033891525,-0.078419775,-0.043452796,0.088067636,-0.08951903,-0.030911114,-0.041116126
jury,-0.09559406,-0.008340263,0.012898051,0.038271956,0.057801265,-0.06565594,-0.10009547,0.055514004,-0.059626523,0.0029555599,-0.041056044,-0.059772234,-0.09348593,0.0064709983,-0.048860356
life,0.013221416,-0.09531322,0.09317647,-0.085854545,-0.024599334,0.060790434,0.028074516,0.049634047,-0.002374275,0.110724114,-0.05110792,0.060321484,-0.08796184,-0.075424135,-0.052019507
mr,-0.09000925,0.024075994,-0.036882643,0.052743256,-0.00034177583,-0.073989965,0.053027574,0.0021042328,0.0489988,-0.08786911,-0.047608692,0.022446424,0.083515815,0.020337842,0.0893669
one,0.08149668,0.08446676,0.07996993,0.04297815,-0.04516729,0.07129011,-0.052909236,0.08087421,-0.041697547,0.08274703,0.057918705,-0.059393834,-0.05254237,0.021558156,-0.050245166
convicted,-0.085067175,0.011722982,-0.102966964,-0.012312164,0.055174965,-0.030136079,0.07171532,0.07989243,-0.068021186,-0.021156384,0.073289394,0.056649253,-0.04557296,0.052533906,-0.061461326
prison,0.010228631,0.08303177,-0.08832633,-0.019795028,-0.049775325,-0.012000626,0.09146876,0.08917802,0.03993209,0.056084406,0.03817808,-0.051925376,-0.090749234,-0.050355628,-0.054745473
prosecutor,0.05608961,-0.08047577,-0.070586324,0.088468164,0.07472028,-0.06486665,0.0017224451,0.055136327,-0.057257965,-0.11911664,-0.027496297,-0.06720404,-0.10447017,-0.09260997,-0.05451354
appeal,-0.01043222,0.04230014,-0.081371695,0.015626892,0.057423014,0.06507718,0.02389254,-0.08389604,-0.053382684,0.01274754,-0.09226805,-0.07315231,-0.0287255,-0.024705391,-0.06809616
supreme,-0.056412883,-0.066051275,-0.04987754,0.02427415,0.076745234,-0.008477538,-0.0294632,-0.08012509,0.05670768,-0.061806407,-0.07458022,-0.0536304,-0.06378716,-0.12540914,-0.05871212
county,0.018197024,0.06641513,-0.042719312,-0.032308925,0.050329212,0.039632443,0.03907674,-0.11777678,-0.010986316,-0.027184198,-0.03857308,-0.077996925,-0.07656374,-0.06684294,-0.046011344
capital,0.077753015,-0.048635893,0.048882622,0.03914071,-0.07388779,0.08960502,-0.06071743,-0.10523418,-0.043361183,-0.086093605,0.059360195,0.045767847,0.062426936,0.010112073,0.101163715
punishment,-0.059580024,-0.114089735,0.07582447,-0.061524842,-0.055039544,0.085246526,-0.050476525,-0.091318086,0.036153067,-0.06892736,0.06501645,0.079371795,0.06529842,0.04067058,-0.06633961
new,0.0399221,0.046740238,-0.03918112,0.062155515,0.0431535,0.031665087,-0.039179035,-0.020027962,-0.020674339,-0.07384286,0.03848095,0.03850645,0.02723482,0.023172623,-0.054719243
lawyer,0.0690171,0.05890955,-0.076822,0.09909572,0.06559296,-0.06207878,-0.09092914,0.043387927,-0.00521844,-0.06420163,-0.077384375,-0.06599206,-0.11175524,-0.07933074,0.09778632
killing,0.041460756,-0.04684133,0.05940486,-0.09027312,0.0035866722,-0.07550239,0.09069002,0.018811507,-0.044415224,-0.101683326,-0.05798845,0.08103012,-0.062393658,-0.032299876,-0.055517085
federal,0.030119754,0.050445106,-0.07630169,0.029428625,0.06773348,-0.006533,-0.03179557,0.05167322,0.03248725,-0.0048867795,-0.049549557,-0.034080517,-0.05567853,-0.09812456,-0.04412792
row,0.068669766,0.064267926,-0.05489752,0.08845531,-0.01920063,-0.01078281,-0.08180466,-0.09686434,0.045118347,0.045456313,0.0559434,0.038360264,-0.035380095,0.028432747,0.08934065
last,0.09422496,0.029931406,0.03674912,-0.0907126,-0.005309481,0.0005679593,0.0114463335,-0.055430006,0.07681608,0.045295034,0.091164134,0.035164967,0.05483425,0.014650426,0.097917095
time,0.021801919,0.07415987,0.03544747,-0.058207534,0.017203454,-0.017297661,-0.03683073,0.015383705,0.069394246,0.08116694,0.10344571,-0.029353011,-0.028101454,-0.03441258,-0.06166475
inmate,0.011753782,0.07925268,-0.056377564,0.025965825,-0.019212449,-0.014182109,0.03129303,-0.06762535,0.042195313,-0.0024359508,0.03282706,-0.093426496,0.00049999246,-0.03361415,0.08853578
man,-0.041948218,-0.10230562,0.06500043,0.09364879,-0.04275983,-0.092289045,0.062109675,-0.016714688,-0.04220471,0.011143992,0.113108106,-0.037748836,-0.09072125,-0.09498635,-0.064599365
justice,-0.09844994,0.035482258,0.10335707,0.09499348,0.07389131,-0.08857818,-0.091857366,0.072074756,-0.1135221,-0.05838505,0.008835672,-0.039754532,-0.007914892,0.07792567,-0.056938946
