word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
tobacco,0.06350864,0.08542027,0.08977057,-0.032261282,0.010528922,0.005646457,0.015937274,0.06969014,-0.023565492,-0.059001356,0.026951298,-0.004641943,0.047672354,0.04697937,0.004965218
said,0.03130345,0.061682217,0.034034602,-0.036884077,0.043530338,-0.032746892,0.09114431,0.10672772,-0.052395027,-0.03032821,-0.026951643,0.019006407,0.027059326,0.026734168,0.0057841376
smoking,-0.07244341,0.036196247,-0.050676376,0.038754333,-0.073057696,0.07245328,-0.052390993,0.094407886,0.040804133,0.084343016,0.05014148,0.04177217,0.021874247,0.019692833,-0.002357689
cigarette,0.050589804,0.07725004,0.0561954,0.0708409,0.051218104,-0.0066060643,0.08015776,0.07399057,0.048363954,0.004158209,-0.037475746,0.06200657,-0.090847805,0.07576424,-0.00012892955
state,0.023618385,0.0561157,-0.034333043,-0.06275299,0.072913356,0.039904624,0.035652768,-0.057404026,-0.044027157,-0.08745038,-0.014063869,-0.026964389,-0.0017073703,0.085897885,-0.0044490346
year,0.05422042,0.08285322,-0.11019371,-0.0468779,-0.049045507,0.026403306,-0.0631728,0.09949958,0.046013128,0.041560017,-0.016479699,-0.111327104,-0.018367039,0.032008085,-0.0018379946
would,0.0046243467,0.022750331,-0.121139005,0.041951388,-0.06021257,0.0797443,0.037321802,0.065818,-0.0473119,-0.06599529,-0.0542804,-0.04693579,0.04651125,-0.04232441,-0.0040450385
company,0.07902601,0.083153754,0.09109157,0.09001401,0.055381488,-0.07326328,-0.011629524,-0.062220555,-0.06023349,-0.07156191,-0.07783963,-0.08596335,-0.044464953,0.016193954,-0.00037464782
health,-0.04785923,-0.07710591,-0.06651475,0.06858941,-0.06292811,0.007680129,0.013671018,0.07465391,0.10926478,0.013040767,-0.012409801,0.015493698,-0.025205208,0.09755403,-0.00058538653
smoker,-0.0497278,0.08389676,0.005991613,0.086535886,0.026529742,0.056965053,-0.07148182,0.07950032,0.05661603,0.067519546,0.041988254,-0.008199873,-0.07615684,-0.07884839,0.0019189696
smoke,-0.05957859,0.0053841397,-0.065972924,0.07870691,-0.060312156,0.0021043874,-0.046724904,0.10248789,0.0668215,0.03744585,-0.008916797,0.09007309,-0.054458927,0.07394628,-0.0050060214
industry,0.08664306,0.0268139,0.034474123,-0.008865858,0.049641985,-0.00334828,-0.064494945,-0.052060336,-0.049396817,-0.07773194,-0.05589625,-0.050550826,0.02035917,-0.049017597,-0.00472472
new,0.030185722,0.06931536,0.026643189,0.09368986,-0.07366446,0.07107697,0.06948392,-0.06696562,-0.01188966,-0.03911307,0.047038343,0.038582984,-0.0850805,-0.019829195,-0.003781304
ban,-0.0124650765,-0.07034735,-0.07334799,0.068626426,-0.04435773,0.08221302,-0.008186118,0.07740048,-0.09812822,-0.08802331,-0.12250897,0.09693523,0.019316662,0.079261884,0.004656751
one,-0.017632108,0.0666567,0.045855265,0.096925415,-0.034385066,0.0077196164,0.05020493,-0.06905738,0.008269433,0.08649045,0.040842436,0.031600706,0.04576533,0.10187215,-0.0024364337
people,0.013967997,0.025019616,0.09767828,0.046808805,-0.07208147,-0.03935966,-0.0804586,-0.06945322,0.018537488,0.06571085,0.041059103,0.10548172,-0.063687,0.039006528,-0.0039685788
percent,0.04809353,0.06270458,-0.10267225,-0.0950379,-0.06510565,-0.0644818,0.00013986818,0.07391223,-0.048867553,-0.004725587,0.09544934,0.060142078,-0.076736666,0.03563174,-0.0004062217
say,0.052093998,-0.07173833,0.05726987,-0.07633959,0.0021739146,-0.009135526,-0.006424194,-0.058280576,-0.063143946,0.043878376,0.08946445,0.08142928,-0.024867054,0.06111225,0.0026262812
tax,0.09318885,-0.07870781,-0.10064082,0.08688488,-0.07822518,-0.07562103,0.012044728,-0.059880126,-0.08978945,-0.076722175,-0.07947459,0.061742254,0.021642439,-0.07502299,-0.0054219645
city,-0.046972714,-0.06544955,-0.09569105,0.0031261286,0.0130129885,0.04818087,0.05510276,-0.058560718,-0.06085966,-0.009477957,-0.061194945,0.01379129,0.06593644,-0.099657446,0.001109006
million,0.09802251,0.07272281,-0.075995885,-0.03496877,0.024186261,-0.06983447,-0.03875204,0.082405105,-0.08159422,-0.08924594,-0.096198194,0.078663886,-0.036988284,0.088199,0.00620594
public,-0.06584201,-0.0766011,0.031428125,0.028052468,-0.052823782,0.08163626,-0.06793015,-0.065475516,0.045511376,-0.102917075,-0.04560001,0.07527695,0.022881217,0.027977008,0.004042116
cancer,-0.070757926,-0.062474113,0.006146043,-0.109604195,-0.04249479,-0.07849858,-0.09262723,-0.054370165,0.085667826,-0.020544115,-0.07908283,-0.078345865,-0.033360787,-0.047335293,0.00064664456
american,-0.07198711,-0.07971115,0.07750505,0.094248995,-0.08664831,-0.07054522,-0.053496253,-0.066510394,0.06717339,0.027933331,0.08678894,0.023757664,-0.0529297,0.11317533,0.0054643196
law,-0.12181893,-0.06569153,-0.10405031,0.020963758,0.09866233,0.07287227,0.08869911,0.085182406,-0.0967431,-0.074066624,-0.097345844,-0.05809385,0.026800323,-0.085832484,-0.0012380972
last,2.0780572e-05,0.07229193,0.098269075,0.018084792,0.04714964,0.04386546,-0.04047817,-0.061734427,-0.07589173,-0.060936645,0.056756116,-0.09299783,0.0841215,0.011788538,-0.0056038685
also,-0.122806676,0.09085238,0.032859698,-0.077189215,0.031052532,0.09123251,0.086720936,0.09766357,0.09999726,-0.13089104,-0.0045197736,0.015121087,-0.026783314,0.07986376,-0.0060644546
billion,0.07450112,0.07546399,-0.09042717,-0.070021726,0.043481,-0.071726546,-0.05765603,-0.061056767,-0.04784867,-0.10263509,-0.06569354,0.0061839693,-0.09040612,0.052450936,-0.001602954
could,-0.07961409,0.07736797,-0.10170562,0.10034047,0.08837782,-0.009747876,0.04004862,0.07891107,0.021648461,-0.06224233,0.0017010455,0.016874531,-0.083791986,0.066113405,-0.0026498956
bill,-0.09972796,-0.08427182,-0.07525113,0.06112706,-0.09002568,0.05249348,-0.098861925,-0.055694442,-0.0836124,-0.10076455,-0.08285348,-0.00033364192,0.094379656,0.006428261,0.0027450295
county,-0.049228963,0.07893932,-0.0664325,-0.044496384,-0.018305436,0.034664027,0.083860144,-0.05595977,-0.051738895,0.044744607,-0.008678322,0.033926398,0.010268866,-0.016113142,-0.0010776996
product,0.040121846,0.027177067,0.09311137,0.017526811,0.056508448,0.0323137,0.040556096,-0.07020793,0.047445312,-0.11462194,-0.07923333,-0.07879742,-0.0013661151,0.090289935,0.0056134383
