word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
climate,-0.039194368,0.031533044,0.04769972,0.056164276,0.030797094,-0.008486892,0.08435952,0.069292694,0.013016051,-0.015147978,0.017454235,0.077529535,0.030243868,0.052214414,0.064424574
change,0.022067754,0.010311912,0.06388305,0.07263452,-0.02504608,-0.0030992602,0.0857128,0.06702698,-0.0045449664,-0.027756186,0.050675597,0.0569786,0.044790693,0.018302776,0.058982275
global,0.08090674,-0.02845244,0.046220414,0.06638466,-0.00030371535,-0.017316492,0.080098085,0.040458377,0.019122073,0.003241975,0.08123604,0.025873497,0.0022307888,0.06270586,0.0928512
warming,-0.04694073,0.072665125,-0.017654436,0.068418264,0.041246247,-0.0014379023,0.07109481,-0.03330496,-0.0800851,0.03768411,0.055033762,0.05713493,0.039844573,-0.023689087,0.08756658
said,0.092040546,-0.009030438,-0.056340028,0.03244807,0.042057026,-0.08955407,0.07706101,0.059187,0.03237922,0.032533396,-0.050498705,0.073303945,0.020808183,0.03883158,-0.055253707
emission,0.028492725,-0.04935003,0.008401929,-0.055985384,0.054783862,0.05437538,0.054670054,-0.035053913,-0.07482377,-0.048522197,-0.029046105,-0.079037,-0.034598917,0.059707545,-0.049851127
gas,0.04138087,0.044106938,-0.03703276,0.015083542,0.04122015,0.05254666,0.06341773,-0.0663056,-0.034301646,-0.08722372,-0.0964732,0.0072714533,0.03244851,0.022192558,-0.05100203
state,-0.030497137,-0.0513669,-0.054102156,0.0872579,0.082563855,0.066370524,0.076416194,0.06542903,-0.03054636,-0.013492728,-0.063124985,-0.040197697,-0.005170016,0.0767587,-0.04769917
year,0.021903709,0.03540636,-0.057243228,-0.0038489867,-0.05983116,-0.029055469,0.055071566,-0.100641616,0.028910877,0.07654478,-0.040670898,0.048685532,-0.038828872,-0.074585505,0.06148148
carbon,0.06604766,0.042246066,0.011680226,0.028783755,0.022702228,0.033548504,0.07204476,-0.04596266,-0.07066937,-0.008445336,-0.053145844,-0.07137371,-0.030078882,-0.011830274,-0.05089148
would,0.054597326,-0.0061284914,-0.079786025,-0.021470163,-0.058936737,0.05955863,0.046476215,-0.079923086,-0.05370262,-0.04464105,-0.011050583,-0.038197532,0.0330094,-0.012028737,0.07116388
greenhouse,-0.040543325,0.059070278,-0.039052106,0.011845022,0.04481985,0.06345424,0.068893686,-0.07252649,-0.05146791,-0.08022983,-0.08602026,0.044508513,-0.049246415,0.05320915,-0.04816638
new,0.019335771,0.016053716,-0.07767046,-0.028314749,0.05161707,0.06995406,0.08233471,0.045811545,0.04042306,-0.00050731475,-0.006855938,0.05515618,-0.034563985,-0.045864947,-0.057184614
energy,0.045596495,0.014645032,-0.08031058,-0.080126,-0.081561245,0.05097238,-0.06661523,0.015910707,-0.08821149,-0.008194746,-0.06873037,0.026698647,0.03413477,-0.022039402,0.062388018
scientist,-0.09419501,0.07576124,-0.06608466,0.050221086,0.048151452,-0.058121093,0.07460574,-0.10037211,0.02121217,0.03364349,-0.05572553,-0.05809589,0.010113817,-0.062698305,0.06946991
