word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
climate,-0.04412849,-0.0066485787,-0.027121073,-0.038776904,-0.04034308,-0.035033494,-0.041758377,-0.028756034,-0.040663317,-0.04411298,-0.03580505,-0.01099288,-0.0095546795,-0.01967944,-0.05195535
change,-0.028927425,-0.013147048,-0.02468149,-0.038612764,-0.04640407,-0.031233378,-0.040313385,-0.03486355,-0.03892423,-0.045299746,-0.015616863,-0.02345899,-0.0010425082,-0.02639461,-0.04142385
global,-0.0114077935,-0.05937971,-0.0392587,-0.041786898,-0.049778365,-0.031118527,-0.044563625,-0.044727195,-0.039512374,-0.030624986,-0.012065046,-0.044632476,-0.028024258,-0.0044572325,-0.054120474
warming,-0.035384964,0.057905935,-0.04107906,-0.05095539,-0.042816278,-0.03677108,-0.055439755,-0.04636403,-0.054702714,-0.02791093,-0.02529498,-0.036431503,-0.013234613,-0.039367706,-0.03885839
said,0.014427352,-0.036349237,-0.05343629,-0.050611857,-0.041729715,-0.086560115,-0.0412492,-0.036335852,-0.022511445,-0.025747843,-0.058041435,-0.02970116,-0.019421788,-0.010615488,-0.04269909
emission,-0.013250005,-0.04064494,-0.038846966,-0.041672766,-0.02009603,0.019220816,-0.035171427,-0.051775027,-0.052279517,-0.042258985,-0.04536166,-0.056198474,-0.052737556,0.03906284,-0.037593674
gas,-0.02043318,0.01212505,-0.035705328,-0.04759115,-0.026480917,0.026711518,-0.041280642,-0.05159614,-0.047333676,-0.051944055,-0.058694046,-0.03689549,-0.006629433,-0.02325149,-0.034632586
state,-0.032977544,-0.051861115,-0.038805936,-0.03216127,-0.0014645167,0.025839193,-0.041185644,-0.033605244,-0.040773563,-0.03776615,-0.06215371,-0.052856814,-0.022027848,0.027134778,-0.03738513
year,-0.020826286,0.009611485,-0.041396257,-0.04666473,-0.050882224,-0.048440553,-0.052212805,-0.0480538,-0.042990323,0.014345468,-0.05234782,-0.034274075,-0.043997414,-0.06457384,-0.041545432
carbon,0.025358109,0.010789636,-0.0403802,-0.04786654,-0.040523913,-0.0012991166,-0.033508107,-0.045638945,-0.054363437,-0.035178695,-0.044998124,-0.05858783,-0.046733692,-0.03276276,-0.037307914
would,0.0090853805,-0.025567314,-0.05207828,-0.053457886,-0.043441903,0.021723265,-0.036783554,-0.048030015,-0.05580609,-0.05241817,-0.04117839,-0.051249802,-0.010785358,-0.034267463,-0.036752682
greenhouse,-0.034945536,0.040642347,-0.038376782,-0.03977549,-0.038525205,0.030934095,-0.03310856,-0.04279626,-0.046794236,-0.051791925,-0.05160105,-0.02543869,-0.049125925,0.019394455,-0.039228875
new,-0.01899817,-0.019369017,-0.055371452,-0.04423457,-0.023762796,0.020046331,-0.047810934,-0.03678525,-0.03422167,-0.025954958,-0.040402595,-0.0170568,-0.043336093,-0.048532024,-0.03771413
energy,0.018248789,0.0048241317,-0.05806741,-0.04592411,-0.053078678,0.024845878,-0.05351485,-0.038047917,-0.05584056,-0.0349869,-0.048171207,-0.034521334,-0.0009801979,-0.026848644,-0.04958079
