word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
death,-0.05044255,-0.049978774,-0.03416097,-0.016613267,-0.030920343,-0.004154527,-0.03140747,-0.034660704,-0.06140257,-0.047625165,-0.019366741,-0.031529766,-0.036303513,-0.04865435,-0.059696313
said,-0.039482042,-0.02964901,-0.03225829,-0.035357285,-0.013334141,-0.048051517,0.004920566,-0.04754423,-0.015033828,-0.01728047,-0.056475874,-0.032735113,-0.028585007,-0.0367697,-0.043964926
court,-0.048953462,-0.04085894,-0.055695925,-0.032650214,0.10749566,-0.057694715,-0.08069024,-0.05538299,-0.02687933,-0.037110668,-0.047904957,-0.0534454,-0.061935052,-0.04722673,-0.042943478
penalty,-0.035124905,-0.055818804,-0.02892623,-0.04472811,-0.0062098047,0.00993005,-0.06184764,-0.050673354,-0.065664075,-0.04559607,-0.032680564,-0.017150296,-0.0040933327,-0.041301217,-0.05979183
state,-0.030623032,-0.026092166,-0.044579513,-0.030646367,-0.07089193,0.007787435,-0.044440698,-0.037765592,0.0066487757,-0.04156367,-0.004921936,-0.043496728,-0.010635102,-0.026238319,-0.049909722
case,-0.014309777,-0.029678285,-0.039608885,0.050812267,0.08177226,-0.038963065,-0.06275157,-0.052384596,-0.056378745,-0.05086199,-0.048308425,-0.033920564,-0.03994942,-0.029527353,-0.037271935
execution,-0.058633298,-0.04392081,-0.021361724,-0.0388258,-0.07216106,-0.017896371,-0.019576274,-0.06434959,0.0382964,-0.044180162,0.020009728,-0.018831018,-0.05877363,-0.024867238,-0.04182048
murder,-0.04201529,-0.04101641,-0.04766349,-0.027712138,0.080452755,-0.03500522,-0.0030945386,-0.053836234,-0.059031192,-0.04254247,-0.046133447,-0.053215083,-0.06389135,-0.05698824,-0.03991051
year,-0.04430045,-0.025004452,-0.04655719,-0.015031136,-0.039581552,-0.016615342,-0.04987766,-0.054337192,-0.054395504,-0.016413648,0.023984646,-0.043444667,-0.029644364,-0.045480523,-0.05370434
would,-0.0361865,-0.046366658,-0.02824835,-0.054490637,-0.02738254,0.0545878,-0.05147527,-0.026911445,-0.026326835,-0.034562994,-0.06712694,-0.039135583,-0.02602135,-0.045327306,-0.037805293
judge,-0.04706468,-0.05274401,-0.059305593,-0.023899075,0.10989655,-0.04975418,-0.08351479,-0.043938033,-0.04207713,-0.046132296,-0.076946735,-0.0425414,-0.054904457,-0.060936533,-0.048040923
