word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
gun,-0.024012329,-0.03518619,-0.043195065,-0.041019768,-0.04567754,-0.026629973,-0.03233866,-0.03928448,-0.019498494,-0.050330147,-0.01234799,-0.029060697,-0.038859513,-0.032765023,-0.054596115
said,-0.01588201,-0.034398265,-0.033681747,-0.045509037,-0.026850592,-0.07165591,-0.027807584,-0.038011566,-0.030314328,-0.039972093,-0.038615476,-0.020213367,0.019171068,-0.043032113,-0.053095832
law,-0.048958097,-0.04353647,-0.029080527,-0.041464444,0.023098093,0.05753642,-0.026007032,-0.025827086,-0.040706012,-0.039830282,-0.04190983,-0.031877857,-0.051093843,-0.025057526,-0.049730428
state,-0.03912818,-0.041211832,-0.035360787,-0.050279938,0.015006469,-0.005100666,-0.044118077,-0.008893901,-0.03986168,-0.04124439,-0.03662601,-0.033758122,-0.028803019,0.009185935,-0.04455525
would,-0.032207888,-0.040060233,-0.0266108,-0.02904275,-0.059546504,0.059252925,-0.038075674,-0.041377425,-0.032474786,-0.033815503,-0.064362,-0.049816255,0.047355298,-0.044707227,-0.04301008
weapon,-0.046899665,-0.034167785,-0.038329948,-0.053788334,-0.028983222,0.03244584,-0.01973485,-0.023259254,-0.032513425,-0.04077934,-0.038908094,-0.05078851,0.009024921,-0.026992822,-0.037783258
bill,-0.07094026,-0.03220001,-0.034321517,-0.04763372,-0.064838834,0.045109533,-0.059189785,-0.052233998,-0.046493713,-0.037118834,-0.066094056,-0.052685276,0.08532427,-0.05003594,-0.0469574
people,-0.042349588,-0.038775638,-0.028870413,-0.032810267,-0.049262278,-0.024515476,-0.04307962,-0.012139967,-0.0054381145,-0.03517734,0.014238098,0.028840788,-0.046109844,-0.03654849,-0.03625095
control,-0.048733905,-0.034679208,-0.04670843,-0.051672198,-0.0618958,-0.009750457,-0.03638002,-0.05016781,-0.042639434,-0.037064616,-0.02071847,-0.004237553,0.049173832,-0.04903411,-0.041210752
firearm,-0.0090163965,-0.044258352,-0.04695613,-0.025817446,-0.043879837,0.023710677,-0.02815248,-0.008049553,0.0076299673,-0.056471642,-0.035042882,-0.03653392,-0.07158252,-0.028555745,-0.049269788
right,-0.04853105,-0.058914926,-0.036645666,-0.026682332,0.0815032,-0.04105511,-0.052425135,-0.03521923,-0.059515152,-0.042102996,-0.02155684,-0.019161377,-0.0358922,-0.04023958,-0.043259844
new,-0.014104197,-0.051146287,-0.036247555,-0.053361073,-0.01156744,-0.0043463595,-0.026520703,-0.031970996,-0.04165109,-0.037447806,-0.02143631,-0.028851222,-0.06541927,-0.033008937,-0.041319784
one,-0.04044739,-0.043267727,-0.031176634,-0.029580014,-0.037214108,-0.027816106,-0.009929634,-0.046733055,-0.035745803,-0.03893672,-0.021207545,-0.0246469,-0.0675086,-0.025505602,-0.056788445
year,-0.012275125,-0.03252384,-0.04007893,-0.039500795,-0.030485522,-0.036512,-0.012471727,-0.03450589,-0.021226078,-0.029237665,-0.01005491,-0.053520124,-0.03079412,-0.035712764,-0.052931566
shooting,-0.022716166,-0.050208118,-0.046751205,-0.034669545,-0.043652795,-0.047749538,-0.014599624,-0.039796017,-0.026289236,-0.025909659,0.012147276,-0.0057293517,-0.031658687,-0.02431728,-0.05220714
rifle,-0.011930649,-0.055833895,-0.037844174,-0.03522589,-0.02852608,-0.009891887,-0.041950557,-0.03604814,-0.053461816,-0.04000788,-0.013602329,0.0114025995,-0.04396238,-0.040403023,-0.034384664
school,-0.03598177,-0.032913435,-0.025376575,-0.045526303,-0.041078426,-0.02119408,-0.049845822,-0.01653998,0.0024791735,-0.011018737,-0.028355708,0.038692825,-0.011447293,-0.034615874,-0.03690994
national,-0.042604137,-0.037657112,-0.032859564,-0.04941877,-0.037216853,-0.040287696,-0.037278026,-0.031853862,-0.041735344,-0.043873545,-0.016930372,8.359003e-06,0.045518067,-0.032992855,-0.039959937
check,-0.01659564,-0.033612963,-0.049326733,-0.02637766,-0.034148224,-0.006026222,-0.056260508,0.08243992,-0.041029766,-0.036915556,-0.034654997,-0.014554383,-0.023337847,-0.024161134,-0.048057687
