,word,0: Economic,1: Capacity and Resources,2: Morality,3: Fairness and Equality,"4: Legality, Constitutionality, Jurisdiction",5: Policy Prescription and Evaluation,6: Crime and Punishment,7: Security and Defense,8: Health and Safety,9: Quality of Life,10: Cultural Identity,11: Public Sentiment,12: Political,13: External Regulation and Reputation,14: Other
0,death,-0.15269497971873866,0.2692593206018193,0.09309464239189556,-0.002101657193067327,-0.0359044487763988,0.02174280371638109,-0.053187094438451994,-0.055353181229500614,-0.011263724552768467,0.13469675244909554,0.20007494090712602,0.19030360706693744,-0.22975921210079725,-0.2919728206766083,-0.370566861347757
1,said,-0.037706978951272264,0.07032324603723412,0.10495962997136814,-0.02650300983610401,-0.07301713539104553,-0.20160129867411997,0.07931168673506887,0.028595519875584643,0.13016429161513315,0.15879525616360446,-0.15057392909412198,0.11011634346553692,0.03744640614473015,0.02782116694402033,0.40814503261872453
2,court,0.1287407409256385,-0.005578996568312683,-0.5125813649090959,-0.16050046740911927,0.28521814268039763,-0.08733224780875583,-0.21932798689264657,-0.29268348971387437,0.008878809128921753,0.02418932543973079,-0.06524936442350862,-0.009193993471270577,-0.301789457486568,-0.008838515495190779,-0.27924335313071447
3,penalty,0.00022365109710781653,-0.2852803881703278,-0.09883701617339495,0.030202202694778704,0.020284682218307308,0.15771359181733244,-0.14825131152989532,-0.15450220426558328,-0.608118878189028,-0.34295719653927315,-0.23898479067112846,0.001671857645756414,0.3958945839915658,0.27959685800607975,-0.2506631810744945
4,state,0.16692328647439508,0.134239687451696,-0.15451315333736967,-0.016055459753795995,-0.11174786096128896,0.08735237603247352,-0.18150406213589387,-0.07540317373606599,0.17629225730542977,-0.363676894742125,0.045394041260136124,-0.13160973575205398,0.0843572864830576,0.35499965901527225,-0.07658712827523843
5,case,0.37210896643423724,0.10400293603516936,0.019640003378259493,0.14856093919117114,0.06624926057403235,-0.062079202876545225,-0.20439684637701178,-0.18847082024168593,-0.27199820325540336,-0.13665432113937398,-0.033442957566038024,-0.06257588305217932,0.03758030785879079,0.020812729124832407,-0.28194946462165504
6,execution,-0.12300629000182119,-0.332232341646056,0.040807617239477165,-0.00022321130335418527,-0.056792121365041685,0.037705457035676015,-0.025500461402039033,-0.6927868010866818,0.1584740722190396,-0.28679751931007774,0.21408606686143494,0.3863863399794467,-0.3711666317057166,0.07674111559669024,-0.03804533667887291
7,murder,-0.8046305427729027,-0.49361896251998355,-0.09973319929047349,-0.034929805535401114,0.18100617692366605,-0.053196382739476175,0.13381965284666733,-0.9775292891560443,-0.3135366252638354,-0.012988192614296583,-0.09352482299023403,-0.26926066589240333,-0.3001295516085471,-0.27577250493685523,-0.19970904437766154
8,year,0.022073730685178348,0.29208158009371743,-0.07497986352864962,-0.002119281661398545,-0.05455898824570513,0.04647759703279153,-0.1781035710928765,-0.015084963223442932,-0.30773293729097917,0.26485583987035405,0.2612657375106227,-0.3628450049305892,0.024332257699855253,-0.20534960225050433,-0.2139610204025309
9,would,-0.30300954902431165,-0.012977459012422145,-0.13154903210433083,-0.07151913429069463,-0.06939958416978022,0.40327083284577836,-0.15784679240528743,0.2911192005061938,-0.017947325938574052,-0.06975596678290191,-0.3002842522105964,-0.05704441327364128,0.12719033944104557,-0.10579165440784247,0.036514705161880615
10,judge,-0.2535077842077118,0.08471396486529312,-0.29532443099796074,0.01943926619627186,0.21795275235648204,0.031428712933610686,-0.16491231793302927,-0.28151046117504985,-0.03892562933141579,-0.10174458063874338,-0.6196696686990121,-0.3244421973574924,0.006981101557957487,-0.6773520951409001,-0.13720919321156427
11,attorney,0.08658337140670726,-0.02731409914918043,-0.050936894453804345,0.1538723250614738,0.2841419491411391,-0.06924655925540174,-0.1409975937924214,-0.2092553768373198,-0.019458703669350007,-0.3235374832079186,-0.44718299337710016,-0.5215203883966104,-0.20882651319095114,-0.303816902051074,0.1631527485780367
12,sentence,-0.03242727779906675,-0.33035053538042974,-0.1331700775682652,0.022022876432967506,0.08277532839036572,0.024901908122971647,0.1228632430624795,0.14557916465319146,-0.28014194262112785,-0.29389538211268784,0.011981791827599435,0.12827390980914083,0.3002597233859647,-0.1872129342152295,-0.09685375717759435
13,two,0.0416072168747502,0.23960375175769535,-0.44179806684128703,-0.11265983749114901,-0.003973315786104749,-0.07496008095770197,0.15969830532540655,0.20179201753034623,-0.07510744546946714,-0.1415990207510166,0.18461002945580784,-0.5711931810412235,0.06750712184447123,0.027846009013940912,-0.21510286495459918
14,trial,0.3346286818652827,-0.13681516399662544,-0.1055531885546169,0.09501043909475128,0.10810304521531151,-0.24568421080200503,-0.19347016160585595,-0.31113725709038065,-0.023282081762588794,-0.08694177931519734,0.05193791540405304,0.4002668044043878,-0.3967574248910153,0.042349596191906834,-0.13261679656672576
15,jury,-1.0644680698478082,0.24556695914150065,0.024362097190233203,0.0674717303009343,0.10403843383242342,-0.13508227923269242,-0.11830859912514913,-0.002918010164376824,-0.1470487093887613,-0.0482133179148203,0.07217676080752822,-0.3469180788980165,-0.3073321208462074,0.32717188435523403,-0.05444034538790858
16,life,-0.03279780840045426,-1.0922800166207112,0.48022026232169285,-0.16178036963244244,-0.07206216483145184,0.12069197089582426,-0.11491800947246161,0.0695226755136573,0.14149116623550193,0.4323589802181881,-0.13670948614710102,0.19496549535509988,-0.37847158127763975,-0.21229510708241672,-0.13056526717008177
17,mr,-0.6170032990467492,0.03523989358340661,-0.056896059058591436,0.06747373663820921,0.004073704045542403,-0.16161213169270616,0.06543842177825641,0.025436536969481467,0.06566899208420919,-0.2520929932004771,-0.1787907684501155,-0.08995016159446027,0.13783014288683063,0.08378685883969869,0.09188326945037292
18,one,0.22423620515909912,0.43513349619239083,0.2221741072271554,0.015824626957636916,-0.08721662270608949,0.12220394186805078,-0.08902336097817784,0.18284216581679086,-0.10489343641244468,0.1629684808262014,0.0925470604077621,-0.17667311870871671,-0.040565644184365396,0.0298193376382786,-0.1766850298440266
19,convicted,-0.7094091938880244,0.10827573084419682,-0.30709222263055364,-0.08802101963919602,0.1619275277651679,-0.0025651646710068295,0.11885622983939878,0.19267650729124408,-0.10022469159524071,-0.13926875769391953,0.20291576681260162,0.39352488629995247,-0.1378646945696973,0.1034011506568623,-0.09185425562719587
20,prison,0.013438359482081332,0.7224221008982454,-0.3217401110875014,-0.041599771030111705,-0.05707886007943048,-0.01514618944778224,0.2983304195865241,0.41737482599266595,0.004814370991211122,0.1301946488994887,0.0533500623428535,-0.11608205397834755,-0.445461504934904,-0.19023216564763126,-0.12814410803467696
21,prosecutor,0.014552658554591553,-0.6308047998289114,-0.14091018793448126,0.10449983181576125,0.21895970124517133,-0.13459894944404582,0.10963531026045593,0.049314796472207115,-0.12797831297152365,-0.3819502906773778,0.08592107920506226,-0.2203393103103176,-0.6461839127549217,-0.5309986518651575,-0.1307879605650901
22,appeal,0.18221397192275335,0.12885722901773553,-0.17248747891611158,0.03967574728019116,0.09228285888658035,0.19846515049056326,0.16435534916584485,-0.6039887689539458,-0.2526243644294196,-0.028976456334470286,-0.23151653830774624,-0.09759695004640107,0.08963871983870175,0.021738471180148534,-0.12445561453093525
23,supreme,-0.6400850733795321,-0.07205309101283675,0.2145050349113829,0.17329481734376959,0.03590915898104019,0.025371603435295646,0.18394762423176947,-1.000797076601703,0.20353255485709368,-0.13719601705897125,-0.4094872067626396,-0.31568070840680157,0.07670371101286286,-1.0633506088119782,-0.0813592988543967
