,word,0: Economic,1: Capacity and Resources,2: Morality,3: Fairness and Equality,"4: Legality, Constitutionality, Jurisdiction",5: Policy Prescription and Evaluation,6: Crime and Punishment,7: Security and Defense,8: Health and Safety,9: Quality of Life,10: Cultural Identity,11: Public Sentiment,12: Political,13: External Regulation and Reputation
0,tobacco,0.14550736424523325,0.42975899716094995,0.18531184708164686,-0.42085458345880483,-0.17115508365022178,0.0022857861778107546,-0.017759502544494196,-0.06914131110630567,-0.06377442779193619,-0.15684598342834666,0.06402869926831137,-0.018841008624063578,0.03271472588519632,-0.01777605407559415
1,said,0.04221758040274808,-0.023054155306630724,0.14271077039513952,-0.26282128876527666,0.007249527910011923,-0.10480543667177214,0.1527415747203976,0.6765297185871542,-0.09708023051981633,-0.08439107662067892,-0.06542815036573774,0.005295186111780098,0.04893076339350174,-0.16751737734499508
2,smoking,-0.24075048172089775,-0.07111333668956647,-0.02442664061507299,-0.05743129474218537,-0.18782087209994688,0.12324462153980575,-0.15624392228368986,-0.21184391364270858,0.040826206298320816,0.1716189339918363,0.12530523650864198,0.0026524783669472575,0.06466200348198375,-0.19824490411820386
3,cigarette,0.03624278279399001,0.06145719983069122,0.09867564142511161,0.12145280781041487,0.05771801172375343,-0.0007523504253151546,0.21019863650840928,-0.08899868778085823,0.04267030392105694,-0.06596610729127388,-0.08481307025521027,0.18509786451321508,-0.2209208650363161,0.16702445377731184
4,state,-0.00472873207223251,0.07010130716287684,-0.018037999764284683,-0.637117715769196,0.052782519377209985,0.09414049064052298,-0.10176716405818817,-0.3718705443026095,-0.09204392605684752,-0.38466346229314874,0.04461944514443078,-0.07454718278201497,0.01700942491429208,0.6065152048906444
5,year,0.10461736855095968,0.5262046400898357,-0.684514900181812,-0.5153821214425687,-0.13537347541824915,0.08324242599175526,-0.3988340874721797,0.14634776540618777,0.030839991592328128,0.07484882462441274,-0.05364570039494718,-0.41768801775907083,0.013436039150556554,-0.2961434206676728
6,would,-0.06880051839325903,-0.16972952520517468,-0.5029549748241404,-0.07167328944271349,-0.12977524543208643,0.19762087631439976,0.04519704650103511,-0.042354588792026894,-0.07892363022571658,-0.09574623412662658,-0.11644325976468937,-0.2320214014888525,0.09555439722066936,-0.23079920703302634
7,company,0.16467189337752516,0.03138500862870625,0.3144116808875683,0.5081873074084179,0.18952615222499158,-0.14783955313981748,-0.1261631954130146,-0.30128967165614406,-0.1776246240368156,-0.1933665920419402,-0.27734142368703124,-0.46806960776774076,-0.10023343404226515,-0.12108716233292834
8,health,-0.040981720249151074,-0.5653232823232863,-0.1466482991961794,0.2863687045812755,-0.015524145864554955,-0.007202312457657796,-0.15545285148026683,0.10398359136582773,0.37268614486471063,-0.06757685791198631,-0.10989519979555668,-0.053432647119156525,-0.0821632942769428,0.7945885440276865
9,smoker,-0.0868510888107664,0.5854658252780354,-0.07691413517432004,0.28012539297876515,0.03130138961822451,0.12678143107730636,-0.23837274152114724,0.12359820419650075,0.11281502520973834,0.09698428076792855,0.023566522226290285,-0.11426004853035654,-0.22173795544111694,-0.5534728734975405
