,word,0: Economic,1: Capacity and Resources,2: Morality,3: Fairness and Equality,"4: Legality, Constitutionality, Jurisdiction",5: Policy Prescription and Evaluation,6: Crime and Punishment,7: Security and Defense,8: Health and Safety,9: Quality of Life,10: Cultural Identity,11: Public Sentiment,12: Political,13: External Regulation and Reputation,14: Other
0,said,0.015334509999920878,0.021443913170787025,-0.016675465655797556,-0.09568733800362854,-0.038416915725175006,-0.1610541182161535,0.07701753910205594,0.005063069788992394,0.03320968938333124,0.03363876773510753,-0.1362025380050956,0.04156355089091896,0.05439961829222914,0.010393970804407139,-0.044974535241972556
1,state,0.080770573722904,-0.06369628395895627,-0.3635097292841118,-0.05388908820262139,0.07133730864739041,0.08896705031268405,-0.11132343607474782,-0.016073895883300188,0.005205521310868378,-0.0942959308838516,-0.006692186598670237,-0.0239588008324879,0.06313776791761061,0.20336335802077213,-0.061752543179439026
2,gun,0.045852598135219996,-0.45857049227833,-0.06117453638204507,-0.09485526849214311,-0.05323731915352176,-0.01043212223357176,0.016543277285023836,0.043749796719946894,0.05663969946586861,-0.29780714805728964,0.05935103187942152,0.040171767248792296,0.035864110042023806,0.01042317187408496,-0.6966808929971543
3,would,0.11238164276725847,-0.052115442413881635,-0.07749414271846647,-0.025918359071083016,-0.02432448839691141,0.2563065071375462,-0.10542348580279225,0.01991416804176442,-0.07345227517978031,-0.021730916716335234,-0.22485127966272056,-0.13174520260850525,-0.02030181319280426,0.04755107120713208,0.188328173553321
4,law,-0.2564910018001343,-0.4710583119815899,0.06659330219923254,0.0282588682201798,0.18116446875238673,0.1652130235804505,0.037738427746604006,0.005227329104989991,-0.15987715692786844,-0.09618719535991371,-0.2104694262162483,-0.015815694393097053,-0.02370408582202429,-0.019174198067040432,-0.724396950677266
5,year,0.12060586219597032,0.2358292523679415,-0.25016822309838405,-0.01274358111575361,-0.09521025728903587,-0.009419906497715678,-0.003786065753813822,-0.13855304845472932,0.007895013158634378,0.19416252047943516,0.00197646657960856,-0.14189375472265128,-0.08612975738671999,-0.04949843489848572,-0.7396471409059312
6,new,0.04675643075089529,0.07157061578227336,-0.20231056185686974,0.08018587257801113,6.558009103641973e-05,0.146052016271615,-0.2046784150440771,-0.017490861162138008,-0.0857124884827445,-0.10133716927190596,0.028170657550757015,-0.019645371906350226,-0.049488845741253326,-0.09440469946429654,-0.05935772352004734
7,court,-0.4267222266268712,-0.24746057106514086,-0.5105936419329543,-0.09190831042705387,0.5294131110688463,-0.3411046773973212,-0.1486753270658317,-0.34647785095706424,-0.10181396657732149,-0.22224148908013833,-0.29302078359012335,-0.17688106466954048,-0.3361192520215584,-0.014022262703088944,-0.1157680823303684
8,one,0.00025942460646858994,0.13154188667050026,0.04984195389579619,0.011570200712590229,-0.0991014604106152,-0.01594004041309896,0.014600312925802843,-0.05609983267240205,-0.02615165328754108,0.07566518405761849,0.0804440081307572,0.0334919647159041,-0.05227627887201623,-0.04159340893020819,0.014717938747463485
9,people,-0.13251726384791804,-0.12330562308120052,0.13888212683137816,0.058686496458118645,-0.1160246407177629,-0.013711907949521516,-0.06201340357543599,0.14682853936139112,0.12210239201310717,-0.012208826080254117,0.1378200511506978,0.2645817281578366,-0.10354072871282997,-0.2692345103282603,-0.8554544535412216
10,marriage,-0.15293547498182225,-0.40734915077650696,0.08426048334768578,-0.007974307881792084,0.011126649076084696,-0.03759828854582811,-0.02595420412408696,-0.7722754482755124,-0.607090110531881,0.0707300827623027,0.06379203337912692,0.01883632797471155,0.03501961719257823,-0.08985053950276455,-0.45752873280700873
11,death,-0.4357628779045247,-0.6217148901741611,0.12846063800583565,0.30580421556879955,-0.11744254407031583,-0.020577862747367264,0.024669527979185233,-0.25729107257228306,0.2869487124188744,-0.12262987370130304,-0.012118811069466662,-0.07249363747991781,-0.16568530930016215,0.02809996640737456,-0.5832530969149348
12,bill,-0.07593094271976883,-0.2649059486320461,-0.18016438386512457,-0.11655293645396042,-0.1471770495787669,0.1801678954223081,-0.15661079228708583,-0.060275954966574466,-0.16768693955408864,-0.11366605592834794,-0.25776704184098537,-0.09695223979260004,0.16558431180086552,-0.27603172297963785,-0.30391987953510946
13,right,-0.34655136938699543,-0.406081987619621,-0.05051872728474681,0.2733024575802116,0.22868969091791483,-0.07464830157270837,-0.19896536224931685,-0.10314051849619349,-0.18244608032173545,-0.05611801077288424,-0.011934746466913037,0.11059751059214928,-0.009643622608145937,0.0909822123008884,-0.9053651344041967
