,word,0: Economic,1: Capacity and Resources,2: Morality,3: Fairness and Equality,"4: Legality, Constitutionality, Jurisdiction",5: Policy Prescription and Evaluation,6: Crime and Punishment,7: Security and Defense,8: Health and Safety,9: Quality of Life,10: Cultural Identity,11: Public Sentiment,12: Political,13: External Regulation and Reputation,14: Other
0,said,0.0886374024758957,0.038076901609287755,0.004247627509076567,-0.054988806933305844,-0.01428537733284867,-0.07548301433901021,0.0036132873285681425,-0.06583165777114915,0.06396378629794361,0.04743307219091805,-0.09743706305282619,0.016773302177569695,-0.01846853720639621,0.06687772968730145,-0.0031286526410400084
1,state,-0.012279779962363544,0.04482340863821283,-0.1934902664675826,-0.07472733658432043,0.05534301767437821,0.05443004984300772,-0.04719278758123953,0.11413559898971094,-0.018559745826138584,-0.06737838162246837,0.10844410529874562,-0.04784186861625217,-0.024142650299800547,0.21211746538152038,-0.10368082886539039
2,gun,0.09974213719191281,-0.3055570526267473,0.0006322355965193827,0.043615380048965764,-0.036640976712025784,0.05735198954303058,0.07415821946777414,-0.034680128212782955,0.1815918336619079,-0.14826406867128364,0.13977333497991712,0.07423701054157586,0.047376245369771725,0.15715491314293115,-0.3504910733214536
3,would,0.0008562609623474649,0.07017467288299534,-0.11032796446072121,-0.02224075560577216,-0.04983607764217232,0.12149705637156652,-0.00897060961640473,-0.009834532368002106,0.023393660044746616,-0.0040619295305615605,-0.181454139415885,-0.14138441488331407,0.0221488928084741,0.03351630615821816,0.2565235742944888
4,law,-0.150014733948573,-0.4489315571210864,0.0699760424010749,0.0784772925996808,0.2823914860369797,0.22912594418210894,0.15458730730407555,0.010873394278166769,-0.06889378928764951,-0.0348721213673821,-0.06198197724779039,0.042005004803480545,0.08839548595674172,0.16294326430942813,-0.3540810428992451
5,year,0.06474027999228002,0.2513902657692566,-0.07691744846285978,0.0159518810077068,-0.024627457062984963,0.017193469285671437,-0.06235083066874772,0.018426307632434274,0.04249197344692274,0.17845967864874648,0.09011882626014851,-0.07672950314575808,-0.02261858789643309,0.05434629975864701,-0.46987515456507223
6,new,0.07982525680603614,-0.0057803118582963504,-0.07573141010888698,0.10327658817269854,0.030889820636436922,0.1096807189323474,-0.07062149844761574,0.07451702153819494,-0.07595928860150583,-0.0699113068782993,0.07916486916483623,0.03884760296668923,-0.09599268879730646,-0.0552117341894646,-0.06699363933588212
7,court,0.07767349264176399,0.2214626562924713,-0.5297938410637304,-0.004876562112014324,0.28145328302472156,-0.05541313303386353,-0.015078061414972624,-0.22781240574069958,0.016395319579637593,0.07224727174037987,-0.024625226208617207,0.05118673848190353,-0.16914773833845814,0.25155733382770107,0.0547708723237288
8,one,0.10643132940813982,0.11629469107984934,-0.054311324736885554,-0.01595106250461645,-0.0880476997197332,-0.024443745389258368,0.005981492918130982,0.047534381113782435,-0.02000450967854749,0.031228600076483093,0.014582811226025769,-0.08235125763859336,-0.055576399214226496,0.12373553763465504,-0.10510284457520805
9,people,-0.03586750425370236,-0.14203530471773754,0.1844748218927624,0.09657717864337269,-0.07038282240187364,-0.010238392450362153,0.007570732013253089,0.08051988771113322,-0.0020749857099073197,0.029517061833503413,0.18315363063455312,0.29052159804283534,-0.00012512648409499958,-0.10916802543309445,-0.5024427493206128
