,word,0: Economic,1: Capacity and Resources,2: Morality,3: Fairness and Equality,"4: Legality, Constitutionality, Jurisdiction",5: Policy Prescription and Evaluation,6: Crime and Punishment,7: Security and Defense,8: Health and Safety,9: Quality of Life,10: Cultural Identity,11: Public Sentiment,12: Political,13: External Regulation and Reputation,14: Other
0,said,0.05852773906209887,0.004484704762762276,-0.03235647325233696,-0.051052228580558336,-0.031989799957512666,-0.10654710191035131,-0.0009169678084558189,-0.06944065748408997,0.046699811584747605,0.025022687060520618,-0.1302210094548649,0.01647873337765228,-0.011398541485405218,0.06828269354534479,-0.015307244408399347
1,state,-0.03775132874309336,-0.0031453544385079872,-0.1847432778810891,-0.074339558978167,0.06589759817781546,0.06153429719566637,-0.07422475569546073,0.10066159795109385,-0.01113278266645365,-0.05550806236313391,0.09078983871171001,-0.0523125692942194,-0.035049961804150556,0.19361327890655464,-0.11703069051274953
2,gun,0.0371376128668459,-0.3748073558760317,-0.05011331968963964,-0.014000933277874139,-0.09187581115977839,0.0050616246876070145,0.04128756193169607,-0.08026999428189491,0.12429567780399871,-0.2467440132139778,0.07486291854663664,0.009304021687488319,-0.0077749024015663715,0.09542311496255194,-0.39289757481915166
3,would,-0.021399654470547074,0.0665436489383436,-0.07899632873751825,0.008846350990130434,-0.0437939894595427,0.14787240749335187,-0.00547943813714847,0.02287059400812925,0.010703799669312205,0.023231548979613836,-0.1331740561815742,-0.10130770819539762,-0.007079715894589838,0.001544072953171149,0.22029453572085347
4,law,-0.2507556810690232,-0.47239542335840723,-0.018858249299546426,-0.004619088289409103,0.1980697513842706,0.14230464244728508,0.06359991361239843,-0.09173842441983115,-0.1636493867864696,-0.09161019074628214,-0.14456570407710326,-0.04408200258227534,-0.01726902463877629,0.06265091631896141,-0.4410174819243366
5,year,0.022148275758878087,0.19504488223741678,-0.1266063704446353,0.01137774411801388,-0.05739025397924821,0.003427952001099422,-0.12438200896144244,-0.03304943859803628,-0.06181212102048769,0.1285627689163833,0.043613932974978474,-0.08986911968267897,-0.044337591165651384,-0.012581662336959168,-0.547175785545848
6,new,0.046343108874154194,-0.03335162812372509,-0.1281138617346127,0.022566861649320483,-0.006583987871755342,0.09130155894986862,-0.11596946176589847,0.055186533721416214,-0.0852310923640359,-0.0803559211097945,0.04814969100124918,0.019902070224515338,-0.12547445033604596,-0.1252287713892959,-0.090862477737394
7,court,-0.014660100207979126,0.07191552905552104,-0.6279445503848322,-0.12540654645167326,0.2762807759769781,-0.14237725008454885,-0.14364474302044525,-0.26085581922262957,-0.0826380584920916,-0.08747418435233895,-0.15469698429850137,-0.0612088287235059,-0.2944101122519178,0.0859575258187722,-0.04988545745015108
8,one,0.08360532066871938,0.14922114556721175,-0.002915378605532211,0.010326361398675819,-0.06263126984296584,-0.015812067499084263,-0.003365666702142823,0.0630898902789406,-0.037699228021222775,0.054283760273611786,0.03316121627370999,-0.05431842374328467,-0.03176946511135915,0.13344830869897345,-0.1314262920399692
9,people,-0.027087987660124886,-0.15124247240233876,0.13860495408448859,0.06547101142372626,-0.08048594756369418,-0.013521867460856542,-0.017261813045174254,0.08221262690069388,-0.002267415935191358,-0.02552735339948104,0.1302193365573718,0.23515680300386677,-0.044954328930393556,-0.15377134849344967,-0.5616120432576714
