word,count,0: Economic,1: Capacity and Resources,2: Morality,3: Fairness and Equality,"4: Legality, Constitutionality, Jurisdiction",5: Policy Prescription and Evaluation,6: Crime and Punishment,7: Security and Defense,8: Health and Safety,9: Quality of Life,10: Cultural Identity,11: Public Sentiment,12: Political,13: External Regulation and Reputation,14: Other
said,46720,0.10255185,0.047136024,0.019452184,-0.04205901,0.0028959175,-0.058412913,0.01999458,-0.053740244,0.07924102,0.06085988,-0.080089875,0.031045623,-0.0013405258,0.08133136,-0.07123405
state,36127,-0.01939992,0.034702636,-0.19945998,-0.08287223,0.04879208,0.046214126,-0.05297426,0.109275654,-0.027087077,-0.07609601,0.09969276,-0.05720554,-0.03133018,0.21654518,-0.101186454
gun,35537,0.073303185,-0.31731817,-0.03206398,0.014800476,-0.059191905,0.031885855,0.050122496,-0.06222741,0.15425879,-0.16866395,0.115628816,0.045244016,0.023154115,0.121308334,-0.14713375
would,24371,-0.0033203508,0.065658435,-0.112022676,-0.029090222,-0.052004512,0.11726976,-0.011916612,-0.014001321,0.019582793,-0.008418172,-0.18277425,-0.14230815,0.018423183,0.029079352,-0.019820327
law,21430,-0.22936052,-0.5220111,-0.013976194,-0.0073822495,0.197237,0.14339608,0.07264641,-0.074507706,-0.15072407,-0.117693335,-0.1409801,-0.04310604,0.0038155362,0.061417483,-0.14832741
year,21129,0.045175817,0.23555301,-0.09186704,-0.0065134736,-0.041692466,-0.00073546375,-0.079296805,-0.0093417205,0.023989918,0.15692385,0.07139416,-0.09967298,-0.04039215,0.033661928,-0.16984704
new,18099,0.0802088,-0.005731801,-0.062343825,0.1032018,0.030898998,0.10905696,-0.069551125,0.064285055,-0.075624496,-0.07164981,0.08307282,0.037268214,-0.09218275,-0.06789366,-0.09754567
court,17155,0.0028995818,0.121942885,-0.54682416,-0.080248006,0.20651223,-0.122928746,-0.08686186,-0.2955464,-0.05583924,-0.0027708116,-0.09376204,-0.024529818,-0.22623411,0.13601689,-0.053963438
one,15826,0.125648,0.13572408,-0.033489455,-0.000105603205,-0.06575666,-0.0042616054,0.0250942,0.066069804,0.0003931208,0.0502796,0.037473556,-0.06491162,-0.034889095,0.14087902,-0.11302949
people,15743,-0.07090752,-0.17799258,0.14894363,0.059469704,-0.10369055,-0.043474797,-0.027309312,0.04955316,-0.035046965,-0.0057104756,0.14822353,0.25145808,-0.034907877,-0.15278666,-0.20869187
