word,count,0: Economic,1: Capacity and Resources,2: Morality,3: Fairness and Equality,"4: Legality, Constitutionality, Jurisdiction",5: Policy Prescription and Evaluation,6: Crime and Punishment,7: Security and Defense,8: Health and Safety,9: Quality of Life,10: Cultural Identity,11: Public Sentiment,12: Political,13: External Regulation and Reputation,14: Other
said,46720,0.03969983,-0.011531204,-0.04331233,-0.07286903,-0.035291005,-0.11050468,-0.0060859313,-0.07208761,0.039421618,0.015990969,-0.13129301,-0.0047963564,-0.015753644,0.017278124,-0.09618853
state,36127,-0.042561878,-0.026915673,-0.1684631,-0.07535464,0.060265932,0.051440008,-0.07157765,0.057420895,-0.014379275,-0.060764767,0.0710479,-0.06840352,-0.0379003,0.13853605,-0.10238051
gun,35537,0.015152286,-0.26159298,-0.07241153,-0.0446119,-0.103428364,-0.01820531,0.025969261,-0.07208206,0.09839246,-0.23828487,0.062297948,-0.017992504,-0.019829376,0.03633538,-0.13494262
would,24371,-0.0310925,0.024070146,-0.081897065,-0.0170423,-0.050023478,0.13910857,-0.01520927,-0.02173892,-0.008898059,0.00057672634,-0.13519678,-0.09982733,-0.009102498,-0.026032198,-0.05244443
law,21430,-0.23262857,-0.3267776,-0.038473785,-0.025968717,0.18368112,0.12763764,0.05537397,-0.09284545,-0.15829498,-0.10843055,-0.1483942,-0.06949523,-0.025997467,-0.0041806786,-0.1327775
year,21129,0.011287569,0.14388116,-0.14590764,-0.026717072,-0.064907655,-0.005012413,-0.11567798,-0.057143915,-0.059070177,0.10231507,0.029604701,-0.11204208,-0.049490035,-0.037563507,-0.15256958
new,18099,0.031498734,-0.05126409,-0.120851055,0.0024396237,-0.009449733,0.0747417,-0.11619698,0.0007251679,-0.09801246,-0.08649858,0.030593123,-0.014741401,-0.12841104,-0.10761795,-0.11792349
court,17155,-0.056592427,-0.011060675,-0.42588815,-0.14251924,0.25563964,-0.14960825,-0.14593706,-0.23066248,-0.0806342,-0.09208646,-0.14209522,-0.08739179,-0.27518368,-0.04405953,-0.08567991
one,15826,0.051311184,0.09149892,-0.0179781,-0.022939201,-0.06973469,-0.02667826,-0.012089667,-0.0011253577,-0.048833717,0.031765707,0.021912621,-0.07697743,-0.04218046,0.06919858,-0.120083846
people,15743,-0.039051786,-0.13537021,0.10648642,0.03002738,-0.08377215,-0.016059265,-0.022757793,0.04257277,-0.0065906118,-0.04495475,0.119255565,0.20295043,-0.047864687,-0.14636908,-0.17328203
marriage,15564,-0.049746625,-0.17105688,0.08309701,-0.1074532,-0.03993255,0.008346045,-0.00045241587,-0.2698845,-0.25719854,0.1313051,0.049745716,-0.074955516,0.0044432497,-0.13966359,-0.13997942
death,13201,-0.17590101,-0.1514804,0.18443893,0.06746421,-0.043982983,0.07594024,-0.12963791,-0.025588445,0.15367982,0.030737592,-0.060414433,0.06927362,-0.030912757,0.07589714,-0.15977329
bill,13068,-0.21967518,-0.19137044,-0.17452249,-0.12324773,-0.12896903,0.19362178,-0.1412419,-0.10805426,-0.19547568,-0.08951769,-0.13982415,-0.024547078,0.09354247,-0.12405212,-0.11305756
