word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
climate,-0.15464382165713858,0.020722436629506923,0.10181144653260944,0.03130717543627083,-0.04925229557978991,-0.06296626299039333,0.014378712447237095,0.10121716107931703,0.046492733584793354,-0.0685160487220967,0.021236428585855564,0.10109188288352587,0.0006074881448996798,-0.10735844554406383,0.003871409169466682
global,0.07177914134025727,-0.1220175316514471,0.06277051422986277,0.06945544586471837,-0.05996444037526379,-0.11317698999395373,0.04303771793056834,0.007395655904782781,-0.021889858614724422,-0.006249806299998876,0.23417351904963676,-0.0007898673302260274,-0.17113911378405883,-0.024405077810676055,0.03102069154052246
warming,-0.10632896167968026,0.04729717780407012,-0.0006806298542617327,0.07817381049346307,-0.05558502773057389,-0.043053640960697276,0.02068346236028307,-0.0710364873682833,-0.04892039716418263,0.05775109256841143,0.16601883852945282,-0.00598040122219429,0.005550054707716851,-0.07633851991307512,0.032449629429551104
change,-0.057572762228415106,-0.1636870006047539,0.10179607911937266,0.02430106866548492,-0.027553052550677467,-0.09657319334069107,0.018813230581356616,0.09395966248948871,0.001796953841699974,-0.15071766382193036,0.11625221988297857,0.09327661297225753,0.0054207127245536205,0.034004071471308926,0.006483060797966505
said,0.14510898163648456,0.0355483522293041,-0.04783631478194219,-0.015599788379366661,0.04499428355547719,-0.23290538867040894,0.027130781233002423,0.047120193583180335,0.018604701994815002,-0.02650011473617971,-0.01580475762846709,0.014651251417863158,0.035610718238035105,-0.017041953521815704,-0.013080946169981669
emissions,0.07638119823985177,-0.10295588335976008,0.057742384214144155,-0.026969405878091414,0.1327443414309277,0.16529086359770315,0.0043866978762037165,-0.08601159033222201,-0.14445657453396382,-0.10105511393782067,-0.03306161938270019,-0.09299853317337746,0.02133014229664416,0.14148492342354757,-0.011851830481086416
carbon,0.11399296429812561,0.1109929635122327,-0.027332886816517632,0.011117735845887882,0.05091337457441235,0.14291273864504955,0.008240785425644059,0.01160841571271813,-0.08908075574783775,-0.03743963812965866,-0.07948376274472166,-0.13236768952673988,-0.0035768748708929613,-0.07091411079562841,-0.009583259382073335
would,0.1079501609658369,-0.005107430380169231,-0.10302874443244307,0.005174641801198753,0.038405223110615436,0.16739248620965208,0.007059032882212031,-0.040010560287161406,-0.08300420778547483,-0.0851668725000128,-0.038860646642871775,-0.05650947074597529,0.10453346896140553,-0.03309364710313406,0.014266565946321834
greenhouse,-0.07392787797559731,0.02833363365364795,0.004519607595027802,-0.0175654093788571,0.06418662707994267,0.16197214164987722,0.0071560490553248075,-0.0837283839069523,-0.07290436812894181,-0.044193768422702145,-0.14633559449503727,0.05242673044739537,-0.03819766492341269,0.16842886473521648,-0.010170586984931203
new,0.03410300470415315,0.014505889189294163,-0.14014128975807816,-0.0014650564242800017,-0.017166211478115173,0.03359053257589174,0.03010865444518788,0.008450909293321925,0.008986906304645024,0.030424072025325787,0.003314934109198644,0.13606182896823305,-0.060610835226584586,-0.06897089110003268,-0.011192447628160802
energy,0.08163851968730196,-0.01847605797639406,-0.04020813205406681,-0.02975667091507337,-0.1166746680787146,0.21090024622617387,-0.01437827217058685,0.030007525413787497,-0.15724332455936976,0.017318121790111312,-0.06964617904188765,0.11931575561804719,0.02064733294263295,-0.04960597573475946,0.01616177885279772
states,0.045536520121538616,-0.18311801527214344,-0.04571789557510558,0.01374082249829657,0.09995269574288201,0.04392189266939361,0.03325670737785581,0.17453750526167033,-0.03170909092752668,-0.05089598927147282,-0.14632021005372767,-0.0025606224006367423,-0.06628487180739949,0.12485908660450822,-0.00919853496813256
gas,0.18247344152131179,0.12929199165893546,-0.007048962705870588,-0.021391520716282232,0.05661267476420633,0.1901543057366676,-0.01254292465188338,-0.05532210553995729,-0.12198998877893773,-0.16650478774259375,-0.17749186455492957,0.029447928174799184,0.021169856035891065,-0.0394825276042354,-0.007375515597121625
us,-0.04125497415140574,-0.020293916148822786,0.12333676570426186,0.014309634465592544,0.03744355846898838,-0.056420031451811826,-0.01485778006203546,0.03557281159559841,-0.004737782398868638,-0.037862817559711145,-0.06127866269442291,-0.051487459902575,-0.04509776588068729,0.10694058594908587,0.015687834066813906
united,-0.03759152845966733,-0.010318452296716105,0.050940264703110194,-0.0241224577104434,-0.1290659735837733,-0.1023993619851889,0.03593697130418262,0.1646600744955578,-0.012277701232660799,-0.07656187452493834,-0.14484784188545713,-0.011513487675560156,-0.03228269301001552,0.3370051450292078,-0.00756108316763748
