word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
death,-0.0333545666626801,0.01595498004448156,0.1927988250111207,-0.05591394090207427,-0.2590200508805583,-0.035318634871449886,-0.09296668069845149,0.06697755438534238,-0.11523623367253365,0.007669415602022146,0.11592160062533481,0.07598890588351798,0.011542192013209888,0.09307768737147303,0.011878946751245166
said,0.02037905363881604,0.1404351418773054,0.04917840221030436,-0.050431360450281695,-0.085339585214444,-0.321900233449661,0.0825044429997983,0.05648576080095779,0.09002761805836708,0.1003498815441857,-0.20283784567925628,0.003632285515680076,0.041201764187956805,0.060860434804305114,0.015454239155966592
penalty,0.016235356635734347,-0.030226519163779556,0.01676206877921903,-0.13036279588025387,-0.030816855946740128,0.22818715925232264,-0.025288351255111717,0.10581986784679806,-0.26491335991385984,-0.161863054485987,-0.06447668891650067,0.11109432129659529,0.16057401122707077,0.07849058537734102,-0.009215744852848333
court,0.04628737896208187,-0.04851251990006017,-0.1654319129097429,0.05688152972746305,0.34061288511922255,0.005745217675085546,0.03769383082226853,-0.0535170020285757,0.056564341923304375,-0.08981294800620493,-0.019802653536699494,-0.058712873567662575,-0.09993975908633816,-0.0015919755514146416,-0.006463539642727354
murder,-0.07812539665725468,-0.03421486306911858,-0.03275776502283823,0.14038280297956976,0.13920885316285017,-0.06454812695520291,0.10440397460830694,-0.0627079791679528,-0.026618151402287477,0.13012968569240585,0.0025784991612190417,-0.09991924901783471,-0.11258604694532777,1.4638623996919663e-05,-0.005240875990531416
state,0.088806294472991,0.13734916657439059,-0.022323979531796875,-0.02664719560300782,-0.16080206373624525,0.07393315402515527,-0.14302957946351863,-0.21339368628157435,0.20253428222695355,-0.0778599100637512,0.04000857898407737,0.013071980603781517,0.09288448849927143,-0.022920901360674508,0.018389370653947964
case,0.09400626513189256,-0.022232715212686594,0.0019817129211894087,0.216723242036603,0.25524608928136616,-0.0378564010440185,-0.12040948922794348,0.01025925691545801,-0.08370836281491664,-0.07264330016399329,-0.12189707040767846,0.004927754002879297,-0.06950728721328805,-0.05027770876087382,-0.004611985443989469
would,-0.03769065512200802,0.049030579103639386,0.09065824554783332,-0.162006733037271,-0.031376076734710524,0.20160735472111357,-0.1252543113606475,0.04470271266066947,-0.002527484174294661,-0.007193858367491371,-0.07985381283689173,0.027331501055720783,0.03439473304462127,-0.020839664180422487,0.019017469680139516
execution,-0.05598787085818706,0.012198222006378054,0.05662126263741805,-0.14604643789855842,-0.10334100617834312,-0.04781047184090823,-0.031111720306623906,-0.12231745142387447,0.21809567875128089,0.0014780833341103664,0.052322549101042386,0.27465004117596625,-0.17400984418971407,0.07050275349145153,-0.005243787801438469
two,-0.00673004900038236,0.09754320686093193,-0.15246183458114537,-0.04262955338822648,-0.015809639440600324,-0.0510199454164809,0.15455764294788574,0.07758497542565433,-0.0012009161135772665,0.005769870651846141,0.08308094997837137,-0.12697740798960833,0.014398863282321461,-0.03091849971228232,-0.005187663504707455
