word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
gun,0.11200314675855767,0.05814834633049649,0.24317610879241375,0.08915850493428926,-0.2117194554211287,-0.1811575003071268,-0.08610471700063965,-0.010081293878425142,0.11924242882665835,0.008846775816788976,0.1827973688791382,-0.06480337586720546,-0.23162625134767392,-0.027880086408234955,-1.0790795526420523e-10
said,0.2511523845365256,0.17457806024979233,-0.20079552269413622,0.09831010460227521,0.06015997040966993,-0.3557741780929474,-0.006287707008809206,-0.07343396860109189,-0.06400299000970996,0.007272820687739908,-0.10712476909742608,0.08302616847203306,0.07302161490743579,0.05989801170293097,-6.428206668690205e-11
guns,-0.05038070631052159,0.031209847114247926,0.13211689570288818,-0.06496446485996978,-0.23298917118870832,0.11995137042794035,0.0997860574923125,-0.09357011118885973,0.10870819312667701,0.02970363087217074,0.11541594461544144,-0.09162148123086633,-0.1731404856693776,0.06977448116819757,-7.157230143899121e-11
would,0.08207724495037143,-0.011834351450773202,0.10932947297457654,0.080971927489999,-0.09828695955638653,0.32139482862235413,-0.007965637993081942,-0.106250765700007,-0.015700874461029378,-0.04612721662181836,-0.2630540040245937,-0.1338643527035822,0.09245536656659842,-0.0031446780381706118,-5.4456688097340637e-11
law,-0.10221611526285546,-0.06950667559870587,-0.017768394465868784,0.042839469077458295,0.2611939291727901,0.2954640908786672,0.1162230493436305,-0.025172427846136363,-0.022309722606508715,-0.018933260036360245,-0.10517196059374483,-0.2123723211882543,-0.09652115223775146,-0.04574850859021549,-4.614498550685452e-11
people,-0.036192947150062243,-0.07045151703917878,0.07071122238550902,0.006729734351570586,0.05236335738565919,-0.12278354473042753,-0.09380687442803874,-0.060527525516432555,-0.07228619338885077,-0.015287561181407552,0.22854744551546247,0.1815125118348537,-0.03394497798240489,-0.03458312999777228,-5.84797843537641e-11
weapons,-0.07390167184245945,0.05506726636571049,0.03587690806036777,-0.0903160863576669,-0.025173043244677635,0.12232859109293222,0.014072295363535348,0.07304154185166438,0.0823356306135471,-0.02906580933582567,-0.06086872726079821,-0.19185163290216686,0.023431250450655083,0.06502348718721805,-4.2036175884622645e-11
state,-0.1261306375208493,-0.007842781503296373,-0.09421176493341234,-0.11499983360904154,0.2776690732170851,-0.004824646909720709,-0.0013558283849580974,0.12002666462505743,0.03907356145265673,-0.1019232048441746,-0.0022022913385110576,0.036216179646438335,-0.009463401233014961,-0.010031088623891085,-4.0367822576501035e-11
bill,-0.15772602246838086,-0.030646125184250316,0.06453690561817307,-0.06948181582447102,-0.051224520904344206,0.31086083035142026,0.005659543660146472,-0.0209820561092061,0.03622946913774228,-0.1481958788913984,-0.07874392685829357,-0.006277429221674348,0.2787803287784684,-0.13278930206094175,-2.2990359674570872e-11
control,0.06369204171853128,0.005030003819468825,0.06674964598162364,-0.0373394964647321,-0.18631486189218766,0.05033872589127251,-0.10533473469462645,-0.019541289579387795,0.03533408222067852,-0.026980777849702486,0.02588998998367016,0.11149329933380937,0.02386229052240527,-0.006878918944567164,-4.625586177293551e-11
