word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
climate,-0.1215550915793309,0.06986008158876582,0.0520603485373633,-0.030996158327968405,-0.02845552910969119,0.015215466941541533,-0.024594914787453456,0.04710052407920023,0.026241250304074065,-0.0652517024590723,-0.07071172210105747,0.06145822389741567,0.06872290710054234,0.031845896652662214,-0.030939580736992038
global,0.09923809222530426,-0.08641689164057437,0.02845416286178039,0.01546321854241209,-0.04155573840050156,-0.05567676397042156,0.008817582014109827,-0.02864731316092858,-0.03124221266814555,-0.003505822419522349,0.14967027233972974,-0.02451632129255735,-0.12310475861918674,0.0928519195626716,0.00017057462583050376
warming,-0.08069262459647293,0.0823469688816597,-0.030987402116604595,0.028133987054292115,-0.03872087051374136,0.011039425531593572,-0.01053469362984472,-0.10122695511758878,-0.05943944014061246,0.061321060166762933,0.09112993964579026,-0.02629317573387032,0.05116542339542985,0.01876672955174269,0.0039916276214643975
change,-0.028350470957277336,-0.12798158002913512,0.06164778374109044,-0.02944072443731885,-0.008790711717873661,-0.034154081465540456,-0.015117366447084982,0.04864365412248516,-0.012027714333099675,-0.14567680601278896,0.04207546054468778,0.06169453537120683,0.06119100269713048,0.15015273896147255,-0.023865720037954383
said,0.16244674937850384,0.0584441832282907,-0.06831002973231122,-0.05218801147192643,0.05538457702579606,-0.1936723773848225,0.0026726286253566404,0.02069830096101536,0.011256982724079555,-0.024458921766333665,-0.058293098308409425,-0.0035572255866000275,0.06908321422252614,0.0547193818731141,-0.03422635378827916
emissions,0.08326473866901074,-0.09040410560009658,0.03951984803654097,-0.05653477338119762,0.13889729874286524,0.20276936530038947,-0.017057621675154955,-0.10275996970056739,-0.14917594882001095,-0.10044540248979128,-0.06006502171998005,-0.10367367524610781,0.039633822243904535,0.20667255207253069,-0.0306411064323345
carbon,0.12405770701351987,0.1233725936495793,-0.039163709695904936,-0.013187295259243994,0.05659724290609639,0.1709601159233655,-0.009021542589242051,-0.0017901932269584868,-0.09202222977961397,-0.0360219125559267,-0.10056777396908786,-0.1393959714710272,0.014114727662213515,-0.033237075291468604,-0.024694683316300498
would,0.1202500653566122,0.010852469113408677,-0.1183427863109146,-0.023543624367568947,0.045250601034035956,0.203479055148427,-0.012138156719039783,-0.059328830403608125,-0.08876890270351617,-0.08360217736963603,-0.07184939687416891,-0.07020107626336441,0.129590855146375,0.021560950990274823,-0.003209045777316253
greenhouse,-0.0654048863529615,0.03820670057898295,-0.005229089799104945,-0.04250422076783719,0.06983705486240037,0.1868340070297775,-0.011152485845447008,-0.09444384775517187,-0.07623001990950866,-0.04197145349309016,-0.1603174209548062,0.04532931912687631,-0.023743716234528006,0.20691282922748366,-0.026122769713064996
new,0.05041852726103791,0.03617795820488476,-0.16050198597789178,-0.03319425934595622,-0.007676848216910823,0.07468686065961609,0.008725947954674927,-0.015208935727795811,0.00016541268192906664,0.0325726556531856,-0.038546690446696036,0.12019384860508438,-0.03149279627021593,-0.006858579694186958,-0.029461115340758938
energy,0.09343020779526906,-0.004607447767055426,-0.05254915025462413,-0.05198766286767639,-0.10915806303576225,0.24084323419399034,-0.02968061040198265,0.011602101349324776,-0.1619279587150805,0.01842749410268202,-0.09363171872468379,0.10805824196359029,0.04138478287966904,-0.012119980058062939,0.001916529540402946
states,0.05495623048648209,-0.16987658446438653,-0.0612784774536133,-0.010815473498056031,0.10629684279442718,0.0698596062044939,0.015551774546187978,0.15249475854979008,-0.03679607123461958,-0.05010924301380946,-0.168676717963348,-0.013163478566027582,-0.04643561032841163,0.18199137398089557,-0.02399893004000454
gas,0.1883671253207194,0.13992060492105454,-0.016687194140287104,-0.0396294850592911,0.06022789775538805,0.21404197242688264,-0.025689679511913043,-0.06627512705813512,-0.12681021895725691,-0.1664749791685464,-0.19252987274413785,0.021464309337689464,0.03695590933046765,-0.007733966037772304,-0.01914729641486197
us,-0.029132138220139655,-0.004233690115139256,0.1045933895918756,-0.011147408686057837,0.04521947081023006,-0.028148900965417657,-0.030858275791392158,0.016721824885080602,-0.010893438493710059,-0.03677411915310425,-0.09607600152599298,-0.06278241995452581,-0.020815175904601708,0.16387928833719215,0.00044759518570265395
united,-0.03129624897851161,-0.0029831012238057805,0.03750058976488541,-0.043107379976630215,-0.12642588419998038,-0.08166982507321591,0.021257977022549834,0.1476707385248374,-0.015212348338252872,-0.07477750026732642,-0.16030111282493487,-0.020979216921594747,-0.019126374248503053,0.389075576083823,-0.01962588934333991
