word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
death,-0.08426307627481279,-0.028871792336016586,0.08802550460755476,0.01762054101141294,-0.03293544103752138,0.030117843226307242,0.029544610820329498,0.027230013472920138,-0.11792253083103856,-0.0003898345075273277,0.024723723802412428,0.004662674542314606,0.03443184472995029,0.028969529530916083,-0.020943610757200817
said,-0.008852457673499405,0.11070022211375459,0.014875954437153956,-0.01564263985380068,-0.00171137322662984,-0.2943867532512617,0.1442326447882258,0.03802647095638487,0.09163242935949377,0.09932328701016233,-0.22879592571869198,-0.028617447043378347,0.05761505267232694,0.02950841184170409,-0.007907876411944133
penalty,-0.013106795226611175,-0.055257272785618705,-0.0261899228316029,-0.08677556267966018,0.04645359835103102,0.26880598416392415,0.03066746921995451,0.08420227583172091,-0.2542536385639395,-0.15647576415378986,-0.09957338169961741,0.071832871892807,0.17964343672905175,0.04189531259920052,-0.03186861084685053
court,0.027989591520508412,-0.06337924259232079,-0.17711479513852857,0.07341522628250406,0.38993737746685786,0.019500005428306787,0.06248181257634716,-0.05976577646170599,0.05263079600586804,-0.08532162712627701,-0.032577567573611334,-0.07411761724970864,-0.0929618502725845,-0.018662661708109814,-0.022053671157545342
murder,-0.0913171060703973,-0.04817861992752005,-0.049053845732489366,0.15828012127215688,0.18880208776861818,-0.048910018793723406,0.13219444816095557,-0.07212765139809228,-0.027405863715852727,0.1301365542187456,-0.019687069364620093,-0.11403013738425466,-0.10587522457414283,-0.014703520246011424,-0.018124154213371636
state,0.06926092327821934,0.11686107032546261,-0.03513152762969581,-0.005320880099004129,-0.1215276015970622,0.09126242635525446,-0.11462984525146898,-0.2202790033271077,0.20392279716952152,-0.07352859925209485,0.02496314640766776,-0.003141358880963698,0.10282271761633177,-0.037996205173803706,0.0024619400587439244
case,0.0801125702101232,-0.03232195526580267,-0.006328743035868171,0.2300269568827462,0.2715295398160797,-0.02582151908371381,-0.10582476681285041,0.0063140254197298455,-0.07858409286903335,-0.0680994158995731,-0.13029416205884972,-0.004190536191730651,-0.061939782510424826,-0.05892431647110686,-0.01565380212972504
would,-0.054603050101920014,0.03169016139046752,0.07171436939158145,-0.14009964928972804,0.002041798806603566,0.22592485470850796,-0.09660164395393886,0.03743894518460261,0.0017779796087081916,-0.0015885432211740688,-0.09901933119153178,0.009185118085227048,0.04491014965940792,-0.0373226167836354,0.004551457706822188
execution,-0.07068214910607767,-0.003886341334825337,0.03877374368815497,-0.1263926907916867,-0.05810362054470728,-0.02923851379215868,-0.001987044855088657,-0.12836008297855048,0.21808384652685428,0.004537658961144228,0.03166346673565996,0.25431223845518025,-0.16504980349468554,0.054290949402059974,-0.01796165687127318
two,-0.02117900639407698,0.08219648688414595,-0.16603781741175752,-0.024143968702934834,0.020419138926084622,-0.03684534080477429,0.18369414142647436,0.06889159769648755,0.0022703077785646876,0.006985181617368355,0.0640665114048294,-0.14038926331004056,0.022297708585863326,-0.04442195200149497,-0.017803725694739356
judge,0.08042571161541065,0.004561268373838856,-0.12878866466580022,0.10433853940444458,0.37623911032712887,-0.06369654372045672,0.023247150465091935,0.023143782234386522,0.03710296165886562,0.038552410663546484,-0.14818176507095057,-0.10701134293289483,-0.13307857488102268,-0.09593971329818798,-0.010914330173399864
trial,0.11516396621470722,-0.03129020610032467,-0.037708462782781574,0.24146571406232845,0.23980643181559588,-0.09863380419973336,-0.13644855290573185,0.02491321189870466,-0.02123041584054287,-0.11004586410064841,-0.050533640530624334,0.10060647419787418,-0.18664009546951027,-0.03792261165680846,-0.011502144602504785
mr,-0.06182873089814648,-0.03374303878250812,0.01667618069280973,0.12553040930240736,0.04036331045344346,-0.03859043130142845,0.04633834529646102,-0.02392337106376124,-0.020794781073126583,-0.08626971640401274,-0.09316962062340925,0.004111027936583848,0.11934482491120753,-0.010338692313546302,0.016294283867026558
convicted,-0.08956571403446599,-0.04790988301997483,-0.12813604564789627,0.03751414719431356,0.14197508769251455,-0.027707320675122,0.09373878594587305,-0.0043212153805455514,-0.04634395551561092,0.010214535873302876,0.10631710802164397,-0.001097366780448884,-0.07504341399393755,0.04751257847574406,-0.0171473281553898
life,-0.019114883945083535,-0.11117640553121726,0.26927376332631525,-0.1351256766932358,0.014251289747986135,0.06926637366992944,0.02697209085009676,0.01949746443205319,-0.031672232174472605,0.11991492857914618,-0.05496734045426328,0.023892966097864225,-0.09340150290756159,-0.08181868472079393,-0.015792150276763287
one,0.05672258165675878,0.04108002065112659,0.10409189948783616,0.0317077752391995,-0.12212197302650682,-0.0005663476740147517,-0.09633932742455757,0.06814981504552822,-0.09680721803271337,0.08298885716011549,0.09611191070197486,-0.04637877322175866,-0.03667146400575288,-0.06236556572195986,-0.0196021908352756
supreme,-0.025757167800564352,-0.015813729087988556,-0.10308424979878557,0.14246283049315156,0.2549141961215689,0.023493048500111226,0.10343121349934055,-0.1347632172639947,0.13060561658748207,-0.08787904839893793,-0.07359014109458652,-0.0892759115609463,-0.05520053648625017,-0.05703444555204253,-0.012508458157557866
jury,-0.08170438229285873,-0.010129308744567697,-0.02213421951853009,0.0717777636778992,0.15177495178674022,0.010006766266218945,-0.014481261507042462,0.13886912812971713,0.023448492372355564,0.033229605793453285,-0.04116275452295807,-0.09075030233752163,-0.12773417002746976,-0.03182506555801629,-0.009185243517419872
capital,0.0923153250451605,-0.048740452787568195,-0.03743299138386487,0.08699937572360185,-0.052946649741706694,0.20885333420931743,-0.12128699355151171,-0.134460385038493,-0.05457758664575455,-0.12776100443331012,0.08643085609213205,0.04571194668572052,0.055293194507387296,-0.006174714133245214,0.007776745452134341
prison,-0.06946654241190937,0.0781846158072362,-0.05572450170626966,-0.04295372473588041,0.013573731236861007,-0.03473605944691568,0.27002782713376255,0.04704081451398414,-0.006401638777547331,0.07713804993942988,-0.007271760828286813,-0.05672051844201048,-0.07764852617826948,-0.11971193764560376,-0.015329828458580544
sentence,-0.06181203084291612,-0.06878665408787045,-0.0589003387900152,0.06879961810226119,0.04992561428858701,0.04556668677560408,0.148283160843489,0.02099483099472096,-0.08282314241903348,0.023081014088465027,-0.05108673190294288,0.09567681871297515,-0.06659138315790912,-0.04903098920552557,-0.013296473399889307
years,0.025450535475826874,0.033960458255880316,0.0008489973970995218,-0.04847613719832935,-0.04382937386809513,0.06830397900697861,-0.10851095510107854,-0.035027367694649245,-0.12914297205710948,0.18826518723951494,0.1542002940476951,-0.020088493053297286,0.025454500688309286,-0.0935924683764841,-0.017816184762261187
county,0.028329876923605873,0.07401305107069807,0.02776661680799838,0.045381341003183,0.14881331059019084,0.01626699379662935,0.1780964163285822,-0.173024715888285,-0.017216697802973968,0.009649557885465104,-0.12904111012739494,-0.06281848685932209,-0.07661907925267712,-0.05927702946524704,-0.010320045010452968
states,-0.06086468737853641,0.04755303629261751,-0.1691604133113227,-0.0326435238556072,-0.000649380430512018,0.10639775099203487,-0.05969746765547066,-0.0024676358556728287,0.05918872348268767,-0.238453747270852,0.06053527228588792,0.022297716907436926,0.005158005719217969,0.27798559010624246,-0.015179240028151426
new,0.028309442304119487,-0.008905133877267839,-0.06911186011425503,0.1146362552270639,0.07942997935046572,0.004968359211861821,-0.08472802983424342,-0.009095230889927386,-0.011558153879022075,-0.11476330324646335,0.030745971165451774,0.009755750636893875,0.0009010676434363182,0.042723218632601874,-0.013308332330715567
punishment,-0.09030547326660522,-0.11277410280923149,0.13394505529051617,-0.1262861745249997,-0.17863326265208038,0.33804538720806004,-0.11905329266570211,-0.08605057701294253,0.013233132343595418,-0.06096202616134329,0.11168103122796628,0.06375993042065979,0.03860271612565825,0.09116163813578076,-0.016363981659332023
federal,0.0026134429660240486,0.03791203246702532,-0.1869334406379834,0.0007226576274430887,0.13931242235017874,-0.031347315716357634,-0.07710304003270915,0.13778511789758818,0.05466627765814683,0.07385036990496623,-0.09476274644473417,0.02117627088677791,-0.0024194146789898842,-0.06502851635918136,-0.01044411788819506
attorney,0.005313889258842467,0.039406381209200286,0.003869914741894821,0.19326569032402188,0.2843366457437338,0.0016079808619531473,-0.0671788747094197,0.021509701239613637,-0.004874191895499635,-0.15575564277542941,-0.12652281362841045,-0.07871885757944191,-0.049593807905439095,-0.07949670646168253,0.012830691576062623
row,-0.015726808425886963,0.04879629896656142,-0.06758975044730745,0.24965904446611212,0.016029234479438367,0.03039070893026844,-0.13496927447830168,-0.1453292584745602,-0.014624167066373164,-0.008385401721056089,0.06212362838341547,0.04373818052293183,-0.04553888630848247,-0.028378866218335186,0.009805317391575169
last,0.05188109434580462,0.01542280187469388,0.021392426725826773,-0.14294826992424442,-0.007472809887031666,0.011233780529593167,-0.06231366085942112,-0.09196200711509224,0.0688179573905871,-0.00011335331754486684,0.13877993501917618,-0.015221489870085283,0.08070090562522822,-0.07702123986789551,0.008823929330405366
prosecutors,0.07617140317687879,-0.03611550255089149,-0.13991604993404896,0.13864234392233438,0.24189386713592778,-0.0528253256938289,0.11503199502652446,0.14876538409196374,-0.02498451547285033,-0.1192853474929674,-0.0010743138982446014,-0.08633814377717368,-0.16311960910764778,-0.08755942873913608,-0.009286756686840201
could,0.038094581265523515,0.0026509821060188843,-0.05697422738297747,0.04359100711646208,0.018162708806054147,0.05880003884748912,-0.07045344850159514,0.08537851983717494,0.10361718603081049,0.0885760061460122,-0.09961876113162114,-0.1084215345741907,-0.08176876113580948,-0.009109210013978599,-0.012525087415372798
us,-0.026013981607519193,-0.033000637946510994,0.032804859247493774,-0.11394617828142133,-0.11720757889205008,0.030023473576868253,0.058211790294359474,0.2661016544044847,0.05070153685238842,0.026449171492264955,-0.1216589534120971,-0.11563831165389225,-0.038146755989414353,0.11302340214821535,-0.011703490233169668
man,-0.051861738716108004,-0.0803251552396587,-0.03298815025515853,0.20911809686388075,0.05387767733056916,-0.12742402831733124,0.16220631778493091,-0.035946877035381734,-0.07450779699274598,0.12973733865985893,0.04877212388109237,-0.008804234173169214,-0.08448549517606142,-0.09585321062458574,-0.011514867990131407
killing,0.006803864830561114,-0.03945282730447738,0.08482769232848315,-0.10013694449129583,-0.010698855511071349,-0.027043260364758123,0.2899952000560456,0.022802787899444694,-0.01190269273275817,-0.06010248916436713,-0.09915385563236902,0.03907006747651629,-0.049085590623352264,-0.0340092057684094,-0.011913890998192306
people,0.06372725938831922,-0.046437069641528744,0.029204742984634702,-0.07144603622244727,-0.14037807926368892,0.05518292693496713,-0.11800114711534544,0.08395121175711623,-0.03001115531578051,-0.054764984421257476,0.1187344824983927,0.23149867108078465,-0.07598883387436854,-0.03071826481656003,-0.014553723973237455
