word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
immigration,0.033979942416139594,0.02350077622125589,0.039860035418874694,0.01676095089385195,0.09933071001677446,0.16488817011477172,-0.05413572380346119,0.009577800226283996,-0.2425298415516391,-0.19395148526274167,-0.1854338324701979,0.06175515150525374,0.1777104653012839,0.05485794957205024,-0.006171068598499999
said,-0.09225767446467979,-7.437391543956388e-06,-0.09337698121481464,-0.15489944783516385,-0.005574919135942795,-0.020170628733605988,0.13872071548669468,0.051601570059886345,0.04780233194766935,0.09068885784331453,-0.1474170597934979,0.025880520284698103,0.016000272498816647,0.12121292677386758,0.021796953674301275
immigrants,0.030791379453429486,-0.1294597624588043,0.05091094188503103,0.03240388187169381,-0.12744320675281828,0.04006688740390987,-0.15368602024064748,-0.0002559414665596815,-0.03680030740469192,0.06079455702882412,0.202042936851163,0.17198176900904444,0.11536792844367919,-0.19673439816288613,-0.059980645460367236
illegal,0.08337850269105708,-0.09112738551511354,-0.23009414348438487,-0.07026602289760427,0.15755839609826314,0.12466159925651536,0.23283211785119598,0.12463106874300783,-0.1405318233364347,-0.18318937914188474,-0.24195706382692586,0.16019040445918803,0.14036650001928638,-0.012306126041240982,-0.054146644874924516
would,0.021919203274732776,0.04325191713961326,-0.08347964078054629,0.04374718299736198,-0.037062036445764016,0.21743777495803104,-0.0827759107547332,-0.047509975441463695,-0.06291334105105877,0.04611056302192316,-0.13807866145358988,-0.13347579794686548,0.04787392611773698,0.17419601638136373,-0.009241220016741472
states,0.023090985758311443,0.035751310609968834,-0.059858608945481034,-0.061617292581633044,0.03608566028710871,0.024327028764504443,-0.0067030758382454585,0.04600353810129356,0.1770141472705291,-0.05525454152353297,0.016632740844526962,-0.1943743062603225,-0.19267894531632915,0.23828757689578642,-0.026706218066484967
us,-0.028990305507002923,-0.05072894548043764,0.07048179435263494,0.005101588076614689,0.12928695269764187,-0.03677057294968383,-0.07168561962161094,0.1567871794256307,-0.033210974004636004,0.04722523255376039,-0.11335785518652815,-0.02972049414656719,-0.2582836987516358,0.16205346846881713,0.05181225007300276
new,0.03819997038592382,-0.03042911213555519,0.0007596236911546017,-0.01364906130752227,0.016950437108286663,0.022973490828526625,-0.17808926512243137,-0.015244096544798932,-0.07422930547175946,0.09664309800228164,0.20494219179399603,0.16026643943101873,-0.16847951330442631,-0.0305739208188702,-0.030040976535824535
united,-0.04881074456164066,-0.15060755480597554,0.007667495631044159,0.008177146406002065,-0.03244270144832254,0.0214143122080413,0.006049155669771733,0.057845399176538234,0.06443479165087518,0.06781141228286239,-0.04029145654967795,-0.08798815450136299,-0.19336144355920096,0.35554596264230165,-0.03544362024125653
people,-0.22073366844700495,0.027098024831965148,0.21578496307646428,0.054359955208857044,-0.19997754407563303,0.1072163667073006,0.07016732869366156,-0.013640021797515074,0.08540902737766276,-0.07231826513370333,0.09283403211392731,0.13813463505176674,-0.09906468076073574,-0.08281549346539892,-0.10245465938161413
federal,0.13716568156993328,-0.004675302204123463,-0.08353752312438477,-0.049577745269022186,0.28893792792776424,0.03642860843604479,0.31323610779632627,-0.015425042063305371,0.09948377898969013,-0.10375671436701751,-0.29299554608055256,-0.10249203516602923,-0.03601478205713075,-0.18696058605769697,0.00018317166950393798
one,0.04538415879900375,0.1345577887966836,0.03132387633841369,-0.07979579182318798,-0.054302819590293795,0.026534143268705495,0.009734485015766669,0.03669427063728977,0.02292102857233893,0.026591122018243377,0.021862584175330074,-0.07486247729339765,-0.0034126696512181984,-0.12536004674261506,-0.017869652521062807
country,-0.07520802100937754,0.051584692687802546,-0.027526526786860732,0.10422330864172089,0.018026952149458646,0.012040733259225021,-0.0930923540175978,0.038580529614898273,0.07015074682877542,0.03533055976927651,0.06331235017816103,-0.06948243921297131,0.014775357213454656,-0.10467206980230141,-0.03804381951366388
law,-0.132448684344114,-0.0762731209128821,-0.02291396765554252,0.19985071050501224,0.28192054027403457,0.10296135445841506,0.13430983469476943,-0.0578671207732865,-0.07685887061081077,0.02260788983615372,-0.17162455203559965,-0.07424967484368103,0.0001508193471328689,-0.09278570951409028,-0.03677944842551173
years,-0.011150981473673436,0.1316261474054445,-0.10224833217551375,0.01245977234655916,0.007207345585897293,0.14118615420833802,-0.049610357175180864,-0.08576714752873936,-0.06618498785208186,0.1231916146668716,0.07287735446971036,-0.04558126303093835,-0.07199764539668024,-0.001645726957930124,-0.05436194709208296
border,-0.15024826974032032,-0.014109334504535227,0.009805822216766288,0.005860623050105947,-0.308302423435765,0.013813428307464886,-0.12877879185692825,0.469492618231644,0.11315159354195907,-0.10646094272384024,-0.08624762351337617,-0.04567924501284071,0.13802457085294756,0.09347127120294113,-0.0037932966162227528
