word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
marriage,-0.011562501948275544,-0.012624816819256545,0.022285616229836498,0.06169329763724438,0.030723964122395503,0.005666874692712257,0.03638692233078713,-0.020916007027622984,-0.1627035623903188,-0.12267070748438315,0.07932530575455274,0.012091016489114415,0.09019946858666436,0.01302113685417232,-0.020916007027622203
gay,0.091565774282128,-0.008932368869333362,0.019451122915190668,-0.042346073160085575,-0.01971556403535068,-0.12343750666501027,-0.005331657537780289,-0.019557050117499874,-0.16485380943961972,-0.07513782742367944,0.11542271643363264,0.16830492147828355,0.03875207688439264,0.045372295372231475,-0.01955705011749915
samesex,-0.02134022876111814,-0.00709838451656663,-0.0375087741041316,0.05130415173479494,-0.06745659015504514,0.0402418830613685,-0.008850606548947561,-0.019014077726980782,0.011544509249272594,-0.05262037129317512,0.0861873229390504,0.0683341348662842,-0.06551843836651969,0.040809547348694394,-0.01901407772698007
said,-0.12240478557628003,0.0007412088685199332,-0.057155186016464826,-0.11873185005791626,-0.028864940268689385,-0.12142654815284203,0.05349647216609275,-0.016100173112017953,0.09160974482423115,0.06438193099382923,-0.1227683289848932,0.1414404847701944,0.18837431170262786,0.06350783195562558,-0.016100173112017387
state,0.008726800273302271,-0.03852909452418948,-0.19083100463038916,0.001671848867349716,0.2711288861567836,0.07102624504992573,-0.03254481552606375,-0.013298357262481882,-0.0711818009732571,0.07194436151750942,-0.115884519183903,0.013688464668842692,-0.035587266301587546,0.07296860913063997,-0.013298357262481393
couples,0.04660005597577836,0.01009737385097972,-0.14672090527327297,0.07225548350208381,0.1197689172475378,0.03719138082015309,-0.0098994001840788,-0.012993008891176635,-0.013391511682845737,0.044658784558603525,-0.05697408094774838,-0.06474216365466035,-0.10964794797888598,0.09679003154870879,-0.012993008891176164
court,-0.08840246827791459,-0.02613872168910093,-0.23459597192168707,0.06578861345948371,0.4472328253609974,-0.12014834651613433,0.05993663483303703,-0.009002120581631664,-0.07461800514340843,0.08248864550648916,0.06333434852936562,-0.1510876430380917,-0.05494930186273831,0.04916363192296516,-0.009002120581631343
would,-0.15713576622542064,-0.009377590259812107,-0.023757193931722004,-0.009414786248672464,0.035325340510394244,0.3102554681622308,-0.05367414405349426,-0.011551819022593857,0.009780798954317492,-0.11345837031059487,-0.08479479479756313,-0.042972785903217126,0.20204160748302516,-0.03971414533428344,-0.01155181902259343
states,0.03956584727533122,-0.027680697971060493,-0.13034556873929232,0.06026541244013828,0.11696548984951115,0.188465645870982,-0.12258074804780056,-0.009667230633627677,-0.01757670009220649,-0.06857318126822466,-0.06947354945901864,-0.06065596720107675,-0.06769626901090062,0.17865474762087316,-0.00966723063362733
rights,-0.0607980308755998,-0.005646661982702598,-0.21119368010395256,0.18113938640647725,0.03529772456816116,0.09920197485656634,-0.04722826001441362,-0.01031338614054992,-0.054622406080303755,-0.029599149136060914,0.03626507975988434,0.0187308597933843,0.03747635666630294,0.02160357842335674,-0.01031338614054953
new,0.1675574712875522,-0.025678134647669826,-0.06290810885359926,-0.0015457754831598985,-0.05794618954069328,0.06351385468750788,0.05116064856046018,-0.008829357789541262,-0.02214455939209032,-0.009378667027246459,0.04669480171455564,0.017413382280062114,-0.14421011499431496,-0.00486989301228176,-0.00882935778954092
law,-0.027419341038321138,-0.0021278084018946084,-0.008832805512401192,0.010288322478034226,0.32090355831376827,0.12921223799935122,0.06194688162486527,-0.009044829538018086,-0.010665644110939383,-0.06572155139072858,-0.29791212150051505,-0.05700905500659044,-0.16860776283811632,0.13403474845952293,-0.00904482953801774
one,-0.02528794723982102,-0.004464561559428801,-0.04248628985136623,-0.05379395654009779,0.03131933818290589,0.04647863190456118,-0.07041306999067747,-0.009778691942692317,0.015700264652627655,0.0661400230256677,0.1194166860229189,-0.004814914533989459,-0.04711917672689784,-0.011117643461018794,-0.00977869194269194
marriages,-0.02508037064846954,0.001991872508536203,0.05384506799023295,-0.03752040022669047,0.01999753850661238,-0.016980319365249737,0.052467564394419616,-0.007488548565826645,-0.06212875316759807,-0.08448532983002459,-0.01781228286274473,-0.05417676283574265,0.0750978979234097,0.10976137474496185,-0.007488548565826364
legal,-0.05517941827774607,0.0019541809921405154,-0.11045003168815516,0.03628314983189384,0.37311020428296676,0.05294141422210489,-0.08770556612725146,-0.007603091151274884,-0.0419346911247322,-0.03047852911629083,-0.10460763169790945,0.035724039368325695,-0.12465237214186034,0.0702014337790637,-0.007603091151274602
supreme,-0.01096863151624791,-0.018436375217462046,-0.14194671580642723,0.015502486177168874,0.21499408690563032,-0.08259314369927473,-0.02426873648331493,-0.006406929765163644,-0.006798488585503795,0.0014231162545820639,0.14035994088517448,0.030673589201899092,-0.12170006572491918,0.016572797139021513,-0.006406929765163418
issue,0.03221377041917201,0.0040144457948798765,0.0808787211049501,-0.1097343213145843,0.019413790963558508,-0.11356596373207313,-0.0926600935114549,-0.006910971478644876,0.03777596245155694,-0.09968428369493729,-0.08905316717225348,0.003513161043106232,0.25071690413642267,0.08999301646894639,-0.00691097147864462
ban,-0.06703930903613409,-0.016304754716851184,-0.07204327745574259,0.016218299519837807,0.1649560041121626,0.1000387384573902,0.012528338536338852,-0.0056234047633081825,-0.06625961354360516,-0.08167841503351735,-0.11795499231580277,0.1095509087394385,0.0721748716912084,-0.04293998942810705,-0.0056234047633079666
civil,-0.09251728281456102,-0.018214441940245834,0.016999212071465153,0.2841135112728538,0.06222252076117919,0.11308916085692505,-0.01340087171565832,-0.006327723857733497,-0.13239121375080992,-0.02727890834760661,-0.11265334585966368,0.023164498589896197,-0.05139756047645459,-0.03907983093185272,-0.006327723857733266
people,-0.09104866276611043,-0.0011525014280257735,0.10225637760688945,0.11511858970846686,-0.12020806972904019,-0.09915126095907484,-0.0006204426875646682,-0.008551732389325101,-0.08016117309032267,0.012607334280220147,0.02107299718971094,0.28585700747628856,-0.06199986126587514,-0.06546686955691222,-0.008551732389324787
federal,0.09131191642104597,-0.01353488533521951,-0.11822340705037147,-0.02919214590492685,0.1525319461203172,-0.1302529763305943,-0.056233094091685205,-0.004728563507264949,-0.027650028722615735,-0.017772382447548113,0.058362725188699095,-0.04494829019751071,0.1776567215940133,-0.0325989722290737,-0.0047285635072647665
unions,-0.09089059540619938,-0.017230925532349853,0.17298561397644505,0.051977319737969485,-0.0033417328987399926,0.03913237068876651,-0.060992866301552644,-0.006027287274531868,-0.0498946151169766,-0.1187298906832868,-0.05489583352354248,0.030489484597174137,0.0648626855231109,0.048583559488245,-0.0060272872745316544
amendment,0.05433722638198358,-0.011779517879297199,0.043991294136831526,-0.0009806123634068331,0.0043310816729047056,0.10359575910742341,-0.02196937110091274,-0.0041611839422187585,-0.03808388331677041,-0.0929865485363055,-0.09450693651113881,-0.02217910896283657,0.1360591739944767,-0.0515061887385151,-0.00416118394221861
benefits,0.09550370100415584,-0.017518176224776708,-0.18064967146141786,0.1834818207913138,-0.034184320663523185,0.09106208799550032,-0.07307204602239821,-0.00612194830635764,0.17556642659846064,0.1594178300045765,-0.2432778001770704,-0.0676953259782419,-0.05019599553449056,-0.026194633719372803,-0.006121948306357403
two,-0.022823320022055588,-0.022202980737540824,0.03333486178726465,-0.16650671595121572,0.07505381761782443,-0.03546195219976903,-0.019721929049090644,-0.007561557729774616,-0.005780804775657371,0.10430325915943826,0.050549523677337845,-0.021219929356407527,0.033399986526916045,0.012199298782504479,-0.007561557729774343
bill,0.11719824234495313,-0.012874582722630567,-0.11067918927326506,-0.012911889887965522,-0.1566719536215843,0.32988839903787337,-0.050998265956458684,-0.004502976597075951,-0.07601460915985796,-0.12744287423988038,-0.06779760112438675,-0.05015038374135215,0.22892267729711782,-0.0014620157584113176,-0.004502976597075783
last,0.04512301351216324,-0.019541723469462,-0.04032317055074874,0.04804711493713785,-0.05783091036681343,0.011327854180326908,0.03448184993741046,-0.006789192629818153,-0.029294701348850836,0.06318976329913235,-0.09768546920218804,-0.031133095145086543,0.08799464228702955,-0.0007767828104143137,-0.006789192629817901
decision,0.0857614808046355,-0.013869166931668295,0.04191912989032964,0.063881932966698,0.14318516901398948,-0.07829824296836116,0.0015933533458324964,-0.004777897323731774,0.038019602855808556,-0.0878216439596406,-0.1663096362425513,-0.014603182061341384,-0.018768622882053183,0.014865620815785715,-0.0047778973237315985
married,0.0578166478615788,-0.02062652361927566,-0.1660804856720202,0.06384599240398388,-0.03835883513752276,0.02116710721303952,-0.011497940615838831,-0.006928869080038524,-0.04362923377610108,0.3181166098952581,-0.06205087787849487,-0.13914446351258716,-0.07689042933232865,0.11119017033038572,-0.006928869080038266
support,-0.014519911651169804,-0.015588012434811156,0.04370734165789191,-0.02509942349273923,-0.2055071981622689,0.03597342072059865,-0.04422761838556202,-0.005405913525038115,-0.08624252761356922,-0.056160367438906976,0.0450743882606339,0.3239372980705112,0.05495760211524521,-0.045493164595777576,-0.005405913525037915
vote,-0.08845147630390357,-0.011734460979743355,0.0034190672547167096,-0.0010410063923662438,-0.04484610072072791,0.07106163434992967,-0.02179392981807265,-0.004108827818373173,-0.019912071803981544,-0.14173817792904272,-0.07605728615257473,0.16042840898790958,0.20915329192945203,-0.0302702367848495,-0.0041088278183730245
us,-0.03143836211014471,-0.016062861337241642,-0.03426845098477288,0.1471995236594031,0.044408686828205084,-0.04596016827538969,-0.032334276779136896,-0.005510840371673439,0.021912455242521663,0.05394869572655093,0.04282195121511628,0.01417554138876593,-0.16090168996907184,0.007520636138541543,-0.005510840371673238
president,0.04662507790914642,-0.014221583642735623,-0.032045480338439084,0.05864732746621193,-0.00777251471943226,-0.0832432776667073,-0.015628385092651614,-0.004914093222556151,-0.03144416776291971,-0.19139000493246508,-0.00192828289958862,-0.05439969165134536,0.33156225333775907,0.005066916438279176,-0.0049140932225559715
ruling,0.05244610758044452,-0.010657148477034131,-0.05485419675157221,0.0194401133223278,0.26803716776390246,-0.11359526737836662,-0.0074578838827916655,-0.003685171243389862,0.008895416473732043,0.009388467999044386,-0.0683065847605564,-0.09041898781797592,0.013392564525540494,-0.018939426109915152,-0.003685171243389729
right,-0.09413618707962398,0.007552076364769725,0.04788811505589193,0.07005635732066372,0.09648289189638329,-0.06076982487378677,-0.023736450363105108,-0.005723486976521838,0.0927264807858392,0.021321318393040866,-0.026571212537858144,-0.04530490447131712,-0.017199333273229093,-0.0568623532646249,-0.005723486976521634
years,0.02112382304500981,0.0037067622169508195,-0.026093878584196054,-0.010713042644077216,-0.17116131771444276,-0.010373722205217479,-0.03399539257895366,-0.006996433087439581,-0.052036909041637686,0.2601405744190389,-0.07503026840251323,0.02249280231981809,0.06979583038586407,0.01613760495923513,-0.006996433087439323
city,-0.07980328766142256,0.03488034536038581,-0.06828001512444756,-0.13073937517861395,0.06204050083658258,-0.014050080664326411,0.013326919616943572,-0.004323399358127144,0.015315611968250617,0.04773173221795401,0.006902502036724157,-0.01612033476017732,0.08563522361824788,0.05180705645015296,-0.004323399358126981
first,0.021255903299634355,-0.019213229574103336,0.003210934338910051,-0.017586577379312088,0.10256859483202858,-0.09415230069027422,0.06425633655639296,-0.006497440050512033,-0.05010033198023193,0.15122545062587991,0.01810786534551467,-0.15297854453358456,0.04465924820684994,-0.058258468946681026,-0.006497440050511796
could,0.06780415116283352,0.03157934138714601,0.03982381661339301,-0.0031797698174735466,0.03839437961324339,0.08122421740822253,0.0038897728935870447,-0.005752341722671689,-0.01880114543139427,0.023925420256992035,-0.12600861676201955,-0.05890959277613453,-0.023998449624582936,-0.04423884147846941,-0.005752341722671485
constitutional,-0.014202003937269917,-0.011960243998651183,-0.07036212476004261,-0.026142026213857684,0.18659887410685147,-0.12247937907366412,0.01936443426126027,-0.004182384035640647,-0.0355098112849374,0.0020422719008420355,-0.05234694501947907,0.03355575412202946,0.11482921554192137,-0.015023247573721225,-0.004182384035640494
voters,-0.09514170501558103,-0.01091439473694501,-0.08037006163853284,-0.035183476464149946,-0.031035142027535465,0.11068558794367636,0.003265900813681699,-0.003813612694263659,-0.0654451222440536,-0.14896792810503157,-0.07303067786986382,0.3526641119600808,0.08354588727179864,-0.0024457544990166306,-0.0038136126942635174
california,0.01744846745996015,0.012775371113429423,-0.06464129617473295,-0.014023311094642209,0.023251703486165357,0.024964871060886927,-0.002458482129273803,-0.003788269703035825,-0.04156381785627578,0.08126722070423177,0.012419445618647959,0.04151159191447359,-0.11282409404617444,0.02944886934937534,-0.003788269703035686
marry,-0.04714665842726467,-0.014661522070503528,-0.03485416660126207,0.08756144221436392,0.038551837956816715,0.017172271554915703,-0.025532357992735597,-0.004981257154067749,-0.059998341565406996,0.05616403580819197,0.05335133820166615,-0.02432310826009168,-0.0019176250457340646,-0.034404631464820506,-0.004981257154067574
also,0.040187249130976384,-0.017577595190231367,0.0012326387628527858,-0.07995232780566425,0.02223143382165351,0.08916867085967461,-0.06656246636951059,-0.006115853029769497,0.040467812773948994,0.06517006081302334,-0.021340713449151706,-0.022362490508468235,0.049962898460617224,-0.08839346524018181,-0.006115853029769278
man,-0.10616796853157005,0.008108075230598425,0.10074181507462023,-0.04097449244553916,0.0411914084696747,-0.05050684948860885,0.017177972681471417,-0.005489422706758384,-0.022057870801906923,-0.01476750287807113,0.008163468863577732,-0.014225854013039841,0.039656747653573576,0.04463989559873649,-0.005489422706758176
church,-0.07558512231542591,-0.007590409901982975,0.7180437473180142,-0.0885995676805845,-0.050148764435551135,-0.03386399487787523,0.03257955781574264,-0.002575513181733747,-0.04477071571902798,-0.09294271585351682,-0.0694862146145676,0.016481209212803005,-0.2561438074808127,-0.0428221751037478,-0.002575513181733647
lesbian,-0.019593130403476357,0.03121266468405935,-0.040783043626728174,-0.014114681472515338,-0.04345923529021833,0.048161307387567506,-0.017473954984296478,-0.005752722645119892,0.013093881970542329,0.007693597932948637,0.023661390647152673,0.009361825755349398,0.03940562943352617,-0.02566080674367214,-0.005752722645119686
year,-0.0001175071409642619,-0.01376818623255217,-0.059805564840898766,-0.07551794373258876,0.02478118635212993,-0.05723932108509026,0.03340400730656347,-0.004795735618781695,0.053259988766145135,-0.0581687031384922,0.07889225863135349,-0.030767721968938302,0.05423184993565481,0.06040712838524126,-0.004795735618781522
mr,0.02773892205803358,-0.0068997053290445545,-0.07058703072852912,-0.053855300148438895,0.04824275606288086,-0.05618440427165993,-0.007875627915609805,-0.0023462314916656846,-0.06090040370254857,-0.012122832099892438,0.04187255109359931,-0.0914363563061473,0.23010718202075217,0.016592712249936102,-0.002346231491665598
woman,-0.06637484001154688,0.00984885036122121,0.11879896670140488,-0.07423248125172563,0.020832406532375294,-0.01045901142449366,-0.01799373750779479,-0.004936767243292562,-0.04821593175542092,-0.04390146989132053,-0.0037424448593043644,-0.010046615601374813,0.08310553139803284,0.05225431179653224,-0.004936767243292383
senate,-0.06357518666281016,-0.006967258540772239,-0.060004199570853525,-0.022228457685636048,-0.0672682182478947,0.06160808851942025,-0.03925971102050578,-0.0024546580816392216,-0.037801175842743874,-0.012381484449456717,-0.0732728729651276,-0.06601356319724731,0.4437435076437519,-0.051670151816846054,-0.0024546580816391314
