word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
tobacco,0.18012344161481744,0.024526066879715896,0.14991228069415974,-0.06148897220205945,0.0629259276287061,-0.044670763883760845,-0.027911178701659968,-0.022028549739846286,-0.05904687012193182,-0.22009418415557278,0.07797074870084182,-0.0677552873321627,0.017878778557604127,0.005648368622263658,-0.015989806561115295
said,0.11151555966207277,-0.020101816462727636,0.00863858997165175,-0.15342179204620454,0.08484876270176835,-0.057226626156109295,0.1700679416085357,0.0024007006349526837,-0.09336129988040173,-0.09519161253029634,-0.06710152905379255,0.05767093188461536,0.10851436573949365,-0.04146575311315924,-0.015786422960398963
smoking,-0.10348239850998786,-0.04489355026456343,-0.056470544077403005,-0.004916320655478053,-0.19308229315047754,0.18684359625560845,-0.15312425282961015,-0.000372440968664201,0.1712632226229138,0.1614762416891723,-0.04752936304187961,0.05110578321498958,0.09307288990543454,-0.043173756572401994,-0.016716813617652905
would,0.03073025097751453,-0.013055979470357932,-0.12977952190157205,-0.045027277246977845,0.04077273907911075,0.3391870782718302,-0.07301245312549923,-0.006068206125744793,-0.026952054183166273,-0.1285286780286069,-0.2563295703425982,0.11706591245248175,0.20368604126742043,-0.04221500149859116,-0.010473280125242613
cigarette,0.03913329356171915,0.03381178012790088,0.0449609359558272,-0.00327805540303649,0.1179138567827304,-0.08514054398177595,-0.0022552690075833327,-0.00642781600615574,0.01984012040688229,-0.07908421403296385,-0.02035545885011231,0.019228648874651262,-0.11244319743931853,0.04467591744311234,-0.010579998431877216
health,-0.11581451065980455,-0.056965869812073924,-0.050106044517685785,0.005096520596271419,-0.031558713764865846,0.04038257414660356,-0.05038845658958706,-0.005024788333484294,0.19421376301093995,-0.04858069517371262,-0.04705283688540149,0.07753857602388663,0.02383567155691845,0.07451942367647915,-0.010094613274483374
cigarettes,0.08744815574860795,-0.0318302205187128,0.08173712105018194,-0.009860331405568962,-0.0013253458331641986,-0.06562479118946732,0.24831744309545628,-0.003958560874288289,0.02998129626641306,0.028652388920708684,-0.14578475439005265,-0.006340367844357431,-0.17404573893573713,-0.027687330070901843,-0.009678964019117418
smoke,-0.09812115659480894,-0.028157364107096468,-0.045626110393274265,0.047436964778374655,-0.14977126241109953,0.045049478365739325,-0.1596146143335592,0.020631915417147203,0.11209687437367913,0.16227486881347722,0.04531090706209069,0.14106827105737355,-0.11217049301911121,0.029098699517329168,-0.009506978526261348
state,-0.02346977742834627,0.006145209943954531,-0.08675213575907045,-0.062463667963204246,0.16672848599609186,0.19736895110327896,0.1156054611537375,-0.02033418273848208,-0.08340669199963818,-0.1258480242396194,-0.08176158386615127,-0.028614681846808782,0.05450167795758441,-0.020701632711443433,-0.006997407601882944
smokers,-0.12175586865233405,-0.0009143090352361315,-0.0019549200408984957,0.02260403504232175,-0.045157636996290135,0.09049379456041348,-0.11189356890047628,-0.0010357403509337094,0.1964230326247353,0.06718065182687442,0.03230323709405119,0.035115795356203135,-0.1426176074182455,-0.010162770473348284,-0.008628124636836793
