word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
climate,-0.17365822,0.038721025,0.071993746,-0.09200122,-0.05547406,0.20375952,-0.041300684,0.13587059,0.044620916,-0.09583335,-0.12239714,0.13366342,0.044119556,-0.1198252,2.764224e-07
global,0.24009283,-0.13662198,0.08006846,0.1088833,-0.09060122,-0.13745938,0.040119145,-0.11105096,0.009400225,-0.10371638,0.20821837,-0.074888125,-0.2908299,0.21186373,0.018658329
warming,-0.1446668,0.22073951,-0.12128149,0.14790286,-0.08799373,0.043663822,0.07381638,-0.30252212,-0.11143092,0.12269052,0.1613662,-0.1258266,0.06266407,0.04889453,0.05624607
change,-0.012982932,-0.30535498,0.12626441,-0.08864203,-0.0276806,0.016887821,-0.05054211,0.13703276,-0.00057627645,-0.2632046,0.102524236,0.05544692,0.050103802,0.26873463,0.0026692438
said,0.2451926,0.06390324,-0.1839818,-0.062212825,0.15988024,-0.31131616,0.043778345,-0.027896408,0.071269535,-0.1427323,-0.16176066,0.041517273,0.042917352,0.15199775,0.0032146827
emissions,0.17991629,-0.16632187,0.06328337,-0.15560469,0.28366324,0.23357725,0.045187276,-0.18595858,-0.29985452,-0.14908402,0.0040270016,-0.1536662,-0.04140238,0.35714504,0.011259524
carbon,0.13000934,0.087954,-0.12376876,-0.016955156,0.07737109,0.37820265,0.055687178,0.0740534,-0.047101445,0.04890199,-0.20877704,-0.29925627,0.04310588,-0.13702157,0.014218538
would,0.1749413,9.39414e-07,-0.28273177,0.006993755,0.16717866,0.341081,0.0439966,-0.029234946,-0.21078324,-0.09215774,-0.13855696,-0.28349584,0.18879259,0.1371927,0.0097440975
greenhouse,-0.14590244,-0.105093814,0.06712289,-0.047879066,0.03634119,0.2499484,0.051909048,-0.18946753,-0.16620088,0.03693122,-0.21344024,0.060253248,-0.059068535,0.40067628,0.017358217
new,0.14381543,0.027470423,-0.28194126,-0.0307137,0.035204895,0.10339409,0.09131293,0.016972777,-0.034416895,0.11280248,-0.09789833,0.20106524,-0.21326989,-0.046668313,-0.004557068
energy,0.0056773503,0.096718326,0.001199619,-0.11607465,-0.20716128,0.48958227,-0.05076068,0.04922009,-0.29228356,0.07360791,-0.14339593,0.19176282,-0.12571491,-0.030064872,0.05743922
states,0.06621904,-0.52910954,-0.051679242,0.03733662,0.2674733,0.09867321,0.028347129,0.31731635,-0.030966869,-0.063643575,-0.34315136,0.014185177,-0.094827555,0.29072765,-2.1380255e-07
gas,0.3548056,0.12427104,-0.05062366,-0.032781474,0.16580999,0.45156255,-0.0132322805,-0.09281955,-0.32346308,-0.34432748,-0.3735974,0.06362302,0.08501685,0.005193789,0.004568514
us,-0.043032266,-0.0850426,0.25411513,0.0055270027,0.12129373,-0.1621198,-0.040138613,0.07016263,0.0042105317,0.0023801907,-0.22395025,-0.1702195,-0.08954225,0.37786293,-0.033821814
united,-0.12752256,0.1749152,0.16538264,-0.098324366,-0.24098599,-0.20878907,0.0430406,0.24806409,0.0006036943,-0.17974481,-0.386665,-0.045196112,-0.013220059,0.6677268,-0.0009704743
environmental,-0.05551478,0.121121645,-0.06661659,0.14431272,0.2589964,-0.03129213,0.030429404,-0.20971024,-0.072272226,-0.31839737,0.13094553,-0.08824619,0.18025883,-0.066691965,0.06472429
years,0.248001,0.4083075,-0.12032608,0.030681342,0.040328622,-0.11558265,-0.013776494,-0.018527677,-0.22265619,0.09294022,-0.16010079,0.11567198,-0.079051696,-0.30141217,0.072997145
scientists,-0.17556721,0.37621105,-0.066456415,0.009005315,0.12579058,-0.4092947,-0.025147205,-0.06653412,0.07269684,0.074698694,0.12361072,-0.045305673,-0.044996817,-0.055695776,0.04936949
percent,0.08996533,0.22233443,-0.06639011,-0.03098882,-0.13497043,0.4221267,-0.001695243,-0.21354553,-0.0020510822,-0.14639671,-0.23891376,0.22184244,-0.08781796,-0.043403514,0.01044729
dioxide,-0.0034592988,0.14025891,-0.15923508,0.033842888,0.062112153,0.11975396,-0.00274427,-0.09975586,-0.06943477,0.20669821,-0.46105176,-0.056606866,0.1600909,0.05392514,0.029905938
could,0.06139897,0.33383805,-0.2464635,-0.0135362055,-0.056102112,0.025803758,-0.009068007,0.029844062,0.18241318,-0.10175482,-0.22219045,-0.19993253,0.14240733,0.05235105,0.006829546
gases,0.23766421,0.06244117,-0.23351355,0.010993394,-0.05962381,0.17941786,0.069180764,-0.13437457,-0.032370243,-0.07580168,-0.29002684,0.05815671,0.15082581,0.020213567,0.019298002
president,0.16775544,-0.117485575,0.15962666,0.063987486,-0.2455418,-0.02530786,-0.0017955522,-0.039830074,-0.08319843,-0.2645523,-0.2330273,-0.1565195,0.6621289,0.075631715,0.0768317
one,0.13839556,0.10887203,-0.006726543,0.010935533,-0.10464152,-0.17516716,0.012878634,-0.23837459,-0.05838495,0.14078782,0.011744473,-0.07419985,0.26266235,-0.08213313,0.034400225
year,0.08357522,-0.113545895,-0.02740036,-0.12950626,-0.061450522,0.0015714269,0.041690104,-0.15914956,0.24726908,0.3855128,-0.31298178,-0.14329793,0.14733578,0.03873514,0.0011348597
power,0.3169122,0.24161209,0.12208371,-0.03134789,0.06873889,-0.29976627,0.040704794,-0.024230748,-0.058425233,-0.18297133,-0.20158356,0.073560186,0.16029646,-0.20338306,-0.002400424
world,-0.1328719,0.06209882,0.039561663,-0.054722726,-0.18909697,-0.08130689,0.09874608,0.096671455,0.10511637,0.034884915,0.10173797,-0.19246346,-0.22852327,0.3244714,-0.011499173
nations,-0.24381891,-0.07296877,-0.045303375,-0.020747865,-0.089789376,0.19344044,0.00045431234,0.04951241,-0.22115135,-0.30547222,-0.19830512,0.20681608,0.1410343,0.61205894,0.023649389
last,-0.037673403,-0.18532944,0.00021092802,0.012998023,0.31798697,0.26698554,-0.015618706,-0.03929911,0.016830442,0.1981111,-0.15301335,-0.25556064,-0.08910926,-0.032928653,0.0021663175
also,-0.07901407,0.16823079,0.03435444,1.1272607e-06,-0.033357237,-0.35877782,0.10965423,-0.1637922,0.067745306,-0.20730375,0.10170149,-0.17939988,0.1804073,0.28831366,0.0028518783
state,0.07324163,0.16367505,-0.15664625,0.22165614,0.1801589,0.31539717,-0.02343127,-0.12921391,-0.12972099,9.126209e-05,-0.26232138,-0.32143202,0.08657169,-0.06386261,-0.0015798154
national,-0.22769019,-0.031551905,-0.09336089,0.0058455328,-0.06161103,0.04702211,0.037295952,0.29358175,0.03183754,0.1679554,0.21130547,-0.16521692,-0.02241562,-0.15567967,-0.00045453027
report,0.15872177,0.37014905,-0.27133158,0.16571744,-0.17120866,-0.22688334,-0.025088172,0.24068172,-0.010970488,0.10457826,-0.060729135,-0.036642563,-0.21317519,0.014993904,-0.008057084
many,-0.010157777,-0.16475026,0.17384017,-0.07250273,-0.048831295,0.34564078,0.016981646,-0.13726784,-0.008794745,0.0428575,-0.10586143,0.28961176,-0.276797,-0.034238283,-0.008904886
reduce,-0.12027108,-0.27182505,0.0037656722,-0.10775686,-0.10437468,0.30517447,0.048677467,-0.080656394,-0.07898426,0.209565,-0.19209833,-0.08178696,0.15448166,0.32326856,-0.0011842982
much,-0.038174868,0.2651022,0.07274383,0.020894542,-0.053304147,-0.08751471,0.028089793,-0.10520378,-0.14659278,0.23427954,-0.17499125,0.22481014,-0.16148582,-0.0018786512,-0.012493312
even,0.07402834,-0.07067902,-0.08096012,0.007158623,0.038736433,-0.04587982,0.04698671,-0.15991199,-0.00072942505,0.20888868,-0.17847896,0.03316488,-0.03528683,0.23665468,-0.003162549
administration,-0.2586094,-0.13901602,-0.0057939645,0.05750389,-0.007944876,0.15455487,0.008983626,0.00043440275,-0.14351465,0.10461839,-0.112921275,-0.0938109,0.37010685,0.06825695,0.023172675
countries,-0.21400745,-0.42757726,-0.057017904,-0.035870723,-0.020810531,-0.031084651,0.0113794,0.04643899,0.09765191,-0.11273225,0.021394577,0.05338012,-0.39728668,1.0221786,0.020479415
research,-0.058304578,0.30176687,-0.0027877686,0.111178905,0.05507066,-0.089362554,0.050476864,0.070019096,-0.015622151,-0.03190989,-0.28736854,-0.05016901,0.10209563,-0.14421597,-0.0017230881
bush,-0.38498244,-0.07360041,0.09734996,0.019198675,0.0044120764,0.20925419,0.016055588,-0.036801104,-0.23757657,-0.04801584,-0.09503689,-0.23480153,0.54568726,0.21003342,0.007526924
two,-0.13625926,0.26093945,-0.119540505,-0.0930602,0.09518284,-0.13729355,0.07076322,-0.14071774,-0.11306849,-0.059260562,0.16831017,-0.06731521,-0.026429605,0.30325657,0.01105636
say,-0.27549332,0.14199649,0.16356713,0.009492552,-0.012992373,-0.2947912,0.045655973,0.09000504,-0.07074757,0.32828623,-0.2420499,0.31965816,-0.0785387,-0.19256438,0.062081844
time,0.0025210402,0.17772616,-0.15001634,-0.05854165,-0.07388373,0.06183356,-0.012214893,0.08738837,0.09955908,0.004751447,0.155287,-0.16722296,-0.18896109,0.052469447,-0.011243666
